key	kind	kima_linked	kima_id	wikidata	lat	lon	name_heb	name_rom	names_all	occurrences	n_editions	editions	context_sample
H-LOC_117	authority	yes	350	Q33342	49.80939	30.11209	שדה לבן	Bila T︠S︡erkva	שדה לבן | Bila T︠S︡erkva	18	3	Khal-Hasidim; Maim-Rabim; Shivhei-Habesht	"…היו שני סופרים מחמת שהיה עסקו גדול על אחד ונעשה אח״כ שוב מטעם שהיה לו צער גידול בנים והבעש""ט נתן לו מקום בק""ק שדה לבן ואח״כ היה שוחט בק""ק ברדטשיב ולעת זקנתו נתן הבעש""ט אגרת ליד חמי להרב הגאון הקדוש אבד""ק נעמרוב בעל המחבר ספר תו… ⟦SEP⟧ מעשה שהי' שנס ובא לעיר קריבוש והי' אב""ד בעיר הנ""ל הרב החסיד ר' אבא שהי׳ אח״כ אב""ד בק""ק שדה לבן והיה אצל אב""ד הנ""ל אורח מחותן שלו והיו מפלפלים על משנה אחת וכשבא הבעש""ט לא יצאו לקראתו ונכנס ואמר ה׳ עמכם במא… ⟦SEP⟧ …ק בן הרב דק""ק ברעהין אשר שמע מפי אביו ולא רציתי לכתוב גוף המעשה מטעם הכמוס אשר לי איך שהיה הרב דק""ק ברייאהין בשדה לבן אצל הרב משדה לבן בחורף והראה לו אגרת מהבעש״ט וזה לשונו בחורף הנ""ל תבוא מן הדרך ותמצא בביתך על החצר שלך רעש גד… ⟦SEP⟧ וגם שמעתי ממנו ואח״כ שמעתי מהרב דקהלתינו שפ״א בא חנוני בעיר שדה לבן מברעסלי עם בריקע גדולה עם סחורה גיוואנט ובא בלילה ולא רצה לפתוח החנות החנית בלילה וצוה להסיר את הסוסים מן העג… ⟦SEP⟧ פ״א רצה החנוני לנסוע לק""ק שדה לבן עם סחורה וירא כי אמרו שיש פוחזי׳ באותו הדרך ואמרה לו אשתו שמעתי שהבעש״ט נוסע בכאן תן לעבדו איזה מתנה שיודיע ל…"
H-LOC_137	authority	yes	578	Q64	52.51666667	13.38333333	ברלין	Berlin	ברלין | בארלין | Berlin	18	3	Adat-Zadikim; Khal-Hasidim; Shemen-Hatov	"… כלל גם כי לא הגיד להם מי הוא. וישאל אותם המוכסן להיכן הם נוסעים. ויאמר הבעש״ט כי הוא דרשן גדול וכאשר שמע כי בברלין בערב שבת הזה יהי' חתונת הגביר פלוני וע""כ נוסע הוא על החתונה. ויאמר להם הבעה""ב האם משחקים אתם ממני הלא עיר ברל… ⟦SEP⟧ …לנסוע עם הדרשן הזה עד המקום ההוא ויאמר להבעש״ט א״כ גם אנכי אסע עמכם. אם תרצו ליקח אותי. כי גם אנכי יש לי עסק בבארלין. ויען לו הבעש״ט אנכי אקח אותך ליסע אתי בצוותא. ויהי ממחרת ויתמהמה הבעש״ט בבית מלונו ויתפלל ויצוה להכין לו סעו… ⟦SEP⟧ …כלל גם כי לא הגיד להם מי הוא. וישאל אותם המוכסן להיכן הם נוסעים. ויאמר הבעש״ט. כי הוא דרשן גדול וכאשר שמע כי בברלין בערב שבת הזה יהיה חתונת הגביר פלוני וע""כ נוסע הוא על החתונה. ויאמר להם הבעה״ב האם משחקים אתם ממני הלא עיר ברל… ⟦SEP⟧ … חיים בן הר""ר יעקב יחיאל מיכל מפיעטרקיב חתן הג״ר צבי הירש [כן הג״ר ארי׳ ליבוש בר״ר טעבלי בהג״ר צבי הירש אבד״ק ברלין. בן בתו של החכם צבי ונכד הר״ר העשיל זי״ע] חתן הג״ר אברהם יואל הלוי איש הורוויץ. בן הג״ר צבי יהישעיהושע אבד״ק … ⟦SEP⟧ כ) הרה״ק מ׳ שמעון דייטש הי׳ בק' גריידינג סמוך לברלין והרר״ש נסע אליו ולקחו אתו בישיבתו. עד שבשיר היחוד לכל נדרי שאמר ר' שמעון דייטש לפני הקהל בניקלשפורג. א׳ שהמלא…"
H-LOC_39	authority	yes	1655	Q997462	49.66523	24.55846	פרעמשלא	Peremyshli︠a︡ny	פרעמשלא | פרימשלאן | פרימישלאן | פרעמישלאן | פראמישלאן | Peremyshli︠a︡ny	18	6	Khal-Hasidim; Maasiot-veSihot-Zadikim; Maim-Rabim; PeerMikdoshim; Smichat-Moshe; maase-zadikim	"להרב הצדיק מפרעמישלאן בא פעם אדם אחד ויהי כאשר הבין בפניו וירא בו בי אותיות עבירה שהיה משתדל עם שאר רעהו ר""ל. והנה לקרב אותו לתשובה… ⟦SEP⟧ מהרב הצדיק הקדוש רבי ר' מאיריל מפרימשלאן ז""ל ⟦SEP⟧ …עדי שמים פתח תעמוד עבורך בשוק עגלה עם ג׳ סוסים ותוכל לבוא לכאן. ואיש אחד משאטץ ושמו נתן שמעון היה ג""כ על ר""ה בפרימשלאן ונסעו שניהם יחדיו למאנדיגערי על יום הקדוש ובעת תפילת נעילה הלך נתן שמעון לחוץ וראה שבאה עגלה עם נ׳ סוסים ואמר… ⟦SEP⟧ …ילת נעילה הלך נתן שמעון לחוץ וראה שבאה עגלה עם נ׳ סוסים ואמר להאיש הנ""ל העגלה שלכם כבר עומד בשוק ובן היה ובא לפרימישלאן על סכות ע״כ שמעתי. בעיר טשערנשוויטץ היה שו""ב ושמו ר' צבי והיה איש כשר ומכניס אורח והיה רגיל לנסוע להצדיק הגאו… ⟦SEP⟧ … לו משאטץ. ומה אתה עושה פה, אמר באתי להרבי יהי׳, אמר לו הלא אמרת שאתה נוסע ללבוב לזאת תיסע לביתך ותשכור עגלה לפרימשלאן ותאמר לכל שאתה נוסע לר' מאיריל והוכרח לעשות כן ובא לביתו ושבר עגלה ואמר לכל שניסע לפרימשלאן לדברי ר' מאיריל ו…"
H-LOC_91	authority	yes	23521	Q4445436	50.1729805556	27.1376083333	סדילקאב	Sudilkov	סדילקאב | סדילקב | סדילקוב | Sudilkov	18	4	Khal-Hasidim; MaasiyotUmaamarimYekarim; maase-zadikim; tmimei_derech	"…ם פשוט עד בואו לסטאמבול עם בתו הצדקת המפורסמת מרת אדל אם הבנים האחים הקדושים המפורסמים המפורסמם מוה""רר אפרים מסדילקב ז""ל בעמה""ח ספר דגל מחנה אפרים והרב הקדוש ר' ברוך ממעזיבוז ז""ל. ויהי כבואם לסטאמבול בצר ומצוק באין לחם שמלה וה… ⟦SEP⟧ הרב הקדוש בעל נועם אלימלך צוה לתלמידו עת שאלוהו מי יהיה להם לרב ומורה ויאמר להם ליסע לסדילקאב לנכד הבעש״ט ז""ל בעל דגל מחנה אפרים. ויסע תלמידו הצדיק ר׳ מענדילע פריסטקר ז""ל לסדילקב ויבא לעיר סדילקאב בעש״ק.… ⟦SEP⟧ …ב ומורה ויאמר להם ליסע לסדילקאב לנכד הבעש״ט ז""ל בעל דגל מחנה אפרים. ויסע תלמידו הצדיק ר׳ מענדילע פריסטקר ז""ל לסדילקב ויבא לעיר סדילקאב בעש״ק. וילך לבית הרב ויאמר למשמשו שיולך אצלו לקבל ממנו רשות שיבא אצלו לקבל פניו ויאמר הרב מ… ⟦SEP⟧ מעשיות ומאמרים יקרים אשר לא נדפסו מעולם מה ומנכדיו האחים בעש""טהקדושים הרה״ק ר׳ ואחיו הרה״ק משה חיים אפרים מסדילקובר׳ זצוק""ל זיע״ברוך ממעזבוז. אמאת המלקט והמאסף ישעיה וואלף ציקערניקב זיטאמירשנת בכחא דאורייתא לפ""ק ⟦SEP⟧ …""ל סיפר ה״ר ליב מלעטיטשוב. שהוא היה מלמד אצל הרה״ק ר' נכד המשה חיים אפרים מ כי בילדותו של הרה״ק הנ""ל היה יושב סדילקובבעש״טפ""א עם זקנו ה אצל השלחן פתאום אמר לו הבעש״ט בעש""טאם תרצה אראה לך דבר אמר לו הן צוה ה להביא בעש״טלו חתיכה …"
ED::גליל	edition_only	no					גליל		גליל	17	5	Dvarim-Yekarim; Hitgalut-HaZadikim; Maasiot-veSihot-Zadikim; MaasyiotMzadikeiYesodeiOlam; Shemen-Hatov	"… אדמו״ר הרה״צ הגדול גאון מפורסם פאר הדור צנא מלא ספרא מו״ה ברוך צבי הירש ראזענבלום זצלה""ה אב""ד דק""ק פעטרקוב והגליל יע""א. ⟦SEP⟧ … לו היכן הוא העיר הזאת כי לא שמע ממנה מעולם ולא ידע מקומה איה וביום ההוא קבל מכתב מהבי דואר שאלה מעיר צשעכיוו גליל לובלין. איך ששם כותבין בגיטי נשים מתא ווינאווי דמתקריא צשעכיוו. וטעה הסופר ולא כתב דמתקריא צשעכיוו מה הדין של… ⟦SEP⟧ ואספרה מעשה אשר נעשה בימי הגאון רבי ר' העשיל זצ""ל שהיה אב""ד ור""מ דק""ק קראקא והגליל יצ""ו שנים באו למשפט ממרחקים לפניו. ⟦SEP⟧ …ן אתם השיב לו מעיר קטנה סמוך לקאלימייע, ומה אתם עושים פה לבוב השיב לו שצריך לי להשיא בתולה ויש רבי ר' מענדלי בגליל שלנו ויעץ אותי ליסע ללבוב והתחיל לבקש מהמלמד שיעשה לי טובה השיב לו המלמד מה אוכל לעזור לכם אני אכתוב לכם על צ… ⟦SEP⟧ ד. מעשה מגאון עולם מופת הדור רבן של כל ישראל רבי רב העשיל זצלל""ה האב״ד ור״מ דק""ק קראקא והגליל יצ״ו."
H-LOC_121	authority	yes	391	Q991819	51.65	22.45	קאצץ	Kock	קאצץ | קאצק | Kock	17	3	Derech-Haemuna; Likutim-Hadashim; shivheiZadikim	"…יסא כה מהגאון ר׳ ארי׳ ליבוש חריף הרב מפלאצק כו מהה״ק הרבי ר׳ שמחה בונם מפרשי חא כז מהה״ק ר׳ מנחם מענדיל הרבי מקאצץ כח מהה״ק ר׳ יצחק הרבי מווארקי כט מהה״ק ר׳ יחזקאל הרבי מקאזמיר ל מהה״ק ר׳ נח מקארוב בעל ס׳ קב חן לא מהה״ק ר׳ ז… ⟦SEP⟧ ואדמו״ר הה״ק מוהר״מ מענדל ז""ל מקאצק. חיבבו מאד וישב עמו יחד בחדרו פנימי בסתר כמה שעות בהמתחת סודותם בהדרי קודש ואמר עליו דיבורים גדולים. ובס׳ מרו… ⟦SEP⟧ מהה״ק ר׳ מנחם מענדיל ז""ל הרבי מקאצק ⟦SEP⟧ ידוע ומפורסם קדושתו ופרישותו של הה״ק הרבי מקאצק הנ""ל. שהיה ממש כמלאך ה׳ צבאות עד שכל ברי' אנושיית לא יכלה להשיג שכלו הטהור ורעיונותיו הנשגבות. בדברי חידושי ת… ⟦SEP⟧ ופ""א קרה מעשה נורא בקאצק שאחד מן החסידים המצויינים בא מדרכו לקאצק"
H-LOC_186	authority	yes	994	Q1055	53.55	10.0	המבורג	Hamburg	המבורג | האמבורג | Hamburg	17	6	Khal-Hasidim; Maasiot-veSihot-Zadikim; Shemen-Hatov; Shivhei-Habesht; Smichat-Moshe; shivheiZadikim	"…מחלוקת וכל מי שנגע בהמגיד לא חי' וגם הגאון האמיתי ר׳ אציקיל אשר נעשה אב""ד בק""ק בראד ואח״כ לקחו אותו לאב""ד לק' האמבורג הי׳ ג""כ בבעלי מחלוקות מחלוקית אך מפני שהגאון מופה""ד מ׳ יחזקאל אבד""ק יאנפאלי הי׳ קרוב להרב הנ' וכתב אליו למע""ה… ⟦SEP⟧ מעשה נורא מהרב הצדיק ר׳ יצחק מהראהביטש הנקרא בפי כל עם ועדה ר׳ איציקיל דראהאביטשער, והרב הגאון ר׳ יצחק מהאמבורג. ⟦SEP⟧ הרב הגאון ר׳ יצחק מהאמבורג היה לאב""ד והרב ר׳ יצחק מדרא אביטש הי׳ המגיד ושניהם היו בעיר דראהאביטש ואירע המעשה כאשר אבאר לקמן הנה בעיר הנ""… ⟦SEP⟧ …ש הלוי איש הורוויץ אבד״ק טשארטקוב. ומ׳ מאיר הלוי אבד״ק טיקטין. ומ׳ יוקל הלוי אבד״ק גלוגא. ומ׳ יצחק הלוי אבד״ק המבורג ועוד מגאונים וקדושים זצוקלה״ה : כ״ז לקטתי וערכתי וסדרתי בחמלת ד׳ עלי הצעיר אברהם שמחה בונם חיים בן לאאמו״ר הר… ⟦SEP⟧ …בענין הגט המפורסם בעולם. ב׳ אשת הג״מ שבתי אבד״ק קראסני סמוך לבראד. שחיברה תחנה אמהות. ג׳ הג״מ יצחק הלוי אבד״ק האמבורג וצאצאיו נזכרים בראש ס׳ מטעמי יצחק. ד׳ אשת הג״מ זאב וואלף לנדא אבד״ק קרעשוב נזכר במטה לוי הע׳ י״ב :"
H-LOC_445	authority	yes	87797	Q152243			אשכנז		אשכנז	17	11	Derech-Haemuna; Hitgalut-HaZadikim; Kokhvei-Or; Maasim-Tovim; Maasiot-Pliot; MaasiyotUmaamarimYekarim; Shemen-Hatov; Sipurei-Zadikim; SipureiAnsheiShem; shivheiZadikim; tmimei_derech	"…״ק ירושלים תוב""ב מפה קדוש הרב מהריק""ו הרב ראשון לציון שנלב״ע שנה שעברה בנאמון יע״א. והוא כי בהיותו שדר״ח בערי אשכנז סיפר לי חכם אחד זקן ברוסיא מה שאירע לו עם תלמיד שאינו הגין שאחר שלמד לפניו כמה דפי מסכתות בע״פ יצא לתרבות רעה… ⟦SEP⟧ דיברו לפניו פ""א מענין הפירצה שנפרצה במדינת אשכנז לגלח את הזקן והפאות ועמד אז לפניו ר׳ מאיר ז""ל מטעפליק שהיה איש ירא וחרד לדבר ה׳ והתחיל לתמוה מאד ע״ז וענה ואמ… ⟦SEP⟧ … ובק""ק פראנקפורט דמיין לעת זקנתו ונסע עם אשתו הרבנות לארץ הקדושה. ויהי בבואו לעיר הגדולה סטאמבול הנקראת בלשון אשכנז קאנשטנטינאפיל נפל על ערש דוי ויאמר לכל הנצבים עליו שהוא ימות ואמר באיזה זמן ובאיזה רגע ימות. ויהי בעת יום פקו… ⟦SEP⟧ …לימוד הוא רוצה השיב לו רר״ז כדרכו בקדש בענותנותו זוסיא הוא ע״ה גדול וצריך ללמוד משניות ויפרש לו כל תיבה בלשון אשכנז והתחילו ללמוד מתחלת מס׳ ברכות ופירש לו תיבה הראשונה מאימתי (פין ווען) קורין את שמע והפיל עצמו הרה״ק ר״ר זוסיא… ⟦SEP⟧ … פרק ר׳ משנה ה׳ וז""ל סיפר מ קן האלקי זצוק""ל (הוא הריב""ש שבבעש״ט ערי היה צדיק אחד ואמר קודם פטירתו שימות במיתה אשכנזמשונה ע״י רוצחים ר״ל וכבר הוא מאה פעמים בעוה״ז ובכל פעם נהרג שהוא היה בזמן המקדש ראש סנהדרין חריף וחכם ולמד בס…"
H-LOC_612	authority	yes	678		59.95	30.3166666667	פעטערסבורג		פעטערסבורג | פעטרסבורג | פסטרסבורג	17	3	Khal-Hasidim; Maasiot-veSihot-Zadikim; Shivhei-Harav	"…) כי הוא חבר לאיש משחית ולכן כאשר הראה להם זה המכתב נתוודעו קהילה גדולה ואספו כסף הון רב ונתנו לאביגדור שיסע לפעטערסבורג להלשין את הרבנים הנ""ל בדיניהם ויבז אביגדור לשלוח יד בהרב מבארדיטשוב והרב ש״ז לבדם כ""א רצה לקעקע ביצתן של שונא… ⟦SEP⟧ …שר יצא מהמאסר צווחין אף עקתין בטלין ושביתין כי גם העקתין זעקו כי יבטלו מסעם ביום השבת) ואח""כ כאשר הביאו אותו לפעטרסבורג קשרו את עיניו במטפחת והוליכו אותו אותי במדרון כמו שתי שעות והביאו אותו למבצ' בבית חומה גדול עם חלונות גדולות … ⟦SEP⟧ …נג בחכמת הרב מאד וגדלו ונשאו עד אשר סגר הרב את יומו בברחו ממלחמת הצרפתים כאשר נספר זאת לקמן אי""ה ואז נסע הרב מפעטרסבורג לביתו בכבוד גדול וישב על כסא קדשו והשיב רבים מעון והפיץ מעיינות החכמה חוצה באין מוחה ובאין פוצה פה והרבה והרב… ⟦SEP⟧ …ותה נפשו להטות מדברי רבותינו הקדושים אשר בארץ המה וע""כ נתחזק' המריבה יום יום (וכבר כתבנו המנצח הנמצח מהמריבה בפסטרסבורג) וכאשר אספו אסיפות מכל ראשי העם היינו התלמידים של הגאון מווילנא ותלמידי הרב להשיב להם אמתלא נכונה על כל הקשה … ⟦SEP⟧ והנה מדי עבר הרב לטולטשין נזקק לבקשת אשה אחת לשלם לה טובה תחת טובה כי בעת אשר ישב הרב במאסר בפעטערסבורג פעם הראשון היתה שמה אשה אחת שמה ווייטיל אשר היתה פרנסתה מקבלת מכתבים מדפאסט מהפאסט והיהודים אשר היו שם בעת הה…"
H-LOC_87	authority	yes	22434	Q161984	50.0747222222	29.9180555556	חוואסטוב	Fastiv	חוואסטוב | חוואסטיב | חוואסטווי | חוסטוב | חוואטאוו | חווסטוב | חואסטוב | Fastiv	17	5	Khal-Hasidim; Maim-Rabim; Mifalot-HaZadikim; Shivhei-Habesht; Sipurei-Zadikim	"מעשה כשנתקבל הרב המגיד הגדול למ""מ בק""ק חוסטוב והסרסור הי׳ הרב הקדוש ר' מנחם נחום מק' טשעראנביל ושמעתי מר׳ יואל מפראטהור שהיה חוגג חג הפסח אצל ר׳ נחום הנ׳ ב… ⟦SEP⟧ …אמרו לו מנין אתם יודעים כי אבי אמר לי שיקרא אותו אותי . עוד סיפר ר׳ נחום הנ״ל כי הרה""ק ר׳ אברהם הנ""ל הי' בעיר חוואטאוו סגר סגור ומסוגר ולא זכו לראות פניו ור׳ נחום שיבח אותו לפני אנשי העיר והי׳ גיעגועים לראותו פ״א הי' ברית מילה ו… ⟦SEP⟧ …ז. ואמר למה לא אמר לי ואמר לך ובעו""ה נשרף חדרו עם הספרים בלילה ויהי אח״ז נסע הרב מוהר״א על המדינה ובבואו לק""ק חווסטוב קיבלו אותו בכבוד גדול וקיבלו אותו לרב ונתנו לו פסיקת דמים ושלחו שליח אחר אשתו שתבא ג״כ לשם על ימים נוראים. וי… ⟦SEP⟧ … אחר אשתו שתבא ג״כ לשם על ימים נוראים. ויהי בבואם בא הרב המגיד בחלום אליה ויאמר לה לא תסע על העגלות האלו לק""ק חוואסטוב ויהי בבקר ותמאן מליסע והיה רעש גדול בין הצדיקים מ' משולם זישא ומ׳ יהודה ליב כהן. כי רצונם הי' שתסע לשם למלאות… ⟦SEP⟧ …פטירת הרה""מ הק' ממעזריטש ובתוך הט""ו שנה הי׳ נוסע להחזיר העם בתשובה ויהי כאשר נסע הרב ר' ישראל בנסיעתו דרך עיר חוואסטוב אשר שם נגנז ארון האלקים הרב הקדוש ר׳ אברהם בן המגיד הגדול ממעזריטש המכונה בפי כל המלאך הלך הרר""י להשתטח על קב…"
H-LOC_33	authority	yes	15851	Q841029	54.0	27.28333333	זאסלאוו	Izi︠a︡slav	זאסלאוו | זאסלאב | זאסלב | Izi︠a︡slav	16	5	Khal-Hasidim; Sefer-Moraim-Gdolim; Shemen-Hatov; Shivhei-Habesht; Sipurei-Zadikim	"עוד מעשה שהבעש״ט ישב בק""ק זאסלב ושבת שם כמה שבתים ובתוך כך מצאו עכו״ם מת על השדה והביאו אותו לעיר ורצו לעשות עלילה על היהודים והלכו להדוכסה ו… ⟦SEP⟧ ויהי אחרי הדברים האלה נתוועד הסבא הזה עם הרבנים הקדושים המפורסמים הצדיקים ר' מרדכי מנישחיז ועם הש״ץ מזאסלאב אשר גם המה הלכו אז בגולה ונתועדו כולם לילך יחד בגולה ועשו מה שעשו בצוותא. פעם אחת נזדמנו כולם בעיר לאדמיר והז… ⟦SEP⟧ מעשה אשר סיפר הרב הקדוש מרושזען זצ""ל להיקר ה״ר פנחס ז""ל נכד הרב הקדוש אשר היה ש""ץ בעיר זאסלאוו ואמר לו אני אספר לכס מאביכם הזקן מעשה ותבינו רום מעלתו בעת אשר נפטר אביכם הזקן החזן מזאסלאוו כיבדו אותו בעולם… ⟦SEP⟧ ד) זקני ההפלאה הנ""ל הי' חתן הג״ר יואל היילפרין מלעשנוב בן הג״ר ישראל אבד״ק זאסלב בן הג״ר אליעזר ליפמאן אבד״ק טארניגראד, בן הג״ר יצחק אייזק היילפרין אבד״ק טיקטין הנזכר לקמן בשמן הטוב : והג״ר … ⟦SEP⟧ … הנ""ל הי׳ חתן הג״ר שאול ויאהלוואהל מבריסק שר במדינת פולין מגזע מהר""ם פאדבה ושו״ת מהר""י מינץ ז״ל : הג״ר ישראל מזאסלב הנ״ל הי' חתן הג״ר יצחק באבד אבד״ק בראד בן הג״ר יששכר בעריש פרנס הכולל דד״א מקראקא בן הרבי ר' העשיל אבד״ק קראק…"
H-LOC_71	authority	yes	19001	Q941451	53.20567	22.77457	טיקטין	Tykocin	טיקטין | Tykocin	16	3	Khal-Hasidim; Shemen-Hatov; Smichat-Moshe	"נעתיק כאן סיפור נורא מס׳ הנחמד שהגה""ח מאת הגאון הקדוש איש אלקי מופת דורו מו""ה מאיר הלוי הורוויץ אבד""ק טיקטין זקינם של הני צנטרי : דדהבא הגאונים הקדושים מו""ה שמעלקי ומו״ה פנחס בעל הפלאה : וז""ל שם בעמדו לקדש הלבנה במוצאי… ⟦SEP⟧ …ין מלעשנוב בן הג״ר ישראל אבד״ק זאסלב בן הג״ר אליעזר ליפמאן אבד״ק טארניגראד, בן הג״ר יצחק אייזק היילפרין אבד״ק טיקטין הנזכר לקמן בשמן הטוב : והג״ר אליעזר ליפמאן מט״ג הנ""ל הי׳ חתן הג״ר יעקב שור אבד״ק בריסק בן הג״ר אפרים זלמן שור… ⟦SEP⟧ קכ) הרב מו״ה מאיר הלוי הורוויץ וכו' אבד״ק באלחוב. זלאטשוב. טיקטין והגליל וכו׳. ובניו המה הגה""ק מ׳ יוקל אבד״ק בראד (אבי הגה""ק מ' יצחק אבד״ק אה״ו). והגה״ק מ׳ צבי הירש אבד״ק טשאר… ⟦SEP⟧ קכג) עוד כ׳ וז״ל שמעתי מר׳ שמעון יליד טיקטין מק' חרזיל אשר פ״א באה אליו עגונה מק׳ זאבלידאווי להזדקק בהיתרה. והשיבה שהרב מזאבלידאווי מרא דאתרא לכך יראה הוא… ⟦SEP⟧ קכז) כן שמעתי אשר הה״ק מ׳ לוי יצחק מברדיטשוב זי״ע נסע במכוון לטיקטין לשמוע הנהגותיו. וסיפר לו השמש הזקן כ״ח הנהגותיו. ופ""א בא השו״ב דשם לפני הרב להראות סכיניו אמרה הרבנית שישחוט …"
H-LOC_144	authority	yes	6471	Q29	40.0	-3.0	ספרד	Spain	ספרד | שפאניא | Spain	15	6	Derech-Haemuna; Khal-Kdoshim; Maasiot-veSihot-Zadikim; MaasyiotMzadikeiYesodeiOlam; Shemen-Hatov; SipureiAnsheiShem	"…הקדוש הנ""ל השתוקק עד מאוד למשוך את הרמב״ן אל החכמה הלזו לכן התנועע ממכון שבתו ירושלים אה״ק ללכת אל הרמב״ן עיר שפאניא שמה במכון שבתו להורותו לדעת כי החכמה הלזו היא עיקר הלימוד ותכלית הנרצה לעבודתו יתברך אך רזין דאורייתא היא. וה… ⟦SEP⟧ פעם אחת דיבר עם אנשים מענין נוסח ספרד אשר הספרדים אומרים רננו צדיקים בד׳ קודם לדוד בשנותו והאשכנזים אומרים רננו צדיקים אחר הלל הגדול ואמר בזה הלשון… ⟦SEP⟧ …לפיות הביא המעשה וז״ל הטהור הגאון מוהר״ר אברהם הפיסה זלה""ה בא לעולם בתפלת חכמי ישראל ומאורע המעשה שבהיות גלות ספרד היו בורחים משם היהודים לעבור אל ארץ תוגרמה והי׳ זקנו של הגאון הנזכר מקבל עניים ועשירים ומכלכלם ומלוה אותם על … ⟦SEP⟧ הגאון כמוה״ר אברהם דפיסה זל""ה בא לעולם בתפלת חכמי ישראל ומאורע המעשה שבהיות גלות ספרד היה בורחים משם היהודים לעבוד אל ארץ תוגרמא והיה אביו של הגאון הצדיק הנזכר מקבל עניים ועשירים ומכלכלם ומלוה או… ⟦SEP⟧ …ז הלז. ושם מתפללים בנוסח אשכנז עד היום כי כן התפלל זקינינו הנ״ל. ויען אשר הרב מברדיטשוב הי' רגיל להתפלל בנוסת ספרד. לכן התפלל גם אז בקלייזיל הנ״ל בנוסח ספרד כהרגלו. ודרכו היה להתפלל לפני התיבה. והתפלל שם לפני"
H-LOC_526	authority	yes	30	Q236083			סוואלק		סוואלק | סובאלק | סַוואלק	15	3	Adat-Zadikim; Khal-Hasidim; Sipurei-Zadikim	"…נפשי. ותען לו האשה הנה חנני ה׳ ויש לי כל ואינני צריך למוהר ומתן ממך. אבל יש לי אח מסכן ת""ח בכפר פלוני הסמוכה לסובאלק. ובימים האלו צריך להשיא בתו ואין לו ע""ז פ״א וע""כ אם תרצה כי אמחול לך בלבב שלם תמחול ליסע לשם ותתן לו שני מאות… ⟦SEP⟧ …י הנה ורק האמת הגדתי לך אך אולי טעיתי ולא אתה הוא אחי הארוסה אסתר שפרה וע""כ יהי נא מטובך להגיד לי אם אתה ליב מסַוואלק בן ר׳ אליעזר ויפרוט לו עוד סמנים אחרים ויען האיש אנכי הוא האיש אשר אתה מבקש. אבל מה עלה לך בדמיונך או בחלום כ… ⟦SEP⟧ …' מאיר מבארדיטשוב לפני כבוד קדושת הרב הגדול והקדוש ר' משה מסאווראן אשר הוא ראה את הרה""ק ר׳ ליב שרהעס ביער אצל סוואלק :והמעשה שהיה כך היה ⟦SEP⟧ הנה האיש הנ""ל הר' מאיר היה בן גביר וחתן לגביר בסוואלק הבירה והוא בעצמו היה חריף ושנון והיה לומד בישיבת הגאון מסוואלק והנה כאשר הגדיל האיש הנ""ל התבונן הוא במאמרי חז… ⟦SEP⟧ …נפשי. ותען לו האשה הנה חנני ה' ויש לי כל ואינני צריך למוהר ומתן ממך. אבל יש לי אח מסכן ת""ח בכפר פלוני הסמוכה לסובאלק. ובימים האלו צריך להשיא בתו ואין לו ע""ז פ״א וע""כ אם תרצה כי אמחול לך בלבב שלם תמחול ליסע לשם ותתן לו שני מאות…"
H-LOC_685	authority	yes	440	Q220	41.893055555556	12.482777777778	רומי	Rome (Italy)	רומי | Rome (Italy)	15	6	Adat-Zadikim; Khal-Kdoshim; MaasyiotMzadikeiYesodeiOlam; Peulat-Hatzadikim; Shemen-Hatov; SipureiAnsheiShem	…מולדתו ואם הוא גר פה מכבר או לא והשיב לו כי זה כעשר שנים אשר בא לכאן וקנה פה החצר מאדון העיר אשר הי' מניסטער ברומי ונתישב פה ויבנה בה״כ בחצר שלו שלו ומתפללים שמה אנשי העיר בוקר וערב. ובשבת הולכים לשולחנו מרבית אנשי העיר. ויל… ⟦SEP⟧ …קצף הגזרה היתה על כל המדינה לכן חשו לעזרה ויתנו בכל נפשם כאשר גזר עליהם והצדיק הזה לקח אל ידו אוצר רב : ויסע לרומי ויבא אל הקרדינעליר כי כן משפט הפאפסט כי שנים עשר המה אשר הגיעו לחינוך באם ימות הפאפסט יפילו גורלות מי ימלא מק… ⟦SEP⟧ …צבא ד׳ על אודות ברית עם קדושים ויאמר אלי העגל הזה פיהו ירבץ וכלה סעיפיה והכרך הזה היא עיר נינוה עיר הדמים היא רומי רבתי ואמרתי לו אדוני עד מתי קץ הפלאות וידבקני ויאחז בידי ויביאני אל בית ⟦SEP⟧ …ב״ל לפ״ק נתקבל לק׳ פפדמיי״ן. ובעודנו באבו עוד בלעכוויץ כבר הי׳ מפורסם בעולם. וכסא הוראתו היתה מונחת בין גדולי רומי הגאונים שבדור. כמו שנראה בס׳ גבעת פנחס התשובה בדבר הגט בע״כ. שהי׳ רעש בין הגאונים עיין בנוב״י מהד״ק אאע״ז סי׳… ⟦SEP⟧ …לו סכום מעות ונסע מווילנא מרחק רב לישיבה גדולה ולמד בשם בגודל חריפות ובקיאות עד שנעשה גדול התלמידים בישיבה, וברומי היה גביר אחד נדבן וירא שמים והיה לו בת יחידה ונסע להישיבה הזאת לבחור לו בחור אחד עבור בתו שיהי׳ מושלם בכל המע…
