name,occurrences,editions,contexts,suggested_id,action,_match_status,_match_method,_confidence,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
פראסקרוב,4,Shemen-Hatov,"צו) כתב ש""ב בעל מנחת שבת הנ""ל וז״ל שמעתי מאנשי אמת מספרים אשר הה״ק בעל קדושת לוי הי' פ״א בעיר פראסקרוב ואמר לאנשי העיר שהוא רואה אור גדול על הבית עלמין שבעיר הנ״ל. ושאל אותם אם מונח שם על הבית עלמין איזה צדיק. וח…",797,,name_exact,name_exact,0.95,797,Khmelnytskyi (Ukraine),חמלניצקי (אוקראינה),,797
אלטונא,4,Shemen-Hatov; shivheiZadikim,"…שטרדם. וחתנו הג״מ.extra period יעקבקא לנדא מבראד בן הג׳ בעל נודע ביהודה. ובאו על ש״ק לבית הגה""ק מ׳ יעב״ץ ז״ל באלטונא. ושאל את ר׳ יעקבקא אם חותנך יכול ללמוד גפ״ת. השיבו „העולם אומרים שיכול. והשיבו הג׳ יעב״ץ. מהעולם ראי' ? הרי ה…

קסח) עוד כ׳ שם שיש לו בקבלה מראשי העיר אלטונא שבהיות הג׳ מהר""י הלוי סמוך לפטירתו הי׳ שם שריפה גדולה. ותשקע האש בתפלתו ובירך העיר שלא תהי׳ עוד למאכולת אש. ו…

פו״מ דק״ק אלטונא יצ״ו התרו את האלופים דק״ק האמבורג וואנדסבעק שידין עמהם בזבל״א ובזבל״א ופרנסי דוואנדסבעק רצו לציית ד״ת רק האלו…

…דות ושאר ספרים שנתחברו ע״ז. אירע מעשה נורא ומופת נפלא מהגאון הק׳ ר""י הנ""ל שהיה אז אב""ד ורב בק""ק אה""ו והיה דר באלטונא. פ""א היה הולך הגה""ק הנ""ל לבית הכנסת להתפלל תפלת מנחה והיה עובר דרך מקום צר אחרי הרחוב פתאום נשא עיניו וראה אי…",,,fuzzy,fuzzy,1.0,,,,,85245|89925|18307|16150|12855
ראדאמסק,4,Derech-Haemuna; Maim-Rabim; Toldot-Haniflaot,"ובס׳ תפ״ש על מועדים (ברמזי פורים) להה״ק מראדאמסק וז״ל וכדרך הזה שמענו מפה קודש הרב הוותיק אוהב ישראל ר׳ דוד מלעלוב זלה״ה שאמר בזה״ל איך תאמרו עלי שאני צדיק הד…

ובהקדמת ס׳ שער הגלגולים החדש וז״ל וכן שמעתי מא״א הה״ק ר״ש מראדאמסק זל""ה ששמע מהה״ק ר׳ דוד מלעלוב זל""ה בעת שהרב בעל הב״ח זל""ה נפטר לעולמו כיבדו אותו ב״ד של מעלה בדרשה והשיב שיאמ…

ובס׳ תפארת שלמה מהה״ק מראדאמסק בפ׳ דברי׳ וז״ל כמו שנודע המעשה מהבעש״ט זי״ שפ״א הפציר מאוד באחד מגדולי תלמידיו הוא הצה״ק ר' עמיכל ז״ל אשר בני…

הה״מ המפורסם מאד ר׳ שלמה זצ״ל מראדאמסק מספרים ממנו שאמר שיהיה עת שיהיה חשיבות גדול למי שהכיר אותו צדיק מרן זצ״ל,",,,fuzzy,fuzzy,1.0,,,,,27137|17247|70098
פשיסחא,4,Likutim-Hadashim,"שמעתי מעשה מהיהודי זצ""ל מפשיסחא שהיה אצל אבי זקני זצ״ל

…משך הנ״ל ואמי זקנתי אמרה לאבי זקני הלא עוד תהא עני ? ואמר לה אבי זקני אין זה דאגה שלך ונסע היהודי זצ""ל לעירו לפשיסחא לביתו. ואמר לו היהודי זצ״ל לאבי זקני איך היא הפרנסה שלך ושתק אבי זקני ואמר לו היהודי זצ״ל שיקנה עורות של עגלי…

שמעתי שהיה היהודי ז""ל אצל הרבי זצ""ל בלובלין ואשתו של היהודי היתה בפשיסחא ובאה אל הרה״ק ר׳ שמחה זצ״ל וא׳ שיכתוב אגרת לבעלה היהודי בונםאיך שהולכים ממנה דמים הרבה מן הווסת ואין לה במה ל…

…בשנים וסיפרו לו בונםהאנשים איך שהרב אינו מניח שום אדם לכנוס אצלו מטעם הנ״ל והלך אצלו ונתן לו שלום ואמר הרה״ק מפשיסחא אל הרה״ק הנ״ל כתיב ותגזר אומר ויקום לך שהצדיק גוזר והקב״ה מקיים וכתיב מי יאמר לך מה תעשה וסותרין זה את זה הפש…",18259,,name_exact,name_exact,0.95,18259,Przysucha (Poland),פשיסחא (פולין),,18259
גריצא,4,Toldot-Haniflaot,"מג סיפר הרב החסיד ר׳ מאטיל הרב דק""ק גאוורטשוב אשר בימים הראשונים שהתחיל לנסוע למרן ז״ל למאגלניצא ואז הי׳ דר בגריצא, אירע פ״א ביום הששי קודם התפלה הלך מרן ז״ל הנה והנה, ואמר כי אברך א׳ הוא בסכנה גדולה בנסיעת הדרך לכאן, והיה ר…

סח ראיתי אגרת מהה""ג הצדיק ר׳ פייבל מגריצא ז״ל, אל מרן ז""ל מנאדרזין בעת שהיה ההק׳ בווארקא שם והיה נחלה בחולי גדול ר""ל, והיה כתוב בדרהאגרת הגם כי זה שלש …

עח עוד סיפר לי בי פ""א היה נוסע מרן ז""ל לווארשא והוא היה יושב בהמרכבה אצלו, וכאשר הגיע כמו תחום שבת מגריצא צוה להעתיק וילון המרכבה לכסות בעדם ולעבור דרך",,,fuzzy,fuzzy,1.0,,,,,6926|74161|4036
טשערין,3,Kokhvei-Or,"ר׳ מענדיל ז""ל מכפר הסמוך לטשערין היה איש עוסק במו""מ כל ימיו ויראתו ועבודתו ובפרט עבודת התפלה שלו היה נשגב ועצום מאד. כי היה מתפלל במסירת נפש ו…

… לשער וכן שאר כל אנשיו כמו ר' נפתלי ז""ל מנעמרוב ור׳ יחיאל אחיו והרב ר׳ אהרן ז""ל מברסלב הרב ר׳ שמואל יצחק ז""ל מטשערין הרב ר' ישעי' שלום ז""ל ממעדוועדובקא הרב ר׳ יצחק ז""ל מחארשטשיוואטע הרב ר' עירא ז""ל (שהי׳ אח""כ במדינת וואלכייא) …",,,fuzzy,fuzzy,0.667,,,,,4401|2155|17276|20942
טוריסק,3,Maim-Rabim; SipurimUmaamarimYekarim,"…ק ר׳ דוד לייקעס זצוק""ל. והוליד ממנה חמשה בנים הקדושים המפורסמים. ה״ה. הרה״ק ר׳ נחום ממקארוב. והרה״ק ר׳ אברהם מטוריסק. והרה״ק ר׳ דוד מטאלנע. והרה״ק ר׳ יצחק מסקווירא. והרה״ק ר׳ יוחנן מרחמיסטריווקע זצוק""ל. ופ""א דיבר אדמו״ר הרה״ק …

*) א״ה ביותר יובנו הדברים עפ""י מש״כ בס׳ מגן אברהם (להה״ק המגיד מטריסק זצוקללה""ה) להלולא דמר אביו הה״ק זצוקללה""ה וז""ל איתא בזוה״ק (משפטים דצ""ד ע״ב) נ כד ב״אתיליד יהבין לי׳ נפש. זכה…

… הלא הוא מורינו ורבינו מו״ה ר׳ דוב זללה״ה נפטר שבר׳ אברהםנת תקל״ג י״ט כסלו״. ועי׳ בס׳ מגן אברהם לרבינו הקדוש מטריסק לרמזי פורים שמעתי מאאמו״ר זצוקל״ל שאמר שבעת שהי' בהאניפאלע על קברי הצדיקים הרב המגיד הגדול והה״ק ר׳ זוסיא והה…",,,fuzzy,fuzzy,1.0,,,,,20696|20538
שעפס,3,shivheiZadikim,"…זאב וואלף מזיטאמיר יג מהה״ק ר׳ יעי״צ הרבי מלובלין יד מהה״ק היהודי מפרשיסחא טו מהה״ק ר' מאיר הלוי הורוויץ הרב משעפס טז מהה״ק ר׳ דוד מלעלוב יז מהה״ק הרבי ר׳ שמואל מקארוב יח מהה״ק הרבי ר' אפרי' פישלע מסטריקאוו יט מהה״ק ר׳ שמואל…

עוד זאת היה מנהג בק' שעפס. שהיה חדר שלו שעסק בו בתורה יעבודה בפאליש של הבהכ״נ. ושם היה בית המשפט וההוראה ודירתו עבור הרבנית וב""ב כולם ה…

…משבחי הצדיק הנשגב הזה ועניניו. מאשר סיפרו אנשים שבמחזה אור פניו הכירוהו. ואמרו שהיה רב בק׳ ביזיון הסמוכה לעיר שעפס. וסבת הדבר שנחבר בעיר שעפס הוא מחמת צוואתו. שלפני זמן גדול קודם פטירתו בעברו לפני הב""ע דק׳ שעפס. אמר לפני האנ…",16554,,name_exact,name_exact,0.95,16554,Sierpc (Poland : Powiat),שרפץ (פולין : מחוז),,16554
ליטין,3,Buzina_Denehora,"…מקור מעין חיים פה קדוש הנ״ל. גם כשהראתי הכ״ק למראה עיני כבוד. הרב החסיד המפורסם בנש״ק ר׳ מנחם נחום שליט״א מק׳ ליטין גבר הק׳ רבי ר׳ ברוך ג״ע. נתן עדותו שהן הם דברת קדשו. ורבים מהני מילי מעליותא היו רשומים בזכרונו הטהור ממרן זק…

סיפר ר׳ אביגדר מק׳ ליטין שנסע הרב הק' ר׳ חיים טשערניוויצער מן וואליחיי מק' באטישאהן לק׳ מעזיביז. על קבר הבעש״ט. וכשבא לק׳ מעזיבוז. לא …",,,fuzzy,fuzzy,1.0,,,,,75610|73158|22283|11734|22102
ק׳ ליטין,3,Buzina_Denehora,סיפר ר׳ אביגדר מק׳ ליטין שנסע הרב הק' ר׳ חיים טשערניוויצער מן וואליחיי מק' באטישאהן לק׳ מעזיביז. על קבר הבעש״ט. וכשבא לק׳ מעזיבוז. לא …,,,fuzzy,fuzzy,1.0,,,,,89124|75610
פרסאות,3,Hitgalut-HaZadikim,"מעשה שפעם אחת כיבדו את רבינו הרבי מלובלין זצוקללה""ה להיות סנדק בברית מילה שהיה בסביבות עיר לובלין רחוק איזה פרסאות מלובלין. ונשתהה הרבי בנסיעתו כ״כ מחמת איזה סיבה עד שהיה מוכרח הבעל הברית לכבד איש אחר תחתיו בסנדקאות מפני שהי…

אולם חבר אחד היה לו בעיר אוסטראווצי הסמוכה לעיר אפטא כשני פרסאות וחצי שהיה גדול בתורה ובחסידות בנגלה ובנסתר. והיה מחסידי הרב הגאון סבא קדישא הרבי ר' מרדכי זצלה""ה מנישחיז ולחב…

…אותנו וטוב לחסות בהשי""ת מבטוח בנדיבים. ותיכף שכר לו עגלה. ועקר דירתו מלעמבורג לעיר סטרעליסק אשר הוא רחוק כששה פרסאות מלעמבורג ששום אדם משם לא הכירו. ושם בזמן קצר נתגלה קדושתו. והופיע אותו בתוך בני ישראל ורבבות אלפי ישראל נהרו …",,,fuzzy,fuzzy,1.0,,,,,80640|1122|2472|72479|81368
וולאדווע,3,Hitgalut-HaZadikim,"…קדושת מרן הק' הרבי ר' אלימלך זצוק""ל מליזענסק. והיה מלמד אצל איש כפרי אחד אשר היה מחזיק אורענדע בכפר סמוך לעיר וולאדווע. ולמד הרה״ק עם שני נעריו אולם התלמידים היו ע״ה. יען כי דעתם היה מאוד קלושה. ומוחם היה חלושה. וחוץ מזה לא רצו …

…תגבר בעבדות השי""ת עד שהיה לאיש אלהים נפלא בדורותיו. ולאט לאט התחילו לשמוע ממנו בעיר הסמיכההסמוכה לכפר הוא עיר וולאדווע. ולפעמים נסעו אליו תלמידי חכמים ואברכים מהעיר ההיא ליהנות מזיו אור קדושתו ותורתו. עד שהיו בכל ש""ק אנשים רבים …",,,fuzzy,fuzzy,1.0,,,,,15948|9453|77175
קובלנא,3,Hitgalut-HaZadikim; Maasiot-veSihot-Zadikim,"…נ""ל אשר בימים ההם היה כבר משכן קדשו בסאדיגערי במדינת קירה. לזאת נסעו תיכף במר נפשם לסאדיגערי למרן הקדוש הנ""ל בקובלנא רבא על הגביר הנ""ל היות שכבר ישבו שם ימים רבים ויש להם שם פרנסה בטוב. ועתה רוצה לגרשם מלהסתפת בנחלתם ולא ידעו …

…ליח מאוד. ואיש העשיר ההוא לא רצה לציית הד״ת אשר היה לו עם הנ""ל והיה נוסע כמה פעמים למרן הקדוש הנ""ל ממאגלניצא בקובלנא עליו. והיה מרן ז""ל אומר לו כמה פעמים מה אוכל לעשות אם הוא אין בא אצלי. פעם אחת בא העשיר הנ""ל אל מרן ז""ל וכאשר…

…שים היו מחזיקים אותו לאיש אלוקים ובעת ההוא יצא גזירה לבל ידו שום יהודי עשרה ווערסט סמוך להגרעניץ והלכו אנשים בקובלנא לפניו וסיפרו לו מהגזירה והשיב להם הגזירה יתבטל מהרה ומהפסטאג העשו בעירכם בהכ״נ וכן היה שבזמן קצר הוכרח המלך מ…",,,fuzzy,fuzzy,1.0,,,,,83171|23749|20838|9317
קאריב,3,Hitgalut-HaZadikim,"מעשה נפלאה מהרב הקדוש המפורסם הרבי ר׳ שמואל מקאריב זצוק""ל

…שא כק״ש מוהר״ר מרדכי זאב זצ""ל האבד״ק קאלביעל בעהמח״ס קול הרמ""ז. הרב הגדול והקדוש המפורסם ציס״ע הרבי ר׳ שמואל מקאריב היה נוסע לרבינו הקדוש הרבי מלובלין זי""ע והי' עני ואביון גדול ר""ל. ופעם אחת נטל על עצמו שלא לדבר לשום אדם שיתן…",,,fuzzy,fuzzy,1.0,,,,,89006|74647|17053|4138|16939
דמיין,3,Maasiot-Pliot; Shemen-Hatov; shivheiZadikim,"הנה הגאון הנודע ע״פ תבל ומקובל מהור״ר נפתלי כ״ץ ז""ל שהי׳ אב""ד דק""ק אוסטראה ובק""ק פוזין ובק""ק פראנקפורט דמיין לעת זקנתו ונסע עם אשתו הרבנות לארץ הקדושה. ויהי בבואו לעיר הגדולה סטאמבול הנקראת בלשון אשכנז קאנשטנטינאפיל נפ…

…״ג מ׳ פ׳ אות כ״ב וז״ל הרב מ׳ פנחס הלוי הורוויץ וכו׳ אבד״ק וויטקוב וק׳ לעכוויטץ ואח״כ נתקבל לאב""ד ור״מ בק' פ״פ-דמיין וכו' ונכדו הרה״ג מ׳ צבי הירש הלוי בעל ס׳ לקוטי צבי כ׳ וז״ל. ואא״ז הג״מ פנחס

מגודל ענותנותו ותמימותו של הגאון הצדיק ר׳ אברהם אבוש ז""ל הרב דק׳ פ""פ דמיין יסופר בזה סיפור נאה אשר סיפר הה״ג הצדיק בוצינא קדישא חו״פ מוהר״ר חנוך העניך הכהן הגדול זצוק""ל מאלכהאנדר בסוד …",,,fuzzy,fuzzy,1.0,,,,,921|17311|18528|6396|14626
ווייסיל,3,MaasiyotUmaamarimYekarim; Toldot-Haniflaot,"…ו״ר הרה״ק מ ר׳ בן זצוק""ל שסיפר כי ידוע כי בעיר יצחק מסקווירא קראקאהולך שם הנהר הגדול הנקרא ובימי המקובל הגדול ווייסילהקדוש ר׳ זצוק""ל הנודע בספרו הקדוש הצורף אליהו צורףאשר היה בכתב ידו הקדושה אצל ה והבעש״ט כתב בעש״טעליו בצדו כמה…

מד וגם נודע המעשה מהנטבעים בווייסיל קודם ר״ה במעבר הספינה סמוך לסאבין, אשר העמיסו הרבה את הספינה

… הספינה והיו שמה איזה כתית חסידים. ואיזה עגונות נשארו ר""ל מהנטבעים, וכל אנשים הנוסעים למרן ז״ל אשר טבעו ג״כ בהווייסיל כולם ניצולו ב״ה ע״פ נס ועיני ראו אותם כשבאו למאגלניצא עוד בבגדים לחים וספרו כי מעשה ניסים היו להם, ואז הבינו …",,,fuzzy,fuzzy,1.0,,,,,17027|14928|10259|77366|10168
"מנ""ש",3,Shemen-Hatov; Shlosha-edrei-zon,"…שנים אמר הה״ק מלובלין להה״ק מקשאנוב שדעתו לחזור לביתו והלכו שניהם לקחת רשות מהרב מנ״ש לפטור ממנו ויברכם הגאון מנ""ש ויפטור אותם לשלום. אז שאל הה״ק מלובלין ילמדני רבינו מה שאלמוד בביתי והשיב לו ילמוד עץ חיים. ושאל הה״ק מקשאנוב…

… מחותנו הגאון בעל נוב״י שאל יצער להרה״ק מ׳ יחיאל מיכל זצ""ל מזלאטשוב. וז״ל כי אחי הגאון החסיד מו״ה שמעלקי זצ""ל מנ""ש העיד עליו שכל כוונותיו לש""ש לכן אל יבטל אותו צדיק מעבודתו עכ״ל. וש״ב הגאון מ׳ משה מישל שמואל שפירא שי׳ אבד״ק …

…לקח אמר אלי שתה אח""כ שאל תלמיד של מי הוא אז הוכרחתי לומר לו שהוא תלמוד מהר""ש מקרשאנוב שהי' תלמיד מהר""ש שמעלקי מנ""ש וכן שימש לר׳ מלך מליזענסק. ושאל אותי ובשבת היאך מתנהג אמרתי לו מלפנים לא נתאספו אליו רק בשלש סעודות רק אנכי ל…",,,fuzzy,fuzzy,1.0,,,,,13489|80067|22627
יוזעפאף,3,Shemen-Hatov; Toldot-Haniflaot,"…קיני הרר״ש העתיק דירתו לשינאווי ומשם לעיר נ״ש. בתחלה צווה את תלמידו (הוא חו״ז הר׳ יוזפא) להעתיק דירתו אל העיר יוזעפאף על יד הוייכסיל. ובהיותו פ״א. אחרי ימים רבים. אצל רבו בנ״ש. נצטוה להעתיק דירתו לעיר קאזמיר. ואמר לו עתידות כי …

מא שמעתי מהרב הגאון הצדיק ר׳ זאב מיוזעפאף, שסיפר כי אז בשנת תקצ״א כשהיה חירום בעולם, ונסע אז מווארשא (כי אז היה דר שם) למאגלניצא, ושהה בדרך ב׳ מעל""ע מפ…

הה""ק הגאון ר׳ זאב אבד""ק יוזעפאף זצ""ל, אשר מרן ז״ל קודם הסתלקות דיבר גדולות עליו, ואנשי עיר יועפאף מספרים נפלאות ממנו הוא היה אומר שתמיד בעת ח…",845,,name_exact,name_exact,0.95,845,Józefów (Poland),יוזפוף (פולין),,845
טארני,3,Shemen-Hatov,"…ו אור. ומגדולי תלמידיו ה״ה. א) בנו הוא זקיני הגה״ק מ׳ צבי יהושע הלוי הורוויץ אבד״ק יעמניץ. טרייביטש. פרוסניץ. טארני. בע״ס סמיכת משה וחי׳ הריב״ש. ב) הגה״ק מ׳ משה ליב מסאסוב (שה״ג הח' מ״ש אות ע״ג. ובסה״ד הח׳. ובס׳ אמונת צדיקים …

קנט) ובס׳ רמתים צופים א״ז אות קי״ז כ׳ מעשה מהגה""ק מ׳ ש""ש הלוי מטארני הנ״ל כי פ״א התיר עגונה אחת מטארני. והסכימו עמו גדולי הדור. ואח״כ נתגלה לו מן השמים שבעל האשה הזאת עודו בחיים …

קס) הגר״ר שמעלקי מטארני הנ״ל היה בן הגה״ק עמוד האש ונורא מוהר״ר יהושע הלוי איש הורוויץ אבד״ק פרעמיסלא שהיה נקרא בפי כל בשם רבי יהושע …",,,fuzzy,fuzzy,1.0,,,,,12295|17160|21000|23562|779
טאסט,3,Shemen-Hatov; Shivhei-Habesht,"…וש הר׳ ישראל בעש״ט זצ״ל התחיל להתנוצץ ולהתפרסם בעולם ברוב אותותיו ומופתיו שעשה. אז הי׳ מקום דירתו ומושבו בעיר טאסט שקורין טלוסט. הסמוכה לעיר טשארטקוב. וזה הי׳ בעת היות זקיננו הק׳ הרצ״ה אב״ד בטשארטקוב והגליל. ובמדינת קיר״ה נק…

… של שבת על המעבר ות""ל שכולם ניצלו וביום השבת באו הלסטים לעיר ולא מצאו היהודים ואינו ידוע לי אם היה המעשה בק""ק טאסט או בק""ק קאלימינע כי דר אח״כ בק""ק קאלימינע :",23166,,name_exact,name_exact,0.95,23166,Toczek (Poland),טאסט (פולין),,23166
גלעד,3,Shemen-Hatov; Tiferet-Hayyim,"…א מ׳ כ׳ קבלתי מרב אחד מעשה נורא שעשה ע""י מה שגילו לו מן השמים ומזה נמשך שדיבר עם הקיסר כמו שעה וחצי. ע׳ בהק׳ הגלעד :

ולמכיר נתתי את הגלעד הרב החסיד זצ""ל זעליג משרענצקאמר בשם רבו מובהק הקדוש מוה׳ דוד שאמר בזה""ל לעלאווער זלה""הפר וואהר דיאתורה שטייט …",,,fuzzy,fuzzy,1.0,,,,,934|75801|83145
פינטשוב,3,Derech-Haemuna; Peulat-Hatzadikim; Shemen-Hatov,"…אוה״ג מ׳ אברהם איטנגא מדוקלא אשר שמה של אשתו השניה היתה הרבנית מייטל [בת הג״מ אפרים זלמן ק״ב בהג״מ שאול אבד״ק פינטשוב בהג״מ משה ק״ב אבד״ק פעלמא בהג״מ מאיר וואהל אבד״ק בריסק בהר״ש וואהל] נפטרה בבראד כ״א אייר תקכ״ב אצל בנה ישעי׳ …

א) כמו ששמעתי מחמי הה״ק מוהר״ר אברהם מרדכי מפינטשוב שספר לי מגדולת מרן רבינו הבעש״ט ובתוך הדברים סיפר שפ״א עמדו התלמידים בר״ה והתפללו ואחד מן התלמידים נפל ממנו ב…

סיפר הה״ק ר׳ אברהם מרדכי מפינטשוב ז״ל ששמע מפי הק׳ רר״א שאמר אלו ינוחו מלחלוק עלי שתי שנים אביא משיח וגאולה שלימה ואמר שפלא בעיניו על אשר מבואר…",1687,,name_exact,name_exact,0.95,1687,Pinczów (Poland),פינצוב (פולין),,1687
גראדזיסק,3,Tiferet-Hayyim; Toldot-Haniflaot,"מהה״ק חו״פ וכו׳ בנש״ק מגראדזיסק . יע״אהנה כבוד הרב המאוה״ג חו״ב וכו׳ מוה שליט״א נתן נטע הכהןאבד״ק הראה לפני חיבור מאא""ז הה״ק אדמו״ר מקאלביעלא…

…ני הנעורים החסידים שלו שיהיו נשמרים וביצולים מחטא, והנה יש הרבה לספר ממנו ז״ל, וגם הרבה מעשיות ממר ההק׳ זצ״ל מגראדזיסק, רק שאין הכוונה בקונטרס זה לספר מהם ונצרך קונטרס מיוחד לזה :",,,fuzzy,fuzzy,1.0,,,,,19977|17324|11534
Brusilov,2,Mifalot-HaZadikim,"מהבעש״ט עם הרב הצדיק מוה׳ מיכל מזלאטשוב : הרב ר׳ מיכל הנ״ל בעת אשר הסתיר מעשיו מבני אדם וישב אז בברוסילאוו. ואח״כ נתגדל ונתגלה מעט מעט ואירע בעיר הנ״ל שאיש אחד חילל שבת בשוגג שאיחר בנסיעתו בעש״ק ממניעת העגלה ואחר זה …

מהרב ר׳ מיכל הנ״ל בעת שהתגורר בברוסילאוו : היה בהסתר רב כנ״ל והיה עני גדול רק פרנסתו מבהמה אחת שמכרה אשתו מחלבה ובזאת נסתפקה זוגתו עם חמשה בניה הקטנים…",,,fuzzy,fuzzy,1.0,,,,,79683|356|951|18550|25311
ואלין,2,Khal-Hasidim; Shivhei-Harav,"מובן ממילא לכל בן דיעה המכיר את תכונת אנשי רייסין וליטא אשר לא ככל המדינות פולין וואלין ושארי מדינות אשר הורגלו שם מעת זרח אור הבעש״ט הקדוש לא משו משם צדיקים וחכמים אשר המשיכו לאט לאט את לבות ההמון…

…ת""ש בדחילו ורחימו : מובן ממילא לכל בן דיעה המכיר את תכונת אנשי רייסין וליטא. אשר לא ככל המדינות המדינוח פולין ואלין ושאר ישארו מדינות אשר הורגלו שם מעת זרח אור הבעש""ט הקדוש לא משו משם צדיקים וחכמים אשר המשיכו לאט לאט את לבות …",,,fuzzy,fuzzy,1.0,,,,,70404|76090|3681|12159|943
הוסאטין,2,Buzina_Denehora,"…. איש אלקים מופת הדור והדרו אור ישראל וקדושו המפורסם בכל קצוי ארץ. ע״ה פ״ה כקש״ת אהרן דאהל מרדכי שרגא שליט״א מהוסאטין הכתבי קודש מהרב הקדוש המפורסם ר׳ ברוך ממעזביז זצלה""ה הי' למראה עיני טוהר קודש דאדמו״ר שליט״א ולמען חיבת הקודש…

…ישית עליו המוכ״ז הרבני המופלא מו""ה נחמן מבאר באתי עה״ח ד""ד לימי הרצון תרט״ל החותם בפקודת כ״ק אדמו״ר שליט״א פה הוסאטין דוד שוואגער עטרעט""ר הה""ק מו""ה ישראל שליט״א יקח אי""ה ספר אחד במחיר אשר ישית עליו המופלא המוכ״ז. באתי על התחום …",,,fuzzy,fuzzy,1.0,,,,,16200|336|80090|7534|72544
טאביקע,2,Buzina_Denehora,"…גדול לא רציתי לישב לפניו. והוא ג""כ לא רצה לישב לפני והוכרחתי לישב. כדי שישב הוא. ולקחתי את הפישקילי שלי לשאוב טאביקע בפניו. אמר לי בריכיל שמעתי מזקנך הבעש״ט שאתה תהי' ממלא מקומו. התוכל אתה לשאוב טאביקע. כמו הבעש״ט כי הבעש״ט. כ…",,,fuzzy,fuzzy,1.0,,,,,20168|82175
"נ""ע",2,Buzina_Denehora; Shemen-Hatov,"אגרת הקודש אשר שלח הרב הקדוש רבי ר' ברוך ממעזיביז נ""ע להרב הקדוש המפורסם מוהר״ר מנחם מענדיל זצלה""ה מוויטיפסק לאה״ק תוב״ב

…שמעתי שהה״צ מדזיקאב סיפר מעשה זו בכל שנה שהה״ק מבעלזא סיפר להגה״ק מקאמינקע הסיבה שהי' מה שהרה״ק רבי ר׳ אלימלך נ""ע נסע מקודם להרה״ק רר״ש ז""ל ואמר שפ""א באו אצלו הג׳ אבות הק׳ ושאל אותם אודות השנה. ואמרו לו שבשנה זו נתקבלו התפל…",23927,,name_exact,name_exact,0.95,23927,Niedernai (France),נידרענהיים (צרפת),,23927
מזלאטשוב,2,Hitgalut-HaZadikim; Shemen-Hatov,"… זאב בעל אור המאיר י) הרה״ק ר׳ חיים מאיר יחיאל ממגלניצא יא) רבינו ר׳ ישראל בעש״ט יב) הרב הקדוש ר״ר יחיאל מיכל מזלאטשוב יג) הרה״ק ר׳ ישראל המגיד מקאזניץ יד) הרה״ק ר׳ יעקב יצחק הרבי מלובלין טו) הרה״ק ר׳ יעקב יצחק היהודי מפרשיסחא ט…

…מעתי מאיש אמת ששמע מהרה״ק ר׳ ישראל זי״ע מרוזין שסיפר מה ששמע מפי הרה״ק ר׳ יצחק מראדוויל בן הרה״ק ר׳ מיכל זצ""ל מזלאטשוב איך שפ""א בהיות הרה״צ ר״י מראדוויל בחור קודם הנשואין רצטרךהצטרך אביו הר״ר מיכלי לנסוע לדרך ובתוך כך באה השמועה…",,,fuzzy,fuzzy,0.833,,,,,1701|961
נהר ווייכסיל,2,Hitgalut-HaZadikim; SipureiAnsheiShem,"… וחפשו לא מצאו. רק איש אחד מהמוני עם מכפר אחד הנקרא ראנוויץ שהוא באמצע הדרך ההולך מפילוב לעיר גניוואשאוו אצל הנהר ווייכסיל והביאו אצל המגיד. ושאל לו המגיד הקדוש. אם אתה מכיר את העיר פילוב השיב האיש אני מכיר היטב את העיר פילוב. כי אנ…

…יוכל להם וינוסו בחפזון ובדרך בהחפזם בחשך באשון לילה נפלו איש על חבירו ונפצעו והבית עלמין של קראקא הוא קרוב אל נהר ווייכסיל והם נפלו אל המים וירדו תהום רבה, בן יאבדו כל אויביך ד׳ וצדיק מצרה נחלץ, המעשה הלזה בפנקס הישן של קראקא.",,,fuzzy,fuzzy,0.6,,,,,82363|84407
תעלמא,2,Hitgalut-HaZadikim,"…אהלו ומשכנו בעיר וולאדווע. ושם נעשה מפורסם וישב שם איזה שנים ונהג נשיאותו ברמה עד שבאו אליו פרנסי ומנהיגי עיר תעלמא. וחעלמא היתה אז עיר ואם בישראל מלאה סופרים וחכמים וביקשו ממנו שיקבע דירתו בעירם. והרב הקדוש נעתר לבקשתם וקבע …

תעלמא",,,fuzzy,fuzzy,1.0,,,,,10824|85962
ריווץ,2,Hitgalut-HaZadikim,"…מנטוב. חתן הרב הגאון הקדוש הרבי ר׳ ליביש אבד״ק אופלא ואוזראב זצוקללה""ה. סיפר בעת אשר נתקבל לרבנות ראשונה לק״ק ריווץ. נסע לרבו הקדוש הרבי ר׳ ישכר דוב זי״ע הנ""ל לק""ק ראדשיץ לישאל את פיו להסכים לו לקבל משרה הרבנות על שכמו. ונסע …",,,fuzzy,fuzzy,1.0,,,,,18393|12727
