action	text	original_label	corrected_label	start	end	source_file
added	זלאטשוב		GPE	44954	44961	Adat-Zadikim.xml
added	טאשאט		GPE	50111	50116	Adat-Zadikim.xml
removed	הקדוש הגדול מאפטא	PER		53206	53223	Adat-Zadikim.xml
removed	אפטא	GPE		53219	53223	Adat-Zadikim.xml
added	אפטא		GPE	53252	53256	Adat-Zadikim.xml
removed	הרב מאפטא	PER		54222	54231	Adat-Zadikim.xml
removed	אפטא	GPE		54227	54231	Adat-Zadikim.xml
added	אפטא		GPE	54329	54333	Adat-Zadikim.xml
removed	דוד ממיקלייעב	PER		69074	69087	Adat-Zadikim.xml
added	דוד		PER	69074	69077	Adat-Zadikim.xml
removed	מיקלייעב	GPE		69079	69087	Adat-Zadikim.xml
added	מיקלייעב		GPE	69105	69113	Adat-Zadikim.xml
removed	דוד מיקלייעווער	PER		75457	75472	Adat-Zadikim.xml
added	דוד		PER	75457	75460	Adat-Zadikim.xml
removed	דוד מקלייעוור	PER		75986	75999	Adat-Zadikim.xml
added	דוד		PER	75986	75989	Adat-Zadikim.xml
added	שבחי בעש״ט		WOA	77921	77931	Adat-Zadikim.xml
removed	המוכיח ר' ליב מפולנאי	PER		80916	80937	Adat-Zadikim.xml
added	ליב		PER	80926	80929	Adat-Zadikim.xml
removed	פולנאי	GPE		80931	80937	Adat-Zadikim.xml
added	פולנאי		GPE	80952	80958	Adat-Zadikim.xml
removed	הרב המוכיח	PER		81084	81094	Adat-Zadikim.xml
removed	המוכיח	PER		82533	82539	Adat-Zadikim.xml
removed	המוכיח	PER		82731	82737	Adat-Zadikim.xml
removed	הבעש״ט	PER		82993	82999	Adat-Zadikim.xml
added	הבעש״ט		PER	83362	83368	Adat-Zadikim.xml
added	שלאחטיטש		PER	84061	84069	Adat-Zadikim.xml
added	אליהו		PER	84996	85001	Adat-Zadikim.xml
removed	"מנחם מענדיל נ""י מוויטעפסק בעהמ""ח ספר פרי הארץ"	PER		85876	85921	Adat-Zadikim.xml
added	מנחם מענדיל		PER	85876	85887	Adat-Zadikim.xml
removed	וויטעפסק	GPE		85921	85929	Adat-Zadikim.xml
added	וויטעפסק		GPE	85943	85951	Adat-Zadikim.xml
removed	המגיד הגדול ממעזריטש	PER		85999	86019	Adat-Zadikim.xml
added	המגיד		PER	85999	86004	Adat-Zadikim.xml
removed	מעזריטש	GPE		86040	86047	Adat-Zadikim.xml
added	מעזריטש		GPE	86061	86068	Adat-Zadikim.xml
removed	הה״מ הגדול	PER		86300	86310	Adat-Zadikim.xml
added	הה״מ		PER	86300	86304	Adat-Zadikim.xml
added	מענדיל		PER	86465	86471	Adat-Zadikim.xml
removed	בעהמ״ח תולדות יעקב יוסף	PER		88195	88218	Adat-Zadikim.xml
removed	תולדות יעקב יוסף	WOA		88230	88246	Adat-Zadikim.xml
added	תולדות יעקב יוסף		WOA	88235	88251	Adat-Zadikim.xml
added	יעקב יוסף		PER	88242	88251	Adat-Zadikim.xml
removed	המוכיח	PER		88251	88257	Adat-Zadikim.xml
removed	"הרב בת""י"	PER		88500	88508	Adat-Zadikim.xml
removed	"ת""י"	WOA		88505	88508	Adat-Zadikim.xml
added	"ת""י"		WOA	88610	88613	Adat-Zadikim.xml
removed	"יעקב יוסף בעהמ""ח התולדות י""י"	PER		89348	89376	Adat-Zadikim.xml
removed	"תולדות י""י"	WOA		89390	89400	Adat-Zadikim.xml
added	"תולדות י""י"		WOA	89431	89441	Adat-Zadikim.xml
added	"רשכב""ה"		PER	91369	91375	Adat-Zadikim.xml
removed	אברהם יהושוע העשיל מאפטא	PER		91379	91403	Adat-Zadikim.xml
added	אברהם יהושוע העשיל		PER	91379	91397	Adat-Zadikim.xml
removed	אפטא	GPE		91399	91403	Adat-Zadikim.xml
added	אפטא		GPE	91452	91456	Adat-Zadikim.xml
removed	מדינת וואלחיי	PER		91540	91553	Adat-Zadikim.xml
added	וואלחיי		GPE	91570	91577	Adat-Zadikim.xml
added	המגיד		PER	113211	113216	Adat-Zadikim.xml
removed	קאזעניץ	GPE		113246	113253	Adat-Zadikim.xml
added	קאזעניץ		GPE	113261	113268	Adat-Zadikim.xml
removed	יעקב יצחק מלובלין	PER		113268	113285	Adat-Zadikim.xml
removed	לובלין	GPE		113279	113285	Adat-Zadikim.xml
added	לובלין		GPE	113345	113351	Adat-Zadikim.xml
added	המגיד		PER	113351	113356	Adat-Zadikim.xml
removed	קאזעניץ	GPE		113382	113389	Adat-Zadikim.xml
added	יעקב יצחק		PER	114764	114773	Adat-Zadikim.xml
removed	המגיד מקאזעניץ	PER		114916	114930	Adat-Zadikim.xml
added	המגיד		PER	114916	114921	Adat-Zadikim.xml
removed	קאזעניץ	GPE		114923	114930	Adat-Zadikim.xml
added	קאזעניץ		GPE	115175	115182	Adat-Zadikim.xml
removed	קאזעניץ	GPE		115280	115287	Adat-Zadikim.xml
added	קאזעניץ		GPE	115877	115884	Adat-Zadikim.xml
removed	הרה״ק מלובלין	PER		116110	116123	Adat-Zadikim.xml
added	הרה״ק		PER	116110	116115	Adat-Zadikim.xml
removed	לובלין	GPE		116145	116151	Adat-Zadikim.xml
added	לובלין		GPE	116186	116192	Adat-Zadikim.xml
added	הרה״ק		PER	116828	116833	Adat-Zadikim.xml
added	הרה״ק		PER	116917	116922	Adat-Zadikim.xml
added	באלטע		GPE	117002	117007	Adat-Zadikim.xml
removed	הרה״ק מלובלין	PER		118171	118184	Adat-Zadikim.xml
added	הרה״ק		PER	118171	118176	Adat-Zadikim.xml
removed	לובלין	GPE		118206	118212	Adat-Zadikim.xml
added	לובלין		GPE	118485	118491	Adat-Zadikim.xml
added	ליב		PER	120250	120253	Adat-Zadikim.xml
removed	באלטע	GPE		122753	122758	Adat-Zadikim.xml
removed	ליב מסַוואלק בן ר׳ אליעזר	PER		123341	123366	Adat-Zadikim.xml
added	ליב		PER	123341	123344	Adat-Zadikim.xml
removed	סַוואלק	GPE		123346	123353	Adat-Zadikim.xml
added	סַוואלק		GPE	123480	123487	Adat-Zadikim.xml
added	אליעזר		PER	123518	123524	Adat-Zadikim.xml
removed	לובלין	GPE		123869	123875	Adat-Zadikim.xml
removed	קאזעניץ	GPE		124368	124375	Adat-Zadikim.xml
added	הה״מ		PER	124387	124391	Adat-Zadikim.xml
added	"רשכב""ה"		PER	131601	131607	Adat-Zadikim.xml
removed	המגיד הגדול ממעזריטש	PER		131612	131632	Adat-Zadikim.xml
added	המגיד		PER	131612	131617	Adat-Zadikim.xml
removed	מעזריטש	GPE		131653	131660	Adat-Zadikim.xml
added	מעזריטש		GPE	131669	131676	Adat-Zadikim.xml
removed	הדאקטער גארדע	PER		131676	131689	Adat-Zadikim.xml
added	רפאל		PER	132557	132561	Adat-Zadikim.xml
removed	הרב דחאטין	PER		139735	139745	Adat-Zadikim.xml
removed	חאטין	GPE		139740	139745	Adat-Zadikim.xml
added	חאטין		GPE	139777	139782	Adat-Zadikim.xml
removed	הצדיק גארדע	PER		139782	139793	Adat-Zadikim.xml
added	גארדע		PER	139788	139793	Adat-Zadikim.xml
added	גארדי		PER	139853	139858	Adat-Zadikim.xml
removed	הצדיק גארדע	PER		139947	139958	Adat-Zadikim.xml
added	גארדע		PER	139953	139958	Adat-Zadikim.xml
added	כש״ט		WOA	141236	141240	Adat-Zadikim.xml
added	תולדות יעקב יוסף		WOA	141269	141285	Adat-Zadikim.xml
added	כתר שם טוב		WOA	141525	141535	Adat-Zadikim.xml
added	הבעש״ט		PER	141632	141638	Adat-Zadikim.xml
removed	דוב	PER		143064	143067	Adat-Zadikim.xml
added	"דוב א""ע"		PER	143064	143071	Adat-Zadikim.xml
removed	בעש״ט	PER		143361	143366	Adat-Zadikim.xml
removed	דוב בער	PER		143465	143472	Adat-Zadikim.xml
removed	דוב	PER		143530	143533	Adat-Zadikim.xml
removed	הבעש״ט	PER		143649	143655	Adat-Zadikim.xml
removed	הבעש״ט	PER		143715	143721	Adat-Zadikim.xml
removed	הבעש״ט	PER		143817	143823	Adat-Zadikim.xml
removed	הבעש״ט	PER		143906	143912	Adat-Zadikim.xml
removed	דוב בער	PER		144320	144327	Adat-Zadikim.xml
removed	ארץ הקדושה	GPE		144565	144575	Adat-Zadikim.xml
added	"תק""ז"		TIMEX	144585	144589	Adat-Zadikim.xml
removed	אהרן מקארלין	PER		147674	147686	Adat-Zadikim.xml
added	אהרן		PER	147674	147678	Adat-Zadikim.xml
removed	קארלין	GPE		147680	147686	Adat-Zadikim.xml
added	קארלין		GPE	147723	147729	Adat-Zadikim.xml
added	למברג		GPE	148028	148033	Adat-Zadikim.xml
added	1864		TIMEX	148034	148038	Adat-Zadikim.xml
added	למברג		GPE	148129	148134	Adat-Zadikim.xml
added	1869		TIMEX	148163	148167	Adat-Zadikim.xml
added	S.L.Kugel Lewin, et Comp. Verlag von J.M.Stand.		ORG	148177	148224	Adat-Zadikim.xml
removed	"בת הרר""א"	PER		150581	150589	Adat-Zadikim.xml
added	"הרר""א"		PER	150584	150589	Adat-Zadikim.xml
removed	מנחם נחום מטשארנאביל	PER		150607	150627	Adat-Zadikim.xml
added	מנחם נחום		PER	150607	150616	Adat-Zadikim.xml
removed	טשארנאביל	GPE		150646	150655	Adat-Zadikim.xml
added	טשארנאביל		GPE	150689	150698	Adat-Zadikim.xml
removed	מרדכי מטשארנאביל	PER		150698	150714	Adat-Zadikim.xml
added	מרדכי		PER	150698	150703	Adat-Zadikim.xml
removed	טשארנאביל	GPE		150705	150714	Adat-Zadikim.xml
added	טשארנאביל		GPE	150733	150742	Adat-Zadikim.xml
removed	"מנחם מענדיל ז""ל מוויטעפסק (בעמ״ח פרי הארץ)"	PER		150864	150906	Adat-Zadikim.xml
added	מנחם מענדיל		PER	150864	150875	Adat-Zadikim.xml
removed	וויטעפסק	GPE		150881	150889	Adat-Zadikim.xml
removed	פרי הארץ	WOA		150897	150905	Adat-Zadikim.xml
added	וויטעפסק		GPE	150952	150960	Adat-Zadikim.xml
added	פרי הארץ		WOA	150968	150976	Adat-Zadikim.xml
removed	בת הרב ר׳ אהרן	PER		151013	151027	Adat-Zadikim.xml
added	אהרן		PER	151023	151027	Adat-Zadikim.xml
removed	"רש""ז בעהמ""ח התניא"	PER		151526	151543	Adat-Zadikim.xml
added	"רש""ז"		PER	151526	151530	Adat-Zadikim.xml
removed	התניא	WOA		151538	151543	Adat-Zadikim.xml
added	התניא		WOA	151562	151567	Adat-Zadikim.xml
added	"הרר""מ"		PER	151766	151771	Adat-Zadikim.xml
removed	"רר""מ"	PER		151767	151771	Adat-Zadikim.xml
added	ה' אלפים שלש מאות וחמש עשרה		TIMEX	153077	153104	Adat-Zadikim.xml
removed	"האב״ד דק""ק קראקא"	PER		153174	153190	Adat-Zadikim.xml
removed	קראקא	GPE		153185	153190	Adat-Zadikim.xml
added	קראקא		GPE	153329	153334	Adat-Zadikim.xml
removed	"משה בעל המפה על הש""ע"	PER		153575	153595	Adat-Zadikim.xml
added	משה		PER	153575	153578	Adat-Zadikim.xml
removed	"המפה על הש""ע"	WOA		153583	153595	Adat-Zadikim.xml
added	קראקא		GPE	153756	153761	Adat-Zadikim.xml
removed	קראקא	GPE		153792	153797	Adat-Zadikim.xml
removed	קראקא	GPE		154652	154657	Adat-Zadikim.xml
added	משה		PER	154720	154723	Adat-Zadikim.xml
removed	"משה אב""ד ושר העיר קראקא"	PER		156341	156364	Adat-Zadikim.xml
removed	קראקא	GPE		156359	156364	Adat-Zadikim.xml
added	קראקא		GPE	156603	156608	Adat-Zadikim.xml
added	קראקא		GPE	159917	159922	Adat-Zadikim.xml
added	קראקא		GPE	161224	161229	Adat-Zadikim.xml
removed	חיים ברבי בצלאל בעל המחבר ספר החיים וספר אגרת הטיול	PER		162265	162316	Adat-Zadikim.xml
added	חיים ברבי בצלאל		PER	162265	162280	Adat-Zadikim.xml
removed	ספר החיים	WOA		162291	162300	Adat-Zadikim.xml
removed	אגרת הטיול	WOA		162334	162344	Adat-Zadikim.xml
added	ספר החיים		WOA	162336	162345	Adat-Zadikim.xml
added	אגרת הטיול		WOA	162379	162389	Adat-Zadikim.xml
removed	"מוהר""ל מפראג"	PER		162389	162401	Adat-Zadikim.xml
added	"מוהר""ל"		PER	162389	162395	Adat-Zadikim.xml
removed	פראג	GPE		162397	162401	Adat-Zadikim.xml
added	פראג		GPE	162488	162492	Adat-Zadikim.xml
added	פראגקראקא		GPE	162488	162497	Adat-Zadikim.xml
removed	קראקא	GPE		162492	162497	Adat-Zadikim.xml
removed	רבי חיים	PER		163291	163299	Adat-Zadikim.xml
added	חיים		PER	163295	163299	Adat-Zadikim.xml
added	"ה׳ אלפים של""ג"		TIMEX	173727	173740	Adat-Zadikim.xml
added	"ל""ג בעומר"		TIMEX	173746	173755	Adat-Zadikim.xml
removed	יוסף קארו קארי	PER		178585	178599	Adat-Zadikim.xml
added	הד׳ טורים		WOA	179019	179028	Adat-Zadikim.xml
added	שלחן ערוך		WOA	179074	179083	Adat-Zadikim.xml
added	משה		PER	179149	179152	Adat-Zadikim.xml
removed	שי״ת	MISC		8487	8491	Buzina_Denehora.xml
added	שית		MISC	9601	9604	Buzina_Denehora.xml
removed	התורה	WOA		13258	13263	Buzina_Denehora.xml
removed	ד'	MISC		13356	13358	Buzina_Denehora.xml
removed	משנה	WOA		23738	23742	Buzina_Denehora.xml
added	המגיד		PER	23774	23779	Buzina_Denehora.xml
added	המגיד		PER	23887	23892	Buzina_Denehora.xml
added	המגיד		PER	23933	23938	Buzina_Denehora.xml
removed	ד	MISC		33316	33317	Buzina_Denehora.xml
added	בוצינא דנהורא		WOA	38363	38376	Buzina_Denehora.xml
removed	ד	MISC		54727	54728	Buzina_Denehora.xml
added	הבעש״ט		PER	54970	54976	Buzina_Denehora.xml
added	בעש״ט		PER	54971	54976	Buzina_Denehora.xml
removed	ד'	MISC		55308	55310	Buzina_Denehora.xml
added	"דהמע""ה"		PER	55396	55402	Buzina_Denehora.xml
reclassified	רש״י	WOA	PER	55556	55560	Buzina_Denehora.xml
added	ויקרא		WOA	55565	55570	Buzina_Denehora.xml
removed	יקרא	WOA		55566	55570	Buzina_Denehora.xml
removed	קב	MISC		55674	55676	Buzina_Denehora.xml
removed	קב	MISC		55798	55800	Buzina_Denehora.xml
removed	"מו""ה"	PER		56009	56013	Buzina_Denehora.xml
removed	״	PER		56054	56055	Buzina_Denehora.xml
added	מוצא		GPE	56598	56602	Buzina_Denehora.xml
removed	בירושלים	GPE		56705	56713	Buzina_Denehora.xml
added	ירושלים		GPE	56706	56713	Buzina_Denehora.xml
removed	"שי""ת"	MISC		56821	56825	Buzina_Denehora.xml
added	מוצא		GPE	56937	56941	Buzina_Denehora.xml
added	בוצינא דנהורא		WOA	61270	61283	Buzina_Denehora.xml
removed	ספר	WOA		61770	61773	Buzina_Denehora.xml
added	וישב		WOA	61794	61798	Buzina_Denehora.xml
removed	ד	MISC		63320	63321	Buzina_Denehora.xml
removed	ד	MISC		63333	63334	Buzina_Denehora.xml
added	ד		MISC	63494	63495	Buzina_Denehora.xml
added	ד		MISC	63498	63499	Buzina_Denehora.xml
added	רבוצינא דנהורא		WOA	64523	64537	Buzina_Denehora.xml
added	המשנה		WOA	73061	73066	Buzina_Denehora.xml
removed	גמרא	WOA		73290	73294	Buzina_Denehora.xml
added	בא מציעא		WOA	73296	73304	Buzina_Denehora.xml
removed	פנחס מאוסטרא	PER		74651	74663	Buzina_Denehora.xml
added	פנחס		PER	74651	74655	Buzina_Denehora.xml
added	אוסטרא		GPE	74657	74663	Buzina_Denehora.xml
added	פולינאה		GPE	74674	74681	Buzina_Denehora.xml
removed	ספר מים קדושים	WOA		79442	79456	Buzina_Denehora.xml
added	מים קדושים		WOA	79446	79456	Buzina_Denehora.xml
removed	קב	MISC		80145	80147	Buzina_Denehora.xml
removed	ה	MISC		80161	80162	Buzina_Denehora.xml
added	מגילה		WOA	80191	80196	Buzina_Denehora.xml
added	משנה		WOA	80203	80207	Buzina_Denehora.xml
added	מגלה		WOA	80223	80227	Buzina_Denehora.xml
added	בוצינא דנהורא		WOA	81604	81617	Buzina_Denehora.xml
removed	דנהורא	PER		81611	81617	Buzina_Denehora.xml
added	שינאווי		GPE	81734	81741	Buzina_Denehora.xml
added	חמעלניק		GPE	83160	83167	Buzina_Denehora.xml
removed	יוסילי מיאמפילי	PER		83203	83218	Buzina_Denehora.xml
added	יוסילי		PER	83203	83209	Buzina_Denehora.xml
added	יאמפילי		GPE	83211	83218	Buzina_Denehora.xml
added	ר״ב		PER	83265	83268	Buzina_Denehora.xml
removed	״ב	PER		83266	83268	Buzina_Denehora.xml
removed	גמרא	WOA		83370	83374	Buzina_Denehora.xml
removed	בוצינא דנהורא	PER		83466	83479	Buzina_Denehora.xml
added	בוצינא דנהורא		WOA	83471	83484	Buzina_Denehora.xml
added	חמשה עשר בשבט		TIMEX	83928	83941	Buzina_Denehora.xml
removed	עשר בשבט	TIMEX		83933	83941	Buzina_Denehora.xml
added	"הרשב""י"		PER	84098	84104	Buzina_Denehora.xml
removed	"רשב""י"	PER		84099	84104	Buzina_Denehora.xml
added	"הרשב""י"		PER	84151	84157	Buzina_Denehora.xml
added	"הרשב""י"		PER	84159	84165	Buzina_Denehora.xml
removed	התנא	WOA		84584	84588	Buzina_Denehora.xml
reclassified	התנא	PER	WOA	84609	84613	Buzina_Denehora.xml
removed	ב	PER		84776	84777	Buzina_Denehora.xml
added	"ל""ג בעומר"		TIMEX	84777	84786	Buzina_Denehora.xml
removed	ס	WOA		84903	84904	Buzina_Denehora.xml
added	ר״ב		PER	84925	84928	Buzina_Denehora.xml
removed	ב	PER		85069	85070	Buzina_Denehora.xml
removed	זוהר	WOA		85136	85140	Buzina_Denehora.xml
added	ר״ב		PER	85180	85183	Buzina_Denehora.xml
removed	״ק	PER		85223	85225	Buzina_Denehora.xml
removed	ב	PER		85235	85236	Buzina_Denehora.xml
removed	ה'	MISC		85318	85320	Buzina_Denehora.xml
added	בוצינא דנהורא		WOA	85359	85372	Buzina_Denehora.xml
added	"ר""ש"		PER	85424	85427	Buzina_Denehora.xml
added	ש״ק		TIMEX	85535	85538	Buzina_Denehora.xml
removed	ספר מים קדושים	WOA		85553	85567	Buzina_Denehora.xml
added	מים קדושים		WOA	85557	85567	Buzina_Denehora.xml
added	ר״ב		PER	85595	85598	Buzina_Denehora.xml
removed	תורה	WOA		85610	85614	Buzina_Denehora.xml
removed	יום	TIMEX		85719	85722	Buzina_Denehora.xml
added	ר״ב		PER	85778	85781	Buzina_Denehora.xml
added	ר״ב		PER	85950	85953	Buzina_Denehora.xml
added	מים קדושים		WOA	86075	86085	Buzina_Denehora.xml
added	ר״ב		PER	86254	86257	Buzina_Denehora.xml
removed	מרגניתא טבא	PER		86258	86269	Buzina_Denehora.xml
removed	ב	PER		86285	86286	Buzina_Denehora.xml
added	"אה""ק"		GPE	86380	86384	Buzina_Denehora.xml
added	ר״ב		PER	86416	86419	Buzina_Denehora.xml
removed	צווע בענקינש	PER		87132	87144	Buzina_Denehora.xml
added	צווע בענקינש		PER	87135	87147	Buzina_Denehora.xml
added	ר״ב		PER	87512	87515	Buzina_Denehora.xml
added	"עש""ק"		TIMEX	87605	87609	Buzina_Denehora.xml
removed	הב	ORG		87915	87917	Buzina_Denehora.xml
added	"ב""ד של מעלה"		ORG	87916	87927	Buzina_Denehora.xml
removed	ד	ORG		87918	87919	Buzina_Denehora.xml
removed	מעך	PER		88621	88624	Buzina_Denehora.xml
removed	ארים	PER		88626	88630	Buzina_Denehora.xml
removed	יעקב	PER		88669	88673	Buzina_Denehora.xml
added	יעקב		PER	88674	88678	Buzina_Denehora.xml
removed	ק'	ORG		90067	90069	Buzina_Denehora.xml
removed	ק	ORG		90079	90080	Buzina_Denehora.xml
removed	ק'	GPE		90089	90091	Buzina_Denehora.xml
added	טאלטשין		GPE	90092	90099	Buzina_Denehora.xml
added	טאלטשין		GPE	90188	90195	Buzina_Denehora.xml
removed	ב	PER		90314	90315	Buzina_Denehora.xml
added	ר״ב		PER	90320	90323	Buzina_Denehora.xml
added	הבעש״ט		PER	90519	90525	Buzina_Denehora.xml
removed	״	PER		90523	90524	Buzina_Denehora.xml
added	מעזעביז		GPE	90648	90655	Buzina_Denehora.xml
removed	סדילקוב ברק	GPE		90683	90694	Buzina_Denehora.xml
added	סדילקוב		GPE	90683	90690	Buzina_Denehora.xml
added	הבעש״ט		PER	90723	90729	Buzina_Denehora.xml
removed	״ט	PER		90727	90729	Buzina_Denehora.xml
added	טאלטשין		GPE	90761	90768	Buzina_Denehora.xml
added	מעזיביז		GPE	90808	90815	Buzina_Denehora.xml
added	הבעש״ט		PER	90843	90849	Buzina_Denehora.xml
removed	״ט	PER		90847	90849	Buzina_Denehora.xml
removed	מסדילקוב	GPE		90884	90892	Buzina_Denehora.xml
added	סדילקוב		GPE	90885	90892	Buzina_Denehora.xml
added	סדילקוב		GPE	90912	90919	Buzina_Denehora.xml
added	הבעש״ט		PER	90962	90968	Buzina_Denehora.xml
removed	״ט	PER		90966	90968	Buzina_Denehora.xml
added	הבעש״ט		PER	91049	91055	Buzina_Denehora.xml
removed	״ט	PER		91053	91055	Buzina_Denehora.xml
removed	תורה	WOA		91108	91112	Buzina_Denehora.xml
removed	בוצינא דנהורא	PER		91218	91231	Buzina_Denehora.xml
added	בוצינא דנהורא		WOA	91223	91236	Buzina_Denehora.xml
added	הבעש״ט		PER	91268	91274	Buzina_Denehora.xml
removed	בעש״ט	PER		91269	91274	Buzina_Denehora.xml
removed	תורה	WOA		91313	91317	Buzina_Denehora.xml
added	הבעש״ט		PER	91425	91431	Buzina_Denehora.xml
removed	בעש״ט	PER		91426	91431	Buzina_Denehora.xml
removed	ס	WOA		91500	91501	Buzina_Denehora.xml
removed	"פנחס זצלה""ה"	PER		91784	91795	Buzina_Denehora.xml
added	פנחס		PER	91784	91788	Buzina_Denehora.xml
removed	יוסף מפילינאה	PER		91822	91835	Buzina_Denehora.xml
added	יוסף		PER	91822	91826	Buzina_Denehora.xml
removed	פילינאה	GPE		91828	91835	Buzina_Denehora.xml
added	פילינאה		GPE	91840	91847	Buzina_Denehora.xml
removed	טאביקע	GPE		92048	92054	Buzina_Denehora.xml
added	בריכיל		PER	92069	92075	Buzina_Denehora.xml
added	הבעש״ט		PER	92088	92094	Buzina_Denehora.xml
removed	בעש״ט	PER		92089	92094	Buzina_Denehora.xml
removed	טאביקע	GPE		92138	92144	Buzina_Denehora.xml
added	הבעש״ט		PER	92155	92161	Buzina_Denehora.xml
removed	בעש״ט	PER		92156	92161	Buzina_Denehora.xml
added	הבעש״ט		PER	92165	92171	Buzina_Denehora.xml
removed	בעש״ט	PER		92166	92171	Buzina_Denehora.xml
removed	טאביקע	PER		92216	92222	Buzina_Denehora.xml
removed	טאביקע	PER		92239	92245	Buzina_Denehora.xml
removed	פילינאה	GPE		92420	92427	Buzina_Denehora.xml
removed	׳	PER		92475	92476	Buzina_Denehora.xml
added	"ר""פ"		PER	92500	92503	Buzina_Denehora.xml
removed	הר׳	PER		92734	92737	Buzina_Denehora.xml
removed	פנחס	PER		92745	92749	Buzina_Denehora.xml
added	ר״פ		PER	92803	92806	Buzina_Denehora.xml
removed	הר׳ פנחס	PER		92971	92979	Buzina_Denehora.xml
added	פנחס		PER	92975	92979	Buzina_Denehora.xml
removed	זאח	PER		92982	92985	Buzina_Denehora.xml
removed	זקיני	PER		93045	93050	Buzina_Denehora.xml
added	הבעש״ט		PER	93051	93057	Buzina_Denehora.xml
removed	בעש״ט	PER		93052	93057	Buzina_Denehora.xml
removed	מגיד	PER		93066	93070	Buzina_Denehora.xml
removed	מגידי	ORG		93072	93077	Buzina_Denehora.xml
removed	מגידי	ORG		93130	93135	Buzina_Denehora.xml
removed	בוצינא דנהורא	PER		93203	93216	Buzina_Denehora.xml
added	בוצינא דנהורא		WOA	93208	93221	Buzina_Denehora.xml
added	ר״פ		PER	93244	93247	Buzina_Denehora.xml
removed	אהרן מק' מעזיביו	PER		93670	93686	Buzina_Denehora.xml
added	אהרן		PER	93670	93674	Buzina_Denehora.xml
added	מעזיביו		GPE	93679	93686	Buzina_Denehora.xml
removed	ק׳ טאלטשין	GPE		93688	93698	Buzina_Denehora.xml
removed	׳	PER		93689	93690	Buzina_Denehora.xml
added	טאלטשין		GPE	93691	93698	Buzina_Denehora.xml
removed	ק' טאלטשין	GPE		93837	93847	Buzina_Denehora.xml
added	טאלטשין		GPE	93840	93847	Buzina_Denehora.xml
removed	בית	GPE		93871	93874	Buzina_Denehora.xml
added	"ר""ב"		PER	93883	93886	Buzina_Denehora.xml
removed	אברהם	PER		94206	94211	Buzina_Denehora.xml
added	אברהם		PER	94243	94248	Buzina_Denehora.xml
removed	ציוני	WOA		94265	94270	Buzina_Denehora.xml
added	ציוני		WOA	94317	94322	Buzina_Denehora.xml
removed	יעקב	PER		94493	94497	Buzina_Denehora.xml
