story_id	tag	source	source_story	opus_confidence	opus_reasoning
Adat-Zadikim_0014	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	The story centrally depicts the master-disciple relationship between Rabbi Adam's son (as teacher) and the young Baal Shem Tov (as servant/disciple) studying the mystical writings together.
Adat-Zadikim_0014	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	The story explicitly depicts the beit midrash as a setting where Israel (the Besht) serves and where the rabbi's son requests a partition to study.
Adat-Zadikim_0015	characters-and-roles:preacher	propagated	Khal-Hasidim_0237	high	The Maggid of Kozhnitz features prominently as a character (called הרב המגיד / ה״מ) alongside the Seer of Lublin.
Adat-Zadikim_0015	ethics-and-emotions:anger	propagated	Khal-Hasidim_0217	medium	The wife is repeatedly enraged at any sympathy for Jews, and the husband later rebukes her angrily — heated emotional moments of anger are depicted.
Adat-Zadikim_0015	ethics-and-emotions:fear	propagated	Khal-Hasidim_0217	high	The story explicitly depicts fear: the nobleman's heart strikes him with dread before the tzaddik ('הכה לבבו אותו'), and the beggar-nobleman experiences terror and anguish over his fate.
Adat-Zadikim_0015	ethics-and-emotions:virtues	direct	Adat-Zadikim_0015	medium	Story illustrates virtues of faith in tzaddikim, integrity in honoring betrothals, and charity, with explicit moral lesson at the end.
Adat-Zadikim_0015	folkloristics:story_type_rapprochement	propagated	Shivhei-Habesht_0184	high	The wealthy skeptic initially refuses to travel to the Besht and disbelieves his words, but through the miraculous events involving his son and Jonah ben Amittai, he becomes a devoted follower.
Adat-Zadikim_0015	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	The story explicitly depicts the beit midrash as a setting where Israel (the Besht) serves and where the rabbi's son requests a partition to study.
Adat-Zadikim_0016	ethics-and-emotions:adultery	direct	Adat-Zadikim_0016	high	The story centrally raises whether the woman was raped/committed adultery with the informer (kohen's wife question), making adultery a key halakhic issue.
Adat-Zadikim_0017	experience:revelation	propagated	Khal-Hasidim_0146	high	The Maggid supernaturally discloses to the visitor that he is a doctor accompanied by the angel Raphael — a direct mystical revelation later confirmed by events.
Adat-Zadikim_0017	social:relations_with_non_jews	propagated	Khal-Hasidim_0146	high	The story prominently features the Prussian king and his non-Jewish entourage passing through the city, with townspeople petitioning the king for access to his doctor.
Adat-Zadikim_0017	supernatural:miracle	propagated	Khal-Hasidim_0146	high	The story depicts a discrete miraculous healing: the dying man recovers progressively the moment the doctor enters, fulfilling the Maggid's prior prophecy — a clear before/after supernatural intervention.
Adat-Zadikim_0017	supernatural:prognostication	propagated	Khal-Hasidim_0146	high	The Maggid of Mezeritch predicts to the visitor that doctors are mere vessels and the greatest doctor is accompanied by the angel Raphael—this prediction comes true when the visitor later falls ill and is healed by the king's doctor without medicines.
Adat-Zadikim_0018	ethics-and-emotions:awe	propagated	Khal-Hasidim_0139	high	The story depicts awe of the Baal Shem Tov through the miraculous revelation of angels, fire, and light, demonstrating his spiritual greatness to the Maggid.
Adat-Zadikim_0019	supernatural:perception	direct	Adat-Zadikim_0019	high	The Besht describes ascending to heavenly realms, seeing souls of living and dead, entering the Messiah's palace, and conversing with the Messiah—classic supernatural perception.
Adat-Zadikim_0020	social:retrospective_recognition	direct	Adat-Zadikim_0020	high	The disciples and reader belatedly learn that the Maggid foresaw R. Aharon's death and that was the hidden reason for trying to detain him.
Adat-Zadikim_0022	social:retrospective_recognition	direct	Adat-Zadikim_0022	high	The bishop initially despises Rema for his youthful appearance, then belatedly recognizes his true greatness and wisdom after the disputation.
Adat-Zadikim_0022	times:inauguration	propagated	Khal-Hasidim_0252	high	Story explicitly depicts the Rema's installation as rabbi of Krakow, including the community's selection, negotiation, and acceptance of his leadership.
Adat-Zadikim_0023	folkloristics:story_type_rapprochement	propagated	Shivhei-Harav_0019	high	The story depicts an outsider tormented by demonic forces being drawn to the tzaddik R. Aharon of Strashelye, who rescues him and brings him close to Hasidism.
Adat-Zadikim_0023	folkloristics:story_type_revelation	direct	Adat-Zadikim_0023	high	The story's climax is the revelation of Rabbi Chaim as a hidden tzaddik (studying with Elijah) to Rabbi Moshe Isserles, fitting the giluy story type.
Adat-Zadikim_0023	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	The story centrally depicts the master-disciple relationship between Rabbi Adam's son (as teacher) and the young Baal Shem Tov (as servant/disciple) studying the mystical writings together.
Adat-Zadikim_0023	social:marital_relationship	propagated	Khal-Hasidim_0253	high	The story depicts R. Chaim's marriage and explicitly describes his wife as righteous and doing her husband's will, portraying the marital relationship.
Adat-Zadikim_0023	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	The story explicitly depicts the beit midrash as a setting where Israel (the Besht) serves and where the rabbi's son requests a partition to study.
Adat-Zadikim_0023	spaces:institutions_hassidic_court	propagated	Shivhei-Harav_0019	high	The story depicts the rebbe's court at Strashelye with disciples and rabbis gathered in the great hall waiting for the rebbe to emerge from his chamber.
Adat-Zadikim_0024	ethics-and-emotions:lust	direct	Adat-Zadikim_0024	high	Story explicitly describes a man committing adultery with two married women in a cave, central to the plot.
Khal-Hasidim_0001	ethics-and-emotions:lust	direct	Khal-Hasidim_0001	high	The story explicitly addresses sexual desire/lust: the father refrains from touching his wife, and the Besht is quoted saying his soul could only descend once his father's תאווה was exhausted.
Khal-Hasidim_0001	social:inter_hasidic	propagated	Maase-Zadikim_0008	medium	Depicts interaction between two Hasidic brothers (R. Zusha and R. Elimelech) and references the circle of Hasidim serving the Maggid of Mezritch.
Khal-Hasidim_0001	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	The story centrally depicts the master-disciple relationship between Rabbi Adam's son (as teacher) and the young Baal Shem Tov (as servant/disciple) studying the mystical writings together.
Khal-Hasidim_0001	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	The story explicitly depicts the beit midrash as a setting where Israel (the Besht) serves and where the rabbi's son requests a partition to study.
Khal-Hasidim_0002	ethics-and-emotions:awe	propagated	Khal-Hasidim_0004	high	The story explicitly describes the man as 'ירא שמים' and depicts the rabbi's awe upon seeing the Besht's great light and rising before him.
Khal-Hasidim_0002	folkloristics:story_type_revelation	propagated	Mifalot-HaZadikim_0027	high	The story centers on the revelation of a hidden tzaddik (the seemingly boorish innkeeper) to the Besht and his disciples.
Khal-Hasidim_0002	social:inter_hasidic_master_disciple_relationship	direct	Khal-Hasidim_0002	high	The story centrally depicts the master-disciple relationship between Rabbi Adam's son (as teacher) and the young Baal Shem Tov (as servant/disciple) studying the mystical writings together.
Khal-Hasidim_0002	spaces:beth_midrash	direct	Khal-Hasidim_0002	high	The Baal Shem Tov serves in the beit midrash and the son of R. Adam sets up a study partition within it.
Khal-Hasidim_0002	spaces:institutions_hassidic_court	propagated	Shivhei-Harav_0019	high	The story depicts the rebbe's court at Strashelye with disciples and rabbis gathered in the great hall waiting for the rebbe to emerge from his chamber.
Khal-Hasidim_0003	supernatural:perception	direct	Khal-Hasidim_0003	high	The Besht sees the flaming sword (להט החרב המתהפכת) blocking the path that others crossed safely, and perceives the talking frog's transmigrated soul — clear supernatural perception.
Khal-Hasidim_0004	ethics-and-emotions:awe	direct	Khal-Hasidim_0004	high	The story explicitly describes the man as 'ירא שמים' and depicts the rabbi's awe upon seeing the Besht's great light and rising before him.
Khal-Hasidim_0004	folkloristics:story_type_inauguration	direct	Khal-Hasidim_0004	high	Story culminates in the Baal Shem Tov's revelation and being formally accepted as rebbe by the community on a throne of branches.
Khal-Hasidim_0004	folkloristics:story_type_revelation	direct	Khal-Hasidim_0004	high	The story explicitly narrates the Baal Shem Tov's hidden tzaddik status and his revelation (hitgalut) to the guest, the rabbi, and the community.
Khal-Hasidim_0004	folkloristics:story_type_virtues	direct	Khal-Hasidim_0004	high	The story illustrates the Baal Shem Tov's virtues of humility and hidden piety (concealing his greatness, serving guests, secret devotion) before his revelation.
Khal-Hasidim_0004	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	The story explicitly depicts the beit midrash as a setting where Israel (the Besht) serves and where the rabbi's son requests a partition to study.
Khal-Hasidim_0007	ethics-and-emotions:awe	direct	Khal-Hasidim_0007	high	Rabbi Zev is overcome with great fear/awe upon witnessing the Baal Shem Tov's transformed state during prayer, explicitly described as 'איש אלהים נורא מאוד' and 'נפל עליו פחד גדול מאוד.'
Khal-Hasidim_0007	social:relations_with_non_hasidim	direct	Khal-Hasidim_0007	medium	R' Zeev, a talmid chacham skeptical of the Besht's practice, investigates him — depicting an opponent/non-Hasid interacting with a Hasidic master before being convinced.
Khal-Hasidim_0009	ethics-and-emotions:lying	direct	Khal-Hasidim_0009	medium	Brother-in-law Reb Gershon slanders Besht as ignorant and tries to deceive his sister into divorcing him.
Khal-Hasidim_0009	knowledge:practical_kabbalah	direct	Khal-Hasidim_0009	high	Story explicitly references the Besht's use of holy names (שמות הקדושים), exorcism of a spirit from a possessed woman, and healing — core practical kabbalah.
Khal-Hasidim_0009	social:inter_hasidic	direct	Khal-Hasidim_0009	medium	Story depicts interactions among Hasidim including R' Gershon of Kitov, the rabbi of Kuty, and a group of hasidim pressuring the Besht regarding the possessed woman.
Khal-Hasidim_0009	times:shabbat	propagated	Shivhei-Habesht_0005B	high	"Story explicitly mentions ערב שבת ('ועש""ק היה בא לביתו') and weekly fasting cycle tied to Shabbat."
Khal-Hasidim_0012	knowledge:practical_kabbalah	direct	Khal-Hasidim_0012	medium	Besht uses a divine name transmitted to R. Zvi to spread a kerchief on the sea, an explicit manipulation of names for practical effect.
Khal-Hasidim_0012	social:conflict	direct	Khal-Hasidim_0012	high	The Baal Shem Tov and his scribe are seized and bound by bandits (היידאמאקעס) who sharpen knives to kill them — a direct conflict with non-Jewish antagonists.
Khal-Hasidim_0012	social:retrospective_recognition	direct	Khal-Hasidim_0012	high	The tzaddik R. Yisrael Dov retrospectively reveals that the captain who rescued the Besht was Elijah the Prophet — a belated recognition of a stranger's true identity.
Khal-Hasidim_0013	supernatural:perception	direct	Khal-Hasidim_0013	high	The Besht has an aliyat neshama in which he hears a heavenly decree against the Jews, which is later confirmed by news — clear supernatural perception.
Khal-Hasidim_0017	characters-and-roles:the_family_of_the_tsaddik	propagated	Maase-Zadikim_0001	medium	The wife of the tzaddik-like Torah scholar (and their children) actively appear, though the central tzaddik is the Besht whose family isn't shown; the scholar himself becomes a disciple of the Besht.
Khal-Hasidim_0017	folkloristics:story_type_rapprochement	direct	Khal-Hasidim_0017	medium	The scholar, initially not accustomed to seeking tzaddikim, is persuaded to approach the Besht and ultimately becomes one of his disciples.
Khal-Hasidim_0017	social:retrospective_recognition	direct	Khal-Hasidim_0017	high	The Baal Shem Tov reveals to the scholar that he is the reincarnation of a wicked man who died sixty years earlier — a retrospective recognition of hidden identity/meaning.
Khal-Hasidim_0017	times:death	direct	Khal-Hasidim_0017	high	The story references the death of the wicked man sixty years prior, a depicted past death central to the gilgul plot.
Khal-Hasidim_0021	folkloristics:story_type_revelation	direct	Khal-Hasidim_0021	high	The story narrates the Besht's hidden tzaddik status being revealed to R. David the Maggid of Kolomyya, who then forces him to reveal himself.
Khal-Hasidim_0022	ethics-and-emotions:fear	direct	Khal-Hasidim_0022	high	The melamed explicitly fears (מתיירא מאד) being rejected by the Besht as in his dream.
Khal-Hasidim_0023	knowledge:practical_kabbalah	direct	Khal-Hasidim_0023	high	The Besht uses mystical power to revive a dead bride from her grave and adjudicates between her and a dead soul — a concrete miraculous healing/spirit manipulation.
Khal-Hasidim_0023	social:conflict	direct	Khal-Hasidim_0023	high	The Besht confronts the dead aunt's spirit who is trying to kill the bride — a supernatural antagonist conflict resolved by the tzaddik.
Khal-Hasidim_0023	social:retrospective_recognition	direct	Khal-Hasidim_0023	high	The bride belatedly recognizes the Baal Shem Tov as the man who saved her from death during the otherworldly judgment.
Khal-Hasidim_0024	knowledge:practical_kabbalah	direct	Khal-Hasidim_0024	high	The story depicts practical kabbalistic acts: the Besht prescribes a pidyon and ritual procedure with a sack to save a dying infant, then engages in a magical contest using protective circles against a sorcerer.
Khal-Hasidim_0024	social:retrospective_recognition	direct	Khal-Hasidim_0024	high	The innkeeper and the sorcerer-lord both come to recognize belatedly that the stranger is the Baal Shem Tov, a holy man rather than an ordinary traveler or fellow sorcerer.
Khal-Hasidim_0024	supernatural:prognostication	direct	Khal-Hasidim_0024	high	The Besht predicts the infant will live through the night unharmed, and the prediction comes true.
Khal-Hasidim_0026	ethics-and-emotions:awe	direct	Khal-Hasidim_0026	high	Story vividly depicts trembling, awe, and divine presence (השראת השכינה) during the Besht's prayer, with explicit citation of 'ויחרד כל ההר מאד' — paradigmatic religious awe.
Khal-Hasidim_0026	social:conflict	propagated	Shivhei-Habesht_0015	medium	The story depicts the Besht in conflict with Samael (the demonic adversary), diverting prayers away from him.
Khal-Hasidim_0026	social:retrospective_recognition	direct	Khal-Hasidim_0026	high	R' David belatedly learns that the Besht's public humiliation of him was not due to any sin but to protect his prayers from Samael — a retrospective recognition of hidden meaning.
Khal-Hasidim_0026	spaces:beth_midrash	direct	Khal-Hasidim_0026	high	The story explicitly takes place in the beit midrash (ביהמ״ד / בית המדרש) during prayer scenes.
Khal-Hasidim_0028	ethics-and-emotions:awe	direct	Khal-Hasidim_0028	high	Story depicts intense awe before God/heaven (Besht prostrating, trembling, ascending heavenly palaces, Bishop struck by fear of Torah).
Khal-Hasidim_0028	spaces:beth_midrash	direct	Khal-Hasidim_0028	high	"The story explicitly mentions the Besht going to the beit midrash (בה""מד) to deliver words of rebuke and pray."
Khal-Hasidim_0028	supernatural:perception	direct	Khal-Hasidim_0028	high	Besht supernaturally perceives a heavenly accusation, ascends through heavenly palaces, and sees Messiah — clear ruach hakodesh/visionary perception.
Khal-Hasidim_0029	times:eschatology	direct	Khal-Hasidim_0029	high	Story explicitly references the coming of the redeemer (ביאת הגואל) as part of the town's prophesied future.
Khal-Hasidim_0030	supernatural:perception	direct	Khal-Hasidim_0030	high	The Besht supernaturally foreknows the future parnasim's names, the man's future poverty, and the simultaneous births of son and daughter — clear ruach hakodesh.
Khal-Hasidim_0031	ethics-and-emotions:awe	direct	Khal-Hasidim_0031	medium	R. Gershon collapses in fright/awe when souls of the dead come to him during prayer, and the Besht delays so he won't be overwhelmed — depicts awe before mystical/divine reality.
Khal-Hasidim_0032	social:inter_hasidic	direct	Khal-Hasidim_0032	high	Story depicts interactions among multiple Hasidim including the Besht, the Maggid/Mokhiach, and the rabbi, beyond a single master-disciple dyad.
Khal-Hasidim_0033	supernatural:perception	direct	Khal-Hasidim_0033	medium	The Besht was commanded from heaven to travel to the village, indicating supernatural communication/knowledge.
Khal-Hasidim_0034	times:shabbat	propagated	Shivhei-Habesht_0032	high	The Besht stays in Zaslav over several Shabbatot, and key events occur on Shabbat and after Shabbat.
Khal-Hasidim_0035	ethics-and-emotions:anger	propagated	Shivhei-Habesht_0035	high	The story explicitly attributes Shabbtai Tzvi's fall to 'גדלות וכעס' (arrogance and anger), and depicts insulters mocking R' Eliezer.
Khal-Hasidim_0035	folkloristics:story_type_prognostication	propagated	Shivhei-Habesht_0035	high	The Besht predicts R. Eliezer's death, the printing of a heretical book, and the fate of his widow and enemies—all confirmed as true.
Khal-Hasidim_0035	social:retrospective_recognition	propagated	Shivhei-Habesht_0035	high	The Besht retrospectively recognizes a book on the rabbi's table as a heretical Sabbatean work, and the rabbi only then learns its true nature.
Khal-Hasidim_0035	times:shabbat	propagated	Shivhei-Habesht_0035	high	Story centers on Shabbat in Sharigrad and Motzaei Shabbat after Havdalah, when the Besht recounts his Shabbat visions.
Khal-Hasidim_0036	ethics-and-emotions:lust	propagated	Khal-Hasidim_0001	high	The story explicitly addresses sexual desire/lust: the father refrains from touching his wife, and the Besht is quoted saying his soul could only descend once his father's תאווה was exhausted.
Khal-Hasidim_0036	folkloristics:story_type_prognostication	direct	Khal-Hasidim_0036	high	The Besht predicts that R. Yaakov will become wealthy from telling stories about him, and the prophecy is fulfilled when the wealthy convert rewards him generously.
Khal-Hasidim_0036	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	The story explicitly depicts the beit midrash as a setting where Israel (the Besht) serves and where the rabbi's son requests a partition to study.
Khal-Hasidim_0038	knowledge:practical_kabbalah	direct	Khal-Hasidim_0038	medium	The Besht manipulates fear at a distance by acting on his servant, causing supernatural effect on robbers far away — a concrete mystical operation.
Khal-Hasidim_0042	supernatural:prognostication	direct	Khal-Hasidim_0042	high	The Besht implicitly predicts the destruction of the idolatrous house, and it subsequently burns down.
Khal-Hasidim_0043	ethics-and-emotions:virtues	direct	Khal-Hasidim_0043	high	Story illustrates virtues of honest labor, humility, piety, and contentment (נהנה מיגיע כפו).
Khal-Hasidim_0045	ethics-and-emotions:fear	propagated	Adat-Zadikim_0009	high	"R. David explicitly trembles in fear (ויחרד לב הרר""ד) worrying he has sinned before the Baal Shem Tov."
Khal-Hasidim_0045	ethics-and-emotions:virtues	propagated	Adat-Zadikim_0009	medium	Story illustrates virtues of humility, self-examination, and acceptance of judgment, with an explicit moral about weighing reward against loss.
Khal-Hasidim_0045	experience:revelation	propagated	Adat-Zadikim_0009	high	The Besht reveals to R. David the hidden mystical truth about the soul awaiting him for 70 years, and a heavenly voice discloses his innocence — direct supernatural revelation.
Khal-Hasidim_0045	folkloristics:story_type_prognostication	direct	Khal-Hasidim_0045	high	The Besht predicts Reb David will know himself when his exile-atonement is complete, and this prophecy is fulfilled in the Slonim episode.
Khal-Hasidim_0045	social:conflict	propagated	Adat-Zadikim_0009	high	The story features clear conflict between R. David and the wicked darshan who frames him, accuses him publicly, and orders him flogged.
Khal-Hasidim_0045	supernatural:communicating_with_the_invisible	propagated	Adat-Zadikim_0009	high	A heavenly voice repeatedly knocks on the windows asking for R. David, an invisible communication from above that drives the story's resolution.
Khal-Hasidim_0045	supernatural:prognostication	propagated	Adat-Zadikim_0009	high	The Besht predicts R. David will know by himself when his exile/atonement is complete, which comes true.
Khal-Hasidim_0046	spaces:beth_midrash	direct	Khal-Hasidim_0046	high	The story explicitly mentions the Baal Shem Tov going to the beit midrash (בהמ״ד) for prayer and bringing R. Leibush there.
Khal-Hasidim_0047	social:retrospective_recognition	propagated	Shivhei-Habesht_0057	high	R' Yitzhak belatedly discovers the identity of the anonymous secret almsgiver via the shammash.
Khal-Hasidim_0047	spaces:heaven	propagated	Shivhei-Habesht_0057	high	The deceased's soul resides in Gan Eden among the righteous and is elevated to upper worlds, describing learning Zohar in heaven.
Khal-Hasidim_0047	supernatural:perception	direct	Khal-Hasidim_0047	high	The deceased man's spirit appears to R. Yitzchak and reveals knowledge of supernal worlds and Torah interpretations from Gan Eden.
Khal-Hasidim_0048	characters-and-roles:preacher	direct	Khal-Hasidim_0048	high	The story centrally features 'המוכיח' (the preacher/maggid) as a distinct character in conflict with a dayan.
Khal-Hasidim_0048	times:shabbat	direct	Khal-Hasidim_0048	high	The story depicts the Mokhiach leading prayer on Shabbat and the Dayan cursing him during the Shabbat prayer.
Khal-Hasidim_0050	folkloristics:story_type_revelation	propagated	Shivhei-Habesht_0060	medium	The Besht sees a light revealing the hidden righteous woman Rivele to the townspeople, which constitutes a giluy of a hidden tzaddeket.
Khal-Hasidim_0050	social:retrospective_recognition	propagated	Shivhei-Habesht_0060	high	The Besht retrospectively recognizes the pious woman's hidden righteousness via the light he sees, and she reveals the sick doctor's hidden sin — both are belated recognitions of true character.
Khal-Hasidim_0051	social:inter_hasidic	direct	Khal-Hasidim_0051	high	Story features two Hasidim (R. Shmuel and R. Ber) traveling together and interacting, beyond just master-disciple dynamics.
Khal-Hasidim_0052	characters-and-roles:tavern_keeper	direct	Khal-Hasidim_0052	high	The Besht is depicted as still sitting at the tavern/inn (מזיגה) in the village, functioning as a tavern-keeper.
Khal-Hasidim_0053	characters-and-roles:preacher	direct	Khal-Hasidim_0053	high	"Story opens with R. Yoel who was a maggid (מ""מ = מגיד מישרים) in Nemirov, distinct from the Besht."
Khal-Hasidim_0056	knowledge:esoteric	direct	Khal-Hasidim_0056	medium	Besht perceives a mystical pillar of Torah light rising from earth to heaven, depicting hidden/mystical perception accessible to the initiated.
Khal-Hasidim_0056	times:shabbat	direct	Khal-Hasidim_0056	high	Story explicitly mentions Shabbat in Anipoli with R' Gershon and the Besht.
Khal-Hasidim_0057	ethics-and-emotions:lying	propagated	Shivhei-Habesht_0067	high	The new tax collector slanders/lies to the lord, falsely claiming the former collector went to a sorcerer to bewitch him.
Khal-Hasidim_0057	knowledge:practical_kabbalah	propagated	Shivhei-Habesht_0067	medium	The Besht uses mystical means (immersion in river, then mere appearance at the window) to free the man's son and frighten the lord — accusation of kishuf and concrete supernatural effect fit practical kabbalah.
Khal-Hasidim_0059	ethics-and-emotions:fear	propagated	Shivhei-Habesht_0069	medium	The scribe fears the Besht may endanger himself through the intensity of his prayer ('ירא פן ח״ו יסתכן').
Khal-Hasidim_0059	folkloristics:story_type_protection	propagated	Shivhei-Habesht_0069	high	The Besht protects a sick child from death by oath and prayer, accepting punishment upon himself to save the child.
Khal-Hasidim_0059	supernatural:communicating_with_the_invisible	direct	Khal-Hasidim_0059	high	The Besht explicitly addresses and commands the child's soul to enter the body, communicating with an invisible being.
Khal-Hasidim_0066	spaces:beth_midrash	direct	Khal-Hasidim_0066	high	Story is set in the beit midrash where the protagonist prays and is confronted.
