story_id	tag	sonnet_confidence	sonnet_reasoning
Shivhei-Habesht_0135	characters-and-roles:demons	high	The story depicts the Besht traveling with Rabbi Yechiel Michel, a Shabbat-eve crisis on the road, a rabbinic disputation in Horodna, and the Besht supernaturally removing a scholar's Torah knowledge as a moral lesson — no demons appear anywhere in the narrative.
Khal-Hasidim_0032	times:holidays	high	The story takes place on Shabbat (erev Shabbat arrivals, morning prayer, Mussaf, Shalosh Seudos), but no Jewish holiday (Yom Tov) is mentioned or depicted.
Shivhei-Habesht_0010	social:retrospective_recognition	high	The story depicts the Besht's hidden period and divine support (Elijah's first revelation, miraculous provision, the accuser's death), but no character in the narrative retrospectively recognizes his stature — R' Gershon treats him as subordinate and no one performs a belated acknowledgment of who he truly is.
Khal-Hasidim_0024	supernatural:contraction_of_the_road	high	The story mentions a three-day journey in passing, but depicts no miraculous shortening or contraction of the road — the supernatural content is entirely about saving an infant from a sorcerer and a subsequent magical battle using protective circles.
Mifalot-HaZadikim_0006	ethics-and-emotions:lying	high	The story centers on hospitality, faith, wandering poverty, and a miraculous birth; no character lies or engages in deception at any point in the narrative.
Khal-Hasidim_0191	social:relations_with_non_hasidim	high	The story concerns the rabbi's death, burial, and communal mourning; the only non-Hasidic figure mentioned is a gentile landlord (עכו״ם) who reveres the rabbi's room, but there is no depicted interaction or relationship with non-Hasidic Jews.
Maase-Zadikim_0016	kabbalah:kabbalistic_terms_yihudim	high	The story concerns tzaddikim's blessings, oaths, and a heavenly court decision; no Lurianic yihudim (unifications of divine names/sefirot) are performed or mentioned.
Khal-Hasidim_0253	ethics-and-emotions:joy	medium	The story's dominant emotional register is friendship, longing, and tears (both figures weep at parting and reunion), and its central ethical theme is humility (שפלות); while the friend mentions feeling 'very well' (טוב לי מאוד) and there is a passing reference to a farewell with 'שמחה ובשירים,' joy is incidental rather than a substantive focus of the narrative.
Shivhei-Habesht_0194	folkloristics:story_type_death_of_the_tsaddik	high	The story depicts a tsaddik sending money to a poor woman who just gave birth; there is no depiction of the death of the tsaddik.
Khal-Hasidim_0253	characters-and-roles:angels	high	The supernatural figure in the story is Elijah the Prophet (אליהו הנביא), a distinct category from angels (מלאכים); no angels appear or are depicted.
Khal-Hasidim_0140	social:relations_with_the_authorities	high	The story is entirely about the Maggid's illness, his journey to the Baal Shem Tov, and the mystical/spiritual transmission between them; the only passing mention of a non-Hasidic figure is a nobleman from whom a diamond is purchased as a remedy — a brief commercial transaction, not a depiction of relations with authorities.
Khal-Hasidim_0210	social:inter_hasidic_master_disciple_relationship	high	The story depicts an agunah seeking help from the Spola Zeide (a Hasidic master), with no disciple character or master-disciple dynamic present — the relationship is between a petitioner and a wonder-working tzaddik.
Khal-Hasidim_0243	social:inter_hasidic	high	The story depicts the Apter Rebbe investigating a simple Jewish innkeeper (rindár) — not an interaction between Hasidic figures, courts, or movements; the innkeeper is a pious layman, not a Hasidic rebbe or representative of a Hasidic community.
Shivhei-Habesht_0161	experience:journey_to_heaven	high	The story depicts an ecstatic trance during Rosh Hashanah prayer in which the cantor speaks and then has no memory of it — there is no journey to heaven, only a dissociative/mystical state on earth.
Sipurei-Zadikim_0006	social:marital_relationship	high	The story centers on the relationship between Rabbi Leib and an orphan he raised as a son; no marital relationship is depicted or mentioned.
Khal-Hasidim_0102	social:marital_relationship	high	The wife is mentioned only incidentally as the one who will bear a son; the story focuses on the merchant's business dealings, his faith in the Besht, and the miraculous transformation of his son — no marital relationship is depicted or explored.
Maase-Zadikim_0018	times:historical_event	high	The story depicts a personal spiritual encounter between the Apter Rav and a simple innkeeper, with no historical event (war, persecution, political upheaval, etc.) playing any role in the narrative.
Shivhei-Habesht_0005B	kabbalah:kabbalistic_terms_kavvanot	high	Story describes Besht's revelation, hitbodedut, and miracles but no explicit mention of Lurianic kavvanot during prayer or ritual.
Khal-Hasidim_0004	ethics-and-emotions:charity	high	The story centers on the Besht's hidden sainthood, religious practices, and eventual revelation; the mention of hosting guests (hachnasat orchim/hospitality) is incidental background detail and does not constitute a depiction of charity (tzedakah/giving to the poor).
Khal-Hasidim_0002	characters-and-roles:demons	high	"The supernatural beings in the story are angelic 'sarim' (ministers — שר התורה, שר האש) and a prosecuting angel (בע""ד), not demons; no שדים or demonic figures appear."
Mifalot-HaZadikim_0026	supernatural:reincarnation	high	The story depicts a hidden tzaddik (nistar) and a student seeking a new teacher after his master's death — there is no mention of a soul being reborn in another body.
Shivhei-Habesht_0207	characters-and-roles:elijah_the_prophet	high	"The story narrates the Besht's death on Shavuot and contains no mention of Elijah the Prophet — the supernatural figures present are the Angel of Death (מה""מ) and a wandering soul seeking rectification."
Khal-Hasidim_0126	ethics-and-emotions:repentance	high	The story centers on bitachon (trust in God) and divine providence, not repentance; the merchant's belated fulfillment of his vow is framed as correcting an obligation under external prompt from the Besht, without any depicted inner contrition, confession, or teshuvah process.
Khal-Hasidim_0059	characters-and-roles:ritual_slaughterer	high	The story features the Besht, a scribe (סופר), a householder, and his wife — no ritual slaughterer appears or is mentioned.
Khal-Hasidim_0099	spaces:the_land_of_israel	high	The story takes place at the Council of Four Lands assembly and at an inn in the Diaspora; the Land of Israel is never mentioned or depicted.
Sipurei-Zadikim_0013	social:inter_hasidic_master_disciple_relationship	high	The story depicts a hidden tzadik (tailor) who posthumously commands a rabbi to relocate, and the rabbi's single encounter with him as a messenger of Elijah — there is no ongoing master-disciple relationship between Hasidic figures, but rather a one-time recognition of a concealed righteous man's authority.
Shivhei-Habesht_0161	times:shabbat	high	"The story takes place on Rosh Hashanah (ר""ה), with explicit references to shacharit/musaf of the second day and the tashlich ceremony — no Shabbat context whatsoever."
Khal-Hasidim_0120	ethics-and-emotions:humility	high	The story centers on the Besht's spiritual ingenuity in neutralizing a heavenly accusation (קטרוג) by manipulating the priest into a seminal emission; humility is neither depicted nor thematically relevant.
Shivhei-Habesht_0067	ethics-and-emotions:adultery	high	The story concerns a displaced tax farmer, debt to a feudal lord, imprisonment of a son, and the Baal Shem Tov's intervention — there is no mention of adultery or any sexual transgression.
Shivhei-Harav_0001	characters-and-roles:tavern_keeper	high	The story concerns Rabbi Shneur Zalman's background, the Hasidic-Mitnagdic controversy, and disputes involving the Vilna Gaon and Rabbi Avigdor of Pinsk — no tavern keeper appears anywhere in the narrative.
Mifalot-HaZadikim_0021	times:birth	high	The story concerns self-sacrifice (mesirat nefesh) and public humiliation as spiritual protection — birth is neither depicted nor mentioned.
Shivhei-Harav_0017	characters-and-roles:elijah_the_prophet	high	Elijah the Prophet does not appear in this story, which centers on the conflict between Rabbi Schneur Zalman of Liadi and Rabbi Baruch of Medzhybizh, a healing miracle, and a visit to the Baal Shem Tov's grave.
Shivhei-Habesht_0096A	social:converts_and_conversion	high	The story concerns a preacher (מוכיח) traveling to Hamburg, receiving permission to preach, and his interactions with the Baal Shem Tov — no converts or conversion appear anywhere in the narrative.
Khal-Hasidim_0253	spaces:heaven	high	The story takes place entirely on earth (Kraków); Elijah the Prophet appears in Rabbi Chaim's earthly study room, and while he is a heavenly figure who speaks on behalf of a celestial collective ('אנחנו'), heaven itself is never depicted or entered as a space.
Shivhei-Habesht_0210	experience:dream	high	The story depicts a near-death soul journey (נשמתו יצאה / נשמתו חזרה לגופו) — the child's soul literally departs his body for three days and witnesses the heavenly court — not a dream.
Shivhei-Habesht_0021	experience:devekut	high	The story depicts the preacher's discipleship, involuntary weeping during prayer, and the Besht's supernatural perception, but no scene of sustained cleaving to God (devekut) is described; the phrase 'נדבק בו' refers to attachment to the Besht as a master, not a mystical state of union with the Divine.
Mifalot-HaZadikim_0033	supernatural:perception	high	The story is a legal-homiletical interpretation (derasha) comparing a Mishnaic property law to the Temple and divine redemption — there is no depiction of supernatural perception, vision, or heightened sensory experience.
Shivhei-Habesht_0181	supernatural:light_or_fire_as_a_sign_of_righteousness	high	The story's supernatural elements involve the Besht's hidden knowledge (ruach hakodesh) and perception of spiritual impurity in a bed — no light or fire imagery appears anywhere.
Shivhei-Habesht_0050A	times:birth	high	The story depicts demonic spirits haunting a synagogue and the Besht's exorcism of them; there is no birth event in the narrative.
Mifalot-HaZadikim_0021	ethics-and-emotions:joy	high	The story's emotional register is solemn throughout — it centers on weeping, public humiliation, and grave moral discourse about self-sacrifice, with no depiction of joy.
Shivhei-Habesht_0014	kabbalah:kabbalistic_terms_yihudim	high	The story describes the Baal Shem Tov using the Zohar for clairvoyant vision, not performing Lurianic yihudim (unifications of divine names).
Khal-Hasidim_0245	ethics-and-emotions:resisting_temptation	high	The story centers on the virtue of unconditional love of Israel (ahavat Yisrael) and the lesson that embracing sinners draws them to repentance; no character is depicted struggling against or resisting a temptation.
Shivhei-Habesht_0172	times:shabbat	high	The story depicts a weekday visit by the Besht to Slutsk patrons, with no mention of Shabbat — the Mincha prayer referenced is a routine daily prayer, and the events (midnight flight, weekday feast, letter-sending) show no Shabbat context.
Khal-Hasidim_0111	experience:devekut	high	The story centers on sin (striking one's father), repentance (teshuvah), and divine punishment for abandoning it — there is no depiction of cleaving to God or a state of mystical attachment.
Shivhei-Habesht_0126	characters-and-roles:sabbatai_zevi	high	The story features only the Baal Shem Tov and an itinerant preacher (darshan); Sabbatai Zevi is never mentioned or alluded to.
Maase-Zadikim_0006	characters-and-roles:demons	high	The story features the heavenly court (בית דין של מעלה), the divine attribute of justice (מדת הדין) as a prosecuting force, and the heavenly retinue (פמליא של מעלה), but no demons (שדים/מזיקים/etc.) appear as characters.
Sipurei-Zadikim_0001	folkloristics:story_type_rapprochement	high	The story centers on miraculous travel, hidden tzaddikim, and tikkun of wandering souls — there is no narrative of reconciliation or rapprochement between estranged parties.
Khal-Hasidim_0111	supernatural:communicating_with_the_invisible	high	The Besht displays supernatural clairvoyance about a hidden sin, but the story depicts no communication with an invisible being (spirit, angel, divine voice, or the dead) — only the unexplained result of that perception.
Khal-Hasidim_0239	experience:devekut	high	The story centers on the tzaddik's clairvoyance and the conversion of a skeptical mitnaged; the Hasid's steadfastness is framed as emunah (faith) in the tzaddik, not as a depicted experience of cleaving/adhesion to God.
Shivhei-Habesht_0119	times:historical_event	high	The story depicts a miraculous/legendary encounter between the Besht and a demon regarding written teachings — it contains no historical event (battle, decree, persecution, political occurrence, etc.).
Khal-Hasidim_0036	experience:journey_to_heaven	high	The story contains only a brief euphemistic reference to the Besht's soul ascending to heaven upon death ('ועלה לשמים'), not an actual narrative depiction of a journey to heaven as an experienced event.
Shivhei-Habesht_0005B	supernatural:contraction_of_the_road	high	The story recounts the Besht's early ascetic life, an exorcism of a dybbuk, and a rain miracle, but contains no depiction of miraculous road-contraction or supernaturally shortened travel.
Khal-Hasidim_0021	spaces:the_land_of_israel	high	The story takes place entirely at the Baal Shem Tov's home in Eastern Europe (Kolomyia region); the Land of Israel is never mentioned or depicted.
Khal-Hasidim_0223	characters-and-roles:elijah_the_prophet	high	The story features Rabbi Moshe Leib of Sassov and the wealthy Reb Yudel Natanzon; Elijah the Prophet does not appear or is not referenced anywhere in the narrative.
Adat-Zadikim_0010	characters-and-roles:tavern_keeper	high	The story features a nagid (wealthy patron), a shochet (ritual slaughterer), a preacher, and a duchess, but no tavern keeper appears in the narrative.
Khal-Hasidim_0127	experience:journey_to_heaven	high	The story depicts the Besht's deathbed scene and transmission of a divine Name to his son, with a passing reference to the heavens trembling at his conception — but no actual journey to heaven by any character.
Shivhei-Habesht_0096A	characters-and-roles:hidden_righteous	high	The story centers on the Besht (a known, revealed tzaddik), his student the maggid, and a Hamburg rabbi — none of whom conceal their identity or righteousness; the brief deathbed prophecy about 'Israel son of the midwife' alludes to the Besht's future recognition but does not depict a hidden righteous figure as a character.
Khal-Hasidim_0177	ethics-and-emotions:lying	medium	The story centers on informers (מוסרים) and their divine punishment; false denunciations to the authorities are implicit in the informing narrative, but lying as a moral act is not foregrounded or thematized — the focus is retribution against slanderers, not the act of deception itself.
Mifalot-HaZadikim_0017	characters-and-roles:magician	high	The wonder-worker in the story is a Hasidic rabbi (tzadik) who revives a dead cow through a seemingly miraculous act, not a magician — no magical arts, sorcery, or magician figure is depicted.
Sipurei-Zadikim_0003	kabbalah:kabbalistic_terms_kavvanot	high	Story is about a miraculous repayment of a loan via salt-barrel blessing; no mention of Lurianic kavvanot or mystical prayer intentions.
Shivhei-Habesht_0133	spaces:the_land_of_israel	high	The story is set entirely in Eastern European locales (Shadeh Lavan, Krasne, etc.) and deals with the Haidamak uprisings; 'ישראל' in the text refers to the Jewish people, not the Land of Israel as a physical space.
Shivhei-Habesht_0181	times:death	high	The story depicts the Besht's appearance before the Council of Four Lands and a test of his supernatural knowledge, with no depiction of death whatsoever.
Shivhei-Habesht_0048	experience:devekut	medium	The story centers on testing the Besht's spiritual legitimacy and revealing his hidden protective intervention (inducing fear to save a traveler); while his prayer is noted as impressive and the pipe remark alludes to his elevated spiritual level, devekut as an experienced state of cleaving to God is not depicted or foregrounded in the narrative.
Sipurei-Zadikim_0004	social:inter_hasidic_inheritance_of_leadership	high	The story depicts Rabbi Leib Sarahs orchestrating a miraculous shidduch between a poor young man and a wealthy heiress; there is no depiction of Hasidic leadership succession or inheritance of leadership between rebbes or dynasties.
Shivhei-Habesht_0096A	folkloristics:story_type_death_of_the_tsaddik	high	Deaths are mentioned incidentally (the rabbi's great uncle prophesied about the Besht on his deathbed; the Hamburg rabbi died before reaching the Besht), but the story's central focus is the preacher's journey, his preaching in Hamburg, and the Besht's protection of him — not the death of a tsaddik as a narrative event.
Adat-Zadikim_0023	spaces:heaven	high	The story is set entirely in earthly locations (Kraków, the baker's courtyard); Elijah the Prophet appears in the room as a supernatural visitor, but heaven itself is never depicted as a space or setting.
Khal-Hasidim_0082	social:retrospective_recognition	high	The story focuses on the Besht's grief over martyrs, a nocturnal vision of holy souls (including R. Akiva), and their refusal to seek revenge — there is no scene in which someone's identity or worth is recognized only in hindsight.
Shivhei-Habesht_0169	characters-and-roles:elijah_the_prophet	high	The story features only Rabbi Chaim Krasner and the Baal Shem Tov discussing name mnemonics and gematria; Elijah the Prophet is not mentioned or depicted.
Shivhei-Habesht_0193	experience:journey_to_heaven	high	The story depicts the Besht discerning a man's sin and prescribing repentance, with no journey to heaven occurring anywhere in the narrative.
Khal-Hasidim_0158	ethics-and-emotions:repentance	high	The story centers on divine justice, ingratitude, and gilgul (reincarnation as rectification), but the guilty rich man never repents — the rabbi rebukes and turns away from him, and no act of teshuvah is depicted anywhere in the narrative.
Khal-Kdoshim_0003	social:poverty	high	The story centers on anti-Jewish persecution and a tailor's diplomatic ruse to neutralize the bishop's influence; poverty is not depicted — the brief phrase 'והדל לא ימעיט' (the poor shall not give less) is an incidental formulaic aside within the fundraising scene, not a portrayal of poverty as a theme or condition.
Khal-Hasidim_0158	ethics-and-emotions:adultery	high	The story concerns brotherly debt, ingratitude, and reincarnation/divine justice — adultery is neither depicted nor mentioned.
Mifalot-HaZadikim_0045	ethics-and-emotions:adultery	high	The story concerns a learned son-in-law's spiritual pride and his encounter with Rabbi Elimelech of Lizhensk, who rebukes his arrogance; there is no depiction of or reference to adultery.
Shivhei-Habesht_0143	supernatural:magic	high	The story depicts a supernatural omen (the Besht's tzitzit becoming soiled as a sign of Rabbi Moshe's death) and clairvoyant knowledge, not the performance of magic or a magical act.
Khal-Hasidim_0080	ethics-and-emotions:pride	high	The story centers on R' Nachman's visionary experience at the Besht's grave, his journey to Eretz Yisrael, a sharp verbal exchange with a preacher (המוכיח), and his death — pride (גאווה) is neither depicted as a theme nor morally addressed; the tension between the two figures involves כבוד/offense but is incidental and unresolved without framing it as pride.
