story_id	tag	sonnet_confidence	sonnet_reasoning
Sipurei-Zadikim_0013	ethics-and-emotions:virtues	high	The story's central theme is the hidden righteousness (צדיק נסתר) of the poor tailor, whose piety, humility, and selfless communal service are explicitly celebrated, making virtues the story's core concern.
Sipurei-Zadikim_0013	experience:revelation	high	The rabbi explicitly experiences a direct vision of Elijah the Prophet (גילוי אליהו) — fainting from the encounter — which is the central miraculous climax of the story.
Sipurei-Zadikim_0013	folkloristics:story_type_rapprochement	medium	The story fuses two distinct tale types into a single narrative: the 'hidden tzaddik revealed' type (the poor tailor secretly connected to Elijah the Prophet) and the 'rabbinic succession/community appointment' type, with the resolution of the succession question serving as the mechanism that exposes the tailor's concealed holiness.
Sipurei-Zadikim_0013	folkloristics:story_type_virtues	high	The story centers on a 'hidden tzaddik' (צדיק נסתר) — a poor tailor whose concealed righteousness and holiness are revealed only at his death, making virtue (hidden piety, humility) the explicit and driving theme of the narrative.
Sipurei-Zadikim_0013	knowledge:esoteric	high	The story centrally depicts the transmission of esoteric knowledge: a hidden tzaddik (צדיק נסתר) possesses prophetic foreknowledge of communal affairs, a messenger sent by Elijah the Prophet conveys hidden warnings about sins in the city, and the rabbi receives a vision of Elijah himself through supernatural means — all core instances of esoteric knowledge in action.
Sipurei-Zadikim_0013	social:inter_hasidic_inheritance_of_leadership	high	The entire story centers on the succession of rabbinic leadership in Lublin: the dying rabbi instructs the community to ask the next person who dies who should succeed him, and the hidden-tzaddik tailor then designates the rabbi of Ostroha as the new leader of Lublin — a direct depiction of inter-community Hasidic leadership inheritance.
Sipurei-Zadikim_0013	social:retrospective_recognition	high	The tailor is dismissed during his lifetime as an ignorant pauper, and only after his death do the community and the rabbi of Ostroha recognize him as a hidden tzaddik whose authority commanded obedience — a textbook case of posthumous/retrospective recognition.
Sipurei-Zadikim_0013	supernatural:communicating_with_the_invisible	high	The story centrally depicts a hidden messenger sent by Elijah the Prophet who delivers a supernatural warning to the rabbi, and the rabbi is then made to behold Elijah directly — explicit communication between the living and an invisible/prophetic figure.
Sipurei-Zadikim_0013	supernatural:perception	high	The rabbi supernaturally perceives Elijah the Prophet directly — after a handkerchief is passed over his face, he sees (וראיתי) Elijah, is overwhelmed with fear, and faints, making this a clear instance of supernatural visual perception.
Sipurei-Zadikim_0013	supernatural:prognostication	high	The dying rabbi predicts that whoever dies next after him will reveal the successor, and the tailor in turn accurately foretells that the Ostroha rabbi will refuse — both are explicit acts of supernatural foreknowledge borne out by events.
Sipurei-Zadikim_0013	times:death	high	Death is central and recurrent: the rabbi dies giving deathbed instructions, the tailor dies after delivering his own deathbed directive, and both deaths drive the entire plot.
ptest_0	test:walking	high	The story explicitly depicts walking ('He walked to the synagogue').
