story_id	tag	sonnet_applies	sonnet_confidence	opus_applies	opus_confidence	opus_reasoning	verdict
Khal-Hasidim_0086	social:relations_with_non_jews	True	high	False	high	The story concerns the Baal Shem Tov, a sick disciple, and Gan Eden — no non-Jews appear or are discussed.	DISAGREE
Adat-Zadikim_0023	social:poverty	True	high	False	high	Story is about humility and hidden righteousness; no depiction or substantial discussion of poverty.	DISAGREE
Shivhei-Habesht_0185	knowledge:esoteric	True	high	False	high	The story depicts the Besht miraculously healing a sick opponent through dialogue about Talmudic suffering — no kabbalah, mystical doctrine, or esoteric/hidden knowledge is invoked.	DISAGREE
Sipurei-Zadikim_0004	ethics-and-emotions:adultery	True	high	False	high	Story is about a rabbi arranging a destined match between a poor scholar and a wealthy woman; no adultery is depicted.	DISAGREE
Khal-Hasidim_0099	supernatural:light_or_fire_as_a_sign_of_righteousness	True	high	False	high	Story demonstrates the Besht's ruach hakodesh through knowledge of hidden things, but contains no depiction of light or fire around him.	DISAGREE
Shivhei-Habesht_0096A	ethics-and-emotions:adultery	True	high	False	high	Story is about a preacher's dream, sermon in Lemberg, and Besht's protection — no adultery content.	DISAGREE
Khal-Hasidim_0118	folkloristics:story_type_virtues	True	medium	True	high	Story illustrates the Besht's spiritual insight and humility, diagnosing the rabbi's hidden sin of doubting tzaddikim and effecting his repentance.	AGREE
Shivhei-Habesht_0034	ethics-and-emotions:punishment	True	high	False	high	The story describes the Maggid's illness and his coming to the Besht for healing/Torah transmission; no wrongdoing or punishment is depicted.	DISAGREE
Khal-Hasidim_0120	social:poverty	True	high	False	high	The story concerns the Besht neutralizing a heavenly accusation via a priest; poverty is not mentioned or depicted.	DISAGREE
Khal-Hasidim_0202	kabbalah:kabbalistic_terms_yihudim	True	high	False	high	Story involves tzaddikim's oaths, blessings for children, and heavenly court proceedings, but contains no Lurianic yihudim (contemplative unifications of divine names/sefirot).	DISAGREE
Shivhei-Habesht_0135	characters-and-roles:demons	True	high	False	high	The story concerns the Besht, a rabbi's appointment, and a Torah dispute; no demons appear or are discussed.	DISAGREE
Khal-Hasidim_0032	times:holidays	True	high	False	high	Story mentions Shabbat several times but no Jewish holiday (Pesach, Sukkot, etc.) is depicted.	DISAGREE
Shivhei-Habesht_0010	social:retrospective_recognition	True	high	False	high	The story depicts a miraculous rescue and Elijah's revelation, but does not contain retrospective recognition of the Baal Shem Tov's hidden identity or status by others.	DISAGREE
Khal-Hasidim_0024	supernatural:contraction_of_the_road	True	high	False	high	Story depicts a child-saving miracle and a sorcery duel; no miraculous contraction of travel distance is described.	DISAGREE
Mifalot-HaZadikim_0006	ethics-and-emotions:lying	True	high	False	high	The story centers on hospitality, a blessing fulfilled, and a foolish son; no character engages in deception or lying.	DISAGREE
Khal-Hasidim_0191	social:relations_with_non_hasidim	True	high	True	high	The story describes the non-Jewish owner (העכו״ם) of the rebbe's lodging revering the rabbi, preserving his room and bed, and acknowledging the wisdom of Israel among the nations.	AGREE
Maase-Zadikim_0016	kabbalah:kabbalistic_terms_yihudim	True	high	False	high	Story involves tzaddikim, oaths, and heavenly courts but contains no depiction of Lurianic yihudim (contemplative unifications of divine names/sefirot).	DISAGREE
Khal-Hasidim_0253	ethics-and-emotions:joy	True	medium	False	high	The story centers on humility, hiddenness, and Elijah's revelation; joy is not a depicted theme.	DISAGREE
Shivhei-Habesht_0194	folkloristics:story_type_death_of_the_tsaddik	True	high	False	high	Story depicts the Rabbi sending money to a woman who just gave birth; no death of tzaddik.	DISAGREE
Khal-Hasidim_0253	characters-and-roles:angels	True	high	True	high	Elijah the Prophet appears as a study companion and explicitly speaks/delivers a message, which is a substantial depiction of an angelic/heavenly figure.	AGREE
Khal-Hasidim_0140	social:relations_with_the_authorities	True	high	False	high	Story concerns the Maggid's illness and mystical encounter with the Besht; no depiction of relations with governmental authorities.	DISAGREE
Khal-Hasidim_0210	social:inter_hasidic_master_disciple_relationship	True	high	False	high	Story depicts a tzaddik (the Sabba of Spola) helping an agunah find her husband; no master-disciple relationship between hasidic masters is depicted.	DISAGREE
Khal-Hasidim_0243	social:inter_hasidic	True	high	False	high	Story features one tzaddik (Apter Rav) and a hidden righteous innkeeper; no interaction between different Hasidic courts/groups.	DISAGREE
Shivhei-Habesht_0161	experience:journey_to_heaven	True	high	False	high	Story depicts a trance-like prophetic rebuke during prayer, not an ascent of the soul to upper worlds.	DISAGREE
Sipurei-Zadikim_0006	social:marital_relationship	True	high	False	high	The story concerns a rabbi's relationship with his adopted son and a dispute over other tzaddikim; no marital relationship is depicted.	DISAGREE
Khal-Hasidim_0102	social:marital_relationship	True	high	False	high	Wife is mentioned only as bearing a child; no depiction of the marital relationship itself.	DISAGREE
Maase-Zadikim_0018	times:historical_event	True	high	False	high	Story is about the Rebbe of Apta visiting an innkeeper known for miraculous deeds; no historical event (war, decree, gathering) is depicted.	DISAGREE
Shivhei-Habesht_0005B	kabbalah:kabbalistic_terms_kavvanot	True	high	False	high	Story describes the Besht's revelation, asceticism, healings, and a warning not to use holy names before age 36, but does not depict or discuss Lurianic kavvanot attached to prayer words or ritual actions.	DISAGREE
Khal-Hasidim_0004	ethics-and-emotions:charity	True	high	False	high	Story concerns the Besht's hidden righteousness, hospitality, prayer, and revelation; no depiction of almsgiving or charity to the poor.	DISAGREE
Khal-Hasidim_0002	characters-and-roles:demons	True	high	False	high	The story features magic, a Sar HaTorah, a Sar HaEsh (fire angel), and supernatural events, but no demons (shedim/mazikim) appear or are discussed.	DISAGREE
Mifalot-HaZadikim_0026	supernatural:reincarnation	True	high	False	high	The story involves a hidden tzaddik, secret Torah teachings, and posthumous guidance, but no transmigration of souls (gilgul) is depicted.	DISAGREE
Shivhei-Habesht_0207	characters-and-roles:elijah_the_prophet	True	high	False	high	The story describes the Baal Shem Tov's death; no appearance of Elijah the prophet as a character.	DISAGREE
Khal-Hasidim_0126	ethics-and-emotions:repentance	True	high	True	high	The merchant who failed to fulfill his vow is brought to repent and fulfill it, turning from his sin of withholding charity.	AGREE
Khal-Hasidim_0059	characters-and-roles:ritual_slaughterer	True	high	False	high	The story mentions a sofer (scribe) and the Besht, but no shochet (ritual slaughterer) appears.	DISAGREE
Khal-Hasidim_0099	spaces:the_land_of_israel	True	high	False	high	The story is set at the Council of Four Lands assembly and a lodging house; the Land of Israel is not mentioned or depicted.	DISAGREE
Sipurei-Zadikim_0013	social:inter_hasidic_master_disciple_relationship	True	high	False	high	Story concerns a hidden tzaddik tailor, a dying rabbi, and a rabbi from Ostraha — not a hasidic master-disciple relationship.	DISAGREE
Shivhei-Habesht_0161	times:shabbat	True	high	False	high	The story takes place on Rosh Hashanah (ר״ה), not Shabbat.	DISAGREE
Khal-Hasidim_0120	ethics-and-emotions:humility	True	high	False	high	The story is about the Besht neutralizing a heavenly accusation by causing a celibate priest to have a nocturnal emission; humility is not depicted or discussed.	DISAGREE
Shivhei-Habesht_0067	ethics-and-emotions:adultery	True	high	False	high	Story concerns a tax collector, a denunciation, and the Besht's miraculous intervention; no adultery is depicted.	DISAGREE
Shivhei-Harav_0001	characters-and-roles:tavern_keeper	True	high	False	high	The story discusses rabbinic disputes and biographical details of R. Shneur Zalman; no tavern keeper appears.	DISAGREE
Mifalot-HaZadikim_0021	times:birth	True	high	False	high	The story discusses self-sacrifice for fellow Jews; no birth event is depicted.	DISAGREE
Shivhei-Harav_0017	characters-and-roles:elijah_the_prophet	True	high	False	high	Elijah the prophet does not appear as a character; the story concerns a dispute between R. Shneur Zalman and R. Baruch.	DISAGREE
Shivhei-Habesht_0096A	social:converts_and_conversion	True	high	False	high	The story is about a preacher's dream-instructed sermon journey and the Besht; no converts or conversion are mentioned.	DISAGREE
Khal-Hasidim_0253	spaces:heaven	True	high	False	high	Elijah the Prophet appears as a study companion on earth, but heaven/upper worlds are not depicted as a setting and no ascent occurs.	DISAGREE
Shivhei-Habesht_0210	experience:dream	True	high	False	high	The child's experience is a soul-journey/near-death vision while unconscious, not a dream.	DISAGREE
Shivhei-Habesht_0021	experience:devekut	True	high	False	high	Story recounts the Besht's reputation, weeping in prayer, and a rabbi's repentance, but does not depict a character experiencing mystical cleaving/communion with God.	DISAGREE
Mifalot-HaZadikim_0033	supernatural:perception	True	high	False	high	This is a homiletical/exegetical teaching interpreting a Mishnah and Midrash; no character is depicted perceiving supernaturally.	DISAGREE
Shivhei-Habesht_0181	supernatural:light_or_fire_as_a_sign_of_righteousness	True	high	False	high	The story tests the Besht's righteousness through his supernatural knowledge of hidden matters, not through any depiction of light or fire surrounding him.	DISAGREE
Shivhei-Habesht_0050A	times:birth	True	high	False	high	The story depicts demons harming children and being created from sinful thoughts, but contains no actual birth event of a person.	DISAGREE
Mifalot-HaZadikim_0021	ethics-and-emotions:joy	True	high	False	high	The story centers on self-sacrifice and love of Israel; joy (שמחה) is not depicted.	DISAGREE
Shivhei-Habesht_0014	kabbalah:kabbalistic_terms_yihudim	True	high	False	high	The story describes the Besht using the Zohar to clairvoyantly see the son's location; no yihudim (unifications of divine names) are performed or mentioned.	DISAGREE
Khal-Hasidim_0245	ethics-and-emotions:resisting_temptation	True	high	True	low	The story centers on a wealthy man who committed adultery and on the lesson of loving sinners, not on a character actively resisting temptation.	AGREE
Shivhei-Habesht_0172	times:shabbat	True	high	False	medium	The story involves a meal, prayer (minchah), and a multi-week stay, but Shabbat is not explicitly mentioned as the setting.	DISAGREE
Khal-Hasidim_0111	experience:devekut	True	high	False	high	Story is about the Besht detecting a sin (striking a father) and prescribing penance; no depiction of mystical communion with God.	DISAGREE
Shivhei-Habesht_0126	characters-and-roles:sabbatai_zevi	True	high	False	high	Story is about the Baal Shem Tov rebuking a preacher for slandering Israel; no mention of Sabbatai Zevi or Sabbatean themes.	DISAGREE
Maase-Zadikim_0006	characters-and-roles:demons	True	high	False	high	The story discusses a heavenly court decree and the attribute of judgment, but no demons (shedim/mazikim) appear or are discussed.	DISAGREE
Sipurei-Zadikim_0001	folkloristics:story_type_rapprochement	True	high	False	medium	The story focuses on R. Leib Sarah's hidden activities and miraculous travels witnessed by disciples/companions already within the Hasidic orbit; there is no outsider/skeptic being drawn close.	DISAGREE
Khal-Hasidim_0111	supernatural:communicating_with_the_invisible	True	high	True	high	The Baal Shem Tov supernaturally knows the man's hidden sin (striking his father) without being told, indicating communication with invisible/divine knowledge typical of ruach hakodesh.	AGREE
Khal-Hasidim_0239	experience:devekut	True	high	False	high	Story is about the tzaddik's clairvoyant knowledge of a scoffer's sins and his repentance; no character is depicted experiencing mystical cleaving to God.	DISAGREE
Shivhei-Habesht_0119	times:historical_event	True	high	False	high	The story describes a private incident about writing down the Besht's teachings; no historical event is depicted.	DISAGREE
Khal-Hasidim_0036	experience:journey_to_heaven	True	high	False	high	Story is about the Besht sending a disciple to tell tales and a bishop's repentance; no soul ascent to heaven is depicted.	DISAGREE
Shivhei-Habesht_0005B	supernatural:contraction_of_the_road	True	high	False	high	Story describes Besht's revelation, seclusion, exorcism of a possessing spirit, and rainmaking, but no miraculous contraction of distance/fast travel.	DISAGREE
Khal-Hasidim_0021	spaces:the_land_of_israel	True	high	False	high	Story is set in Eastern Europe (Kolomyia, Besht's home); no mention of the Land of Israel.	DISAGREE
Khal-Hasidim_0223	characters-and-roles:elijah_the_prophet	True	high	False	high	Elijah the prophet does not appear in this story about R. Moshe Leib of Sasov.	DISAGREE
Adat-Zadikim_0010	characters-and-roles:tavern_keeper	True	high	False	high	The story involves a wealthy host, a shochet, and a preacher, but no tavern keeper appears.	DISAGREE
Khal-Hasidim_0127	experience:journey_to_heaven	True	high	False	high	The story describes the Besht's death and instructions to his son, not an ascent of the soul to upper worlds while alive.	DISAGREE
Shivhei-Habesht_0096A	characters-and-roles:hidden_righteous	True	high	False	high	Story features the Baal Shem Tov and his disciple the Maggid openly; no hidden righteous/nistar figure depicted.	DISAGREE
Khal-Hasidim_0177	ethics-and-emotions:lying	True	medium	True	high	The story depicts the informer Avigdor falsely denouncing/slandering tzaddikim to government authorities, which constitutes deceitful accusations.	AGREE
Mifalot-HaZadikim_0017	characters-and-roles:magician	True	high	False	high	The wonder is performed by the rebbe (a tzadik), not by a non-Jewish magician/wonder-worker; no מכשף character appears.	DISAGREE
Sipurei-Zadikim_0003	kabbalah:kabbalistic_terms_kavvanot	True	high	False	high	Story is about a miraculous loan repayment via salt-preserved promissory note; no mention of Lurianic kavvanot or mystical prayer intentions.	DISAGREE
Shivhei-Habesht_0133	spaces:the_land_of_israel	True	high	True	low	Mentions 'צרות של ישראל' (troubles of Israel/Jewish people) but not the Land of Israel as setting or destination; no depiction of Eretz Yisrael.	AGREE
Shivhei-Habesht_0181	times:death	True	high	False	high	The story depicts a test of the Besht's clairvoyance and discovery of a sin, with no death event.	DISAGREE
Shivhei-Habesht_0048	experience:devekut	True	medium	False	high	The story depicts the Besht's prayer being impressive and his mystical intervention to save a Jew, but does not depict any character experiencing devekut/mystical communion with God.	DISAGREE
Sipurei-Zadikim_0004	social:inter_hasidic_inheritance_of_leadership	True	high	False	high	Story is about a tzaddik arranging a miraculous match for a follower; no mention of inheritance of Hasidic leadership.	DISAGREE
Shivhei-Habesht_0096A	folkloristics:story_type_death_of_the_tsaddik	True	high	False	high	Story is about the Maggid/preacher's dream-taught sermons and travels; mentions a rabbi's deathbed instruction in passing but central narrative is not the death of a tsaddik.	DISAGREE
Adat-Zadikim_0023	spaces:heaven	True	high	False	high	The story is set entirely in Krakow; Elijah appears on earth to study with R. Chaim, but there is no scene set in heaven or an ascent to upper worlds.	DISAGREE
Khal-Hasidim_0082	social:retrospective_recognition	True	high	True	medium	R' David recognizes R' Akiva by his voice when the martyred souls arrive at the Besht's table — a retrospective recognition of identities of the slain holy souls.	AGREE
Shivhei-Habesht_0169	characters-and-roles:elijah_the_prophet	True	high	False	high	Story features the Baal Shem Tov and R. Chaim Krasner discussing name gematria; Elijah the prophet does not appear.	DISAGREE
Shivhei-Habesht_0193	experience:journey_to_heaven	True	high	False	high	Story is about the Besht detecting a hidden sin (striking father) and prescribing repentance; no soul-ascent to upper worlds occurs.	DISAGREE
Khal-Hasidim_0158	ethics-and-emotions:repentance	True	high	False	high	The wealthy man is rebuked and exposed for his cruelty but does not turn from his sin; no teshuvah is depicted.	DISAGREE
Khal-Kdoshim_0003	social:poverty	True	high	False	high	Story concerns persecution by Ishmaelites and a bishop, ransom via jeweled gift; poverty is not depicted or discussed.	DISAGREE
Khal-Hasidim_0158	ethics-and-emotions:adultery	True	high	False	high	Story concerns brotherly debt, charity refused, and reincarnation — no adultery.	DISAGREE
Mifalot-HaZadikim_0045	ethics-and-emotions:adultery	True	high	False	high	Story is about humility and a scholar's encounter with R. Elimelech; no adultery content.	DISAGREE
Shivhei-Habesht_0143	supernatural:magic	True	high	False	high	Story describes a mystical/clairvoyant perception by the Besht (sensing a death via soiled tzitzit), not sorcery or forbidden magic.	DISAGREE
Khal-Hasidim_0080	ethics-and-emotions:pride	True	high	False	medium	The story mentions R. Nachman taking offense at the Maggid's silence, but does not frame pride/arrogance (גאוה) as a depicted moral failing.	DISAGREE
