category,tag,n_stories,n_editions,draft_definition,doubts_or_questions,example_stories,decision,refined_definition
custom,custom:clothing,6,4,"Distinctive Hasidic clothing as the focus of attention (kapota, gartel, shtreimel, beket, white garments).",,,,
ethics-and-emotions,ethics-and-emotions:prohibitions,118,9,"Religious / moral prohibitions (אסור) are at issue in the story — typically a character is told not to do something, or violates a prohibition.","SHARPEN: nearly every sin-story would qualify under a broad reading. Propose tightening: apply only when a specific prohibition is *named/cited* in the text (sex, food, oath, Shabbat), not just any moral lapse.",,,
ethics-and-emotions,ethics-and-emotions:fear,77,9,"A character experiences fear (פחד, חרדה) — typically of God, of a tzaddik, of danger.",BOUNDARY with `ethics-and-emotions:awe`: יראת שמים (fear/awe of Heaven) can be read both ways. Which tag — or both? Define the line so the audit applies consistently.,,,
ethics-and-emotions,ethics-and-emotions:sadness,70,9,"Sadness / melancholy (עצבות, מרה שחורה) — typically as a spiritual problem the story addresses.","SCOPE: is this specifically the Hasidic vice (atzvut, condemned in Hasidic doctrine), or also generic grief? E.g. when a parent mourns a dead child, is that this tag, or out-of-scope as ordinary sorrow?",,,
ethics-and-emotions,ethics-and-emotions:virtues,52,7,A general/unspecified virtue is at issue. Often the story's point is to illustrate one.,"UMBRELLA TAG QUESTION: should this always co-occur with a specific virtue tag (`virtues_humility`/`virtues_poverty`/…), or is it the catch-all for virtues that don't have their own sub-tag?",,,
ethics-and-emotions,ethics-and-emotions:awe,10,3,"Awe (יראה, יראת שמים) — religious awe of God or of a tzaddik.",See `ethics-and-emotions:fear` for the boundary question.,,,
ethics-and-emotions,ethics-and-emotions:prohibition_to_write,1,1,A specific prohibition against writing something down (typically esoteric teaching).,"VIABILITY: only 1 story. Keep as a narrow tag, or fold into `prohibitions` (with the secret content covered by `knowledge:secret_texts`)?",,,
ethics-and-emotions,ethics-and-emotions:punishment,81,9,"A character is punished for wrongdoing (often by Heaven, sometimes by the tzaddik).",,,,
ethics-and-emotions,ethics-and-emotions:repentance,71,8,Repentance (teshuvah) is depicted — a character turns from sin.,,,,
ethics-and-emotions,ethics-and-emotions:anger,55,8,A character is angry — typically as a moral failing or a heated moment.,,,,
ethics-and-emotions,ethics-and-emotions:charity,42,8,"Charity (צדקה) — giving alms, providing for the poor.",,,,
ethics-and-emotions,ethics-and-emotions:virtues_humility,33,7,Humility (ענוה) as a depicted/discussed virtue.,,,,
ethics-and-emotions,ethics-and-emotions:joy,31,9,"Joy (שמחה) as a depicted state, often religious — joy in serving God, joy on a holiday.",,,,
ethics-and-emotions,ethics-and-emotions:adultery,25,7,Adultery (ניאוף) is at issue in the story.,,,,
ethics-and-emotions,ethics-and-emotions:shame,23,4,A character is shamed (בושה) — typically as a spiritual or social consequence.,,,,
ethics-and-emotions,ethics-and-emotions:lust,22,7,Lust / desire (תאוה) is at issue.,,,,
ethics-and-emotions,ethics-and-emotions:virtues_poverty,22,7,"Poverty embraced as a virtue (typically the tzaddik refusing wealth, or living in voluntary poverty).",,,,
ethics-and-emotions,ethics-and-emotions:lying,20,7,Lying / deception by a character.,,,,
ethics-and-emotions,ethics-and-emotions:pride,14,6,Pride / arrogance (גאוה) as a moral failing.,,,,
ethics-and-emotions,ethics-and-emotions:resisting_temptation,6,4,"A character resists a temptation (lust, profit, fame).",,,,
experience,experience:devekut,21,6,A character experiences devekut — mystical cleaving / communion with God.,"PARALLEL TAG: also exists as `practice:devekut`. Is the convention practice = the cultivation, experience = the achieved state? Or accidental duplicate?",,,
experience,experience:mystical,19,5,"A character has a mystical experience — broad. Vision, ascent, devekut, possession, etc.","VIABILITY: this looks like a redundant umbrella — stories tagged with the more-specific experience:* tags would also get this one. Drop, or keep as catch-all for unspecified mystical states?",,,
experience,experience:visions,17,4,A character sees visions — supernatural sights in waking state.,MERGE CANDIDATE with `supernatural:mystical_vision`. Both seem to describe the same thing across categories.,,,
experience,experience:communion_with_god,1,1,Communion with God as a direct experiential category.,VIABILITY: only 1 story. Redundant with `experience:devekut` — merge or drop?,,,
experience,experience:enlightenment,1,1,A character experiences a flash of enlightenment / understanding.,"VIABILITY: only 1 story. If kept, define sharply — what distinguishes 'enlightenment' from 'revelation' / 'mystical'?",,,
experience,experience:mystical:gilui_eliyahu,1,1,Gilui Eliyahu — a revelation of the prophet Elijah to a character.,"TAXONOMY ANOMALY: this is a three-level token (`a:b:c`) when all other tags are two-level. Either flatten to `experience:gilui_eliyahu`, or merge into `characters-and-roles:elijah_the_prophet`.",,,
experience,experience:dream,42,8,"A character has a dream that is depicted in the story (and typically matters for the plot — revelation, warning, etc.).",,,,
experience,experience:revelation,35,6,A character experiences a revelation (giluy) — direct mystical/supernatural disclosure.,,,,
experience,experience:enthusiasm,24,6,A character experiences hitlahavut — religious enthusiasm/burning fervor.,,,,
experience,experience:journey_to_heaven,17,5,Aliyat neshamah — ascent of the soul / journey to upper worlds while alive.,,,,
experience,experience:trembling,6,3,"A character trembles (רעד, חרדה) — physical trembling as religious or supernatural response.",,,,
folkloristics,folkloristics:story_type_rapprochement,37,6,Story whose narrative arc is rapprochement: an outsider/skeptic is drawn close to a tzaddik / Hasidism through the events of the story.,BOUNDARY: where exactly does this end and `story_type_advent` begin? Working hypothesis: rapprochement = a SKEPTIC/opponent is won over; advent = a NEUTRAL outsider discovers the tzaddik for the first time. Confirm or rephrase.,,,
folkloristics,folkloristics:story_type_inauguration,2,2,Story whose central event is a tzaddik's inauguration as rebbe.,MERGE CANDIDATE with `times:inauguration`. See that tag's note.,,,
folkloristics,folkloristics:story_type_parable,2,2,Story that is structured as a parable / mashal told BY a tzaddik (not a story ABOUT a tzaddik).,"VIABILITY: only 2 stories. Keep, or absorb into a broader rhetorical-form tag? Should there be a sub-type for parables with an explicit nimshal (interpretation)?",,,
folkloristics,folkloristics:story_type_ joke,1,1,Story whose point is a witticism / joke told by a tzaddik (or about one).,TYPO in the tag itself — there's an erroneous space after the underscore. Rename to `folkloristics:story_type_joke`.,,,
folkloristics,folkloristics:story_type_prognostication,35,5,Story whose narrative arc is a prediction/prophecy by a tzaddik that comes true.,,,,
folkloristics,folkloristics:story_type_virtues,20,4,"Story whose point is to illustrate the virtues (humility, charity, faith, etc.) of a tzaddik.",,,,
folkloristics,folkloristics:story_type_death_of_the_tsaddik,18,5,"Story whose central narrative is the death of a tzaddik (deathbed scene, last teachings, succession).",,,,
folkloristics,folkloristics:story_type_protection,18,5,"Story whose central narrative is the tzaddik protecting someone from danger (illness, hostile authorities, demons).",,,,
folkloristics,folkloristics:story_type_advent,13,5,Story whose narrative is the first encounter / 'finding' of a tzaddik — a neutral character discovers him.,,,,
folkloristics,folkloristics:story_type_birth_of_the_tsaddik,6,3,Story about the birth of a tzaddik — typically miraculous circumstances.,,,,
folkloristics,folkloristics:story_type_revelation,6,3,Story whose narrative is the revelation (giluy) of a hidden tzaddik to others or himself.,,,,
halakhah,halakhah:kosher_slaughtering,18,4,"The kashrut/halakhic dimension of slaughter — whether an animal is kosher, treif, problems with the act.",SCOPE QUESTION: is this tag the *halakhic question* (was the slaughter kosher? was the animal treif?) — distinct from practice:ritual_slaughtering (the act) and characters-and-roles:ritual_slaughterer (the person)? Please confirm so the audit prompt can distinguish.,,,
halakhah,halakhah:tvilah,4,3,Halakhic ritual immersion (טבילה) — the legal/halakhic dimension specifically.,"MERGE CANDIDATE: also exists as `practice:tvilah`. Are these the same thing accidentally split (suggest merge), or is the distinction halakhic-rule vs practice-act (keep both with sharper definitions)?",,,
halakhah,halakhah:prayer,169,9,"Prayer (תפילה) as a depicted activity — formal recitation of liturgy (Shacharit/Mincha/Maariv, the Amidah, Shema, etc.).",,,,
halakhah,halakhah:tefillin,24,4,Putting on / use / discussion of tefillin (phylacteries).,,,,
halakhah,halakhah:circumcision,14,5,Circumcision (ברית מילה) as a halakhic event in the story.,,,,
kabbalah,kabbalah:kabbalistic_terms_yihudim,17,6,"Use of Lurianic yihudim (יחודים, ייחודים) — mystical 'unifications' of divine names or sefirot performed contemplatively, typically by a tzaddik or kabbalist.",Should the definition explicitly exclude the marital-seclusion sense of יחוד (a couple alone together)? Khal-Hasidim_0105 uses bare יחוד in a non-mystical sense and was correctly rejected by the audit — confirm the definition is sharp enough.,https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0105,,
kabbalah,kabbalah:kabbalistic_terms_kavvanot,11,3,"Use of Lurianic kavvanot (כוונות) — mystical intentions assigned to specific words of prayer or ritual actions. The story depicts a character praying/acting WITH explicit kavvanot, or discusses kavvanot as a kabbalistic concept.","Does generic 'with kavvanah' (בכוונה) in prayer count, or only Lurianic-style named kavvanot tied to specific divine names/sefirot? Khal-Hasidim_0028 says the Yom Kippur prayers ascended because they were prayed 'with kavvanah' — should this kind of story be tagged kavvanot, or is it too generic?",https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0028,,
knowledge,knowledge:practical_kabbalah,3,3,"Practical kabbalah (קבלה מעשית) — use of mystical knowledge to effect concrete results (amulets, healings, manipulation of names/spirits).","MERGE CANDIDATE: is this the umbrella for practice:use_of_holy_names + practice:writing_amulets, or genuinely a third orthogonal tag? Currently 3 stories.",,,
knowledge,knowledge:esoteric,66,6,"Esoteric / hidden knowledge (תורת הסוד, נסתר) — kabbalah, mystical doctrines, knowledge accessible only to initiates.",,,,
knowledge,knowledge:secret_texts,4,2,"Possession, transmission, or use of secret/hidden manuscripts (כתבים, כתבי הסוד) — typically kabbalistic.",,,,
profession,profession:tavern_keeper,1,1,"A character whose profession is tavern-keeper / innkeeper (אורנדאר, פונדקאי).","CATEGORY VIABILITY: the whole `profession:*` category has only 3 tags, 1 story each. Fold all into `characters-and-roles:*` and drop the category?",,,
profession,profession:melamed,1,1,A character whose profession is melamed (teacher of young children) — central enough to be tagged.,,,,
profession,profession:scribe,1,1,A character whose profession is sofer (scribe of Torah scrolls / amulets).,,,,
social-relations,social-relations:inter_hasidic_master_disciple_relationship,213,9,The relationship between a Hasidic master (rebbe) and his disciple is central.,"SHARPEN: the most-tagged social-relations tag (213 stories). Risk of being a default applied to nearly any Hasidic story. Propose: apply only when the relationship itself is the *subject* of the story (mentoring, succession, testing, breaking off), not when a disciple merely appears alongside his master.",,,
social-relations,social-relations:with_non_hasidim,89,8,Interaction with mitnagdim / non-Hasidic Jews (typically maskilim or opponents).,"SCOPE: is this specifically *opposition-tinged* (mitnagdim, maskilim), or also any non-Hasidic Jew (e.g. an outsider rabbi who is friendly)?",,,
social-relations,social-relations:conflict,81,8,"Conflict — typically the tzaddik in conflict with an antagonist (Jewish opponent, non-Jew, demon).","UMBRELLA TAG QUESTION: should this always co-occur with a more-specific `with_*` tag that names the counter-party, or stand alone when the conflict is unspecified?",,,
social-relations,social-relations:inter_hasidic,65,8,Interaction among Hasidim — not specifically the master-disciple relationship.,"BOUNDARY with `inter_hasidic_master_disciple_relationship`: when is one and when the other? Default to disciple-relationship when both apply, or always tag both?",,,
social-relations,social-relations:with_the_authorities,62,8,"Interaction with state authorities — government officials, governors, the Tsar, etc.","BOUNDARY with `with_non_jews`: the authorities are almost always non-Jewish, so this tag effectively overlaps. Is it kept distinct because *power asymmetry* is the salient feature, while `with_non_jews` is about ethnicity? Confirm.",,,
social-relations,social-relations:marriage,21,7,"Marriage — the event, or the institution as the subject.","BOUNDARY with `marriage_matchmaking`: is this only the wedding event itself, while matchmaking covers everything pre-wedding (search, negotiation, agreement)? Sharpen.",,,
social-relations,social-relations:competition,16,3,"Competition between two tzaddikim, or between a tzaddik and a rival.",MERGE CANDIDATE with `social-relations:inter_hasidic_conflict_between_tsaddikim` — is `competition` the milder form (rivalry without open conflict) and the longer name reserved for open conflict? Or accidental duplicate?,,,
social-relations,social-relations:converts_and_conversion,13,6,Conversion to Judaism (or apostasy from it) is at issue.,SCOPE: should the definition distinguish conversion-IN (גר) from conversion-OUT (apostasy)? They're very different phenomena and deserve different tags or at least different sub-types.,,,
social-relations,social-relations:inter_hasidic_conflict_between_tsaddikim,8,4,Conflict specifically between two tzaddikim (rebbes).,See `competition` for the merge / sub-type question.,,,
social-relations,social-relations:with_non_jews,96,9,"Interaction with non-Jews (גוים, ערלים) — including nobles, peasants, priests, etc.",,,,
social-relations,social-relations:retrospective_recognition,69,8,A character belatedly recognizes the tzaddik's identity / righteousness / past actions.,,,,
social-relations,social-relations:with_non_jews_hostility_against_jews,37,8,Non-Jewish hostility / antisemitism / pogrom-style violence against Jews.,,,,
social-relations,social-relations:marital_relationship,36,8,The marital relationship between two characters (typically a married couple) is depicted.,,,,
social-relations,social-relations:marriage_matchmaking,31,8,Matchmaking (שידוך) — arranging a marriage.,,,,
social-relations,social-relations:disobedience,24,7,"A character disobeys an instruction — usually from the tzaddik, with consequences.",,,,
social-relations,social-relations:inter_hasidic_inheritance_of_leadership,17,5,Succession of leadership from one rebbe to the next (usually father-to-son).,,,,
social-relations,social-relations:with_sinners,12,4,"Interaction with Jewish sinners (averyianim) — the tzaddik reaching out, drawing back, judging.",,,,
social-relations,social-relations:divorce,7,5,Divorce is depicted or at issue.,,,,
social-relations,social-relations:excommunication,6,3,"Excommunication (חרם, נדה) imposed on someone.",,,,
spaces,spaces:the_land_of_israel,25,5,"The Land of Israel (ארץ ישראל, א״י, ירושלים, צפת, חברון) is the setting or the destination of travel.","SCOPE: does a mere mention (e.g. 'he sent money for the poor of Israel', 'they prayed for the return to Zion') count, or only a story whose setting is actually there or characters who actually travel there?",,,
spaces,spaces:rabbinical_court,4,2,A rabbinical court (בית דין) is a setting — legal/halakhic proceedings.,RENAME: confusing — at first glance reads as 'court of a rabbi' (which is the rebbe's hasidic court). Consider renaming to `spaces:beit_din`.,,,
spaces,spaces:heaven,39,7,"Heaven / upper worlds (שמים, גן עדן, היכלות) appears in the story as a SETTING — the action happens there, or a character ascends.",,,,
spaces,spaces:mikveh,23,3,A mikveh (ritual bath) is a setting in the story — a scene takes place there.,,,,
spaces,spaces:hell,9,2,Hell / gehinnom / the punishment-realm appears as a setting.,,,,
spaces,spaces:institutions_beth_midrash,6,3,A beit midrash / yeshiva (study hall) is a setting.,,,,
spaces,spaces:institutions_hassidic_court,6,4,"The hasidic court (חצר הצדיק, חצר) — the rebbe's residence/community space.",,,,
supernatural,supernatural:perception,295,9,"A character perceives supernaturally — sees things others can't, knows things he couldn't know normally (ruach hakodesh).","SHARPEN: this is by far the most-tagged tag in the corpus (295 stories) and risks being applied trivially. Should it require an *explicit* perception event (the tzaddik says something he couldn't know, sees through walls, etc.), not just 'is a tzaddik with insight'?",,,
supernatural,supernatural:magic,85,9,"Magic / sorcery (כישוף) — performed by witches, non-Jewish magicians, or Jews using forbidden practices.","SCOPE: when a Jew uses divine names to effect concrete change, is that `magic` (suggesting forbidden) or `practice:use_of_holy_names` / `knowledge:practical_kabbalah` (suggesting legitimate)? Likely depends on the text's framing — confirm convention.",,,
supernatural,supernatural:communicating_with_the_invisible,29,4,"A character communicates with invisible beings — angels, souls, voices from heaven (bat kol), etc.","VIABILITY: appears to be an umbrella for several more-specific tags (`conversing_with_the_dead`, `angels`, …). Is this kept as the catch-all when none of the specifics fits, or should it always co-occur with one of them?",,,
supernatural,supernatural:miracle,29,6,A miracle (נס) is depicted — a specific supernatural intervention.,"SHARPEN: what *isn't* a miracle in a Hasidic story? To avoid trivial application, propose: only apply when the text itself uses the word נס / מופת, or when the supernatural intervention is structured as a discrete event with a before/after (vs. ambient miraculousness).",,,
supernatural,supernatural:pregnancy,22,5,Miraculous / supernatural pregnancy or conception (typically: a childless woman conceives via a tzaddik's blessing).,RENAME: the bare word 'pregnancy' doesn't communicate 'miraculous'. Rename to `supernatural:miraculous_pregnancy`?,,,
supernatural,supernatural:mystical_vision,10,3,"A character has a mystical vision of something supernatural (faces glowing, the upper worlds, etc.).",MERGE CANDIDATE with `experience:visions`.,,,
supernatural,supernatural:prognostication,122,9,A character (typically a tzaddik) predicts a future event that comes true.,,,,
supernatural,supernatural:conversing_with_the_dead,70,8,A living character converses with a dead person (typically a tzaddik communing with the soul of a deceased rebbe).,,,,
supernatural,supernatural:demons,31,6,"Demons / evil spirits (שדים, מזיקים) appear in the story.",,,,
supernatural,supernatural:light_or_fire_as_a_sign_of_righteousness,31,6,Light or fire appears around a character as a sign of his righteousness (typical: Torah-study illuminated by celestial fire).,,,,
supernatural,supernatural:reincarnation,28,5,Reincarnation (gilgul) of a soul is depicted or central to the plot.,,,,
supernatural,supernatural:angels,25,4,Angels (מלאכים) appear in the story.,,,,
supernatural,supernatural:contraction_of_the_road,13,5,Kefitzat ha-derekh — miraculous contraction of distance / fast travel.,,,,
supernatural,supernatural:angel_of_death,7,3,"The Angel of Death (מלאך המוות, סמאל) appears as an agent in the story.",,,,
times,times:holidays,39,9,"The story takes place on a Jewish holiday (Pesach, Sukkot, Yom Kippur, Rosh Hashana, Purim, Chanukah, etc.).","GRANULARITY: should specific holidays each get their own sub-tag (times:yom_kippur, times:purim, …)? Currently the lump covers ~40 stories with no internal distinction. Worth splitting before the audit, or keep as one?",,,
times,times:historical_event,24,5,"A historical event is part of the story's setting (a war, a decree, a famous gathering).",SCOPE: a passing reference vs. a plot-driving event — where to draw the line?,,,
times,times:inauguration,8,4,"Inauguration / installation of a tzaddik as rebbe of a community (kabbalat malkhut, accepting leadership).","MERGE CANDIDATE: probably the same tag as `folkloristics:story_type_inauguration`, just classified as event vs genre. Confirm: keep both with sharper line, or merge?",,,
times,times:death,73,8,"A death is a depicted event in the story (of a tzaddik, a relative, an antagonist, etc.).",,,,
times,times:shabbat,53,6,"The story takes place on / centers on Shabbat (שבת קודש, ערב שבת, מוצאי שבת).",,,,
times,times:birth,19,5,"A birth is a depicted event in the story (typically the birth of a future tzaddik, or of a child whose birth required a miracle).",,,,
times,times:eschatology,6,3,"Eschatological events / end-of-days themes — coming of messiah, end-times signs, world-to-come (עולם הבא).",,,,
_anomalous_,"assistant:scribe,practice:writing_amulets",1,,,"ANOMALY (bad-sep): Multiple tag values comma-glued into a single `<span ana>` instead of separate spans. Recommendation: Split into separate `<span>` elements, one per intended tag.",,,
_anomalous_,"assistant:scribe,profession:scribe",1,,,"ANOMALY (bad-sep): Multiple tag values comma-glued into a single `<span ana>` instead of separate spans. Recommendation: Split into separate `<span>` elements, one per intended tag.",,,
_anomalous_,"experience:mystical,appearance_shaking",1,,,"ANOMALY (bad-sep): Multiple tag values comma-glued into a single `<span ana>` instead of separate spans. Recommendation: Split into separate `<span>` elements, one per intended tag.",,,
_anomalous_,"practice:magic,besht_as_kabbalist",1,,,"ANOMALY (bad-sep): Multiple tag values comma-glued into a single `<span ana>` instead of separate spans. Recommendation: Split into separate `<span>` elements, one per intended tag.",,,
_anomalous_,"practice:prayer,experience:shaking_during_prayer",1,,,"ANOMALY (bad-sep): Multiple tag values comma-glued into a single `<span ana>` instead of separate spans. Recommendation: Split into separate `<span>` elements, one per intended tag.",,,
_anomalous_,"practice:ritual_bathing, practice:prayer",1,,,"ANOMALY (bad-sep): Multiple tag values comma-glued into a single `<span ana>` instead of separate spans. Recommendation: Split into separate `<span>` elements, one per intended tag.",,,
_anomalous_,"profession:tavern_keeping,tavern_owner",1,,,"ANOMALY (bad-sep): Multiple tag values comma-glued into a single `<span ana>` instead of separate spans. Recommendation: Split into separate `<span>` elements, one per intended tag.",,,
_anomalous_,advent_story,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,alien_thoughts,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,amulets,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,animals,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,appearance_shaking,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,authority,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,childhood,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,clothing,5,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,competition_with_doctor,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,complete,7,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,concealment,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,confirmation,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,coronation,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,custom,2,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,debate,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,divination,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,double,2,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,financial-support-to-the-tsaddik,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,halakhah,24,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,kabbalah,31,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,mikveh,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,non_jewish_property_owner,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,not-a-hasidic-story,2,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,poverty,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,radiance,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
