story_id	tag	prompt_hash	model	applies	confidence	reasoning	ts
Khal-Hasidim_0009	practice:fasting	7c717ba2	opus-cli	True	high	Besht decreed a communal fast for rain (גזר תענית).	2026-05-25T21:01:31Z
Khal-Hasidim_0128	practice:fasting	7c717ba2	opus-cli	False	high	'צם' inside להתעצם (to strive); not fasting.	2026-05-25T21:01:31Z
Khal-Hasidim_0115	practice:fasting	7c717ba2	opus-cli	False	high	'צום' inside עצום (mighty).	2026-05-25T21:01:31Z
Shivhei-Harav_0004	practice:fasting	7c717ba2	opus-cli	False	high	'צום' inside צמצום (precision).	2026-05-25T21:01:31Z
Peer-MiKdoshim_0001	practice:fasting	7c717ba2	opus-cli	False	high	'צום' inside עצום (mighty).	2026-05-25T21:01:31Z
Shivhei-Habesht_0193	practice:fasting	7c717ba2	opus-cli	True	high	Penance to fast Mondays and Thursdays (שיתענה ב׳ וה׳).	2026-05-25T21:01:31Z
Mifalot-HaZadikim_0021	practice:fasting	7c717ba2	opus-cli	False	high	'צום' inside עצום; no fast.	2026-05-25T21:01:31Z
Khal-Hasidim_0111	practice:fasting	7c717ba2	opus-cli	True	high	Penance to fast Mondays and Thursdays.	2026-05-25T21:01:31Z
Mifalot-HaZadikim_0025	practice:fasting	7c717ba2	opus-cli	False	high	'צם' homograph; no fast depicted.	2026-05-25T21:01:31Z
Peer-MiKdoshim_0008	practice:fasting	7c717ba2	opus-cli	False	high	'צם' inside עצם (essence).	2026-05-25T21:01:31Z
Khal-Kdoshim_0006	practice:fasting	7c717ba2	opus-cli	False	low	'תענית אסתר' as a calendar time-marker, not depicted fasting (Purim drinking is the scene).	2026-05-25T21:01:31Z
Shivhei-Habesht_0110	practice:fasting	7c717ba2	opus-cli	False	high	'צם' homograph; scene is about brandy.	2026-05-25T21:01:31Z
Peer-MiKdoshim_0016	practice:fasting	7c717ba2	opus-cli	False	high	'צום' inside עצום.	2026-05-25T21:01:31Z
Mifalot-HaZadikim_0014	practice:fasting	7c717ba2	opus-cli	False	high	"'צם' homograph; scene about yi""sh."	2026-05-25T21:01:31Z
Khal-Hasidim_0199	practice:fasting	7c717ba2	opus-cli	True	high	Rebbe critiques a scholar for fasting all week (התענת כל השבוע).	2026-05-25T21:01:31Z
Shivhei-Habesht_0170	practice:fasting	7c717ba2	opus-cli	True	high	Penitential fast week to week for keri (התענה משבת לשבת).	2026-05-25T21:01:31Z
Maase-Zadikim_0015	practice:fasting	7c717ba2	opus-cli	False	high	'עצום' (mighty).	2026-05-25T21:01:31Z
Shivhei-Habesht_0013	practice:fasting	7c717ba2	opus-cli	False	high	'מעצם' (from the essence).	2026-05-25T21:01:31Z
Khal-Hasidim_0220	practice:fasting	7c717ba2	opus-cli	False	high	'ועצם את עיניו' = closed his eyes.	2026-05-25T21:01:31Z
Khal-Hasidim_0082	practice:drinking_alcohol	fe1c8c08	opus-cli	False	low	Kiddush wine (קידש על היין) — incidental ritual, definitional edge.	2026-05-25T21:01:31Z
Shivhei-Habesht_0097	practice:drinking_alcohol	fe1c8c08	opus-cli	False	low	Kiddush wine; ritual, incidental.	2026-05-25T21:01:31Z
Khal-Hasidim_0170	practice:drinking_alcohol	fe1c8c08	opus-cli	True	high	Drinks brandy until he collapses drunk (יין שרף... משכרותו).	2026-05-25T21:01:31Z
Shivhei-Habesht_0034	practice:drinking_alcohol	fe1c8c08	opus-cli	False	high	'יין' inside ומעיין (gazing/studying).	2026-05-25T21:01:31Z
Mifalot-HaZadikim_0021	practice:drinking_alcohol	fe1c8c08	opus-cli	False	low	Wine as merchandise / yayin nesech concern, not a drinking scene.	2026-05-25T21:01:31Z
Maase-Zadikim_0006	practice:drinking_alcohol	fe1c8c08	opus-cli	True	high	Parallel; drinks brandy to drunkenness.	2026-05-25T21:01:31Z
Khal-Hasidim_0140	practice:drinking_alcohol	fe1c8c08	opus-cli	False	high	'יין' inside ומעיין.	2026-05-25T21:01:31Z
Khal-Hasidim_0139	practice:drinking_alcohol	fe1c8c08	opus-cli	False	high	'יין' inside לעיין (to examine).	2026-05-25T21:01:31Z
Khal-Hasidim_0080	practice:drinking_alcohol	fe1c8c08	opus-cli	False	low	Kiddush wine; ritual.	2026-05-25T21:01:31Z
Khal-Hasidim_0229	practice:drinking_alcohol	fe1c8c08	opus-cli	True	medium	Given brandy to revive him (מעט יין שרף להחיות נפשו).	2026-05-25T21:01:31Z
Khal-Hasidim_0239	practice:drinking_alcohol	fe1c8c08	opus-cli	False	low	Leftover Havdalah wine passed to a magnate; not a drinking scene.	2026-05-25T21:01:31Z
Shivhei-Habesht_0091	practice:drinking_alcohol	fe1c8c08	opus-cli	False	low	Kiddush wine; ritual.	2026-05-25T21:01:31Z
Shivhei-Habesht_0197	practice:drinking_alcohol	fe1c8c08	opus-cli	False	high	'שתו' inside נשתומם (astonished).	2026-05-25T21:01:31Z
Shivhei-Habesht_0014	practice:drinking_alcohol	fe1c8c08	opus-cli	False	low	No clear drinking scene; term incidental.	2026-05-25T21:01:31Z
Khal-Hasidim_0088	practice:drinking_alcohol	fe1c8c08	opus-cli	False	low	No clear drinking scene.	2026-05-25T21:01:31Z
Khal-Hasidim_0028	practice:drinking_alcohol	fe1c8c08	opus-cli	False	low	No clear drinking scene.	2026-05-25T21:01:31Z
Shivhei-Habesht_0110	practice:drinking_alcohol	fe1c8c08	opus-cli	True	medium	"Rebbe serves/sells brandy to rovers (קנה י""ש ומכר... לאכול ולשתות)."	2026-05-25T21:01:31Z
Khal-Hasidim_0017	practice:drinking_alcohol	fe1c8c08	opus-cli	False	low	No clear drinking scene.	2026-05-25T21:01:31Z
Shivhei-Habesht_0086	practice:drinking_alcohol	fe1c8c08	opus-cli	True	medium	Besht gives a flask of wine to drink and blesses it (צלוחית יין לשתות).	2026-05-25T21:01:31Z
Khal-Hasidim_0025	practice:drinking_alcohol	fe1c8c08	opus-cli	False	low	Parallel of 0014; term incidental.	2026-05-25T21:01:31Z
Khal-Hasidim_0170	practice:music	2672a951	opus-cli	False	high	'שיר' inside עשיר (wealthy).	2026-05-25T21:01:31Z
Khal-Hasidim_0115	practice:music	2672a951	opus-cli	False	high	'שיר' inside עשיר.	2026-05-25T21:01:31Z
Khal-Hasidim_0211	practice:music	2672a951	opus-cli	False	high	'שיר' inside עשיר.	2026-05-25T21:01:31Z
Khal-Hasidim_0040	practice:music	2672a951	opus-cli	True	high	Sang Lecha Dodi in the Besht's niggun (לזמר... בניגון).	2026-05-25T21:01:31Z
Khal-Hasidim_0070	practice:music	2672a951	opus-cli	False	low	'מזמור שיר ליום השבת' = psalm title (overlaps recitation_of_psalms), not depicted music.	2026-05-25T21:01:31Z
Khal-Hasidim_0001	practice:music	2672a951	opus-cli	True	high	Sang with the children in a pleasant voice (מזמר עמהם בקול נעים).	2026-05-25T21:01:31Z
Peer-MiKdoshim_0008	practice:music	2672a951	opus-cli	False	high	'שיר' inside שירגיש (will feel).	2026-05-25T21:01:31Z
Khal-Hasidim_0102	practice:music	2672a951	opus-cli	False	high	'שיר' inside עשיר.	2026-05-25T21:01:31Z
Maase-Zadikim_0006	practice:music	2672a951	opus-cli	False	high	'שיר' inside עשיר.	2026-05-25T21:01:31Z
Khal-Hasidim_0239	practice:music	2672a951	opus-cli	False	high	'שיר' inside עשירים.	2026-05-25T21:01:31Z
Khal-Hasidim_0140	practice:music	2672a951	opus-cli	False	high	'שיר' inside שירפא (that he heal).	2026-05-25T21:01:31Z
Peer-MiKdoshim_0001	practice:music	2672a951	opus-cli	False	high	'שיר' inside העשיר.	2026-05-25T21:01:31Z
Khal-Hasidim_0156	practice:music	2672a951	opus-cli	True	medium	Said Torah and hymns/zemiros (תורה ושירות) at the meal.	2026-05-25T21:01:31Z
Khal-Hasidim_0143	practice:music	2672a951	opus-cli	True	high	Sang zemiros as customary at the third meal (וישירו זמירות כנהוג).	2026-05-25T21:01:31Z
Shivhei-Habesht_0079	practice:music	2672a951	opus-cli	False	low	'מזמור שיר' psalm title, not depicted music.	2026-05-25T21:01:31Z
Khal-Hasidim_0222	practice:music	2672a951	opus-cli	False	high	'שיר' inside עשיר.	2026-05-25T21:01:31Z
Khal-Hasidim_0116	practice:music	2672a951	opus-cli	False	low	'פרק שירה' referenced as a text, not depicted music.	2026-05-25T21:01:31Z
Khal-Hasidim_0243	practice:music	2672a951	opus-cli	False	high	'שיר' inside עשיר (homograph).	2026-05-25T21:01:31Z
Maase-Zadikim_0015	practice:music	2672a951	opus-cli	False	high	'שיר' inside עשיר.	2026-05-25T21:01:31Z
Khal-Hasidim_0158	practice:music	2672a951	opus-cli	False	high	'שיר' inside עשיר.	2026-05-25T21:01:31Z
Mifalot-HaZadikim_0022	practice:redemption_of_captives	8ea4598c	opus-cli	True	high	Traveled to gather money for ransoming captives (לקבץ ממון על פדיון שבוים).	2026-05-25T21:01:31Z
Shivhei-Habesht_0097	practice:redemption_of_captives	8ea4598c	opus-cli	True	medium	Pavlitsh captives (השבוים); fundraising around captives depicted, though the darshan abused it.	2026-05-25T21:01:31Z
Khal-Hasidim_0082	practice:redemption_of_captives	8ea4598c	opus-cli	True	medium	Pavlitsh captives (השבוים); fundraising around captives depicted, though the darshan abused it.	2026-05-25T21:01:31Z
Khal-Hasidim_0140	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0048	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0054	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0034	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0102	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0014	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0086	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0139	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0197	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0116	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0025	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0173A	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0022	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0138	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0160	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0071	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0017	practice:redemption_of_captives	8ea4598c	opus-cli	False	medium	Embedding-only neighbor; no captive-ransom depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0197	practice:use_of_holy_names	0ba713fc	opus-cli	True	high	Besht sitting and performing yichudim (מיחד יחודים).	2026-05-25T21:01:31Z
Khal-Hasidim_0116	practice:use_of_holy_names	0ba713fc	opus-cli	True	high	Besht sitting and performing yichudim (מיחד יחודים).	2026-05-25T21:01:31Z
Khal-Hasidim_0139	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0034	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0086	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0071	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0014	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0140	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0048	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0097	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0102	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0050	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0082	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0086	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0170	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0032	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0172	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0055	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0060	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0173A	practice:use_of_holy_names	0ba713fc	opus-cli	False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0045	practice:writing_amulets	ad94c074	opus-cli	True	medium	An amulet (קמיע) is central — sewn under the cap and worn; though writing not shown.	2026-05-25T21:01:31Z
Adat-Zadikim_0009	practice:writing_amulets	ad94c074	opus-cli	True	medium	An amulet (קמיע) is central — sewn under the cap and worn; though writing not shown.	2026-05-25T21:01:31Z
Shivhei-Habesht_0034	practice:writing_amulets	ad94c074	opus-cli	False	medium	Embedding-only neighbor; no amulet depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0048	practice:writing_amulets	ad94c074	opus-cli	False	medium	Embedding-only neighbor; no amulet depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0110	practice:writing_amulets	ad94c074	opus-cli	False	medium	Embedding-only neighbor; no amulet depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0140	practice:writing_amulets	ad94c074	opus-cli	False	medium	Embedding-only neighbor; no amulet depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0014	practice:writing_amulets	ad94c074	opus-cli	False	medium	Embedding-only neighbor; no amulet depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0086	practice:writing_amulets	ad94c074	opus-cli	False	medium	Embedding-only neighbor; no amulet depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0165	practice:writing_amulets	ad94c074	opus-cli	False	medium	Embedding-only neighbor; no amulet depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0172	practice:writing_amulets	ad94c074	opus-cli	False	medium	Embedding-only neighbor; no amulet depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0139	practice:writing_amulets	ad94c074	opus-cli	False	medium	Embedding-only neighbor; no amulet depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0173A	practice:writing_amulets	ad94c074	opus-cli	False	medium	Embedding-only neighbor; no amulet depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0076	practice:writing_amulets	ad94c074	opus-cli	False	medium	Embedding-only neighbor; no amulet depicted.	2026-05-25T21:01:31Z
Shivhei-Habesht_0069	practice:writing_amulets	ad94c074	opus-cli	False	medium	Embedding-only neighbor; no amulet depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0021	practice:recitation_of_psalms	aebace7e	opus-cli	True	high	Reciting Psalms depicted (אמר תהלים / לומר תהילים).	2026-05-25T21:01:31Z
Shivhei-Habesht_0079	practice:recitation_of_psalms	aebace7e	opus-cli	True	high	Reciting Psalms depicted (אמר תהלים / לומר תהילים).	2026-05-25T21:01:31Z
Khal-Hasidim_0140	practice:recitation_of_psalms	aebace7e	opus-cli	True	high	Reciting Psalms depicted (אמר תהלים / לומר תהילים).	2026-05-25T21:01:31Z
Khal-Hasidim_0070	practice:recitation_of_psalms	aebace7e	opus-cli	True	high	Reciting Psalms depicted (אמר תהלים / לומר תהילים).	2026-05-25T21:01:31Z
Shivhei-Habesht_0052	practice:recitation_of_psalms	aebace7e	opus-cli	True	high	Reciting Psalms depicted (אמר תהלים / לומר תהילים).	2026-05-25T21:01:31Z
Khal-Hasidim_0043	practice:recitation_of_psalms	aebace7e	opus-cli	True	high	Reciting Psalms depicted (אמר תהלים / לומר תהילים).	2026-05-25T21:01:31Z
Shivhei-Habesht_0096A	practice:recitation_of_psalms	aebace7e	opus-cli	True	high	Reciting Psalms depicted (אמר תהלים / לומר תהילים).	2026-05-25T21:01:31Z
