story_a	edition_a	url_a	story_b	edition_b	url_b	sim	opening_a	opening_b
Adat-Zadikim_0010	Adat-Zadikim	https://www.hasidic-stories.org/Story/Adat-Zadikim/Adat-Zadikim_0010	Khal-Hasidim_0062	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0062	0.9975	"Adat-Zadikim_10 תיוגים המעשה המבואר בשבחי בעש״ט מהבעש״ט אשר היה אצל הדירזאווצעס דק' סלוצק הרכיב שם חמר גמל ולא סיפרה לאמיתה והוא לא אשם בזה כי עבור המרחק רב אשר מהעיר הנ""ל להכותב שבחי בעש״ט נשתנו הדבר"	"Khal-Hasidim_0062 תיוגים מעשה המבואר בשבחי בעש״ט מהבעש״ט אשר היה אצל הרירזאווצעס בק""ק סלוצק הרכיב שם חמר גמל ולא סיפרה לאמיתה והוא לא אשם בזה כי עבור המרחק רב אשר מהעיר הנ""ל להכותב שבחי בעש״ט נשתנו הד"
Khal-Hasidim_0171	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0171	Maase-Zadikim_0007	maase-zadikim	https://www.hasidic-stories.org/Story/maase-zadikim/Maase-Zadikim_0007	0.9974	"Khal-Hasidim_0171 תיוגים עוד מהרב הקדוש הנ""ל סיפר הרב הצדיק איש אלקים מהר״צ מזידיטשוב ז""ל. מהתגלגלות הסבות מאדון הסבות איך שבא למעזיביז וראה גודל קדושת הרב הקדוש הנ""ל. הרב הצדיק מהר""צ הי' מסתופף בצל ה"	"Maase-Zadikim_0007תיוגיםמהרב הקדוש הנ""ל סיפר הרב הצדיק איש אלקים מהר""צ מזידיטשוב ז""ל. מהתגלגלות הסבות מאדון הסבות איך שבא למעזיביז וראה גודל קדושת הרב הקדוש הנ""ל. הרב הצדיק מהר""צ הי׳ מסתופף בכל הקודש "
Khal-Hasidim_0082	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0082	Shivhei-Habesht_0097	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0097	0.9973	"Khal-Hasidim_0082 תיוגים מעשה עלילה דק""ק פאווליטש וברח הרב דק""ק קארושטיסאב הנקרא בשמו רבי דוד ורצה לברוח עד מדינות וואלחאי כי כל האנשים חשובים אשר סביבותיהם היו מתפחדים שלא יעלילו גם עליהם וכשבא לק""ק "	"Shivhei-Habesht_0097 תיוגים* מעשה עלילה דק""ק פאווליטש וברח הרב דק""ק קארושטיסאב הנקרא בשמו ר׳ דוד ורצה לברוח עד מדינות וואלאחאיי כי כל אנשים חשובים אשר סביבותיהם היו מתפחדים שלא יעלילו גם עליהם וכשבא ל"
Khal-Hasidim_0178	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0178	Shivhei-Harav_0012	Shivhei-Harav	https://www.hasidic-stories.org/Story/Shivhei-Harav/Shivhei-Harav_0012	0.9973	"Khal-Hasidim_0178 תיוגים עתה נחזור להציע לפני הקורא כל הקורות עם הרב הקדוש מעת דרכו רגליו על מפתן הקדוש במעזריטש ונספרם על הסדר ולא נדלג מענין לענין והשמות יובאו בסוף אי""ה : הנה בבוא הרב פעם הראשונה ל"	"Shivhei-Harav_0012 תיוגים עתה נחזור להציע לפני הקורא כל הקורות עם הרב הקדוש מעת דרכו רגליו על מפתן הקדוש במעזריטש ונספרם על הסדר ולא נדלג מענין לענין וההשמטות יובאו בסוף אי""ה : הנה בבוא הרב פעם הראשונ"
Adat-Zadikim_0001	Adat-Zadikim	https://www.hasidic-stories.org/Story/Adat-Zadikim/Adat-Zadikim_0001	Khal-Hasidim_0081	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0081	0.9972	"Adat-Zadikim_1 תיוגים מעשה מלידת הרב הגאון הקדוש מוה׳ ישראל מ״מ דק""ק קאזעניץ : שמעתי מאבא מארי הרב שיחי' מעשה שהבעש״ט ז""ל נבג""מ ישב עם החברי' קדישא שלו על סעודת שבת בערב. ותיכף אחר קידוש שחק הבעש״ט שח"	"Khal-Hasidim_0081 תיוגים מעשה מלידת הרב הגאון הקדוש מו""ה ישראל זצוק""ל מ""מ דק""ק קאזניץ: : מעשה שהבעש״ט ז""ל נבג""מ ישב עם החבריא קדישא שלו על סעודה שבת בערב. ותיכף אחר קידוש שחק הבעש״ט שחוק נורא מאוד עד "
Adat-Zadikim_0016	Adat-Zadikim	https://www.hasidic-stories.org/Story/Adat-Zadikim/Adat-Zadikim_0016	Khal-Hasidim_0173	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0173	0.9971	"Adat-Zadikim_16 תיוגים שמעתי מהה""ג דקהילתינו מעשה בעיר אחת (שכחתי שמה) שהי' שם מסור אחד והציק מאד לכל אנשי העיר במסירותו להאדון העיר. והי׳ שנאוי מאוד מכל אנשי העיר לא הי' לו אפי' אוהב אחד. והי' מתיירא"	"Khal-Hasidim_0173 תיוגים שמעתי מהה""ג דקהלתינו מעשה בעיר אחת (שכחתי שמה) שהי' שם מסור אחד והציק מאד לכל אנשי העיר במסירותיו להאדון העיר. והי\u0027 ויהי' שנוא מאוד מכל אנשי העיר לא הי׳ לו אפי אוהב אחד. "
Khal-Hasidim_0013	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0013	Maase-Zadikim_0005	maase-zadikim	https://www.hasidic-stories.org/Story/maase-zadikim/Maase-Zadikim_0005	0.9971	"Khal-Hasidim_0013 תיוגים מהבעש""ט ז״ל בסטאמביל נודע לכל ומפורסם הנסיעה מהבעש״ט ז""ל לארץ הקדושה כי רצה לראות א""ע עם הרב הקדוש האלקי בעל אור החיים ומן השמים עכבוהו והיה לו צרות גדולות בדרך עד שפעם אחת נע"	"Maase-Zadikim_0005תיוגיםמהבעש""ט ז״ל בסטאמביל נודע לכל ומפורסם הנסיעה מהבעש״ט ז""ל לארץ הקדושה כי רצה לראות א״ע עם הרב הקדוש בעל ספר אור החיים ומן השמים עכבוהו והיה לו צרות גדולות בדרך עד שפעם אחת נעצב "
Khal-Hasidim_0126	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0126	Peer-MiKdoshim_0006	PeerMikdoshim	https://www.hasidic-stories.org/Story/PeerMikdoshim/Peer-MiKdoshim_0006	0.9971	"Khal-Hasidim_0126 תיוגים מעשה מהבעש״ט הקדוש איך משך לב תלמידו הרב הקדוש ר' דוד פירקוס ז""ל אל מדת הבטחון: הרב ר' דוד פירקוס ז""ל היה תלמיד מובהק להבעש״ט זי""ע ובהגיע בתו הבתולה לעת דודים ציוה הרב ר' דוד "	Peer-MiKdoshim_0006תיוגיםועתה מצאתי ראיתי לכתובלכתיב מהבעש״ט מעשה נפלאה והיא הנוגעת אל הבטחון להראות כי בחיוב גמור לדבק אל הצדיק וכל השלם באמונת הצדיק שלם באמונתו יתברך ויען כי ראש אמיר הוא. ועוד בסעי
Khal-Hasidim_0243	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0243	Maase-Zadikim_0018	maase-zadikim	https://www.hasidic-stories.org/Story/maase-zadikim/Maase-Zadikim_0018	0.9971	"Khal-Hasidim_0243 תיוגים עוד מעשה נפלא מהרב הקדוש הגאון המפורסם איש אלקים האבד""ק אפטא ז""ל : בזמן שהיה הרב הקדוש מאפטא במעזיביז היה סמוך אל העיר מעזיבוז רינדאר אחד שהיה פועל ישועות וכל איש אשר בא לגבול"	"Maase-Zadikim_0018תיוגיםמעשה נפלא מהרב הצדיק הגאון המפורסם איש אלקים האבדהאבד ק""ק אפטא ז""ל בזמן שהיה הרב הקדוש מאפטא במעזיביז היה סמוך אל העיר מעזיבוז רינדאר אחד שהיה פועל ישועות וכל איש אשר בא לגבולו"
Adat-Zadikim_0023	Adat-Zadikim	https://www.hasidic-stories.org/Story/Adat-Zadikim/Adat-Zadikim_0023	Khal-Hasidim_0253	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0253	0.9969	"Adat-Zadikim_23 תיוגים עתה נספר את אשר העיד אליהו הנביא ז""ל על רבינו משה ומזה המעשה אשר נספר נקח מוסר לדעת איך צריך האדם להחזיק עצמו בשפלות והמעש׳ שהיתה כך היתה רבינו הנ""ל הי' לו חבר חדר נעוריו היינו "	"Khal-Hasidim_0253 תיוגים עתה נספר את אשר העיד אלי' הנביא ז""ל על רבינו משה ומזה המעשה אשר נספר נקח מוסר לדעת איך צריך האדם להחזיק עצמו בשפלות. והמעשה שהיתה כך היתה רבינו הנ""ל היה לו חבר א' מנעוריו היינ"
Khal-Hasidim_0202	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0202	Maase-Zadikim_0016	maase-zadikim	https://www.hasidic-stories.org/Story/maase-zadikim/Maase-Zadikim_0016	0.9969	"Khal-Hasidim_0202 תיוגים מעשה נפלא מהרב הקדוש הצדיק הגאון המפורסם מו' פנחס מעיר קאריץ זללה""ה. מעשה זו סיפרה הרב הקדוש בוצינא קדישא מו""ה ישראל מרוזין וסאדיגערייא זללה""ה : מפורסם לכל קדושת ארי׳ דבי עילא"	"Maase-Zadikim_0016תיוגיםמעשה נפלא מהרב הקדוש הצדיק הגאון המפורסם מו' פנחס מעיר קאריץ זללה""ה מעשה זו סיפרה הרב הקדוש בוצינא קדיש' מו׳ ישראל ריזין וסאדיגערייא זללה""ה מפורסם לכל קדושת ארי' דבי עילאה הקדו"
Adat-Zadikim_0017	Adat-Zadikim	https://www.hasidic-stories.org/Story/Adat-Zadikim/Adat-Zadikim_0017	Khal-Hasidim_0146	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0146	0.9968	"Adat-Zadikim_17 תיוגים מעשה נוראה מאדונינו האלקי רשכב""ה הרב המגיד הגדול ממעזריטש איך המשיך אליו הדאקטער גארדע עד שנעשה צדיק גדול זכותם יגן עלינו אמן : איש אחד משועי ואצילי וילנא הבירה עבר דרך מעזריטש "	"Khal-Hasidim_0146 תיוגים מעשה נורא מאד מרבינו האלקי רשכב""ה המגיד הגדול ממעזריטש איך המשיך אליו הדאקטער גורדע עד שנעשה צדיק גדול : איש אחד משועי ואצילי וילנא הבירה עבר דרך מעזריטש לעסקו וכאשר שמע מכל ה"
Khal-Hasidim_0115	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0115	Peer-MiKdoshim_0001	PeerMikdoshim	https://www.hasidic-stories.org/Story/PeerMikdoshim/Peer-MiKdoshim_0001	0.9968	"Khal-Hasidim_0115 תיוגים מעשה מהבעש״ט הקדוש זי""ע אשר סיפר הגאון הצדיק ר׳ שלום מקאמינקא זצ״ל : כד אתכנשו כל צדיקי הדור על היא""צ ברופשיץ. באה אשה אחת לפניהם ובתוכם הי׳ הגאון מקאמינקא ז""ל וצעקה האשה בבכי"	"פאר מקדושים Peer-MiKdoshim_0001תיוגים מעשה מהבעש״ט הקדוש זי""ע אשר סיפר הגאון ר׳ שלם מקאמינקא זצ״ל כדאתכנשו כל צדיקי הדור על היא""צ בראפשיץ. באה אשה אחת לפניהם ובתוכם הי׳ הגאון מקאמינקא זי״ע וצעקה האשה "
Khal-Hasidim_0218	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0218	Sipurei-Zadikim_0011	Sipurei-Zadikim	https://www.hasidic-stories.org/Story/Sipurei-Zadikim/Sipurei-Zadikim_0011	0.9968	"Khal-Hasidim_0218 תיוגים עתה נציע לפני הקורא התגלות הרב הגאון הקדוש האלקי ר׳ ישראל פאליצקער שהיה צדיק גדול מגדולי תלמידיו של המגיד הגדול ממעזריטש ז""ל : בעיר פאלעצק במדינת רייסן היה איש אחד מהמוני עם ה"	"Sipurei-Zadikim_0011תיוגים ספורי צדיקים יז עתה נציע לפני הקורא נעים התגלות הרב הגאון הקדוש האלקי ר׳ ישראל פאלעצקר שהיה צדיק גדול מגדולי תלמידיו של המגיד הגדול ממעזריטש ז""ל כי מוסר השכל יוצא מספור הזה "
Khal-Hasidim_0168	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0168	Sipurei-Zadikim_0005	Sipurei-Zadikim	https://www.hasidic-stories.org/Story/Sipurei-Zadikim/Sipurei-Zadikim_0005	0.9967	"Khal-Hasidim_0168 תיוגים עתה נספר אחת אשר סיפר החסיד המפורסם ר' מאיר מבארדיטשוב לפני כבוד קדושת הרב הגדול והקדוש ר' משה מסאווראן אשר הוא ראה את הרה""ק ר׳ ליב שרהעס ביער אצל סוואלק :והמעשה שהיה כך היה ה"	"Sipurei-Zadikim_0005תיוגים עתה נספר את אשר ספר החסיד המפורסםהמפורסים ר׳ מאיר מבארישוב לפני כבוד קדושת הרב הגדול הקדוש ר' משה מסאווראן אשר הוא ראה את הרה""ק ליב שרהס ביער אצל סוואלק והמעשה שהיה כך היה :"
Khal-Hasidim_0210	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0210	Sipurei-Zadikim_0010	Sipurei-Zadikim	https://www.hasidic-stories.org/Story/Sipurei-Zadikim/Sipurei-Zadikim_0010	0.9967	Khal-Hasidim_0210 תיוגים ועתה נציע לפני הקורא מעשה אחת ממופתיו הרבים כאשר יעדנו בהתחלת דיבורנו זה : הנה בעיר אחת מעיירות הסמוכות לספאלע היתה עגונה אחת אשר עזבה אותה בעל נעוריה וחמש עשרה שנים לא שמעה מ	Sipurei-Zadikim_0010תיוגים ועתה נציע לפני הקורא מעשה אחת ממופתיו הרבים כאשר יעדנו בהתחלת דיבורנו זה : הנה בעיר אחת מעיירות מסמוכות לספאלע היתה עגונה אחת אשר עזבה אותה בעל נעוריה וחמש עשרה שנים לא שמעה
Adat-Zadikim_0014	Adat-Zadikim	https://www.hasidic-stories.org/Story/Adat-Zadikim/Adat-Zadikim_0014	Khal-Hasidim_0251	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0251	0.9966	"Adat-Zadikim_14 תיוגים מעשה נורא שקרה בימי הגאון מהרש״א ז""ל בעיר אוסטרא היו שני אנשים שותפים סוחרים והי' מסחרם מלייווינט פשוט כדומה. והיו אוהבים זל""ז כל ימיהם פעם אחד ששמעו כי אצל דוכסה אחת נמצאו סחור"	"Khal-Hasidim_0251 תיוגים מעשה נורא שקרה בימי רבינו הקדוש המהרש""א ז""ל בעיר אוסטרא : בעיר הנ""ל היו שני אנשים שותפים והי' מסחרם מלייוינט פשוט וכדומה. והיו אוהבים זל""ז כל ימיהם פעם אחד ששמעו כי אצל דוכסה "
Khal-Hasidim_0017	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0017	Maase-Zadikim_0001	maase-zadikim	https://www.hasidic-stories.org/Story/maase-zadikim/Maase-Zadikim_0001	0.9966	"Khal-Hasidim_0017 תיוגים עוד מעשה נפלא מהבעש""ט זללה""ה מעשה שהיה בעיר מעזיבוז שהיה שם הבעש""ט זללה""ה זי""ע. והיה שם ת""ח אחד ירא שמים לא פסק פומיה מגירסא יום ולילה. ות""ח הזה היה עני גדול כמעט שלא היה לו מ"	"Maase-Zadikim_0001תיוגים מעשה נפלא מהבעש״ט זללה""ה מעשה שהיה בעיר מעזיביז שהיה שם הבעש״ט זללה""ה זי""ע. והיה שם ת""ח אחד ירא שמים לא פסק פומיה מגירסא יום ולילה. ות""ח הזה היה עני גדול כמעט שלא היה לו מזון "
Khal-Hasidim_0047	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0047	Shivhei-Habesht_0057	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0057	0.9965	"Khal-Hasidim_0047 תיוגים שמעתי מהרב דקהלתינו איש א׳ היה בק""ק מעזריטש וקצת עושר וכשבא סמוך לימי זקנה חשב בלבו מה זה עשיתי כל ימי חיי ומה תהיה עלי שכליתי כל ימי בהבל וריק בלא תורה ובלא מע""ט ולא ידע מה ל"	"Shivhei-Habesht_0057 תיוגים* שמעתי מהרב דקהילתינו איש אחד הי' מק""ק מעזיריטש וקצת עושר וכשבא סמוך לימי זקנה חשב בלבו מה זה עשיתי כל ימי חיי ומה תהיה עלי שכליתי שנותי בהבל וריק בלא תורה ובלא מ״ט ולא ידע"
Khal-Hasidim_0222	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0222	Maase-Zadikim_0015	maase-zadikim	https://www.hasidic-stories.org/Story/maase-zadikim/Maase-Zadikim_0015	0.9963	"Khal-Hasidim_0222 תיוגים מעשה נפלא מהרב הקדוש איש אלקים מו""ה הירש ליב אליקער זללה""ה בין החסידים ואנשי מעשה אשר נלוו והתחברו אל הרב הצדיק והקדוש הנ""ל היה אברך אחד רך בשנים חתן גביר אחד מעיר רחוק כששים "	"Maase-Zadikim_0015תיוגיםמעשה נפלא מהרב הצדיק וקדוש מו""ה הירש ליב אַליקער זללה""ה בין החסידים ואנשי מעשה אשר נלוו והתחברו אל הרב הצדיק והקדוש הנ""ל היה אברך אחד רך בשנים חתן גביר אחד מעיר רחוק כששים פרסא"
Khal-Hasidim_0057	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0057	Shivhei-Habesht_0067	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0067	0.9961	"Khal-Hasidim_0057 תיוגים שמעתי שהי' מוכסין אחד סמוך לק""ק מעזיבוז ובא איש א' ונתן הוספה על הארענדע ונדחה המוכסין מן הכפר ונשאר חייב להאדון דכפר הנ""ל ולא היה לו במה לשלם וצוה האדון וגם המוכסין חדש שלא י"	"Shivhei-Habesht_0067 תיוגים* שמעתי שהי׳ מוכסין אחד סמוך לק""ק מעזיבוז ובא איש אחד ונתן הוספה על הארענדע ונדחה המוכסין מן הכפר ונשאר חייב להאדון דכפר הנ""ל ולא הי' לו במה לשלם וציוה האדון וגם המוכסין חדש"
