story_id	tag	source	source_story	opus_confidence	opus_reasoning
Khal-Hasidim_0002	ethics-and-emotions:awe	propagated	Khal-Hasidim_0004	medium	The story describes wonders and the Besht's powers but does not explicitly depict religious awe (yirah) of God or of a tzaddik as a thematic element.
Mifalot-HaZadikim_0027	ethics-and-emotions:awe	propagated	Khal-Hasidim_0004	medium	Story centers on a hidden tzaddik testing the Besht; no explicit depiction of yirah/awe of God or tzaddik as a theme.
Shivhei-Habesht_0002	ethics-and-emotions:awe	propagated	Khal-Hasidim_0004	medium	While the story shows wonder at the Besht's powers, it does not explicitly depict yirah/awe of God or tzaddik as a thematic focus.
Shivhei-Habesht_0203	ethics-and-emotions:awe	propagated	Khal-Hasidim_0118	medium	The story shows the rabbi's recognition of the Besht's greatness but does not explicitly depict yirah/awe as a theme.
Sipurei-Zadikim_0011	ethics-and-emotions:awe	propagated	Khal-Hasidim_0218	medium	While the story mentions a melamed who was 'מופלג בתורה וביראת שמים' in passing, awe of God or tzaddik is not a depicted theme of the narrative.
Shivhei-Harav_0011	ethics-and-emotions:charity	propagated	Khal-Hasidim_0177	high	Story concerns imprisonment, release, and informers; no depiction of almsgiving (the 'nedavah' to the informer is incidental, not a charity theme).
Adat-Zadikim_0015	ethics-and-emotions:fear	propagated	Khal-Hasidim_0217	medium	No explicit fear depicted; story centers on childlessness, broken engagement, and reconciliation.
Khal-Hasidim_0110	ethics-and-emotions:fear	propagated	Shivhei-Habesht_0192	medium	Story involves anger and a miraculous healing/swap, but no explicit fear is depicted.
Adat-Zadikim_0008	ethics-and-emotions:lust	propagated	Khal-Hasidim_0001	high	Story concerns storytelling, repentance, and a bishop's return to Judaism; no theme of lust/desire (תאוה).
Khal-Hasidim_0036	ethics-and-emotions:lust	propagated	Khal-Hasidim_0001	high	Story concerns repentance, storytelling, and a bishop's return to Judaism; no lust/desire theme.
Maase-Zadikim_0008	ethics-and-emotions:lust	propagated	Khal-Hasidim_0001	high	Story is about love/devotion to God via a king parable; no sexual or bodily desire (תאוה) is depicted.
Shivhei-Habesht_0001	ethics-and-emotions:lust	propagated	Khal-Hasidim_0001	medium	The brief parenthetical mention that the Besht's soul could only descend once his father's desire (תאוותו) was exhausted is incidental, not a depiction of lust.
Shivhei-Habesht_0002	ethics-and-emotions:lust	propagated	Khal-Hasidim_0001	high	Story concerns mystical knowledge, miracles, and the Besht's hidden identity; no theme of lust/desire.
Shivhei-Habesht_0184	ethics-and-emotions:lust	propagated	Khal-Hasidim_0001	high	Story concerns childlessness and desire for children (תאוה לבנים in passing), not lust in the sexual/desire sense the tag denotes.
Adat-Zadikim_0007	ethics-and-emotions:lying	propagated	Khal-Hasidim_0243	high	The rabbi disguises himself to test the innkeeper, but this is a brief incidental disguise, not a deception central to the story; no clear lying act depicted.
Maase-Zadikim_0016	ethics-and-emotions:lying	propagated	Khal-Hasidim_0202	medium	No clear act of lying or deception by a character; the story involves vows, pleading, and informing, but not deceit per se.
Peer-MiKdoshim_0014	ethics-and-emotions:lying	propagated	Khal-Hasidim_0217	medium	The story involves a false accusation against the peasant (theft of horses he didn't commit), but this is mentioned briefly as background; no character is depicted actively lying in the narrative.
Shivhei-Habesht_0005B	ethics-and-emotions:lying	propagated	Khal-Hasidim_0009	medium	No clear act of lying or deception by a character; the story involves revelation, prayer, and healing.
Khal-Hasidim_0167	ethics-and-emotions:virtues	propagated	Adat-Zadikim_0015	medium	Story centers on a tzaddik's miraculous matchmaking and providence, not on illustrating a general virtue.
Khal-Hasidim_0217	ethics-and-emotions:virtues	propagated	Adat-Zadikim_0015	medium	Story centers on sin/punishment/repentance and the tzadik's miraculous intervention, not on illustrating a general virtue.
Khal-Hasidim_0237	ethics-and-emotions:virtues	propagated	Adat-Zadikim_0015	medium	Story centers on a tzaddik's miraculous intervention and rectification of a past wrong (broken engagement) rather than illustrating a general virtue.
Maase-Zadikim_0015	ethics-and-emotions:virtues	propagated	Khal-Hasidim_0222	medium	Story centers on a specific sin (forbidden relations) and repentance/teshuvah rather than illustrating a general virtue.
Peer-MiKdoshim_0015	ethics-and-emotions:virtues	propagated	Adat-Zadikim_0015	medium	The story centers on faith in tzaddikim, divine justice, and punishment for wronging a Jew—not on illustrating a general virtue.
Shivhei-Habesht_0184	ethics-and-emotions:virtues	propagated	Adat-Zadikim_0015	medium	Story centers on a miraculous prophecy/encounter with Jonah ben Amittai, not on illustrating a general virtue.
Shivhei-Habesht_0198	ethics-and-emotions:virtues	propagated	Khal-Hasidim_0117	medium	Story centers on repentance and rescue of a soul from apostasy; specific themes (teshuva, soul-rescue) rather than a general unspecified virtue.
Sipurei-Zadikim_0004	ethics-and-emotions:virtues	propagated	Adat-Zadikim_0015	medium	Story illustrates predestined matchmaking and the rebbe's hidden wisdom/power, not a general virtue.
Peer-MiKdoshim_0007	experience:revelation	propagated	Khal-Hasidim_0239	high	The tzaddik shows knowledge of the visitor's secret oath via spiritual insight, but this is portrayed as the tzaddik's ruach hakodesh/discernment rather than a giluy/revelation experienced by a character.
Maase-Zadikim_0016	folkloristics:story_type_advent	propagated	Khal-Hasidim_0202	medium	The chasid encounters R. Pinchas of Koretz before his fame, but the story's focus is the oath/blessing conflict between two tzaddikim, not a discovery/advent narrative.
Mifalot-HaZadikim_0027	folkloristics:story_type_inauguration	propagated	Khal-Hasidim_0004	high	Story is about a hidden tzaddik teaching Besht a lesson, not an inauguration.
Adat-Zadikim_0008	folkloristics:story_type_prognostication	propagated	Khal-Hasidim_0036	high	The story centers on a forgotten-then-remembered tale and a bishop's repentance; the Besht's instruction to R' Yaakov to travel and tell stories is a directive, not a prophecy-fulfillment arc.
Adat-Zadikim_0013	folkloristics:story_type_prognostication	propagated	Khal-Hasidim_0036	high	Story depicts a tzaddik's miraculous revelation of adultery via summoning the dead, not a prophecy/prediction that comes true.
Maase-Zadikim_0005	folkloristics:story_type_prognostication	propagated	Khal-Hasidim_0036	high	The story is about the Baal Shem Tov's soul-ascent annulling a decree against Jews, not a prophecy/prediction that comes true.
Khal-Hasidim_0075	folkloristics:story_type_protection	propagated	Shivhei-Habesht_0086	medium	Central narrative is about miraculous monetary settlement/foresight regarding a dowry and debt, not protecting someone from danger.
Adat-Zadikim_0014	folkloristics:story_type_rapprochement	propagated	Shivhei-Habesht_0184	high	Story is about a halakhic/moral dispute adjudicated by the Maharsha, not about an outsider being drawn close to a tzaddik or Hasidism.
Adat-Zadikim_0015	folkloristics:story_type_rapprochement	propagated	Shivhei-Habesht_0184	high	The protagonist is already a devoted Hasid of the Maggid; no outsider/skeptic is drawn close.
Adat-Zadikim_0023	folkloristics:story_type_rapprochement	propagated	Shivhei-Harav_0019	high	Story is about R. Chaim's humility and Elijah's revelation to him, not about an outsider/skeptic being drawn close to a tzaddik or to Hasidism.
Khal-Hasidim_0126	folkloristics:story_type_rapprochement	propagated	Peer-MiKdoshim_0001	medium	The merchant is already seeking the Besht for his wife's illness; the story centers on fulfilling a vow and the tzaddik's foresight/bitachon lesson, not on drawing a skeptic/outsider close.
Khal-Hasidim_0154	folkloristics:story_type_rapprochement	propagated	Shivhei-Habesht_0184	medium	The protagonist is already a disciple sent by his rebbe to learn bitachon; no outsider/skeptic is drawn close to Hasidism.
Khal-Hasidim_0174	folkloristics:story_type_rapprochement	propagated	Khal-Hasidim_0242	high	Story recounts persecution/arrest of R. Shneur Zalman and his interactions in prison; no outsider/skeptic is drawn close to a tzaddik.
Khal-Hasidim_0253	folkloristics:story_type_rapprochement	propagated	Khal-Hasidim_0242	high	Story is about humility and hiddenness of a tzaddik (R. Chaim) revealed to the Rema; no outsider/skeptic is drawn close to Hasidism or a tzaddik.
Maase-Zadikim_0001	folkloristics:story_type_rapprochement	propagated	Khal-Hasidim_0017	high	The protagonist is already a pious scholar and his wife already believes in the tzaddik; no skeptic/outsider is drawn close.
Mifalot-HaZadikim_0006	folkloristics:story_type_rapprochement	propagated	Shivhei-Habesht_0184	high	The story centers on hospitality (hakhnasat orhim) and the fate of the host's son; there is no skeptic/outsider being drawn close to a tzaddik or to Hasidism.
Peer-MiKdoshim_0006	folkloristics:story_type_rapprochement	propagated	Peer-MiKdoshim_0001	high	Story is about a disciple's trust/bitachon being strengthened, not about an outsider/skeptic being drawn close to a tzaddik.
Peer-MiKdoshim_0009	folkloristics:story_type_rapprochement	propagated	Peer-MiKdoshim_0001	medium	The story showcases the tzaddik's clairvoyance and prevents a fraudulent marriage, but does not depict an outsider/skeptic being drawn close to the tzaddik or Hasidism.
Peer-MiKdoshim_0016	folkloristics:story_type_rapprochement	propagated	Peer-MiKdoshim_0001	high	Story is about a pious Hasid's miraculous providence in marrying off his daughter; no skeptic/outsider is drawn close to a tzaddik.
Shivhei-Harav_0011	folkloristics:story_type_rapprochement	propagated	Shivhei-Harav_0019	high	Story recounts the Alter Rebbe's release from prison and informers' fates; no outsider/skeptic is drawn close to the tzaddik.
Shivhei-Harav_0018	folkloristics:story_type_rapprochement	propagated	Shivhei-Harav_0019	high	Hagiographic account of the Rebbe's wartime activities and death; no outsider/skeptic drawn close to Hasidism.
Adat-Zadikim_0001	folkloristics:story_type_revelation	propagated	Mifalot-HaZadikim_0027	medium	Story centers on a hidden righteous man (R. Shabtai) whose Sabbath joy is revealed by the Besht to his disciples, plus prophecy of the Maggid's birth — fits revelation of a hidden tzaddik.
Khal-Hasidim_0002	folkloristics:story_type_revelation	propagated	Mifalot-HaZadikim_0027	medium	While the Besht is gradually recognized by R' Adam's son and others, the story is a long biographical/legendary narrative rather than centrally structured around a single revelation event of a hidden tzaddik.
Khal-Hasidim_0050	folkloristics:story_type_revelation	propagated	Shivhei-Habesht_0060	medium	The Baal Shem Tov perceives a light over a hidden righteous woman, but the story centers on her humility and piety rather than a narrative of revealing a hidden tzaddik.
Khal-Hasidim_0081	folkloristics:story_type_revelation	propagated	Mifalot-HaZadikim_0027	high	The story reveals the hidden piety of R' Shabtai (a simple bookbinder) and foretells the birth of the Maggid of Kozhnitz, but the central revelation is of a hidden righteous act, not the giluy of a hidden tzaddik figure.
Khal-Hasidim_0170	folkloristics:story_type_revelation	propagated	Maase-Zadikim_0006	high	The story reveals the hidden merit/power of a drunkard, not a hidden tzaddik; he is not a tzaddik nistar but an ordinary Jew rewarded for one mitzvah.
Khal-Hasidim_0174	folkloristics:story_type_revelation	propagated	Adat-Zadikim_0023	high	This is a biographical/persecution narrative about R. Shneur Zalman's arrest and imprisonment, not a hidden-tzaddik revelation story.
Khal-Hasidim_0193	folkloristics:story_type_revelation	propagated	Adat-Zadikim_0023	high	Story is about a tzaddik (Rabbi Aharon of Strashelye) rescuing a man from demons, not about revealing a hidden tzaddik.
Mifalot-HaZadikim_0006	folkloristics:story_type_revelation	propagated	Mifalot-HaZadikim_0027	high	Story centers on hachnasat orchim and a foolish son, not the revelation of a hidden tzaddik.
Shivhei-Habesht_0002	folkloristics:story_type_revelation	propagated	Mifalot-HaZadikim_0027	medium	While the Besht is eventually recognized by his brother-in-law and robbers, the central narrative concerns the transmission of R' Adam's writings and the Besht's hidden life, not a focused revelation/giluy event.
Shivhei-Habesht_0203	folkloristics:story_type_revelation	propagated	Khal-Hasidim_0118	high	Story is about the Besht diagnosing a rabbi's spiritual flaw (heretical thoughts about tzaddikim), not about revealing a hidden tzaddik's identity.
Khal-Hasidim_0218	folkloristics:story_type_virtues	propagated	Sipurei-Zadikim_0011	medium	Story is an origin/discovery narrative about how R. Israel Politzker found the Maggid and gathered disciples, not focused on illustrating a specific virtue.
Mifalot-HaZadikim_0027	folkloristics:story_type_virtues	propagated	Khal-Hasidim_0004	medium	Story centers on a hidden tzaddik's mystical rectification of a past sin, not on illustrating a virtue of the Besht.
Shivhei-Harav_0019	folkloristics:story_type_virtues	propagated	Sipurei-Zadikim_0011	medium	Story focuses on the tzaddik's miraculous power to save a man from demonic forces, not on illustrating specific virtues like humility or charity.
Shivhei-Habesht_0066	knowledge:esoteric	propagated	Khal-Hasidim_0056	medium	The Besht perceives a mystical pillar of light from R' Shimshon's Torah, but this is a visionary/charismatic perception rather than transmission of esoteric kabbalistic doctrine.
Khal-Hasidim_0057	knowledge:practical_kabbalah	propagated	Shivhei-Habesht_0067	medium	The Baal Shem Tov immerses in a river and the lord is frightened by reputation of sorcery, but no actual amulet, name-manipulation, or practical kabbalistic technique is depicted.
Khal-Hasidim_0128	knowledge:practical_kabbalah	propagated	Shivhei-Habesht_0207	high	Story describes the Baal Shem Tov's death; no use of amulets, names, or practical kabbalistic operations depicted.
Khal-Hasidim_0026	social:conflict	propagated	Shivhei-Habesht_0015	high	Story describes Besht's ecstatic prayer and trembling; no antagonist conflict depicted.
Khal-Hasidim_0120	social:conflict	propagated	Shivhei-Habesht_0199	medium	The Besht maneuvers a priest into nullifying a heavenly accusation, but there is no direct confrontation or conflict depicted between them.
Khal-Hasidim_0128	social:conflict	propagated	Shivhei-Habesht_0207	medium	The story describes the Baal Shem Tov's death; while it mentions past struggles against the Sabbatean sect and a brief encounter with the angel of death, the narrative centers on his passing rather than depicting an actual conflict scene.
Shivhei-Habesht_0210	social:conflict	propagated	Khal-Hasidim_0157	medium	The threat to burn the holy books is a background concern prompting heavenly advocacy, not a depicted conflict scene with an antagonist.
Adat-Zadikim_0001	social:inter_hasidic	propagated	Mifalot-HaZadikim_0027	medium	Story centers on the Besht with his disciples (master-disciple) and a non-Hasidic couple; no peer Hasidim interaction depicted.
Adat-Zadikim_0004	social:inter_hasidic	propagated	Mifalot-HaZadikim_0027	high	Story features the Besht with disciples and non-Hasidic figures (innkeeper, sorcerer, wedding party); no depiction of interaction among Hasidim as peers.
Khal-Hasidim_0001	social:inter_hasidic	propagated	Maase-Zadikim_0008	high	Story is the Baal Shem Tov's birth/childhood narrative; no interaction among Hasidim depicted.
Khal-Hasidim_0081	social:inter_hasidic	propagated	Mifalot-HaZadikim_0027	high	Story centers on the Besht with his disciples and a simple Jew, not interactions among Hasidim as peers.
Khal-Hasidim_0115	social:inter_hasidic	propagated	Peer-MiKdoshim_0001	high	The story depicts tzaddikim gathered at a yahrzeit but the narrative focus is on a Besht tale told to a non-Hasidic gvir; no meaningful interaction among Hasidim is depicted.
Khal-Hasidim_0126	social:inter_hasidic	propagated	Peer-MiKdoshim_0001	medium	Story centers on master-disciple (Besht-R. David) and a wealthy merchant; Hasidim appear as messengers/followers but no substantive inter-Hasidic interaction is depicted.
Khal-Hasidim_0154	social:inter_hasidic	propagated	Peer-MiKdoshim_0001	high	Story centers on a rebbe sending a man to learn trust from a wealthy individual; no interaction among Hasidim as peers is depicted.
Khal-Hasidim_0211	social:inter_hasidic	propagated	Maase-Zadikim_0008	medium	The story centers on two brothers and a parable; no depiction of broader Hasidic peer interaction beyond a brief mention of joining the Maggid's circle.
Peer-MiKdoshim_0009	social:inter_hasidic	propagated	Peer-MiKdoshim_0001	medium	Story centers on a tzaddik, a wealthy follower, family conflict, and a fraudulent get; no depiction of Hasidim interacting with one another as such.
Shivhei-Habesht_0005B	social:inter_hasidic	propagated	Khal-Hasidim_0009	medium	Story focuses on Besht's revelation, exorcism, and miracles; no depiction of interaction among Hasidim as peers.
Adat-Zadikim_0003	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	Story centers on the Besht's journey, not a rebbe-disciple relationship.
Adat-Zadikim_0013	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	Story depicts a rebbe exposing adultery in his community; no master-disciple relationship is portrayed.
Adat-Zadikim_0014	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	Story involves a rabbi (Maharsha) judging a case, not a Hasidic rebbe-disciple relationship.
Adat-Zadikim_0023	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	Story concerns two pre-Hasidic rabbinic colleagues (Rema and R. Chaim) and Elijah, not a Hasidic rebbe-disciple relationship.
Khal-Hasidim_0001	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	The story narrates the Besht's origins and childhood; no rebbe-disciple relationship is depicted.
Khal-Hasidim_0102	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	Depicts a Hasidic master (Baal Shem Tov) and a layperson petitioner, not a rebbe-disciple relationship.
Khal-Hasidim_0117	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	The story centers on the Besht rescuing a woman; disciples are merely passive travel companions, not in a substantive master-disciple relationship.
Khal-Hasidim_0242	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	Story centers on a rebbe exposing an adulteress; no master-disciple relationship is depicted.
Khal-Hasidim_0253	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	Story depicts friendship between two rabbinic peers (Rema and R. Chaim), not a rebbe-disciple Hasidic relationship.
Mifalot-HaZadikim_0001	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	The story features a tzaddik advising a layman, not a master-disciple relationship.
Mifalot-HaZadikim_0006	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	Story centers on hospitality, brotherly bond, and a blessing fulfilled; no rebbe-disciple relationship depicted.
Shivhei-Habesht_0001	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	Story narrates the Besht's family origins and childhood; no rebbe-disciple relationship depicted.
Shivhei-Habesht_0043	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	Story concerns family/marriage matters among tzaddikim, not a rebbe-disciple relationship.
Khal-Hasidim_0174	social:marital_relationship	propagated	Khal-Hasidim_0253	high	Story focuses on R. Shneur Zalman's biography, arrest, and conflicts; no depiction of a marital relationship.
Khal-Hasidim_0193	social:marital_relationship	propagated	Khal-Hasidim_0253	high	Wife is mentioned briefly sitting by the sick husband, but the marital relationship itself is not depicted.
Shivhei-Harav_0019	social:marital_relationship	propagated	Khal-Hasidim_0253	high	Wife is mentioned only incidentally (sitting by his bed during the affliction); no depiction of the marital relationship itself.
Adat-Zadikim_0007	social:relations_with_non_jews	propagated	Maase-Zadikim_0018	high	Story involves a Jewish tavern-keeper (arendar) and the Rabbi of Apta; no non-Jews are depicted.
Khal-Hasidim_0047	social:retrospective_recognition	propagated	Shivhei-Habesht_0057	medium	The story shows discovery of an anonymous benefactor in real time (via the shamash watching), not a belated realization that someone was secretly righteous or had hidden identity.
Khal-Hasidim_0050	social:retrospective_recognition	propagated	Shivhei-Habesht_0060	medium	The Besht recognizes the woman's righteousness via the light, but this is immediate clairvoyant perception, not belated/retrospective recognition.
Khal-Hasidim_0202	social:retrospective_recognition	propagated	Maase-Zadikim_0016	medium	The story shows two tzaddikim's competing vows resolved, but no character belatedly recognizes a hidden truth about another.
Shivhei-Habesht_0135	social:retrospective_recognition	propagated	Khal-Hasidim_0088	medium	No belated recognition depicted; the rabbi understands immediately that the Besht took his Torah, and there's no retrospective revelation of identity or hidden truth.
Shivhei-Harav_0018	social:retrospective_recognition	propagated	Shivhei-Harav_0019	high	Narrative of the rebbe's wartime prayers and death; no belated recognition of a character's hidden identity or true nature.
Adat-Zadikim_0004	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	No study hall setting; story takes place on the road, at an inn, a wedding, cemetery, and a field.
Adat-Zadikim_0008	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	No study hall setting; scenes occur in Besht's home, a wealthy man's house/synagogue, and a city square.
Adat-Zadikim_0013	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	Story takes place in the rabbi's home, the community council house, fishmongers' market, and synagogue — no beit midrash/yeshiva setting depicted.
Adat-Zadikim_0015	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	No study hall setting; story takes place in homes, on the road, at a fair, and in an inn.
Adat-Zadikim_0023	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	medium	Story depicts study in a private house/room arranged by R. Chaim, courtroom, and baker's house—not a beit midrash or yeshiva setting.
Khal-Hasidim_0004	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	Settings are a hut of seclusion, the rabbi's house, a village home, and a forest—no beit midrash/yeshiva depicted.
Khal-Hasidim_0036	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	No study hall setting; scenes occur in homes, roads, and a synagogue, not a beit midrash.
Khal-Hasidim_0089	spaces:beth_midrash	propagated	Shivhei-Habesht_0138	medium	The kloyz is mentioned and a beit midrash is referenced as a place the two men go, but no scene is actually set there; it is incidental.
Khal-Hasidim_0102	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	No beit midrash or yeshiva setting appears; scenes occur in homes, the road, a forest house, and Leipzig market.
Khal-Hasidim_0115	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	No beit midrash or yeshiva setting appears; scenes occur in homes, on the road, and at a tzaddik's residence.
Khal-Hasidim_0117	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	No study hall setting appears; scenes occur in a house, on the road, and at a wedding.
Khal-Hasidim_0126	spaces:beth_midrash	propagated	Khal-Hasidim_0002	high	No beit midrash or yeshiva setting depicted.
Khal-Hasidim_0136	spaces:beth_midrash	propagated	Shivhei-Habesht_0028	medium	Setting is a synagogue (beit knesset) for prayer, not a study hall; 'בבה״מ שלו' likely refers to his synagogue/place but the scene is communal prayer, not study.
Khal-Hasidim_0138	spaces:beth_midrash	propagated	Khal-Hasidim_0002	high	No study hall setting; story occurs in homes, Hebron, Cave of Machpelah, and prison.
Khal-Hasidim_0170	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	No study hall setting; scenes occur in a village home, palace, and the rebbe's place.
Khal-Hasidim_0174	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	No beit midrash or yeshiva setting depicted; story involves study at home, travels, prison/fortress, and royal court.
Khal-Hasidim_0242	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	Story is set in rabbi's house, fishmongers' street, and community council hall — no beit midrash/yeshiva setting depicted.
Khal-Hasidim_0253	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	medium	Study takes place in a private room in the baker's house, not a beit midrash or yeshiva.
Mifalot-HaZadikim_0001	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	No study hall setting; story takes place in homes, streets, palace, and court.
Mifalot-HaZadikim_0006	spaces:beth_midrash	propagated	Shivhei-Habesht_0043	high	While a 'rosh yeshiva' role is mentioned, no scene actually takes place in a beit midrash/yeshiva setting.
Mifalot-HaZadikim_0027	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	Setting is a forest hut, not a study hall.
Peer-MiKdoshim_0001	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	No study hall setting appears; scenes occur in homes, on roads, and at a tzadik's house.
Peer-MiKdoshim_0006	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	No study hall setting depicted; scenes occur in homes, on roads, in a forest, and at the Besht's room.
Peer-MiKdoshim_0009	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	No beit midrash or yeshiva setting depicted; scenes occur in the rabbi's home, the wealthy man's house, and a rabbinical court.
Shivhei-Habesht_0004	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	Settings include a forest hermitage, home, and the rabbi's house, but no beit midrash or yeshiva is depicted.
Shivhei-Habesht_0184	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	No study hall setting; story takes place in homes, market, and forest house.
Shivhei-Habesht_0207	spaces:beth_midrash	propagated	Khal-Hasidim_0128	medium	Brief mention of R. Nachman going to a beit midrash to pray, but action centers on the Besht's home/deathbed, not the study hall as a setting.
Shivhei-Harav_0011	spaces:beth_midrash	propagated	Khal-Hasidim_0002	high	The story concerns imprisonment, release, and informers; no study hall setting appears.
Shivhei-Harav_0019	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	No beit midrash or yeshiva setting depicted; scenes occur in a tavern, the Rebbe's room/house, roads, and a grave site.
Adat-Zadikim_0013	spaces:institutions_hassidic_court	propagated	Shivhei-Harav_0019	high	Story is set in the rabbi's home and communal meeting house in Yassi, not a hasidic court (chatzer ha-tzaddik).
Adat-Zadikim_0023	spaces:institutions_hassidic_court	propagated	Shivhei-Harav_0019	high	Story concerns Rabbi Moshe Isserles and R. Chaim, a pre-Hasidic rabbinic setting; no hasidic rebbe's court depicted.
Khal-Hasidim_0002	spaces:institutions_hassidic_court	propagated	Shivhei-Harav_0019	high	No depiction of a rebbe's court; settings are emperor's court, beit midrash, wilderness — pre-Besht biography.
Khal-Hasidim_0174	spaces:institutions_hassidic_court	propagated	Shivhei-Harav_0019	medium	Story focuses on R. Shneur Zalman's biography, conflicts, and imprisonment; no depiction of a hasidic court as a space.
Khal-Hasidim_0253	spaces:institutions_hassidic_court	propagated	Shivhei-Harav_0019	high	Story is about a rabbi/av beit din and his friend, not a hasidic rebbe's court.
Mifalot-HaZadikim_0006	spaces:institutions_hassidic_court	propagated	Shivhei-Harav_0019	high	Story concerns hospitality at a roadside inn and a rabbi/yeshiva head; no hasidic court depicted.
Peer-MiKdoshim_0006	spaces:institutions_hassidic_court	propagated	Shivhei-Harav_0019	high	Story involves visits to the Besht but depicts travel/encounters, not the court space itself.
Shivhei-Habesht_0002	spaces:institutions_hassidic_court	propagated	Shivhei-Harav_0019	high	The story predates the Besht's emergence as a rebbe; 'חצר הקיסר' refers to the emperor's court, not a hasidic court.
