case_id	story_id	tag	opus_applies	opus_confidence	sonnet_applies	opus_reasoning
ADJ-022	Mifalot-HaZadikim_0027	folkloristics:story_type_prognostication	False	high		Story centers on a hidden tzaddik causing the Besht to desecrate Shabbat as atonement, not on a fulfilled prediction/prophecy.
ADJ-023	Khal-Hasidim_0193	experience:revelation	False	medium		Story depicts demonic harassment and rabbinic intervention/protection, not a mystical revelation (giluy) to the protagonist.
ADJ-024	Khal-Hasidim_0036	times:shabbat	True	high		The climactic storytelling failure and recovery occurs across the three Shabbat meals at the gvir's table, with Shabbat centrally framing the events.
ADJ-025	Khal-Kdoshim_0011	ethics-and-emotions:repentance	True	medium		The deceased is shown post-mortem being judged, and his self-mortification/tenitot are credited as atoning for his sin of inattention in prayer, framing fasting-as-teshuvah; the community also reforms its conduct in response.
ADJ-026	Mifalot-HaZadikim_0019	supernatural:miracle	True	high	True	Discrete supernatural events: Besht's amulets lose then regain efficacy, and R. Yitzhak miraculously discovers it is Friday.
ADJ-027	Khal-Hasidim_0117	social:retrospective_recognition	True	high	True	The woman belatedly learns the stranger is not her uncle but the Besht, and the disciples/father-in-law come to recognize the hidden truth about her situation.
ADJ-028	Sipurei-Zadikim_0001	supernatural:miracle	False	medium		The story features supernatural travel/hidden tzaddikim and a wandering dead soul, but no discrete miracle event with clear before/after benefit to a recipient.
ADJ-029	Shivhei-Habesht_0192	folkloristics:story_type_protection	True	high		The Besht protects himself from the officer's sword by transferring the paralysis to the attacker, simultaneously healing the sick woman—central act of protection.
ADJ-030	Shivhei-Habesht_0203	kabbalah:kabbalistic_terms_yihudim	False	high	True	Story mentions kavvanot in Shema prayer but no Lurianic yihudim (unifications of divine names) are depicted.
ADJ-031	Khal-Hasidim_0092	social:retrospective_recognition	False	high	True	No belated recognition; the story shows Besht's foreknowledge fulfilled, not a character realizing a hidden truth after the fact.
ADJ-032	Shivhei-Habesht_0035	knowledge:esoteric	True	high		The story depicts the Besht's mystical visions on Shabbat, soul-binding (התקשרות נפש ברוח ונשמה), and identification of a heretical Sabbatean book through hidden knowledge — clearly esoteric/mystical content.
ADJ-033	Peer-MiKdoshim_0009	knowledge:esoteric	False	high		Story concerns a fraudulent get and the tzaddik's ruach hakodesh revealing it; no kabbalistic/esoteric doctrine depicted.
ADJ-034	Shivhei-Habesht_0181	folkloristics:story_type_prognostication	True	medium		The Besht predicts that R. Abba will forget ya'aleh ve-yavo a second time, and the prediction is confirmed as true.
ADJ-035	Khal-Hasidim_0102	knowledge:practical_kabbalah	False	high		The Baal Shem Tov gives prophetic advice and the story involves a hidden tzaddik (Yonah ben Amitai), but there is no use of amulets, names, or practical kabbalistic techniques depicted.
ADJ-036	Shivhei-Habesht_0197	kabbalah:kabbalistic_terms_kavvanot	True	high	True	The story explicitly depicts the Baal Shem Tov 'מיחד יחודים' (performing yichudim, Lurianic kavvanot) with face burning like torches.
ADJ-037	Shivhei-Habesht_0002	characters-and-roles:preacher	False	high		No maggid/preacher character appears in the story.
ADJ-038	Shivhei-Habesht_0203	kabbalah:kabbalistic_terms_kavvanot	True	high	True	Story explicitly describes kavvanah on Shema Yisrael with a hindrance (ש״ו standing opposite) and the Besht instructing him to perform this kavvanah — Lurianic mystical intention in prayer.
ADJ-039	Mifalot-HaZadikim_0027	times:death	False	high		No death is depicted; the story involves a Shabbat ordeal and revelation about a former servant, with no death event.
ADJ-040	Khal-Hasidim_0167	times:death	True	high		The wife of the avrekh dies ('מתה עליו אשתו'), a depicted death event.
ADJ-041	Shivhei-Habesht_0079	practice:music	False	low		'מזמור שיר' psalm title, not depicted music.
ADJ-042	Shivhei-Habesht_0096A	experience:revelation	True	high		The Besht reveals supernaturally that Samael tried to seize the maggid, and the rabbi of Lemberg receives a dream-vision of the Besht instructing him — direct mystical disclosures.
ADJ-043	Khal-Hasidim_0158	ethics-and-emotions:fear	True	high	True	The rich man cries out in fear with his hair standing on end ('סמרו שערות בשרו פלצות אחזוהו') upon hearing the tale.
ADJ-044	Khal-Hasidim_0138	experience:dream	False	high		No dream is depicted; the story involves visits to a cave, imprisonment, and miraculous rescue, but no dream sequence.
ADJ-045	Shivhei-Habesht_0014	supernatural:magic	False	high		The Baal Shem Tov uses the Zohar to see his location—a holy/mystical practice, not forbidden magic, witchcraft, or non-Jewish sorcery.
ADJ-046	Khal-Hasidim_0031	characters-and-roles:the_family_of_the_tsaddik	True	high		R. Gershon of Kitov, the Baal Shem Tov's brother-in-law (gis), is a central character, and the story opens with him traveling to arrange marriages for his sons—immediate family of the tsaddik.
ADJ-047	Adat-Zadikim_0018	ethics-and-emotions:pride	False	medium		The Maggid tests the Besht and is humbled, but the story frames it as a learning encounter rather than explicitly depicting pride as a moral failing.
ADJ-048	Khal-Hasidim_0102	folkloristics:story_type_prognostication	True	high		The Baal Shem Tov predicts the birth of a son and later the son's transformation, both of which come true as foretold.
ADJ-049	Shivhei-Habesht_0207	experience:devekut	False	high		The story describes the Besht's death, prophetic visions, and soul ascent instructions, but does not depict a character experiencing mystical cleaving/communion with God (devekut).
ADJ-050	Khal-Hasidim_0116	practice:use_of_holy_names	True	high		Besht sitting and performing yichudim (מיחד יחודים).
ADJ-051	Shivhei-Habesht_0020	supernatural:miracle	True	high		The Besht's prayer raises souls of the dead (mechayeh metim kavvanot), and when R' Gershon attempts the same kavvanah, dead souls appear to him as a great flock — discrete supernatural events.
ADJ-052	Peer-MiKdoshim_0014	social:marriage	False	medium		Though a bride and groom seek a blessing before their wedding, the story centers on the tzadik's miraculous rescue and confession, not on marriage as event or institution.
ADJ-053	Shivhei-Habesht_0082	spaces:mikveh	True	high		The Besht goes to the mikveh before prayer as part of the scene.
ADJ-054	Sipurei-Zadikim_0011	times:holidays	False	high		No Jewish holiday is depicted; mentions only Shabbat and weekday events.
ADJ-055	Khal-Hasidim_0099	supernatural:prognostication	True	high		The Besht predicts that Reb Abba will forget ya'aleh ve-yavo again even if he repeats the prayer, which then comes true.
ADJ-056	Khal-Hasidim_0002	spaces:heaven	False	high		No depiction of heaven/upper worlds as setting; mentions a 'sar haTorah/Esh' being brought down but action stays on earth.
ADJ-057	Khal-Hasidim_0017	experience:revelation	True	high		The Baal Shem Tov supernaturally reveals to the scholar that he is the reincarnation of a wicked man who died sixty years prior — a direct mystical disclosure.
ADJ-058	Khal-Hasidim_0174	characters-and-roles:preacher	True	high		The Maggid of Mezeritch is explicitly referenced as a distinct character (הרב המגיד הגדול ממעזריטש) whose teachings Shneur Zalman traveled to hear.
ADJ-059	Shivhei-Habesht_0009	spaces:beth_midrash	True	high		"The Besht prays in the beit midrash (בבהמ""ד) in the story."
ADJ-060	Sipurei-Zadikim_0004	folkloristics:story_type_rapprochement	False	medium	True	The avrekh already sought closeness to the rebbe from the start; he is not a skeptic/outsider being drawn near—the story is about the rebbe arranging his marriage/fortune.
ADJ-061	Shivhei-Harav_0011	knowledge:practical_kabbalah	False	high		The Rebbe's prescient knowledge is attributed to divine wisdom/ruach hakodesh, not practical kabbalah techniques like amulets, names, or spirit manipulation.
ADJ-062	Mifalot-HaZadikim_0054	ethics-and-emotions:repentance	True	medium		The rabbi's teaching explicitly frames the guest's duty as doing teshuvah to repair his sins and ease the host's burden, making repentance a central theme.
ADJ-063	Shivhei-Habesht_0161	times:shabbat	False	high		The story takes place on Rosh Hashanah (ר״ה), not Shabbat.
ADJ-064	Khal-Hasidim_0118	kabbalah:kabbalistic_terms_yihudim	False	high	True	Story mentions kavanah in Shema but no Lurianic yihudim are depicted.
ADJ-065	Shivhei-Harav_0017	ethics-and-emotions:lying	False	medium	True	Story centers on a dispute between tzaddikim; mentions 'מלשינים' (informers/slanderers) only in passing, with no concrete depiction of a character lying or deceiving.
ADJ-066	Khal-Hasidim_0028	kabbalah:kabbalistic_terms_kavvanot	False	medium	True	The story mentions praying 'with kavanah' generally but does not invoke Lurianic kavvanot as a mystical technical practice.
ADJ-067	Mifalot-HaZadikim_0021	spaces:institutions_hassidic_court	False	high	True	Story involves visits to rebbes but does not depict the court space itself.
ADJ-068	Khal-Hasidim_0193	knowledge:esoteric	False	medium		Story involves demons/klipot and a tzaddik's protective formula, but no actual kabbalistic/esoteric doctrine or hidden mystical knowledge is taught or revealed.
ADJ-069	Peer-MiKdoshim_0011	folkloristics:story_type_virtues	False	high	True	The story is a miraculous-rescue/divine-providence tale (mitzvah of brit milah delaying the tzaddik saves his life), not focused on illustrating a specific virtue of the tzaddik.
ADJ-070	Khal-Hasidim_0012	times:birth	False	high		The Besht promises the childless couple a son, but no birth is actually depicted in the story.
ADJ-071	Shivhei-Habesht_0187	kabbalah:kabbalistic_terms_yihudim	False	high	True	Story involves soul-ascent to heavenly chambers but no Lurianic yihudim (unifications of divine names) are depicted.
ADJ-072	Shivhei-Habesht_0017	social:inter_hasidic_master_disciple_relationship	True	high		The Besht explicitly appeals to 'my rebbe' (author of Toldot Yaakov Yosef) for help opening the gate, depicting a master-disciple relationship central to the story's climax.
ADJ-073	Mifalot-HaZadikim_0027	folkloristics:story_type_revelation	True	high	True	The story centers on the revelation of a hidden tzaddik (the seemingly boorish innkeeper) to the Besht and his disciples.
ADJ-074	Khal-Hasidim_0110	ethics-and-emotions:pride	True	high	True	The nobleman's drunken boasting/self-aggrandizement about his inn and his subsequent rage leads to divine punishment (withered hand), depicting pride as a moral failing.
ADJ-075	Khal-Hasidim_0140	practice:writing_amulets	False	medium		Embedding-only neighbor; no amulet depicted.
ADJ-076	Mifalot-HaZadikim_0022	practice:redemption_of_captives	True	high		Traveled to gather money for ransoming captives (לקבץ ממון על פדיון שבוים).
ADJ-077	Khal-Hasidim_0082	spaces:mikveh	True	high		The Baal Shem Tov goes to the mikveh on erev Shabbat as part of the scene.
ADJ-078	Mifalot-HaZadikim_0018	kabbalah:kabbalistic_terms_kavvanot	True	high	True	The Besht explicitly performs kabbalistic actions 'בשמות הקדושים' to retrieve a divine name/sod from Samael, reflecting Lurianic-style mystical intentions/practices.
ADJ-079	Khal-Hasidim_0217	ethics-and-emotions:joy	False	high		The story depicts sin, punishment, suffering, and repentance; no depiction of joy (שמחה) as a religious state.
ADJ-080	Shivhei-Habesht_0097	practice:tvilah	True	medium		Parallel of Khal-Hasidim_0082; went to mikveh.
ADJ-081	Khal-Hasidim_0048	times:shabbat	True	high	True	The story depicts the Mokhiach leading prayer on Shabbat and the Dayan cursing him during the Shabbat prayer.
ADJ-082	Shivhei-Habesht_0002	social:relations_with_non_hasidim	False	high		Story involves emperor, antisemitic noble, and robbers, but no mitnagdim or maskilim/non-Hasidic Jewish opponents.
ADJ-083	Adat-Zadikim_0013	supernatural:prognostication	False	high		The rabbi reveals a past sin via a dead witness; no prediction of a future event.
ADJ-084	Khal-Hasidim_0170	knowledge:esoteric	True	high		Story explicitly reveals hidden heavenly court decrees, mystical power of mitzvot, and a secret reason for the man's drunkenness — esoteric knowledge revealed by the tzaddik.
ADJ-085	Khal-Hasidim_0253	characters-and-roles:hidden_righteous	True	high		R' Chaim is depicted as a hidden righteous man who concealed himself as a baker's son-in-law for two years, studying secretly with Elijah the Prophet who reveals he appears to such hidden humble tzaddikim.
ADJ-086	Shivhei-Habesht_0050A	social:inter_hasidic_master_disciple_relationship	False	high		Story involves the Besht, a rabbi, and a scribe dealing with demons; no master-disciple relationship is depicted.
ADJ-087	Mifalot-HaZadikim_0006	spaces:heaven	False	high		Story takes place in earthly settings (towns, forest, inn); no scenes in heaven or upper worlds.
ADJ-088	Shivhei-Habesht_0086	ethics-and-emotions:charity	True	high		The story centrally involves the Besht's pledge of 200 zehuvim dowry for orphans and the redemption of captives (pidyon shvuyim) funds, both forms of tzedakah.
ADJ-089	Maase-Zadikim_0015	characters-and-roles:hidden_righteous	True	medium		The young avrekh is sent by his rebbe as a hidden agent whose Torah words secretly penetrate the innkeeper's heart, functioning as a concealed righteous emissary.
ADJ-090	Maase-Zadikim_0016	folkloristics:story_type_prognostication	True	high		The tzaddik of Shpole swears the Hasid will have no children, and R. Pinchas of Koretz swears he will—both prophecies' fulfillment (and the descendant's betrayal) drive the narrative arc.
ADJ-091	Sipurei-Zadikim_0013	folkloristics:story_type_rapprochement	False	high		Story concerns a hidden-tzaddik tailor and rabbinic succession in Lublin; no skeptic/outsider is drawn closer to a tzaddik or Hasidism through the narrative.
ADJ-092	Khal-Hasidim_0253	characters-and-roles:the_family_of_the_tsaddik	False	high		No immediate family members of a tsaddik appear; characters are the tsaddik and his friend/colleague.
ADJ-093	Shivhei-Habesht_0207	practice:tvilah	False	medium		Parallel; decided not to go to the mikveh.
ADJ-094	Khal-Hasidim_0023	knowledge:practical_kabbalah	True	high	True	The Besht uses mystical power to revive a dead bride from her grave and adjudicates between her and a dead soul — a concrete miraculous healing/spirit manipulation.
ADJ-095	Khal-Hasidim_0009	kabbalah:kabbalistic_terms_kavvanot	False	high	True	Story describes Besht's revelation, asceticism, and healing but does not mention Lurianic kavvanot or kabbalistic intentions in prayer.
ADJ-096	Shivhei-Habesht_0015	social:conflict	True	medium	True	The story depicts the Besht in conflict with Samael (the demonic adversary), diverting prayers away from him.
ADJ-097	Shivhei-Habesht_0034	supernatural:light_or_fire_as_a_sign_of_righteousness	False	high		The story mentions sounds, lightnings and torches during mystical Torah revelation, but this is a theophany/revelation scene rather than light/fire surrounding a person as a sign of his righteousness.
ADJ-098	Khal-Hasidim_0162	practice:dance	False	high		'ימחול' = please/forgive.
ADJ-099	Khal-Hasidim_0004	ethics-and-emotions:charity	False	high		Story concerns the Besht's hidden righteousness, hospitality, prayer, and revelation; no depiction of almsgiving or charity to the poor.
ADJ-100	Khal-Hasidim_0170	experience:dream	False	high		No dream is depicted in the story.
