story_id	tag	category	sonnet_confidence	sonnet_reasoning	opus_applies	opus_confidence	opus_reasoning	verdict
Adat-Zadikim_0008	folkloristics:story_type_prognostication	folkloristics	high	The story centrally features two prognostications by the Besht: he predicts R' Yaakov will earn his livelihood by telling stories, and he gives the bishop a future sign — 'when a man comes and tells you your own story, you will know your sins are forgiven' — which drives the entire plot.	False	high	The story centers on a forgotten-then-remembered tale and a bishop's repentance; the Besht's instruction to R' Yaakov to travel and tell stories is a directive, not a prophecy-fulfillment arc.	DISAGREE
Adat-Zadikim_0008	knowledge:esoteric	knowledge	medium	The story explicitly invokes kabbalistic concepts central to its plot — the bishop describes himself as having fallen into 'עמקי הקליפות' (depths of the klipot), possessing a 'נשמה קדושה' (holy soul), and receiving a 'תיקון' from the Besht — and the Besht exercises clairvoyant, esoteric spiritual agency (knowing to travel to the city, conducting a private two-hour meeting to effect spiritual rectification), making esoteric knowledge a genuine structural element of the narrative rather than a passing allusion.	False	high	Story is about teshuvah, the Besht's hidden power, and storytelling as redemption — no depiction of kabbalistic doctrine or esoteric/initiate knowledge.	DISAGREE
Adat-Zadikim_0008	social:retrospective_recognition	social	high	The climax of the story turns entirely on retrospective recognition: the Italian magnate reveals he is the bishop from the Besht story that happened ~10 years earlier, explicitly stating 'as soon as I saw you I recognized you but kept silent' — and R' Yaakov's belated recollection of the same event completes the mutual recognition that resolves the narrative.	True	high	The Bishop retrospectively recognizes Reb Yaakov as the Besht's servant and reveals his own past identity, and the act of recognition (someone telling him his own story) is the very sign that his sin is forgiven.	AGREE
Adat-Zadikim_0008	supernatural:miracle	supernatural	high	The story depicts multiple explicit miracles: the Besht's foreknowledge that brings him to save the community, his appearing nightly in the bishop's dreams to urge repentance, the divinely-caused total amnesia that erases all of Yaakov's stories, and the sudden providential restoration of exactly one story at the decisive moment — all framed explicitly as Heaven-orchestrated signs confirming atonement.	False	medium	The story centers on memory loss/restoration and a penitent bishop's redemption rather than a discrete miracle with clear before/after physical intervention; the forgetting is a sign, not a depicted נס/מופת.	DISAGREE
Adat-Zadikim_0009	characters-and-roles:hidden_righteous	characters-and-roles	high	The story's central narrative is R' David of Mykleyev — a famous, recognized tzaddik — commanded by the Besht to wander in disguise as an unknown minor preacher, concealing his identity and enduring public humiliation in silence, which is a direct and sustained depiction of the hidden righteous (nistar) motif.	False	high	R. David is a known disciple of the Besht, not a hidden righteous one; his disguise during exile is a temporary penance, not the nistar archetype.	DISAGREE
Adat-Zadikim_0009	ethics-and-emotions:pride	ethics-and-emotions	high	The wicked preacher (darshan) centrally exhibits pride and arrogance throughout the story — he mocks Rabbi David's Torah words, scorns the parnas for praising him, publicly humiliates Rabbi David from a position of self-importance, and his downfall is framed as the reversal of his prideful status ('ויבא רשע תחתיו').	True	medium	The arrogant darshan's pride and contempt for the disguised R. David — mocking him, lording over the town, and ultimately being exposed — functions as a moral lesson against arrogance.	AGREE
Adat-Zadikim_0009	experience:enthusiasm	experience	medium	The story explicitly depicts R' David's fervent, rushing eagerness ('נסע בחפזה מאד') to reach the Besht for Yom Kippur — a genuine portrayal of enthusiastic devotion — though this enthusiasm serves primarily as the setup for a cautionary moral tale rather than being the story's central focus.	False	high	The story centers on a tzaddik's missed tikkun, exile/penance, and a false accusation reversed — no depiction of burning religious fervor (hitlahavut).	DISAGREE
Adat-Zadikim_0009	social:retrospective_recognition	social	high	The entire narrative climaxes with the public, retrospective recognition of Rabbi David of Mikolayev's true identity — after 2.5 years of disguise, humiliation, and near-flogging, two townspeople who had seen him at the Besht's court identify him before the assembled community, triggering a reversal of honor.	True	high	The townspeople only recognize R. David's true identity retrospectively after the mysterious knocks and the two witnesses identify him, reversing the prior misjudgment.	AGREE
Adat-Zadikim_0009	supernatural:reincarnation	supernatural	medium	The Besht explicitly tells R' David that a soul waiting 70 years, belonging to the root of his own soul (שורש נשמתך), needed him to pray there and repair it (תתקנה) — this tikkun-neshamah-via-soul-root scenario is a direct expression of gilgul/reincarnation theology, even though a bodily rebirth is not narrated explicitly.	True	high	The Besht explicitly tells R. David that a soul from 70 years ago, belonging to his soul-root, was waiting at that village for him to repair it (gilgul/tikkun nefesh).	AGREE
Adat-Zadikim_0010	characters-and-roles:preacher	characters-and-roles	high	The story features ר' ליב מפולנאי, explicitly titled 'המוכיח' (the preacher/moral reprover), who travels to Słuck, preaches for four Sabbaths, and whose sermons are central to the plot's resolution.	True	high	R. Leib of Polnoye is explicitly sent as a maggid/preacher (מוכיח) who delivers multiple derashot in Slutsk.	AGREE
Adat-Zadikim_0012	experience:trembling	experience	high	The text explicitly states 'חרדו מאוד' (they trembled greatly) when R. Yaakov Yosef's attendants saw R. Mendel approaching bareheaded, a direct depiction of trembling fear.	True	medium	The text states אנשיו חרדו מאוד when seeing R. Mendel approach without a hat, depicting trembling/alarm as response.	AGREE
Adat-Zadikim_0013	social:disobedience	social	high	The story centrally depicts multiple acts of disobedience: the shamash refuses his rabbi's order and must be threatened with excommunication before complying, and the woman refuses repeated summons to the communal court and must be threatened with supernatural force before she appears.	False	high	The story centers on a rabbi exposing an adulteress via a dead man's testimony; the shamash's reluctance to obey is overcome and he complies, so disobedience is not a substantive theme.	DISAGREE
Adat-Zadikim_0013	social:marriage	social	high	Marriage is central to the story: the wife's adultery leads directly to a rabbinic divorce proceeding (גט פטורין) issued by the rabbi before the entire community.	False	high	Story centers on a fish dispute, adultery exposed via the dead man's testimony, and resulting divorce; marriage itself is not depicted or substantially discussed (only a get given as punishment).	DISAGREE
Adat-Zadikim_0014	ethics-and-emotions:punishment	ethics-and-emotions	high	Punishment is a central, explicit theme: the dead man's soul is being judged and punished in the heavenly court (בית דין של מעלה) for the sin of adultery, the living man is summoned to a rabbinic din Torah over who bears the punishment, and the Maharsha promises a tikkun to ease the dead man's ongoing punishment.	True	high	The deceased who 'bought' the sin is judged in heavenly court and explicitly punished/suffers for the wrongdoing, fitting Heavenly punishment for sin.	AGREE
Adat-Zadikim_0014	ethics-and-emotions:virtues	ethics-and-emotions	high	The story centrally depicts multiple virtues: the sinner's genuine remorse and moral conscience (weeping bitterly over his transgression), the Maharsha's righteousness and wisdom as a just arbiter, and the moral lesson about the virtue of repentance over self-deception — all of which drive the narrative rather than appearing incidentally.	False	medium	The story centers on sin, repentance, and judgment regarding a specific transgression (illicit relations and trying to sell the sin), not on illustrating a general virtue.	DISAGREE
Adat-Zadikim_0014	social:disobedience	social	high	The story centrally depicts a Jewish merchant who disobeys religious-social law by engaging in sexual relations with a non-Jewish noblewoman, an act of transgression against communal and halakhic norms that drives the entire plot.	False	high	The story centers on sin, repentance, and a posthumous trial over selling a transgression; it does not depict disobedience to authority or rules.	DISAGREE
Adat-Zadikim_0014	supernatural:perception	supernatural	high	The story centrally depicts supernatural perception: the dead man appears in dreams to summon the living man to court, and during the public hearing the congregation hears the dead man's voice though only the litigant and the Maharsha can see him, with his departure marked by visible smoke — differential and direct sensory perception of a supernatural presence is a core narrative element.	True	high	The Maharsha presides over a court case with a dead man who appears in dreams and visibly/audibly manifests in the beit midrash — supernatural perception of the deceased by the rabbi is depicted.	AGREE
Adat-Zadikim_0016	ethics-and-emotions:sadness	ethics-and-emotions	high	The story explicitly depicts profound sadness in the informer during his repentance: he weeps and groans during prayer ('מתאנח ומיילל'), is described as deeply embittered ('ויתמרמר מאוד') as his sins appear before him, and his face visibly shows great grief ('נכאה על פניו יגון מאוד') — sadness is central to the narrative's turning point, not incidental.	False	high	Story depicts repentance, fear, and remorse but not sadness/melancholy (atzvut) as a thematic spiritual problem.	DISAGREE
Adat-Zadikim_0016	folkloristics:story_type_virtues	folkloristics	high	The story is built entirely around the demonstration of virtues — sincere repentance (תשובה גמורה) during prayer, moral courage under torture, and an act of life-saving (פיקוח נפש) — making virtuous conduct the explicit structural and thematic core of the narrative.	False	high	Story is about a wicked informer's repentance and death in purity, not about illustrating a tzaddik's virtues; the rabbi appears only briefly as a side character.	DISAGREE
Adat-Zadikim_0016	social:disobedience	social	high	The informer explicitly defies the lord's authority by refusing to deliver the denunciation despite being physically coerced and beaten — an act of deliberate, sustained disobedience against a figure of social power that is central to the plot.	False	medium	The informer refuses to obey the lord's demand to inform, but this is framed as repentance and martyrdom/self-sacrifice rather than as a disobedience theme.	DISAGREE
Adat-Zadikim_0016	social:marriage	social	high	Marriage is central to the story's resolution: the rescued woman is a married woman on her mikveh night, and her kohen husband brings a halakhic question to the rabbi about whether he may continue living with her, making marital law the pivot of the entire denouement.	False	high	Story centers on a informer's repentance, rescue of a woman, and death; marriage is only incidental background (the woman has a husband who questions her status), not substantially discussed.	DISAGREE
Adat-Zadikim_0019	times:death	times	medium	The story explicitly depicts souls of the dead (נשמות... המתים) populating the lower Garden of Eden, and the Besht himself momentarily believes the rejoicing signals his own imminent death (פטירתי מעה״ז) — death is a genuine, named presence in the narrative, not merely incidental.	False	medium	The letter discusses soul ascents, meeting souls of the living and dead, and the Besht asking the Messiah when he will come — but no actual death event is depicted in the narrative.	DISAGREE
Adat-Zadikim_0020	social:conflict	social	high	The story depicts a clear interpersonal conflict between R' Aaron of Karlin and the Maggid's disciples (acting on the Maggid's behalf), with R' Aaron repeatedly resisting their attempts to prevent him from traveling home — a sustained opposition of wills that drives the entire narrative.	False	high	The story depicts a disciple ignoring his rebbe's wish and dying, but there is no interpersonal conflict, dispute, or quarrel depicted.	DISAGREE
Adat-Zadikim_0020	supernatural:perception	supernatural	high	The Maggid of Mezeritch perceives — without being told — that Rabbi Aharon of Karlin is about to die, and the story's climax explicitly confirms this foreknowledge was supernatural, citing Moses's 'faithfulness' as a model for seeing hidden truths and not revealing them.	True	high	The Maggid of Mezeritch supernaturally foreknows R. Aharon of Karlin's impending death and tries to prevent him from leaving, demonstrating ruach hakodesh.	AGREE
Adat-Zadikim_0020	times:holidays	times	high	Passover (חג הפסח) is central to the plot: R' Aharon of Karlin travels to be home for Pesach, the disciples try to keep him for the holiday, and he dies on the third day of Chol HaMoed Pesach.	True	high	Story explicitly takes place around Pesach, with R. Aharon dying on the third day of Chol HaMoed Pesach.	AGREE
Adat-Zadikim_0021	folkloristics:story_type_revelation	folkloristics	high	The story's central event is a mystical revelation: Menachem Mendel of Vitebsk faints upon seeing Rabbi Aaron clothed in brilliant luminous garments invisible to others, disclosing the hidden spiritual greatness of the deceased that had not been recognized during his lifetime.	True	medium	R. Menachem Mendel of Vitebsk faints upon perceiving R. Aharon's hidden spiritual stature (luminous garments reserved for one or two in a generation), revealing the deceased tzaddik's concealed greatness.	AGREE
Adat-Zadikim_0022	folkloristics:story_type_inauguration	folkloristics	high	The story centrally depicts the inauguration of Rabbi Moses (the Rema) as rabbi of Kraków — the delegation, ceremonial entry, bishop's approval, and his formal installation — making story-type inauguration the primary narrative frame.	True	high	"The story's central event is Rema's inauguration as rabbi/AB""D of Kraków, including his selection, journey, and reception."	AGREE
Adat-Zadikim_0023	characters-and-roles:angels	characters-and-roles	high	Elijah the Prophet (אליהו הנביא) appears as an active character in the story — he studies Torah with Rabbi Chaim, is present during Rabbi Moses Isserles's visit, and speaks directly to deliver a moral rebuke, making him a central figure in the narrative.	True	high	Elijah the Prophet appears and speaks, and the story explicitly discusses to whom angels/Elijah reveal themselves — Elijah functions as the heavenly messenger figure central to the tale.	AGREE
Adat-Zadikim_0023	characters-and-roles:hidden_righteous	characters-and-roles	high	Rabbi Chaim bar Betzalel conceals his identity and lives anonymously in a baker's home for two years, and Elijah the Prophet explicitly states he reveals himself only to one whose 'deeds are hidden from all people' (מעשיו מוסתרים מכל אדם) — a textbook depiction of the hidden righteous (nistar) figure.	True	high	R. Chaim deliberately hides his identity as a great scholar by living disguised as the baker's son-in-law, embodying the hidden-righteous archetype to whom Elijah reveals himself.	AGREE
Adat-Zadikim_0023	ethics-and-emotions:lying	ethics-and-emotions	high	Deception is central to the plot: Rabbi Chaim fabricates a plan to leave for Prague as a cover for secretly arranging a marriage, disguises himself, conceals his identity for two years, and the baker explicitly 'makes up a response from his heart' (בדה מלבו) when questioned about the secret wedding.	True	high	Rabbi Chaim deceives Rabbi Moshe Isserles with a fabricated story about visiting his family in Prague, and secretly arranges a hidden marriage under a false identity to live in concealment.	AGREE
Adat-Zadikim_0023	ethics-and-emotions:pride	ethics-and-emotions	high	Pride (גדלות) is a central ethical concern driving the entire plot: Rabbi Chaim fears succumbing to it when life feels too good, explicitly prays for humility as a counterweight, and Elijah the Prophet directly rebukes the Rema for his grand rabbinic comportment — making pride the story's core moral foil and lesson.	True	high	The story explicitly thematizes pride/arrogance as a moral danger: R. Chaim hides himself to avoid falling into 'gadlut' (pride), and Elijah tells R. Moshe Isserles that the humble are favored while the proud/expansive in rabbinic stature are not.	AGREE
Adat-Zadikim_0023	ethics-and-emotions:sadness	ethics-and-emotions	high	The story explicitly depicts Rabbi Moses Isserles shedding tears and weeping greatly at the prospect of separation from his beloved friend Rabbi Chaim, making sadness a substantive and central emotional element of the narrative.	False	high	Story is about humility/hidden piety and Elijah's revelation; sadness/melancholy is not a theme.	DISAGREE
Adat-Zadikim_0023	experience:visions	experience	high	The story climaxes with a giluy Eliyahu (revelation of Elijah the Prophet) who is literally present and audible in Rabbi Chaim's study room, speaking directly to the Rema — a classic visionary/apparition experience central to the narrative.	False	high	The story features Elijah the Prophet studying with R. Chaim, but this is a hidden auditory/spiritual presence (heard, not seen) and a revealed identity, not a visual supernatural vision experienced by a character.	DISAGREE
Adat-Zadikim_0023	folkloristics:story_type_advent	folkloristics	high	The story culminates in the revelation that Elijah the Prophet (אליהו הנביא) regularly appears to and learns Torah with Rabbi Chaim, and then speaks directly through him to the Rema — a classic advent narrative of a supernatural/prophetic figure manifesting to a righteous person.	False	high	Story is about R. Chaim's hidden humility and Elijah's revelation, not a neutral character's first discovery of a tzaddik.	DISAGREE
Adat-Zadikim_0023	folkloristics:story_type_rapprochement	folkloristics	medium	The story is structurally organized around the separation and dramatic reunion of two close friends (Rema and R. Chaim ben Betzalel) — R. Chaim fakes departure, lives incognito for two years, and is unexpectedly recognized by Rema in a charged recognition scene, making rapprochement a genuine narrative axis, though the primary moral frame is humility and the Elijah revelation.	False	high	Story is about R. Chaim's humility and Elijah's revelation to him, not about an outsider/skeptic being drawn close to a tzaddik or to Hasidism.	DISAGREE
Adat-Zadikim_0023	folkloristics:story_type_virtues	folkloristics	high	The story is explicitly framed as a moral exemplum about humility (שפלות/ענוה): Rabbi Chaim ben Betzalel secretly humbles himself by marrying a baker's daughter and praying for lowliness, and the narrative closes with a direct call to emulate this virtue, confirmed by Elijah the Prophet's pronouncement praising the hidden, humble man over the publicly great one.	True	high	The story explicitly frames itself as a moral lesson illustrating the virtue of humility (שפלות וענוה) of Rabbi Chaim, who hides his greatness and lives in concealment to avoid pride.	AGREE
Adat-Zadikim_0023	knowledge:esoteric	knowledge	high	The story's climax depicts Elijah the Prophet physically present and studying Torah with Rabbi Chaim in secret — a direct depiction of esoteric/mystical revelation granted to a hidden saint (nistar), which is core esoteric content, not incidental.	False	medium	Story focuses on humility and Elijah's revelation to a hidden tzaddik; no esoteric/kabbalistic doctrine or hidden mystical knowledge is taught or depicted.	DISAGREE
Adat-Zadikim_0023	social:conflict	social	high	The story depicts multiple concrete conflicts: a tense interpersonal confrontation between Rema and Rabbi Chaim over his refusal to stay and secret marriage (circumventing Rema's authority), and a public accusation/judicial proceeding where Rabbi Chaim is dragged before Rema's court on suspicion of sin.	False	high	Story depicts humility, hidden piety, and friendship between Rema and R. Chaim; no conflict is depicted.	DISAGREE
Adat-Zadikim_0023	social:disobedience	social	high	Rabbi Chaim deliberately and secretly defies his superior Rabbi Moses Isserles — arranging his own marriage behind his back, feigning departure to Prague, and living incognito for two years — making deliberate disobedience of authority a central, sustained plot element.	False	high	The story centers on humility, hidden righteousness, and Elijah's revelation; it does not depict disobedience.	DISAGREE
Adat-Zadikim_0023	social:marital_relationship	social	high	The story centrally depicts Rabbi Chaim secretly arranging and entering a marriage (shidduch, wedding, and subsequent conjugal life), and his wife's role as a supportive spouse is explicitly mentioned.	False	medium	Marriage/matchmaking is a plot mechanism (R. Chaim secretly marries a baker's daughter to achieve humility), but the story does not depict or discuss the marital relationship itself — the wife is barely mentioned and the focus is humility and Elijah's revelation.	DISAGREE
Adat-Zadikim_0023	social:retrospective_recognition	social	high	The climax of the story is precisely a retrospective recognition: Rabbi Moshe Isserles (the Rema) discovers only after the fact — when his friend is dragged before him as an accused sinner — that Rabbi Chaim had secretly been living in the baker's house for two years and learning nightly with Elijah the Prophet, whose greatness had been entirely hidden from the community and even from the Rema himself.	True	high	The story centrally turns on retrospective recognition: Rabbi Moshe Isserles only belatedly recognizes his disguised friend R. Chaim as the supposed 'sinner,' and ultimately learns through Elijah that R. Chaim's hidden humility surpassed his own stature.	AGREE
Adat-Zadikim_0023	supernatural:communicating_with_the_invisible	supernatural	high	The story's climax centers on Elijah the Prophet (invisible to the Rema) who regularly studies Torah with Rabbi Chaim and directly addresses the Rema through Rabbi Chaim, making communication with an invisible supernatural being the central supernatural event of the narrative.	True	high	Elijah the Prophet regularly studies with R. Chaim and delivers a message to R. Moshe Isserles — direct communication with an invisible/heavenly being.	AGREE
Adat-Zadikim_0023	supernatural:miracle	supernatural	high	The story explicitly depicts Elijah the Prophet appearing in person to Rabbi Chaim and learning Torah with him nightly, and then speaking directly to the Rema — a classic supernatural visitation miracle central to the narrative's moral lesson.	False	high	The story centers on humility and a revelation of Elijah to R. Chaim, not a discrete miraculous intervention with a clear before/after for a recipient.	DISAGREE
Adat-Zadikim_0023	supernatural:perception	supernatural	high	The Rema hears two voices learning but sees only Rabbi Chaim alone — one voice is Elijah the Prophet (invisible to the Rema), and the story explicitly revolves around who is granted supernatural perception/visitation by Elijah based on their humility.	True	high	Rabbi Chaim studies with Elijah the Prophet who reveals himself supernaturally to him, and Elijah conveys hidden knowledge about the Rema's spiritual state.	AGREE
Adat-Zadikim_0023	times:death	times	high	"The death of R. Chaim's wife ('מתה אשתו של הרר""ח') is the inciting event that drives the entire plot, and a deadly plague ('דבר גדול') later strikes Kraków — both are central to the narrative, not incidental."	True	high	"The story depicts the death of Rabbi Chaim's wife ('ומתה אשתו של הרר""ח'), which triggers the subsequent plot."	AGREE
Adat-Zadikim_0024	social:marriage	social	high	The story explicitly depicts a marriage case: a rabbi permits an agunah to remarry after her husband abandoned her, and the resolution reveals her husband had been committing adultery with two married women — marriage is a substantive narrative element, not incidental.	True	high	The story explicitly discusses a marriage situation—an adulterous wife and the rabbi permitting the agunah (the wife of the killed sinner) to remarry after only half a year.	AGREE
Khal-Hasidim_0001	characters-and-roles:elijah_the_prophet	characters-and-roles	high	Elijah the Prophet explicitly appears to Eliezer (the Besht's father) on the road and announces that a son will be born to him who will illuminate Israel ('נגלה אליו אליהו ז״ל ואמר לו בזכות זה יולד לך בן שיאיר עיני ישראל'), a direct and narratively central appearance.	True	high	Elijah the prophet appears to Eliezer (the Besht's father) on the road and prophesies the birth of his son.	AGREE
Khal-Hasidim_0001	characters-and-roles:hidden_righteous	characters-and-roles	high	Both the Besht's father (who conceals his Jewish identity and prophetic gifts while serving a foreign king for years) and the young Besht himself (who hides his spiritual greatness behind the humble roles of belfer and beit-midrash watchman, secretly doing sacred work at night) are depicted as paradigmatic hidden righteous figures — this is a central, sustained theme of the story, not incidental.	True	high	The Baal Shem Tov's father Rabbi Eliezer is depicted as a hidden righteous man — concealing his Jewish identity while serving as a royal advisor, secretly engaged in Torah and prayer, and the young Besht himself hides his spiritual practice by pretending to sleep.	AGREE
Khal-Hasidim_0001	ethics-and-emotions:anger	ethics-and-emotions	high	The king explicitly fills with rage and fury ('נתמלא המלך קצף וחימה') against his adviser for failing to devise a battle strategy, a clear and direct depiction of anger central to the plot.	True	medium	The king is filled with wrath and fury (קצף וחימה) at his minister, and the minister returns home angry (סר וזעף, פנים זועפים) and rebukes (ויגער) Rabbi Eliezer.	AGREE
Khal-Hasidim_0001	ethics-and-emotions:charity	ethics-and-emotions	medium	The townspeople explicitly perform an act of charity toward the orphaned Besht — 'גמלו חסד עמו ויתנו אותו למלמד' (they showed kindness to him and placed him with a teacher) — making charity a genuine, named element of the narrative, though secondary to the main themes of the father's captivity and the Besht's miraculous birth.	False	high	The story narrates the Besht's father's captivity and the Besht's childhood; no depiction of almsgiving or providing for the poor.	DISAGREE
Khal-Hasidim_0001	ethics-and-emotions:joy	ethics-and-emotions	high	The story explicitly depicts joy in multiple scenes: the advisor goes to the king 'בשמחה רבה' (with great joy), and the Besht leads the children in song 'בחשק רב' and 'בגיל ורנן' (with enthusiasm, joy, and song).	True	medium	The story depicts the young Besht leading children in song with great joy and desire ('בחשק רב וקול זמר אף נעים', 'בגיל ורנן') as a form of holy service that brought great delight on high.	AGREE
Khal-Hasidim_0001	ethics-and-emotions:prohibitions	ethics-and-emotions	high	The story centrally depicts the Besht's father scrupulously avoiding sexual relations with the non-Jewish woman given to him as a wife ('לא נגע בה'), going to elaborate lengths to stay out of his own house — a direct and sustained enactment of the prohibition against intimacy with a gentile.	False	high	The story narrates the Besht's father's captivity, service, and the Besht's childhood; no religious prohibition (אסור) is depicted as a central issue.	DISAGREE
Khal-Hasidim_0001	ethics-and-emotions:sadness	ethics-and-emotions	medium	The story contains genuine depictions of sadness — the father's dying words expressing regret that he will not live to raise his son ('לא זכיתי לגדל אותך'), and the Besht's orphaned childhood spent wandering alone in the forest — though sadness is not the dominant emotional register of the narrative overall.	False	high	The story narrates the Baal Shem Tov's father's captivity and the Besht's childhood; no thematic focus on sadness/melancholy as a spiritual problem.	DISAGREE
Khal-Hasidim_0001	folkloristics:story_type_virtues	folkloristics	high	The story centrally and repeatedly depicts virtues as plot-driving moral forces — Rabbi Eliezer's faithfulness to his master, Sabbath observance, sexual abstinence (refusing to touch his non-Jewish wife), trust in God, and the young Besht's courage and faith — each virtue explicitly tied to divine reward or narrative outcome.	True	medium	The story illustrates the faith, piety, and fearlessness of the Besht's father and the young Besht himself (devotion to Torah/prayer in captivity, refusal to touch the wife, courage in slaying the sorcerer-beast), framing their virtues as tzaddikim.	AGREE
Khal-Hasidim_0001	knowledge:esoteric	knowledge	high	The story explicitly depicts esoteric knowledge: the father uses dream divination (שאלת חלום) to access heavenly secrets ('רזא דנא כי הוא גלי רזא'), references the Zohar, and invokes kabbalistic concepts such as drawing down the Besht's soul — all central depictions of esoteric knowledge, not incidental.	False	medium	Story recounts the Besht's father's saga and the Besht's childhood; mentions שאלת חלום and a destined soul, but no actual kabbalistic/esoteric doctrine or hidden mystical knowledge is depicted.	DISAGREE
