div - xml:id	Edition	unique	Story	full tag	top-tag	sub-tag	women-in-story
Sipurei-Zadikim_0013	Sipurei-Zadikim	Sipurei-Zadikim	Sipurei-Zadikim_0013	not_a_hasidic_story	not-a-hasidic-story		No Women
Sipurei-Zadikim_0014	Sipurei-Zadikim	Sipurei-Zadikim	Sipurei-Zadikim_0014	not_a_hasidic_story	not-a-hasidic-story		No Women
Shivhei-Habesht_0001	Shivhei-Habesht	Shivhei-Habesht	Shivhei-Habesht_0001	folkloristics:story_type_birth_of_the_tsaddik	folkloristics	story_type_birth_of_the_tsaddik	Yes
	Shivhei-Habesht		Shivhei-Habesht_0001	practice:protection	practice	protection	Yes
	Shivhei-Habesht		Shivhei-Habesht_0001	supernatural:demons	supernatural	demons	Yes
	Shivhei-Habesht		Shivhei-Habesht_0001	practice:solitude	practice	solitude	Yes
	Shivhei-Habesht		Shivhei-Habesht_0001	characters-and-roles:the_family_of_the_tsaddik	characters-and-roles	the_family_of_the_tsaddik	Yes
	Shivhei-Habesht		Shivhei-Habesht_0001	times:inauguration	times	inauguration	Yes
	Shivhei-Habesht		Shivhei-Habesht_0001	Women in Story	women	Women in Story	Yes
	Shivhei-Habesht		Shivhei-Habesht_0001	times:birth	times	birth	Yes
	Shivhei-Habesht		Shivhei-Habesht_0001	supernatural:perception	supernatural	perception	Yes
	Shivhei-Habesht		Shivhei-Habesht_0001	practice:study	practice	study	Yes
	Shivhei-Habesht		Shivhei-Habesht_0001	ethics-and-emotions:fear	ethics-and-emotions	fear	Yes
Shivhei-Habesht_0002	Shivhei-Habesht	Shivhei-Habesht	Shivhei-Habesht_0002	times:inauguration	times	inauguration	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	folkloristics:story_type_inauguration	folkloristics	story_type_inauguration	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	knowledge:secret_texts	knowledge	secret_texts	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	social-relations:with_the_authorities	social-relations	with_the_authorities	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	social-relations:with_non_jews	social-relations	with_non_jews	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	social-relations:with_non_jews_hostility_against_jews	social-relations	with_non_jews_hostility_against_jews	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	social-relations:marriage_matchmaking	social-relations	marriage_matchmaking	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	social-relations:marriage	social-relations	marriage	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	practice:meditation	practice	meditation	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	social-relations:with_sinners	social-relations	with_sinners	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	ethics-and-emotions:punishment	ethics-and-emotions	punishment	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	practice:solitude	practice	solitude	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	knowledge:esoteric	knowledge	esoteric	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	practice:protection	practice	protection	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	practice:asceticism	practice	asceticism	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	supernatural:angels	supernatural	angels	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	ethics-and-emotions:virtues_poverty	ethics-and-emotions	virtues_poverty	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	kabbalah:kabbalistic_terms_kavvanot	kabbalah	kabbalistic_terms_kavvanot	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	supernatural:magic	supernatural	magic	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	Women in Story	women	Women in Story	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	characters-and-roles:the_family_of_the_tsaddik	characters-and-roles	the_family_of_the_tsaddik	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	characters-and-roles:tsaddik_wife	characters-and-roles	tsaddik_wife	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	social-relations:marital_relationship	social-relations	marital_relationship	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	characters-and-roles:hidden_righteous	characters-and-roles	hidden_righteous	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	supernatural:miracle	supernatural	miracle	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	practice:study	practice	study	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	practice:fasting	practice	fasting	Yes
	Shivhei-Habesht		Shivhei-Habesht_0002	times:death	times	death	Yes
Shivhei-Habesht_0003	Shivhei-Habesht	Shivhei-Habesht	Shivhei-Habesht_0003	supernatural:contraction_of_the_road	supernatural	contraction_of_the_road	Yes
	Shivhei-Habesht		Shivhei-Habesht_0003	social-relations:with_sinners	social-relations	with_sinners	Yes
	Shivhei-Habesht		Shivhei-Habesht_0003	ethics-and-emotions:punishment	ethics-and-emotions	punishment	Yes
	Shivhei-Habesht		Shivhei-Habesht_0003	practice:solitude	practice	solitude	Yes
	Shivhei-Habesht		Shivhei-Habesht_0003	supernatural:reincarnation	supernatural	reincarnation	Yes
	Shivhei-Habesht		Shivhei-Habesht_0003	spaces:the_land_of_israel	spaces	the_land_of_israel	Yes
	Shivhei-Habesht		Shivhei-Habesht_0003	supernatural:magic	supernatural	magic	Yes
	Shivhei-Habesht		Shivhei-Habesht_0003	Women in Story	women	Women in Story	Yes
	Shivhei-Habesht		Shivhei-Habesht_0003	characters-and-roles:the_family_of_the_tsaddik	characters-and-roles	the_family_of_the_tsaddik	Yes
	Shivhei-Habesht		Shivhei-Habesht_0003	characters-and-roles:tsaddik_wife	characters-and-roles	tsaddik_wife	Yes
	Shivhei-Habesht		Shivhei-Habesht_0003	characters-and-roles:hidden_righteous	characters-and-roles	hidden_righteous	Yes
	Shivhei-Habesht		Shivhei-Habesht_0003	ethics-and-emotions:repentance	ethics-and-emotions	repentance	Yes
	Shivhei-Habesht		Shivhei-Habesht_0003	practice:healing_of_the_soul	practice	healing_of_the_soul	Yes
Shivhei-Habesht_0004	Shivhei-Habesht	Shivhei-Habesht	Shivhei-Habesht_0004	folkloristics:story_type_advent	folkloristics	story_type_advent	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	folkloristics:story_type_rapprochement	folkloristics	story_type_rapprochement	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	knowledge:secret_texts	knowledge	secret_texts	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	custom:hasidic_custom	custom	hasidic_custom	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	social-relations:retrospective_recognition	social-relations	retrospective_recognition	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	social-relations:inter_hasidic	social-relations	inter_hasidic	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	social-relations:inter_hasidic_master_disciple_relationship	social-relations	inter_hasidic_master_disciple_relationship	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	practice:sermon	practice	sermon	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	supernatural:prognostication	supernatural	prognostication	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	practice:solitude	practice	solitude	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	characters-and-roles:hidden_righteous	characters-and-roles	hidden_righteous	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	supernatural:perception	supernatural	perception	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	knowledge:esoteric	knowledge	esoteric	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	halakhah:tefillin	halakhah	tefillin	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	supernatural:miracle	supernatural	miracle	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	times:shabbat	times	shabbat	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	Women in Story	women	Women in Story	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	social-relations:marital_relationship	social-relations	marital_relationship	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	characters-and-roles:the_family_of_the_tsaddik	characters-and-roles	the_family_of_the_tsaddik	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	characters-and-roles:tsaddik_wife	characters-and-roles	tsaddik_wife	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	practice:tvilah	practice	tvilah	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	supernatural:light_or_fire_as_a_sign_of_righteousness	supernatural	light_or_fire_as_a_sign_of_righteousness	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	halakhah:prayer	halakhah	prayer	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	practice:devekut	practice	devekut	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	ethics-and-emotions:fear	ethics-and-emotions	fear	Yes
	Shivhei-Habesht		Shivhei-Habesht_0004	experience:devekut	experience	devekut	Yes
Shivhei-Habesht_0005A	Shivhei-Habesht	Shivhei-Habesht	Shivhei-Habesht_0005A	spaces:heaven	spaces	heaven	No Women
	Shivhei-Habesht		Shivhei-Habesht_0005A	experience:journey_to_heaven	experience	journey_to_heaven	No Women
	Shivhei-Habesht		Shivhei-Habesht_0005A	experience:mystical	experience	mystical	No Women
	Shivhei-Habesht		Shivhei-Habesht_0005A	supernatural:mystical_vision	supernatural	mystical_vision	No Women
	Shivhei-Habesht		Shivhei-Habesht_0005A	practice:healing	practice	healing	No Women
	Shivhei-Habesht		Shivhei-Habesht_0005A	practice:storytelling	practice	storytelling	No Women
	Shivhei-Habesht		Shivhei-Habesht_0005A	practice:use_of_holy_names	practice	use_of_holy_names	No Women
	Shivhei-Habesht		Shivhei-Habesht_0005A	supernatural:magic	supernatural	magic	No Women
	Shivhei-Habesht		Shivhei-Habesht_0005A	ethics-and-emotions:fear	ethics-and-emotions	fear	No Women
	Shivhei-Habesht		Shivhei-Habesht_0005A	experience:visions	experience	visions	No Women
	Shivhei-Habesht		Shivhei-Habesht_0005A	knowledge:esoteric	knowledge	esoteric	No Women
	Shivhei-Habesht		Shivhei-Habesht_0005A	characters-and-roles:ritual_slaughterer	characters-and-roles	ritual_slaughterer	No Women
Shivhei-Habesht_0005B	Shivhei-Habesht	Shivhei-Habesht	Shivhei-Habesht_0005B	folkloristics:story_type_revelation	folkloristics	story_type_revelation	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	practice:solitude	practice	solitude	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	practice:asceticism	practice	asceticism	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	practice:fasting	practice	fasting	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	Women in Story	women	Women in Story	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	characters-and-roles:tsaddik_wife	characters-and-roles	tsaddik_wife	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	characters-and-roles:the_family_of_the_tsaddik	characters-and-roles	the_family_of_the_tsaddik	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	social-relations:marital_relationship	social-relations	marital_relationship	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	practice:use_of_holy_names	practice	use_of_holy_names	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	knowledge:esoteric	knowledge	esoteric	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	ethics-and-emotions:prohibitions	ethics-and-emotions	prohibitions	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	supernatural:communicating_with_the_invisible	supernatural	communicating_with_the_invisible	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	supernatural:demons	supernatural	demons	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	ethics-and-emotions:punishment	ethics-and-emotions	punishment	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	practice:protection	practice	protection	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	halakhah:prayer	halakhah	prayer	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	practice:healing	practice	healing	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	supernatural:magic	supernatural	magic	Yes
	Shivhei-Habesht		Shivhei-Habesht_0005B	supernatural:miracle	supernatural	miracle	Yes
Shivhei-Habesht_0006	Shivhei-Habesht	Shivhei-Habesht	Shivhei-Habesht_0006	supernatural:demons	supernatural	demons	No Women
	Shivhei-Habesht		Shivhei-Habesht_0006	supernatural:communicating_with_the_invisible	supernatural	communicating_with_the_invisible	No Women
	Shivhei-Habesht		Shivhei-Habesht_0006	characters-and-roles:magician	characters-and-roles	magician	No Women
	Shivhei-Habesht		Shivhei-Habesht_0006	practice:writing_amulets	practice	writing_amulets	No Women
	Shivhei-Habesht		Shivhei-Habesht_0006	supernatural:magic	supernatural	magic	No Women
Shivhei-Habesht_0007	Shivhei-Habesht	Shivhei-Habesht	Shivhei-Habesht_0007	supernatural:prognostication	supernatural	prognostication	No Women
	Shivhei-Habesht		Shivhei-Habesht_0007	social-relations:retrospective_recognition	social-relations	retrospective_recognition	No Women
	Shivhei-Habesht		Shivhei-Habesht_0007	folkloristics:story_type_prognostication	folkloristics	story_type_prognostication	No Women
	Shivhei-Habesht		Shivhei-Habesht_0007	ethics-and-emotions:repentance	ethics-and-emotions	repentance	No Women
	Shivhei-Habesht		Shivhei-Habesht_0007	supernatural:communicating_with_the_invisible	supernatural	communicating_with_the_invisible	No Women
	Shivhei-Habesht		Shivhei-Habesht_0007	supernatural:perception	supernatural	perception	No Women
	Shivhei-Habesht		Shivhei-Habesht_0007	supernatural:angel_of_death	supernatural	angel_of_death	No Women
Shivhei-Habesht_0008A	Shivhei-Habesht	Shivhei-Habesht	Shivhei-Habesht_0008A	supernatural:perception	supernatural	perception	No Women
	Shivhei-Habesht		Shivhei-Habesht_0008A	practice:study	practice	study	No Women
	Shivhei-Habesht		Shivhei-Habesht_0008A	halakhah:prayer	halakhah	prayer	No Women
	Shivhei-Habesht		Shivhei-Habesht_0008A	ethics-and-emotions:prohibitions	ethics-and-emotions	prohibitions	No Women
Shivhei-Habesht_0008B	Shivhei-Habesht	Shivhei-Habesht	Shivhei-Habesht_0008B	characters-and-roles:ritual_slaughterer	characters-and-roles	ritual_slaughterer	No Women
	Shivhei-Habesht		Shivhei-Habesht_0008B	halakhah:kosher_slaughtering	halakhah	kosher_slaughtering	No Women
	Shivhei-Habesht		Shivhei-Habesht_0008B	practice:healing	practice	healing	No Women
	Shivhei-Habesht		Shivhei-Habesht_0008B	social-relations:conflict	social-relations	conflict	No Women
	Shivhei-Habesht		Shivhei-Habesht_0008B	social-relations:competition	social-relations	competition	No Women
