"action"	"text"	"original_label"	"corrected_label"	"start"	"end"	"source_file"	"context_before"	"context_after"	"context_containing"
"removed"	"שנת תכ״"	"TIMEX"	""	"5117"	"5124"	"Maasim-Tovim.xml"	"לחיים כן יזכנו האל
					להיות יראתו תמיד על פנינו בכל עת ובכל רגע בשכבינו
					ובקומינו אמן כי״ר :
				
				
					מעשים טובים
				
				Maasim-Tovim_0002

					ב) מעשה קידוש לבנה מה שאירע בק""ק קראקא ב"	"ט
					מה שסיפר האלוף החסיד והצדיק מו״ה משה מייזלש זצ״ל.
				
				
					הובא בספר היקר אור חדש על ברכת הנהנין מהרב המקובל
					המפורסים מו״ה חיים באכנר זצלל""ה מק""ק קראקא בברכת
					קידוש השם וז״ל"	"בשנת תכ״ט"
"added"	"תכ״ט"	""	"TIMEX"	"5121"	"5125"	"Maasim-Tovim.xml"	"כן יזכנו האל
					להיות יראתו תמיד על פנינו בכל עת ובכל רגע בשכבינו
					ובקומינו אמן כי״ר :
				
				
					מעשים טובים
				
				Maasim-Tovim_0002

					ב) מעשה קידוש לבנה מה שאירע בק""ק קראקא בשנת"	"מה שסיפר האלוף החסיד והצדיק מו״ה משה מייזלש זצ״ל.
				
				
					הובא בספר היקר אור חדש על ברכת הנהנין מהרב המקובל
					המפורסים מו״ה חיים באכנר זצלל""ה מק""ק קראקא בברכת
					קידוש השם וז״ל"	""
"removed"	"ישראל"	"GPE"	""	"5382"	"5387"	"Maasim-Tovim.xml"	"בספר היקר אור חדש על ברכת הנהנין מהרב המקובל
					המפורסים מו״ה חיים באכנר זצלל""ה מק""ק קראקא בברכת
					קידוש השם וז״ל הטהור מי שבא לידו קידוש השם ומקיים מ״ע
					דונקדשתי בתוך בני"	"וכו׳ אז קודם שיהרגוהו יברך בשמחה
					בא""י אמ״ה אקב״ו לקדש שמו ברבים. וקבלתי ממ״ו ש״ב האלוף
					החסיד מו״ה משה מייזלש זצלה""ה מק""ק קראקא ובר סמכא הוה
					שאם ירצה להנצל יבקש מהעכו""ם הרוצה להרגו"	""
"removed"	"א""י"	"GPE"	""	"5427"	"5430"	"Maasim-Tovim.xml"	"מהרב המקובל
					המפורסים מו״ה חיים באכנר זצלל""ה מק""ק קראקא בברכת
					קידוש השם וז״ל הטהור מי שבא לידו קידוש השם ומקיים מ״ע
					דונקדשתי בתוך בני ישראל וכו׳ אז קודם שיהרגוהו יברך בשמחה
					ב"	"אמ״ה אקב״ו לקדש שמו ברבים. וקבלתי ממ״ו ש״ב האלוף
					החסיד מו״ה משה מייזלש זצלה""ה מק""ק קראקא ובר סמכא הוה
					שאם ירצה להנצל יבקש מהעכו""ם הרוצה להרגו שיניחנו לעשות
					מצוה אחת קודם שיהרגנו"	"בא""י"
"removed"	"עזה""י"	"GPE"	""	"5626"	"5631"	"Maasim-Tovim.xml"	"אמ״ה אקב״ו לקדש שמו ברבים. וקבלתי ממ״ו ש״ב האלוף
					החסיד מו״ה משה מייזלש זצלה""ה מק""ק קראקא ובר סמכא הוה
					שאם ירצה להנצל יבקש מהעכו""ם הרוצה להרגו שיניחנו לעשות
					מצוה אחת קודם שיהרגנו וב"	"יוכל להנצל וסיפר לי מעשה
					רב שאירע לא׳ שפגע בעכו""ם בלילה ורצה העכו""ם להרגו וראה
					שהלבנה זרחה ובקש מהעכו""ם שיניח אותו לעשות מצוה אחת
					שצוה הבורא ית׳ קודם ההריגה לתקן את נשמתו ושמע"	"ובעזה""י"
"removed"	"׳"	"GPE"	""	"5673"	"5674"	"Maasim-Tovim.xml"	"בספר היקר אור חדש על ברכת הנהנין מהרב המקובל
					המפורסים מו״ה חיים באכנר זצלל""ה מק""ק קראקא בברכת
					קידוש השם וז״ל הטהור מי שבא לידו קידוש השם ומקיים מ״ע
					דונקדשתי בתוך בני ישראל וכו"	"אז קודם שיהרגוהו יברך בשמחה
					בא""י אמ״ה אקב״ו לקדש שמו ברבים. וקבלתי ממ״ו ש״ב האלוף
					החסיד מו״ה משה מייזלש זצלה""ה מק""ק קראקא ובר סמכא הוה
					שאם ירצה להנצל יבקש מהעכו""ם הרוצה להרגו שיניחנו"	"לא׳"
"removed"	"עכו""ם"	"GPE"	""	"5681"	"5686"	"Maasim-Tovim.xml"	"בתוך בני ישראל וכו׳ אז קודם שיהרגוהו יברך בשמחה
					בא""י אמ״ה אקב״ו לקדש שמו ברבים. וקבלתי ממ״ו ש״ב האלוף
					החסיד מו״ה משה מייזלש זצלה""ה מק""ק קראקא ובר סמכא הוה
					שאם ירצה להנצל יבקש מה"	"הרוצה להרגו שיניחנו לעשות
					מצוה אחת קודם שיהרגנו ובעזה""י יוכל להנצל וסיפר לי מעשה
					רב שאירע לא׳ שפגע בעכו""ם בלילה ורצה העכו""ם להרגו וראה
					שהלבנה זרחה ובקש מהעכו""ם שיניח אותו לעשות מצוה"	"בעכו""ם"
"removed"	"בורא"	"MISC"	""	"5783"	"5787"	"Maasim-Tovim.xml"	"לעשות
					מצוה אחת קודם שיהרגנו ובעזה""י יוכל להנצל וסיפר לי מעשה
					רב שאירע לא׳ שפגע בעכו""ם בלילה ורצה העכו""ם להרגו וראה
					שהלבנה זרחה ובקש מהעכו""ם שיניח אותו לעשות מצוה אחת
					שצוה ה"	"ית׳ קודם ההריגה לתקן את נשמתו ושמע הנכרי
					ונעתר לבקשתו והרשה לו לעשות המצוה ואח״כ יעשה אתו עמו
					מה שלבו חפץ והלבנה היתה בחידושה וקידשה בפניו בכוונה
					גדולה. ואח״כ רצה למסור נפשו בשמחה על"	"הבורא"
"reclassified"	"ישראל"	"GPE"	"PER"	"10760"	"10765"	"Maasim-Tovim.xml"	"תחיה בעליה כי באמת ידע בעצמו לקיים הכלל
					הגדול והנורא הבא להרגך השכם להרגו כזה כן זה לא נופל דבר :
				
				Maasim-Tovim_0004

					ד) מעשה תקיעות שופר מבעל תוקע.
				
				
					מעשה שהי׳ בתוקע"	"שהמיר דתו והיה יושב בבית הועד
					הנוגנים אשר למלך. ויהי היום בנגינתם אמר אליהם כי
					הוא הי' יודע לתקוע בקרן אחד בקול גדול תקיעה שברים ותרועה
					והתחיל לתקוע תקיעה וגם שברים ועלה בידו והרבה"	""
"removed"	"ישראל"	"GPE"	""	"11423"	"11428"	"Maasim-Tovim.xml"	"ר׳ אברהם יכינו ז""ל לדעת על מה זה ועל
					מה זה והשיב לו הרב הנזכר כן הוא ומקרא מלא הוא אשרי
					העם יודעי תרועה כי לא פורש לא תקיעה ולא שברים אפס
					התרועה כי זאת הסגולה לא נתנה כי אם לעם בני"	"להם
					לבדם והטעם כי התרועה היא מעוררות הרחמים יותר מכל הקולות
					ומכניע לס״ם כמ""ש תרועם בשבט ברזל. ועוד כי התקיעה נגד
					 יש איזה אחיזה על כי יצא ממנו  וכן באברהםישמעאליצחק יש
					אחיזה מצד"	""
"removed"	"שבט ברזל"	"MISC"	""	"11523"	"11531"	"Maasim-Tovim.xml"	"יודעי תרועה כי לא פורש לא תקיעה ולא שברים אפס
					התרועה כי זאת הסגולה לא נתנה כי אם לעם בני ישראל להם
					לבדם והטעם כי התרועה היא מעוררות הרחמים יותר מכל הקולות
					ומכניע לס״ם כמ""ש תרועם ב"	". ועוד כי התקיעה נגד
					 יש איזה אחיזה על כי יצא ממנו  וכן באברהםישמעאליצחק יש
					אחיזה מצד עשו ועל כן גם או""ה יתקעו כיוצא בהן תקיעה ושברים
					משא""כ בתרועה שעיקרה נגד יעקב שמטתו שלימה אין בה"	"בשבט ברזל."
"removed"	"אברהם"	"PER"	""	"11557"	"11562"	"Maasim-Tovim.xml"	"לבו בקרבו לאמור מה זאת וחזר לנסות עצמו בביתו ולא
					עלתה על ידו עד כי אמר לא אשקוט ולא אניח עד כי אדע מה
					זה ועל מה זה כי אחר שנשתמד לא עצר כח להריע בתרועה
					ובא אצל הרב החסיד ר׳"	"יכינו ז""ל לדעת על מה זה ועל
					מה זה והשיב לו הרב הנזכר כן הוא ומקרא מלא הוא אשרי
					העם יודעי תרועה כי לא פורש לא תקיעה ולא שברים אפס
					התרועה כי זאת הסגולה לא נתנה כי אם לעם בני ישראל"	" יש איזה"
"added"	"אברהם"	""	"PER"	"11587"	"11592"	"Maasim-Tovim.xml"	"לבו בקרבו לאמור מה זאת וחזר לנסות עצמו בביתו ולא
					עלתה על ידו עד כי אמר לא אשקוט ולא אניח עד כי אדע מה
					זה ועל מה זה כי אחר שנשתמד לא עצר כח להריע בתרועה
					ובא אצל הרב החסיד ר׳"	"יכינו ז""ל לדעת על מה זה ועל
					מה זה והשיב לו הרב הנזכר כן הוא ומקרא מלא הוא אשרי
					העם יודעי תרועה כי לא פורש לא תקיעה ולא שברים אפס
					התרועה כי זאת הסגולה לא נתנה כי אם לעם בני ישראל"	" וכן באברהםישמעאליצחק"
"added"	"יצחק"	""	"PER"	"11604"	"11608"	"Maasim-Tovim.xml"	"כי אם לעם בני ישראל להם
					לבדם והטעם כי התרועה היא מעוררות הרחמים יותר מכל הקולות
					ומכניע לס״ם כמ""ש תרועם בשבט ברזל. ועוד כי התקיעה נגד
					 יש איזה אחיזה על כי יצא ממנו  וכן באברהםישמעאל"	"יש
					אחיזה מצד עשו ועל כן גם או""ה יתקעו כיוצא בהן תקיעה ושברים
					משא""כ בתרועה שעיקרה נגד יעקב שמטתו שלימה אין בה שום
					אחיזה לא""ה בה ועל כן לא ניתנה סגולתה כי אם לישראל וכן
					הוא אומר"	"באברהםישמעאליצחק"
"added"	"עשו"	""	"PER"	"11627"	"11630"	"Maasim-Tovim.xml"	"להם
					לבדם והטעם כי התרועה היא מעוררות הרחמים יותר מכל הקולות
					ומכניע לס״ם כמ""ש תרועם בשבט ברזל. ועוד כי התקיעה נגד
					 יש איזה אחיזה על כי יצא ממנו  וכן באברהםישמעאליצחק יש
					אחיזה מצד"	"ועל כן גם או""ה יתקעו כיוצא בהן תקיעה ושברים
					משא""כ בתרועה שעיקרה נגד יעקב שמטתו שלימה אין בה שום
					אחיזה לא""ה בה ועל כן לא ניתנה סגולתה כי אם לישראל וכן
					הוא אומר יום תרוע""ה יהי׳ לכם לכם"	""
"removed"	"ו""ה"	"PER"	""	"11642"	"11645"	"Maasim-Tovim.xml"	"והטעם כי התרועה היא מעוררות הרחמים יותר מכל הקולות
					ומכניע לס״ם כמ""ש תרועם בשבט ברזל. ועוד כי התקיעה נגד
					 יש איזה אחיזה על כי יצא ממנו  וכן באברהםישמעאליצחק יש
					אחיזה מצד עשו ועל כן גם א"	"יתקעו כיוצא בהן תקיעה ושברים
					משא""כ בתרועה שעיקרה נגד יעקב שמטתו שלימה אין בה שום
					אחיזה לא""ה בה ועל כן לא ניתנה סגולתה כי אם לישראל וכן
					הוא אומר יום תרוע""ה יהי׳ לכם לכם ולא לא""ה."	"או""ה"
"removed"	"ישראל"	"GPE"	""	"11781"	"11786"	"Maasim-Tovim.xml"	"ר׳ אברהם יכינו ז""ל לדעת על מה זה ועל
					מה זה והשיב לו הרב הנזכר כן הוא ומקרא מלא הוא אשרי
					העם יודעי תרועה כי לא פורש לא תקיעה ולא שברים אפס
					התרועה כי זאת הסגולה לא נתנה כי אם לעם בני"	"להם
					לבדם והטעם כי התרועה היא מעוררות הרחמים יותר מכל הקולות
					ומכניע לס״ם כמ""ש תרועם בשבט ברזל. ועוד כי התקיעה נגד
					 יש איזה אחיזה על כי יצא ממנו  וכן באברהםישמעאליצחק יש
					אחיזה מצד"	"לישראל"
"removed"	"ישראל"	"GPE"	""	"12099"	"12104"	"Maasim-Tovim.xml"	"ממנו  וכן באברהםישמעאליצחק יש
					אחיזה מצד עשו ועל כן גם או""ה יתקעו כיוצא בהן תקיעה ושברים
					משא""כ בתרועה שעיקרה נגד יעקב שמטתו שלימה אין בה שום
					אחיזה לא""ה בה ועל כן לא ניתנה סגולתה כי אם ל"	"וכן
					הוא אומר יום תרוע""ה יהי׳ לכם לכם ולא לא""ה. וכששמעו המשומד
					ההוא את דברי הרב וימס לבבו ולא קמה עוד רוח בו לאמור
					אוי לי מה עשיתי מדוע דבר ה׳ בזיתי לשוב מאחרי ד׳ וברח
					לארץ וחזר"	""
"removed"	"ד'"	"MISC"	""	"13045"	"13047"	"Maasim-Tovim.xml"	"לפני פתח החסיד הנזכר
					וכאשר לא יכול לקום ממטתו ללותו כבדה ידו על אנחתו ומאד
					הי׳ צר לו על אשר לא זכה לקיים מצותו בפרט על אדם הגדול
					החשוב בעיני כל רואיו וישכח כל כאב וכל מחלה ויעש תפלה ל"	"כל הלילה. ויאמר ה׳ אשר שמת לעור עינים ולפסח רגלים אחרי
					אשר בכאב רגלי עניתני ענני נא מפאת מטתי ושמע תפלתי לתת
					שאלתי ולעשות בקשתי שבעת שיעבור חסיד לפני ביתי חזקני
					ואמצני להעמידני"	"לד'"
"removed"	"ה"	"MISC"	""	"13056"	"13057"	"Maasim-Tovim.xml"	"הנ""ל הי׳ מלוה כל מת
					עד בית הקברות ועוזר לקוברים ובעת זקנתו חלה את רגלו ולא
					יכול לרדת ממטתו לקיים המצוה. ויהי היום וימת בעיר חסיד
					אחד אוהב חסד ורודף צדקה ומכובד ויקר בעיני כל אנשי"	"עיר
					איש חשוב ויקר ומחזיק בכל יכלתו בכל בדק. והנה לווהו לבית
					עולמו כל אנשי העיר אנשים וטף לחלוק לו כבוד האחרון כראוי
					לאיש כמותו ולבכות על האבידה ויעבור לפני פתח החסיד הנזכר
					וכאשר"	"הלילה."
"removed"	"אלקים"	"MISC"	""	"13487"	"13492"	"Maasim-Tovim.xml"	"ויענהו מלאך ד׳ במחזה. הנה נשאתי פניך לדבר הזה ובכל
					עת שהי׳ איש צדיק עובר על פתח ביתו הי' עומד על מטתו
					ועומד ומתפלל על נפשו. יום אחד מת זקן אחד תפארת זקנים
					ועטרת ישישים טוב עם"	"ואנשים והי׳ מפורסים לאיש הולך
					משרים בכל המעלות ותהלות עולם ויעבור לפני פתח החסיד ולא
					הי׳ יכול לקום מפניו ולעמוד מעל מטתו ללוהו לבית עולמים.
					ויהי ממחרת וימת איש מחרחר ריב ומדון. מלא"	""
"removed"	"משה"	"MISC"	""	"14584"	"14587"	"Maasim-Tovim.xml"	"להמית אותי והי׳
					קורץ בעיניו וחורק בשיניו והורג את בניו וכל היום מחרחר ריב
					וכמעט ביתו מחריב. סוף דבר לשבחו רע וקשה הי' מואם בתורת
					. אבל נמצא בו דבר טוב כי הי׳ לו אב זקן בן מאה שנה"	"והי׳ עובדו ומכבדו ונושק כל היום את ידיו ומאכילהו ומשקהו
					ומפשיטו ומלבישהו כי מרוב זקנתו לא הי׳ יכול להתהפך על
					מטתו ובכל יום הי׳ מביא אליו מטעמים להחיות נפשו כה משפטו
					כל הימים אז ידעו כי"	". אבל"
"added"	"נוקפה"	""	"GPE"	"15885"	"15890"	"Maasim-Tovim.xml"	"אוכל
					לחם אנושים ויין ענבים לחים ויבשים וגונב לבות האנשים כמו
					פרושים אנשי שכם שעושים מעשה שכמי אשר מלו בשר ערלתם
					לא לאהבת ד׳ ולכבודו כי אם ליראת חמור ושכם כי הי׳ נשיאם
					וכמו פרושי"	"שמנקפים רגליהם ואומרים לבני אדם איני יכול
					לעמוד וללכת על רגלי מאשר יגעתי והלכתי למקום רחוק לקנות
					אתרוג ולולב או לברכת מילה או לברכת כלה וכמו פרושי מדוביא
					אשר הם פורשים מן הטוב ודבקים"	""
"added"	"מדוביא"	""	"GPE"	"16048"	"16054"	"Maasim-Tovim.xml"	"ושכם כי הי׳ נשיאם
					וכמו פרושי נוקפה שמנקפים רגליהם ואומרים לבני אדם איני יכול
					לעמוד וללכת על רגלי מאשר יגעתי והלכתי למקום רחוק לקנות
					אתרוג ולולב או לברכת מילה או לברכת כלה וכמו פרושי"	"אשר הם פורשים מן הטוב ודבקים ברע מי שפרע מאנשי דור
					המבול ומדור הפלגה מהרה מהם יפרע וראש ששונם ושמחתם
					יהפך לאבל עליהם וגם מן הצבועים המחפיס ראשיהם ומראין
					טלפיהן וציצותיהן ומאריכין"	""
"added"	"דור הפלגה"	""	"TIMEX"	"16124"	"16133"	"Maasim-Tovim.xml"	"יכול
					לעמוד וללכת על רגלי מאשר יגעתי והלכתי למקום רחוק לקנות
					אתרוג ולולב או לברכת מילה או לברכת כלה וכמו פרושי מדוביא
					אשר הם פורשים מן הטוב ודבקים ברע מי שפרע מאנשי דור
					המבול ומ"	"מהרה מהם יפרע וראש ששונם ושמחתם
					יהפך לאבל עליהם וגם מן הצבועים המחפיס ראשיהם ומראין
					טלפיהן וציצותיהן ומאריכין בד׳ של אחד וצ׳ מציצית וז׳ תזכרו
					לרמות המקום לא יהי' חומל עליהם וחס כי הם"	"ומדור הפלגה"
"added"	"זמרי"	""	"PER"	"16349"	"16353"	"Maasim-Tovim.xml"	"לאבל עליהם וגם מן הצבועים המחפיס ראשיהם ומראין
					טלפיהן וציצותיהן ומאריכין בד׳ של אחד וצ׳ מציצית וז׳ תזכרו
					לרמות המקום לא יהי' חומל עליהם וחס כי הם עושים כמעשה
					 ומבקשים שכר כ"	"פנחס :
				
				Maasim-Tovim_0006

					ו) מעשה ברבי אבא בר זבינא שהי׳ תופר בגדים.
				
				
					הנה רבי אבא בר זבינא שהי׳ תופר בגדים בבית גוי אחד והביא
					לו בשר נבילה ויאמר לו אכול וימאן רבי אבא"	" ומבקשים"
"removed"	"רבי אבא בר זבינא"	"PER"	""	"16416"	"16432"	"Maasim-Tovim.xml"	"וציצותיהן ומאריכין בד׳ של אחד וצ׳ מציצית וז׳ תזכרו
					לרמות המקום לא יהי' חומל עליהם וחס כי הם עושים כמעשה
					 ומבקשים שכר כזמריפנחס :
				
				Maasim-Tovim_0006

					ו) מעשה ב"	"שהי׳ תופר בגדים.
				
				
					הנה רבי אבא בר זבינא שהי׳ תופר בגדים בבית גוי אחד והביא
					לו בשר נבילה ויאמר לו אכול וימאן רבי אבא בר זבינא
					לאכול ויאמר לו הגוי אם לא תאכל אני הורגך השיב לו"	"ברבי אבא בר זבינא"
"added"	"אבא בר זבינא"	""	"PER"	"16420"	"16432"	"Maasim-Tovim.xml"	"וציצותיהן ומאריכין בד׳ של אחד וצ׳ מציצית וז׳ תזכרו
					לרמות המקום לא יהי' חומל עליהם וחס כי הם עושים כמעשה
					 ומבקשים שכר כזמריפנחס :
				
				Maasim-Tovim_0006

					ו) מעשה ברבי"	"שהי׳ תופר בגדים.
				
				
					הנה רבי אבא בר זבינא שהי׳ תופר בגדים בבית גוי אחד והביא
					לו בשר נבילה ויאמר לו אכול וימאן רבי אבא בר זבינא
					לאכול ויאמר לו הגוי אם לא תאכל אני הורגך השיב לו"	""
"removed"	"׳"	"PER"	""	"16436"	"16437"	"Maasim-Tovim.xml"	"הם פורשים מן הטוב ודבקים ברע מי שפרע מאנשי דור
					המבול ומדור הפלגה מהרה מהם יפרע וראש ששונם ושמחתם
					יהפך לאבל עליהם וגם מן הצבועים המחפיס ראשיהם ומראין
					טלפיהן וציצותיהן ומאריכין בד"	"של אחד וצ׳ מציצית וז׳ תזכרו
					לרמות המקום לא יהי' חומל עליהם וחס כי הם עושים כמעשה
					 ומבקשים שכר כזמריפנחס :
				
				Maasim-Tovim_0006

					ו) מעשה ברבי אבא בר זבינא שהי׳ תופר"	"שהי׳"
"removed"	"מס"	"WOA"	""	"16972"	"16974"	"Maasim-Tovim.xml"	"אם יעבור על דתו ויאכל ואדרבא אם הי׳ אוכל
					הי' הורגו כי האדם צריך להיות איש אמונים לדתו וללכת בדרך
					אחד או בדרך היהודים או בדרך הגוים ולא להקרא בשם יהודים
					ולעשות מעשה נכרי והוא מהירושלמי"	"׳ שבועות פ״ד :
				
				Maasim-Tovim_0007

					ז) מעשה מתלמידי רבי חנינא.
				
				
					מעשה בשני תלמידים מתלמידי ר' חנינא שיצאו לחטוב עצים
					וראה אותם איש אחד חוזה בכוכבים אמר אלו"	"מס׳"
"added"	"מעשים טובים"	""	"WOA"	"17263"	"17274"	"Maasim-Tovim.xml"	"בשני תלמידים מתלמידי ר' חנינא שיצאו לחטוב עצים
					וראה אותם איש אחד חוזה בכוכבים אמר אלו השנים
					הולכים ואינן חוזרין. ויהי בהיותם מהלכים פגע בהם זקן אחד
				
				
					ויאמר"	"ויאמר להם זכו בי כי זה לי שלשה ימים שלא טעמתי מאומה
					והי׳ אתם כבר לחם אחת שברו וחתכו את הלחם ונתנו לו את
					החצי האחת אכל והתפלל בעדם ויאמר להם יה״ר שתתקיים
					נפשיכם כאשר קיימתם"	"
				מעשים טובים"
"removed"	"יה״ר"	"MISC"	""	"17440"	"17444"	"Maasim-Tovim.xml"	"טובים
				
					ויאמר להם זכו בי כי זה לי שלשה ימים שלא טעמתי מאומה
					והי׳ אתם כבר לחם אחת שברו וחתכו את הלחם ונתנו לו את
					החצי האחת אכל והתפלל בעדם ויאמר להם"	"שתתקיים
					נפשיכם כאשר קיימתם את נפשי ביום זה והמה הלכו בשלום
					וחזרו בשלום ושמה נמצאו בני אדם ששמעו מהחוזה בכוכבים את
					הדברים האלו שאמר על אלו השנים. ויהי בראותם כי חזרו לשלום
					אמרו לו"	""
