story_id	edition	claude_category	claude_collective	claude_confidence	claude_reasoning	gemini_category	gemini_collective	gemini_confidence	gemini_reasoning	agreement	human_category	human_collective	run_timestamp	criteria_hash
Khal-Hasidim_0078	Khal-Hasidim	no-women	False	high	The story involves a merchant, a thief, the Besht, and R. Tzvi the scribe — no women appear or are referenced in any way, even incidentally.					partial	no-women	False	2026-05-07T03:30:50Z	b29ac49a
Maase-Zadikim_0015	maase-zadikim	minor-character	False	medium	"The innkeeper's wife appears in a depicted scene — she is sitting with her husband and directly addressed ('ראה אשתי'), placing her beyond mere relational mention; however she neither speaks nor acts, making the boundary with mention-only genuinely close. The non-Jewish woman ('נשג""ז') with whom the innkeeper sinned is referenced only as the object of his transgression, not as a character."					partial	no-women	False	2026-05-07T03:31:18Z	b29ac49a
Shivhei-Habesht_0084	Shivhei-Habesht	mention-only	True	high	Women appear only in the phrase 'אנשים ונשים' (men and women) as part of the crowd that joined the funeral procession — an anonymous collective backdrop with no individual action, speech, or presence. No woman acts, speaks, or is depicted as a character.					partial	no-women	False	2026-05-07T03:31:24Z	b29ac49a
Khal-Hasidim_0015	Khal-Hasidim	mention-only	True	high	Women appear only as part of the collective phrase 'אנשים ונשים וטף' (men, women, and children) within the Besht's letter, functioning as anonymous backdrop to the predicted commotion. No individual woman acts, speaks, or is depicted as a character.					partial	no-women	False	2026-05-07T03:31:34Z	b29ac49a
Khal-Hasidim_0011	Khal-Hasidim	minor-character	False	medium	The tax collector's wife appears in a depicted scene at the deathbed: she acts (steps away from him) and speaks (says 'perhaps he is sleeping a bit and it will rest him'), then checks on him and discovers he is dead — she is present and agentive in the scene, not merely referenced. A second woman (R' Yaakov's intended bride, 'לישא אשה') is mention-only as a destination, but the wife's scene-level presence and action lift the story to minor-character. The story's core — the Besht's vision and warning — does not depend on her.					partial	no-women	False	2026-05-07T03:31:58Z	b29ac49a
Khal-Hasidim_0075	Khal-Hasidim	mention-only	False	high	The female orphan (היתומה) is mentioned once as having been raised in the Besht's home as part of the match arrangement, but she never acts, speaks, or appears in any depicted scene. The story's action centers entirely on the male figures — the Besht, R' Zeev Kitzes, R' Leib Kreminer, and the nobleman — and the financial miracle surrounding the wedding.					partial	no-women	False	2026-05-07T03:32:14Z	b29ac49a
Khal-Hasidim_0172	Khal-Hasidim	mention-only	True	high	Women appear only once as part of the anonymous collective phrase 'אנשים ונשים' (men and women) who followed the mokhiach to the funeral — a pure backdrop reference with no individual woman acting, speaking, or driving any part of the plot.					partial	no-women	False	2026-05-07T03:32:35Z	b29ac49a
Khal-Hasidim_0188	Khal-Hasidim	mention-only	False	high	"The only female reference is 'וגם אצל הר""ר ברוך מתה בתו בשנה ההוא' — Rabbi Barukh's daughter is mentioned as dying that year, cited as evidence of the dispute's destructive consequences. She does not act, speak, or appear in any depicted scene; she functions purely as a contextual detail illustrating harm."					partial	no-women	False	2026-05-07T03:32:47Z	b29ac49a
Shivhei-Habesht_0164	Shivhei-Habesht	mention-only	False	high	Tzipporah is referenced only within the Besht's retrospective explanation of his mystical experience ('when Tzipporah gave him food to eat for the first time'), invoking a biblical event; she does not act, speak, or appear in any depicted scene of the story itself. Per the guidelines, biblical female figures count only if they appear in the story's action, which she does not.					partial	no-women	False	2026-05-07T03:33:04Z	b29ac49a
Maase-Zadikim_0033	maase-zadikim	mention-only	False	high	Two women are referenced: 'אשת רעהו' (his neighbor's wife) appears only as the object of the man's sin with no presence or action of her own, and Bathsheba ('בת שבע') is cited twice within a biblical analogy used as a teaching device, not as a participant in the story's action. Neither woman acts, speaks, or appears in a depicted scene.					partial	no-women	False	2026-05-07T03:33:17Z	b29ac49a
Shivhei-Habesht_0173B	Shivhei-Habesht	major-character	False	medium	מ' טובלע (Madame Tovle, wife of R. Shmuel) is an active agent whose decisions visibly shape the plot: she receives the Maiar's secret warning, decides to send her son-in-law to flee with the valuables (enabling his escape and later rise to prominence), and then initiates the appeal to the Baal Shem Tov — the event that triggers the story's climax. A reasonable counter-argument for catalyst-character exists since the Besht's refusal is the narrative's final point, but Tovle's independent decisions drive two distinct plot turns rather than merely providing a passive predicament.					partial	minor-character	False	2026-05-07T03:33:40Z	b29ac49a
Khal-Hasidim_0070	Khal-Hasidim	minor-character	False	high	The widow of R' Aharon (אלמנה אשת ר' אהרן) appears in a depicted scene at the story's close: she speaks ('בוודאי אין בתיבה מעות'), is persuaded to search the box, and finds both the hidden coins and the wrapped hairs — providing the empirical confirmation of the visionary dream. She acts and speaks as a character, but the story's main thrust is the afterlife drama of R' Aharon's soul, the demonic impersonation, and R' Gershon's nullification of it; her role is to verify the vision's authenticity rather than to drive or motivate the central plot.					partial	minor-character	False	2026-05-07T03:34:06Z	b29ac49a
Shivhei-Habesht_0146	Shivhei-Habesht	catalyst-character	False	medium	The new mother (היולדת) is the pivot of the entire story — the accusation of mamzerut, the public crisis, and the rabbi's supernatural intervention all orbit her predicament — but the rabbi is the active agent throughout (refusing, declaring, sending, threatening). She confesses and speaks when confronted, giving her a moment of voiced presence, but her role is passive response to the rabbi's orchestrated revelation rather than independent agency driving the plot.					partial	minor-character	False	2026-05-07T03:34:39Z	b29ac49a
Khal-Hasidim_0244	Khal-Hasidim	catalyst-character	False	medium	The wife's predicament (suspected sotah/infidelity) is the entire reason the story exists and the Gaon's miraculous intervention is the active narrative core; she appears in the central scene (summoned, present for the Torah reading, struck by the curses) but remains entirely passive — she does not speak or decide anything — making the Gaon the sole active agent. The tension between catalyst and minor-character (since she physically appears and reacts) warrants medium confidence.					partial	minor-character	False	2026-05-07T03:35:09Z	b29ac49a
Maase-Zadikim_0007	maase-zadikim	minor-character	True	medium	The daughter of the Rabbi of Mezeritch appears in a depicted scene at the Shabbat table (servants seat her nearby, she is singled out as 'בת הרה״ק'), and she performs a visible action — upon becoming niddah she flees the table ('וברחה מעל השלחן') — which triggers the Rabbi of Mezeritch's outburst and the estrangement between the two rabbis; her daughters-as-group mention ('בניו ובנותיו') also activates the collective flag. She is between mention-only and minor-character since her action is involuntary and she has no speech or independent agency, but she does act in a depicted scene and her departure is a plot-turning moment, placing her in minor-character.					partial	minor-character	False	2026-05-07T03:35:46Z	b29ac49a
Shivhei-Habesht_0173A	Shivhei-Habesht	mention-only	False	high	Two women appear only as relational references: the innkeeper's first wife is mentioned when he asks whether to divorce her (the Besht says no) and again when she dies at age sixty; the second wife is noted solely as the one who bore him two sons. Neither woman acts, speaks, is described, or appears in any depicted scene.					partial	no-women	False	2026-05-07T03:36:02Z	b29ac49a
Khal-Hasidim_0092	Khal-Hasidim	catalyst-character	True	medium	R' Yechiel Michel's wife in hard labor (מקשה לילד) is the crisis that motivates the Besht's final prophetic instruction and the story's climactic miracle — without her predicament there is no resolution to report. The Besht's wife also acts as a minor character (she asks where R' Yechiel Michel is and sends for him), but the higher tier is set by the laboring wife's catalytic role; 'many women' (נשים הרבה) present at the birth constitute an anonymous collective.					partial	minor-character	False	2026-05-07T03:36:37Z	b29ac49a
Adat-Zadikim_0001	Adat-Zadikim	major-character	False	medium	The wife of Reb Shbtai is an active agent throughout: she makes and keeps a promise, independently discovers and sells the old garment's silver buttons, prepares the entire Shabbat meal, dances with her husband, recounts the events to him in speech, and then answers the Besht directly with a consequential choice (a son over wealth) that produces the birth of the Maggid of Kozhnitz — the story's telos. Her decisions and actions visibly drive both the central miracle and the narrative's outcome, though one could argue 'catalyst-character' given that the frame centers on Reb Shbtai's piety and the Besht's perception.					partial	major-character	False	2026-05-07T03:37:06Z	b29ac49a
Khal-Hasidim_0240	Khal-Hasidim	minor-character	False	medium	The bride (כלה) and the female in-law (מחותנת/זוגתו) appear in depicted scenes — they travel to Kozhnitz and are examined by the Tzadik — but neither speaks, acts, or decides; the story's core turns on the young man's jealousy and the Tzadik's supernatural revelation that these figures are demons, not on the women's own predicament or agency. A case for catalyst-character is possible since the bride's existence anchors the entire deception, but her role is as passive instrument rather than a suffering subject whose situation drives a male protagonist to intervene.					partial	no-women	False	2026-05-07T03:37:39Z	b29ac49a
Khal-Hasidim_0218	Khal-Hasidim	minor-character	False	medium	The Gaon of Vilna's mother appears as an active character: she is persuaded by the Gaon's students and goes to her son to invoke the commandment of honoring one's mother, forbidding him to leave the house — an action the narrator frames as catastrophic ('בזה היתה תלויה הגאולה האמיתית'). She acts and her intervention has real narrative consequences, but she is a manipulated instrument in a subordinate episode of a story whose main thrust is R' Yisrael Palitzkier's spiritual journey to Mezeritch; removing her episode would not dissolve the core plot.					partial	minor-character	False	2026-05-07T03:38:11Z	b29ac49a
Khal-Hasidim_0167	Khal-Hasidim	major-character	False	medium	The wealthy heiress is an active driver of the plot: she independently devises the scheme of leasing shops and routing her own merchandise through the avrech's name to protect her reputation, instructs the matchmaker and her uncle, goes to inspect the goods herself, and at the story's climax delivers the key speech that explains the Rabbi's supernatural interventions to her husband — resolving the story's meaning. Her decisions (not merely her situation) visibly shape the marriage plot. The deceased first wife ('מתה עליו אשתו') is a bare mention with no scene presence. Confidence is medium rather than high because the Rabbi is ultimately the orchestrating agent and the heiress was coerced by illness, making a 'catalyst' reading defensible.					partial	major-character	False	2026-05-07T03:38:47Z	b29ac49a
Khal-Hasidim_0231	Khal-Hasidim	no-women	False	high	The story features only male characters throughout — the rabbis Pheivish, Moshe Leib of Sassov, and Tzvi of Zidichov — with no women mentioned, referenced, or implied in any capacity.					partial	no-women	False	2026-05-07T03:38:53Z	b29ac49a
Khal-Hasidim_0117	Khal-Hasidim	major-character	False	medium	The young widow appears in depicted scenes, speaks multiple times, and makes active decisions that visibly shape the plot — agreeing to leave with the Besht, speaking to her father-in-law, voluntarily coming to confess before her wedding, and accepting (and fulfilling) the unusual penance — making her more than a passive catalyst. However, a case for catalyst-character is defensible since the Besht remains the primary agent who travels, arranges, and prescribes, while she is the soul being rescued.					partial	major-character	False	2026-05-07T03:39:17Z	b29ac49a
Khal-Hasidim_0179	Khal-Hasidim	minor-character	False	medium	The inn's maidservant (שפחת הבית) appears in a depicted scene, actively refuses the innkeeper's servant's sexual advance, and cries out (ותתן את קולה ברעש) — her actions directly trigger the false accusation and beating of the rabbi that forms the story's central incident. She acts rather than merely being mentioned, but the story exists to illustrate the rabbi's wisdom, humility, and spiritual refinement, not her predicament; she exits the narrative immediately after her brief action.					partial	minor-character	False	2026-05-07T03:39:53Z	b29ac49a
Maase-Zadikim_0032	maase-zadikim	major-character	False	high	The unnamed woman actively confronts the rabbi with a theologically sharp rebuttal that silences him, directly shaping the story's climax and moral; the rabbi himself declares she defeated him. Her speech is the pivotal act, not merely her situation.					partial	major-character	False	2026-05-07T03:39:59Z	b29ac49a
Mifalot-HaZadikim_0022	Mifalot-HaZadikim	no-women	False	high	The story features only male characters throughout — Rabbi Yaakov Shimshon, an unnamed elderly sage, Rabbi Baruch of Medzhibozh, and the Baal Shem Tov — with no women mentioned, referenced, or implied in any way.					partial	no-women	False	2026-05-07T03:40:04Z	b29ac49a
Khal-Hasidim_0079	Khal-Hasidim	no-women	False	high	The story involves only male characters (the rabbi of the community, R' Nachman of Horodenka, R' Ze'ev Kutzes) at the funeral of the Besht; no women appear or are referenced in any way.					partial	no-women	False	2026-05-07T03:40:11Z	b29ac49a
Khal-Hasidim_0067	Khal-Hasidim	no-women	False	high	The story features only male characters throughout — the Besht, his disciples, the nobleman (אדון), and the prophet Elijah — with no women appearing, referenced, or implied in any way.					partial	no-women	False	2026-05-07T03:40:16Z	b29ac49a
Mifalot-HaZadikim_0050	Mifalot-HaZadikim	no-women	False	high	The story involves only two male figures — R' Ze'ev of Zhitomir and his student/son-in-law R' Shneur — with no women mentioned, referenced, or implied in any way.					partial	no-women	False	2026-05-07T03:40:23Z	b29ac49a
Khal-Hasidim_0074	Khal-Hasidim	no-women	False	high	The story involves only male characters — the Besht, R. Yosef the teacher, the doctor, and the townsmen — with no women appearing or referenced in any way.					partial	no-women	False	2026-05-07T03:40:28Z	b29ac49a
Mifalot-HaZadikim_0037	Mifalot-HaZadikim	no-women	False	high	The passage is a Hasidic homily on Exodus 8 attributed to R. Menachem Nachum of Makarov, focused entirely on morning devotion and cleaving to God; no women are mentioned or referenced in any capacity.					partial	no-women	False	2026-05-07T03:40:36Z	b29ac49a
Mifalot-HaZadikim_0030	Mifalot-HaZadikim	no-women	False	high	The story focuses entirely on the Rebbe Zusha and his male disciples during a penitential session; no women are mentioned, referenced, or implied anywhere in the text.					partial	no-women	False	2026-05-07T03:40:41Z	b29ac49a
Shivhei-Habesht_0147	Shivhei-Habesht	no-women	False	high	The story involves only male characters — Rabbi Elijah of Sokolivka, the Baal Shem Tov, an anonymous Jewish traveler, and a robber — with no women mentioned or referenced in any capacity.					partial	no-women	False	2026-05-07T03:40:47Z	b29ac49a
Khal-Hasidim_0219	Khal-Hasidim	no-women	False	high	The story concerns two male rabbis (R' Israel and R' Chaykil) meeting at a male innkeeper's home; no women are referenced, mentioned, or implied anywhere in the narrative.					partial	no-women	False	2026-05-07T03:40:54Z	b29ac49a
Khal-Hasidim_0029	Khal-Hasidim	no-women	False	high	No women appear or are referenced in this story; the phrase 'עיר ואם בישראל' is a biblical idiom describing the town's future status, not a reference to an actual woman. All named figures are male (R' Falik HaKohen, Rabbi Shmeryl, the Besht).					partial	no-women	False	2026-05-07T03:41:05Z	b29ac49a
Maase-Zadikim_0005	maase-zadikim	major-character	False	medium	מרת אדל (the Besht's daughter) is a genuinely active agent: she goes to the river of her own initiative, engages the wealthy man in conversation, decides to disclose her father's identity and situation, and returns to deliver the invitation — a chain of decisions and speech acts that directly causes the entire resolution of the story. The king's mother (אם המלך) is also mentioned with attributed agency (interceding with the king), though she appears only in a reported summary rather than a depicted scene. Catalyst-character is defensible since Adel is offstage during the central Seder/soul-elevation scene and the narrative ultimately orbits the Besht, but her actions go beyond mere situation-as-motivation into visible plot-shaping.					partial	major-character	False	2026-05-07T03:42:01Z	b29ac49a
Shivhei-Habesht_0046	Shivhei-Habesht	no-women	False	high	The story involves two male rabbis (R. Zusha of Anipoli and R. Elimelech) and an encounter with the author of 'Chesed l'Avraham' in the upper worlds — no women appear or are referenced in any way.					partial	no-women	False	2026-05-07T03:42:07Z	b29ac49a
Shivhei-Habesht_0101	Shivhei-Habesht	no-women	False	high	The story features only male characters — Rabbi Nachman of Horodenka, the Baal Shem Tov, the rabbi of Polonnoye, and a non-Jewish nobleman — with no women appearing or referenced in any way.					partial	no-women	False	2026-05-07T03:42:12Z	b29ac49a
Khal-Hasidim_0093	Khal-Hasidim	no-women	False	high	The story involves the Besht, young men, townspeople, a judge, and a bear — no women appear, are referenced, or are implied in any role.					partial	no-women	False	2026-05-07T03:42:21Z	b29ac49a
Mifalot-HaZadikim_0049	Mifalot-HaZadikim	no-women	False	high	The story depicts a deathbed scene between a rebbe and his male disciples, with no women appearing, referenced, or mentioned in any way.					partial	no-women	False	2026-05-07T03:42:26Z	b29ac49a
Khal-Hasidim_0056	Khal-Hasidim	no-women	False	high	No women appear or are referenced in this story; all named figures are male (the Besht, Rabbi Gershon, Rabbi Shimshon, Rabbi Yosef). The kinship term 'גיסו' (his brother-in-law) denotes a male-to-male relationship and does not constitute a reference to a woman.					partial	no-women	False	2026-05-07T03:42:46Z	b29ac49a
Adat-Zadikim_0002	Adat-Zadikim	mention-only	False	high	The two wives are mentioned only as being pregnant and giving birth offstage, functioning purely as a sign/proof within the letter — they do not appear, act, speak, or participate in any depicted scene. Their pregnancies serve as a miraculous token validating the Baal Shem Tov's letter, but they have no character presence beyond this reference.					partial	no-women	False	2026-05-07T12:55:33Z	b29ac49a
Adat-Zadikim_0003	Adat-Zadikim	minor-character	False	medium	The Baal Shem Tov's daughter appears as a present character in the story — she presses her father about Passover provisions, speaks to the arriving guest, and is included in the dangerous sea voyage — but the main narrative thrust concerns the Besht's journey and spiritual drama. A case for 'catalyst-character' is weak since she does not drive the central miraculous events, yet she is more than a mere mention, actively speaking and participating in depicted scenes.					partial	minor-character	False	2026-05-07T12:55:38Z	b29ac49a
Adat-Zadikim_0004	Adat-Zadikim	catalyst-character	False	medium	The bride (כלה) who collapses as if dead is the central predicament of the first episode — the Besht travels specifically to save her, and her situation (including the dead wife's jealousy and the broken written promises) drives the narrative. However, the dead first wife is also a significant agent in the backstory (she extracted promises, then sought revenge), making this borderline between catalyst and major character; since the bride herself is largely passive during the rescue while the Besht acts, catalyst-character fits best.					partial	minor-character	False	2026-05-07T12:55:45Z	b29ac49a
Adat-Zadikim_0005	Adat-Zadikim	no-women	False	high	The story involves only male characters — the Baal Shem Tov, his disciples, the elderly innkeeper, a bailiff, and a passing traveler — with no women referenced at any point.					partial	no-women	False	2026-05-07T12:55:48Z	b29ac49a
Adat-Zadikim_0006	Adat-Zadikim	minor-character	False	medium	Two unnamed women appear as characters in a depicted scene — they are bound in chains, speak to the protagonist explaining their plight, and their rescue drives a significant episode of the story. However, they are not the central catalyst of the overall narrative, which is about a man learning the quality of trust (bitachon); the women's episode is one illustrative incident within a larger frame story.					partial	minor-character	False	2026-05-07T12:55:53Z	b29ac49a
Adat-Zadikim_0007	Adat-Zadikim	minor-character	False	medium	The innkeeper's wife appears in a depicted scene where she actively pressures her husband, curses him, and urges him to take on a partner — her nagging directly precipitates his pivotal decision to take God as his partner. However, she is not the main thrust of the story (which is about bitachon/trust in God), so she functions as a minor character whose actions move the plot forward without being its central focus.					partial	minor-character	False	2026-05-07T12:56:00Z	b29ac49a
Adat-Zadikim_0008	Adat-Zadikim	minor-character	False	high	An unnamed elderly woman appears in the depicted scene, crying out, warning the travelers of danger, and arguing with the Baal Shem Tov — she acts and speaks within the story. However, the main plot revolves around R' Yaakov's forgotten memories and the bishop's repentance, so she is a minor character whose removal would diminish texture but not the core plot.					partial	minor-character	False	2026-05-07T12:56:05Z	b29ac49a
Adat-Zadikim_0009	Adat-Zadikim	minor-character	False	medium	The wife of the parnas (Parnass's wife) appears as an active character in a depicted scene — she wakes up, cries out, questions the intruder, and grabs his hat — which drives a key plot twist. However, she is not the story's protagonist or primary catalyst; the main narrative concerns R' David's exile and the exposure of the wicked preacher, so she functions as a significant but supporting character.					partial	minor-character	False	2026-05-07T12:56:09Z	b29ac49a
Adat-Zadikim_0010	Adat-Zadikim	minor-character	False	medium	Tovele (the wife of R. Shmuel) appears as a named character who actively urges her husband to invite the Baal Shem Tov, and her initiative sets the story's events in motion; however, the main thrust of the narrative centers on the shochet's misconduct and the Besht's miraculous discernment, so she functions as a minor rather than catalyst character. The Duchess also appears briefly as an agent who sends guards, but neither woman drives the core plot.					partial	minor-character	False	2026-05-07T12:56:16Z	b29ac49a
Adat-Zadikim_0011	Adat-Zadikim	no-women	False	high	The story involves only the Baal Shem Tov, his male disciples, and a nobleman (the 'Adon'), with no women referenced at any point. The entire narrative concerns the revelation of Elijah the Prophet disguised as a nobleman.					partial	no-women	False	2026-05-07T12:56:19Z	b29ac49a
Adat-Zadikim_0012	Adat-Zadikim	no-women	False	high	The story is entirely about male characters — the Maggid of Mezeritch, R. Menachem Mendel of Vitebsk, the Baal Shem Tov, and R. Yaakov Yosef — with no women referenced anywhere in the text.					partial	no-women	False	2026-05-07T12:56:23Z	b29ac49a
Adat-Zadikim_0013	Adat-Zadikim	major-character	True	medium	The Rebbetzin initiates the conflict by going to buy fish and being publicly humiliated, and the Gvira (magnate's wife) is the antagonist whose actions (seizing the fish, insulting the Rebbetzin, refusing to appear, confessing under supernatural pressure) drive the entire plot forward — her decisions and speech actively shape every stage of the story. Both women act, speak, and make consequential choices, though the Rabbi is ultimately the agent of resolution; the boundary between catalyst and major is close, but the Gvira's active agency (instigating, defying, confessing) tips the balance toward major-character.					partial	major-character	False	2026-05-07T12:56:29Z	b29ac49a
Adat-Zadikim_0014	Adat-Zadikim	mention-only	False	high	The duchess (Duchess) appears briefly as the one who desires the Jewish merchant and initiates the sin, but she functions mainly as contextual backstory/catalyst for the real story, which is entirely about the two male partners and the posthumous legal dispute. She is named only as background context for the transgression; the narrative's entire focus is on the male characters' deal, death, and rabbinical judgment.					partial	minor-character	False	2026-05-07T12:56:38Z	b29ac49a
Adat-Zadikim_0015	Adat-Zadikim	major-character	False	medium	The deceased former fiancée (Esther Sifra) appears as an active character in the story's central scene: she speaks, laughs, identifies herself, negotiates the terms of forgiveness, gives detailed instructions, and then vanishes supernaturally — her decisions and speech directly drive the plot's resolution. However, a case could be made for catalyst-character since the male protagonist is the one traveling and acting throughout most of the narrative.					partial	major-character	False	2026-05-07T12:56:43Z	b29ac49a
Adat-Zadikim_0016	Adat-Zadikim	catalyst-character	True	medium	The naked woman by the river is the pivotal figure whose desperate situation (near-frozen, unclothed after losing her horse and clothes) prompts the informer's decisive act of chesed that seals his repentance; without her predicament there is no final test of his transformation. However, a later anonymous collective reference ('anashim u-nashim ve-taf') also appears, justifying collective_women:true. The woman acts minimally (speaks, explains her plight) but the story's engine is her crisis enabling the male protagonist's merit, placing her closer to catalyst than major character, though the line is somewhat blurry.					partial	minor-character	False	2026-05-07T12:56:50Z	b29ac49a
Adat-Zadikim_0018	Adat-Zadikim	no-women	False	high	The story is entirely about the Maggid Dov Ber's journey to meet the Baal Shem Tov and their encounter; no women appear or are referenced in any way.					partial	no-women	False	2026-05-07T12:56:53Z	b29ac49a
Adat-Zadikim_0019	Adat-Zadikim	no-women	False	high	The text is the famous letter of the Baal Shem Tov describing his soul-ascent, the Messiah's palace, and mystical teachings — no women appear or are referenced in any way. The brief metaphor of 'groom and bride' (חתן וכלה) is a quoted simile for divine joy, not a character reference.					partial	no-women	False	2026-05-07T12:56:57Z	b29ac49a
Adat-Zadikim_0020	Adat-Zadikim	no-women	False	high	The story involves only male characters — R' Aharon of Karlin, the Maggid of Mezeritch, and their male disciples — with no women mentioned or referenced in any way.					partial	no-women	False	2026-05-07T12:57:00Z	b29ac49a
Adat-Zadikim_0021	Adat-Zadikim	mention-only	False	high	The orphan girl (יתומה) is referenced only as the subject of a betrothal arrangement and never speaks, acts, or appears in any depicted scene. The story's action centers entirely on the male rabbis present at the betrothal ceremony and R. Menachem Mendel's fainting episode.					partial	no-women	False	2026-05-07T12:57:03Z	b29ac49a
Adat-Zadikim_0022	Adat-Zadikim	mention-only	True	high	Women appear only in the bishop's threat to destroy all the Jews 'from women to children' (מנשים ועד טף), a formulaic expression with no individual female character acting or appearing in a scene. No woman plays any role in the story's plot.					partial	no-women	False	2026-05-07T12:57:08Z	b29ac49a
Adat-Zadikim_0023	Adat-Zadikim	mention-only	True	high	The baker's daughter who becomes R. Chaim's wife is referenced only as a passive object of the match ('a virgin daughter') and as fulfilling her role ('a kosher woman who does her husband's will'), with no speaking, acting, or depicted scenes of her own. The collective 'men and women and children' who escort R. Chaim out of Kraków are a backdrop reference.					partial	no-women	False	2026-05-07T12:57:13Z	b29ac49a
Adat-Zadikim_0024	Adat-Zadikim	minor-character	True	medium	Women appear collectively in the funeral crowd ('men, women, and children') and two married women appear as participants in the adultery scene that is the cause of the plague — they are named as such and their presence is integral to the plot revelation, but they do not act, speak, or make decisions; the story's active agents are the rabbi and the dead man. The agunah (abandoned wife) is also mentioned as a character whose case is resolved, giving her a slightly more individuated role, though she remains passive throughout.					partial	minor-character	False	2026-05-07T12:57:18Z	b29ac49a
Khal-Hasidim_0001	Khal-Hasidim	mention-only	False	medium	Two women appear: the wife of R. Eliezer who escapes captivity and becomes a midwife (briefly described but functions as context/backdrop for the main narrative about R. Eliezer), and the non-Jewish wife given to R. Eliezer who eventually sends him home — the latter does act and speak (asks why he hasn't touched her, swears an oath, sends him away with money), which gives her some character presence. However, her role is minimal and instrumental to R. Eliezer's story rather than a developed character, making minor-character defensible but the lower tier is more appropriate given how briefly she appears.					partial	minor-character	False	2026-05-07T12:57:25Z	b29ac49a
Khal-Hasidim_0002	Khal-Hasidim	minor-character	False	medium	Two women appear as characters with speech and actions: R' Adam's wife requests relief from poverty and then returns the taken goods, and the sister of R' Gershon speaks decisively to uphold their father's betrothal arrangement. Both act and speak in depicted scenes, but neither drives the main narrative, which centers on R' Adam and the Baal Shem Tov.					partial	minor-character	False	2026-05-07T12:57:32Z	b29ac49a
Khal-Hasidim_0003	Khal-Hasidim	minor-character	False	medium	The Baal Shem Tov's wife appears briefly in a depicted scene where she is greeted by her brother and describes their hardships ('we were traveling from city to city and many troubles surrounded us'), giving her a small active presence. However, she is peripheral to the main stories (the frog/soul narrative and the wagon incident), so 'minor-character' fits better than 'mention-only', though she barely crosses the threshold.					partial	minor-character	False	2026-05-07T12:57:37Z	b29ac49a
