cluster_id	size	n_editions	members
20	2	2	Khal-Hasidim/Khal-Hasidim_0001; Shivhei-Habesht/Shivhei-Habesht_0001
21	2	2	Khal-Hasidim/Khal-Hasidim_0002; Shivhei-Habesht/Shivhei-Habesht_0002
22	2	2	Khal-Hasidim/Khal-Hasidim_0003; Shivhei-Habesht/Shivhei-Habesht_0003
23	2	2	Khal-Hasidim/Khal-Hasidim_0004; Shivhei-Habesht/Shivhei-Habesht_0004
24	2	2	Khal-Hasidim/Khal-Hasidim_0007; maase-zadikim/Maase-Zadikim_0004
25	2	2	Khal-Hasidim/Khal-Hasidim_0008; Shivhei-Habesht/Shivhei-Habesht_0005A
26	2	2	Khal-Hasidim/Khal-Hasidim_0009; Shivhei-Habesht/Shivhei-Habesht_0005B
27	2	2	Khal-Hasidim/Khal-Hasidim_0011; Shivhei-Habesht/Shivhei-Habesht_0007
28	2	2	Khal-Hasidim/Khal-Hasidim_0013; maase-zadikim/Maase-Zadikim_0005
29	2	2	Khal-Hasidim/Khal-Hasidim_0017; maase-zadikim/Maase-Zadikim_0001
30	2	2	Khal-Hasidim/Khal-Hasidim_0028; Shivhei-Habesht/Shivhei-Habesht_0017
31	2	2	Khal-Hasidim/Khal-Hasidim_0035; Shivhei-Habesht/Shivhei-Habesht_0035
32	2	2	Khal-Hasidim/Khal-Hasidim_0043; Shivhei-Habesht/Shivhei-Habesht_0052
33	2	2	Khal-Hasidim/Khal-Hasidim_0047; Shivhei-Habesht/Shivhei-Habesht_0057
34	2	2	Khal-Hasidim/Khal-Hasidim_0049; Shivhei-Habesht/Shivhei-Habesht_0059
35	2	2	Khal-Hasidim/Khal-Hasidim_0050; Shivhei-Habesht/Shivhei-Habesht_0060
36	2	2	Khal-Hasidim/Khal-Hasidim_0054; Shivhei-Habesht/Shivhei-Habesht_0064
37	2	2	Khal-Hasidim/Khal-Hasidim_0055; Shivhei-Habesht/Shivhei-Habesht_0065
38	2	2	Khal-Hasidim/Khal-Hasidim_0056; Shivhei-Habesht/Shivhei-Habesht_0066
39	2	2	Khal-Hasidim/Khal-Hasidim_0057; Shivhei-Habesht/Shivhei-Habesht_0067
40	2	2	Khal-Hasidim/Khal-Hasidim_0059; Shivhei-Habesht/Shivhei-Habesht_0069
41	2	2	Khal-Hasidim/Khal-Hasidim_0070; Shivhei-Habesht/Shivhei-Habesht_0079
42	2	2	Khal-Hasidim/Khal-Hasidim_0075; Shivhei-Habesht/Shivhei-Habesht_0086
43	2	2	Khal-Hasidim/Khal-Hasidim_0076; Shivhei-Habesht/Shivhei-Habesht_0087
44	2	2	Khal-Hasidim/Khal-Hasidim_0078; Shivhei-Habesht/Shivhei-Habesht_0089
45	2	2	Khal-Hasidim/Khal-Hasidim_0082; Shivhei-Habesht/Shivhei-Habesht_0097
46	2	2	Khal-Hasidim/Khal-Hasidim_0086; Shivhei-Habesht/Shivhei-Habesht_0112
47	2	2	Khal-Hasidim/Khal-Hasidim_0088; Shivhei-Habesht/Shivhei-Habesht_0135
48	2	2	Khal-Hasidim/Khal-Hasidim_0089; Shivhei-Habesht/Shivhei-Habesht_0138
49	2	2	Khal-Hasidim/Khal-Hasidim_0090; Shivhei-Habesht/Shivhei-Habesht_0139
50	2	2	Khal-Hasidim/Khal-Hasidim_0094; Shivhei-Habesht/Shivhei-Habesht_0175
51	2	2	Khal-Hasidim/Khal-Hasidim_0099; Shivhei-Habesht/Shivhei-Habesht_0181
52	2	2	Khal-Hasidim/Khal-Hasidim_0101; Shivhei-Habesht/Shivhei-Habesht_0183
53	2	2	Khal-Hasidim/Khal-Hasidim_0102; Shivhei-Habesht/Shivhei-Habesht_0184
54	2	2	Khal-Hasidim/Khal-Hasidim_0103; Shivhei-Habesht/Shivhei-Habesht_0185
55	2	2	Khal-Hasidim/Khal-Hasidim_0105; Shivhei-Habesht/Shivhei-Habesht_0187
56	2	2	Khal-Hasidim/Khal-Hasidim_0107; Shivhei-Habesht/Shivhei-Habesht_0189
57	2	2	Khal-Hasidim/Khal-Hasidim_0109; Shivhei-Habesht/Shivhei-Habesht_0191
58	2	2	Khal-Hasidim/Khal-Hasidim_0110; Shivhei-Habesht/Shivhei-Habesht_0192
59	2	2	Khal-Hasidim/Khal-Hasidim_0115; PeerMikdoshim/Peer-MiKdoshim_0001
60	2	2	Khal-Hasidim/Khal-Hasidim_0116; Shivhei-Habesht/Shivhei-Habesht_0197
61	2	2	Khal-Hasidim/Khal-Hasidim_0117; Shivhei-Habesht/Shivhei-Habesht_0198
62	2	2	Khal-Hasidim/Khal-Hasidim_0118; Shivhei-Habesht/Shivhei-Habesht_0203
63	2	2	Khal-Hasidim/Khal-Hasidim_0125; Shivhei-Habesht/Shivhei-Habesht_0206
64	2	2	Khal-Hasidim/Khal-Hasidim_0126; PeerMikdoshim/Peer-MiKdoshim_0006
65	2	2	Khal-Hasidim/Khal-Hasidim_0128; Shivhei-Habesht/Shivhei-Habesht_0207
66	2	2	Khal-Hasidim/Khal-Hasidim_0134; Shivhei-Habesht/Shivhei-Habesht_0026
67	2	2	Khal-Hasidim/Khal-Hasidim_0140; Shivhei-Habesht/Shivhei-Habesht_0034
68	2	2	Khal-Hasidim/Khal-Hasidim_0143; Shivhei-Habesht/Shivhei-Habesht_0043
69	2	2	Khal-Hasidim/Khal-Hasidim_0144; Shivhei-Habesht/Shivhei-Habesht_0044
70	2	2	Khal-Hasidim/Khal-Hasidim_0145; Shivhei-Habesht/Shivhei-Habesht_0045
71	2	2	Khal-Hasidim/Khal-Hasidim_0155; Shivhei-Habesht/Shivhei-Habesht_0209
72	2	2	Khal-Hasidim/Khal-Hasidim_0157; Shivhei-Habesht/Shivhei-Habesht_0210
73	2	2	Khal-Hasidim/Khal-Hasidim_0162; Sipurei-Zadikim/Sipurei-Zadikim_0001
74	2	2	Khal-Hasidim/Khal-Hasidim_0165; Sipurei-Zadikim/Sipurei-Zadikim_0002
75	2	2	Khal-Hasidim/Khal-Hasidim_0166; Sipurei-Zadikim/Sipurei-Zadikim_0003
76	2	2	Khal-Hasidim/Khal-Hasidim_0167; Sipurei-Zadikim/Sipurei-Zadikim_0004
77	2	2	Khal-Hasidim/Khal-Hasidim_0168; Sipurei-Zadikim/Sipurei-Zadikim_0005
78	2	2	Khal-Hasidim/Khal-Hasidim_0170; maase-zadikim/Maase-Zadikim_0006
79	2	2	Khal-Hasidim/Khal-Hasidim_0171; maase-zadikim/Maase-Zadikim_0007
80	2	2	Khal-Hasidim/Khal-Hasidim_0172; Shivhei-Habesht/Shivhei-Habesht_0084
81	2	2	Khal-Hasidim/Khal-Hasidim_0174; Shivhei-Harav/Shivhei-Harav_0011
82	2	2	Khal-Hasidim/Khal-Hasidim_0178; Shivhei-Harav/Shivhei-Harav_0012
83	2	2	Khal-Hasidim/Khal-Hasidim_0179; Shivhei-Harav/Shivhei-Harav_0013
84	2	2	Khal-Hasidim/Khal-Hasidim_0184; Shivhei-Harav/Shivhei-Harav_0015
85	2	2	Khal-Hasidim/Khal-Hasidim_0185; Shivhei-Harav/Shivhei-Harav_0016
86	2	2	Khal-Hasidim/Khal-Hasidim_0193; Shivhei-Harav/Shivhei-Harav_0019
87	2	2	Khal-Hasidim/Khal-Hasidim_0197; maase-zadikim/Maase-Zadikim_0009
88	2	2	Khal-Hasidim/Khal-Hasidim_0198; maase-zadikim/Maase-Zadikim_0010
89	2	2	Khal-Hasidim/Khal-Hasidim_0202; maase-zadikim/Maase-Zadikim_0016
90	2	2	Khal-Hasidim/Khal-Hasidim_0209; Sipurei-Zadikim/Sipurei-Zadikim_0009
91	2	2	Khal-Hasidim/Khal-Hasidim_0210; Sipurei-Zadikim/Sipurei-Zadikim_0010
92	2	2	Khal-Hasidim/Khal-Hasidim_0211; maase-zadikim/Maase-Zadikim_0008
93	2	2	Khal-Hasidim/Khal-Hasidim_0212; Khal-Kdoshim/Khal-Kdoshim_0012
94	2	2	Khal-Hasidim/Khal-Hasidim_0213; maase-zadikim/Maase-Zadikim_0012
95	2	2	Khal-Hasidim/Khal-Hasidim_0215; maase-zadikim/Maase-Zadikim_0014
96	2	2	Khal-Hasidim/Khal-Hasidim_0217; PeerMikdoshim/Peer-MiKdoshim_0015
97	2	2	Khal-Hasidim/Khal-Hasidim_0218; Sipurei-Zadikim/Sipurei-Zadikim_0011
98	2	2	Khal-Hasidim/Khal-Hasidim_0220; Sipurei-Zadikim/Sipurei-Zadikim_0012
99	2	2	Khal-Hasidim/Khal-Hasidim_0222; maase-zadikim/Maase-Zadikim_0015
100	2	2	Khal-Hasidim/Khal-Hasidim_0224; maase-zadikim/Maase-Zadikim_0020
101	2	2	Khal-Hasidim/Khal-Hasidim_0229; maase-zadikim/Maase-Zadikim_0025
102	2	2	Khal-Hasidim/Khal-Hasidim_0230; PeerMikdoshim/Peer-MiKdoshim_0018
103	2	2	Khal-Hasidim/Khal-Hasidim_0231; maase-zadikim/Maase-Zadikim_0026
104	2	2	Khal-Hasidim/Khal-Hasidim_0233; maase-zadikim/Maase-Zadikim_0028
105	2	2	Khal-Hasidim/Khal-Hasidim_0236; PeerMikdoshim/Peer-MiKdoshim_0012
106	2	2	Khal-Hasidim/Khal-Hasidim_0238; Khal-Kdoshim/Khal-Kdoshim_0001
107	2	2	Khal-Hasidim/Khal-Hasidim_0239; PeerMikdoshim/Peer-MiKdoshim_0007
108	2	2	Khal-Hasidim/Khal-Hasidim_0243; maase-zadikim/Maase-Zadikim_0018
109	2	2	Khal-Hasidim/Khal-Hasidim_0245; maase-zadikim/Maase-Zadikim_0031
110	2	2	Khal-Hasidim/Khal-Hasidim_0248; maase-zadikim/Maase-Zadikim_0034
111	2	2	Mifalot-HaZadikim/Mifalot-HaZadikim_0014; Sipurei-Kdoshim/Sipurei-Kdoshim_0017
