sim	edition_a	story_a	edition_b	story_b	chars_a	chars_b
0.9968	Khal-Hasidim	Khal-Hasidim_0115	PeerMikdoshim	Peer-MiKdoshim_0001	8005	8249
0.9968	Adat-Zadikim	Adat-Zadikim_0017	Khal-Hasidim	Khal-Hasidim_0146	6891	6552
0.9968	Khal-Hasidim	Khal-Hasidim_0218	Sipurei-Zadikim	Sipurei-Zadikim_0011	9297	10407
0.9967	Khal-Hasidim	Khal-Hasidim_0210	Sipurei-Zadikim	Sipurei-Zadikim_0010	4425	4660
0.9967	Khal-Hasidim	Khal-Hasidim_0168	Sipurei-Zadikim	Sipurei-Zadikim_0005	5945	6095
0.9966	Khal-Hasidim	Khal-Hasidim_0017	maase-zadikim	Maase-Zadikim_0001	3579	3603
0.9966	Adat-Zadikim	Adat-Zadikim_0014	Khal-Hasidim	Khal-Hasidim_0251	7232	6953
0.9965	Khal-Hasidim	Khal-Hasidim_0047	Shivhei-Habesht	Shivhei-Habesht_0057	1850	1855
0.9963	Khal-Hasidim	Khal-Hasidim_0222	maase-zadikim	Maase-Zadikim_0015	4857	5015
0.9961	Khal-Hasidim	Khal-Hasidim_0070	Shivhei-Habesht	Shivhei-Habesht_0079	1854	1847
0.9961	Khal-Hasidim	Khal-Hasidim_0057	Shivhei-Habesht	Shivhei-Habesht_0067	1113	1113
0.9960	Khal-Hasidim	Khal-Hasidim_0117	Shivhei-Habesht	Shivhei-Habesht_0198	3604	3658
0.9960	Khal-Hasidim	Khal-Hasidim_0140	Shivhei-Habesht	Shivhei-Habesht_0034	3299	3359
0.9960	Adat-Zadikim	Adat-Zadikim_0011	Khal-Hasidim	Khal-Hasidim_0067	1814	1797
0.9959	Khal-Hasidim	Khal-Hasidim_0215	maase-zadikim	Maase-Zadikim_0014	3694	3655
0.9959	Khal-Hasidim	Khal-Hasidim_0211	maase-zadikim	Maase-Zadikim_0008	6194	6446
0.9958	Khal-Hasidim	Khal-Hasidim_0167	Sipurei-Zadikim	Sipurei-Zadikim_0004	6608	6752
0.9958	Khal-Hasidim	Khal-Hasidim_0185	Shivhei-Harav	Shivhei-Harav_0016	3386	3391
0.9957	Khal-Hasidim	Khal-Hasidim_0239	PeerMikdoshim	Peer-MiKdoshim_0007	5487	5910
0.9954	Khal-Hasidim	Khal-Hasidim_0050	Shivhei-Habesht	Shivhei-Habesht_0060	2443	2455
0.9953	Khal-Hasidim	Khal-Hasidim_0157	Shivhei-Habesht	Shivhei-Habesht_0210	2161	2211
0.9952	Adat-Zadikim	Adat-Zadikim_0005	Khal-Hasidim	Khal-Hasidim_0033	2230	2253
0.9952	Khal-Hasidim	Khal-Hasidim_0145	Shivhei-Habesht	Shivhei-Habesht_0045	2669	2718
0.9951	Khal-Hasidim	Khal-Hasidim_0245	maase-zadikim	Maase-Zadikim_0031	1899	1905
0.9950	Khal-Hasidim	Khal-Hasidim_0059	Shivhei-Habesht	Shivhei-Habesht_0069	1779	1781
0.9949	Khal-Hasidim	Khal-Hasidim_0248	maase-zadikim	Maase-Zadikim_0034	1931	1926
0.9947	Mifalot-HaZadikim	Mifalot-HaZadikim_0014	Sipurei-Kdoshim	Sipurei-Kdoshim_0017	4519	4392
0.9947	Khal-Hasidim	Khal-Hasidim_0102	Shivhei-Habesht	Shivhei-Habesht_0184	4785	4860
0.9947	Adat-Zadikim	Adat-Zadikim_0012	Khal-Hasidim	Khal-Hasidim_0149	3750	3800
0.9947	Khal-Hasidim	Khal-Hasidim_0001	Shivhei-Habesht	Shivhei-Habesht_0001	6499	6187
0.9945	Adat-Zadikim	Adat-Zadikim_0022	Khal-Hasidim	Khal-Hasidim_0252	7068	6648
0.9943	Adat-Zadikim	Adat-Zadikim_0024	Khal-Hasidim	Khal-Hasidim_0254	4794	4346
0.9943	Khal-Hasidim	Khal-Hasidim_0230	PeerMikdoshim	Peer-MiKdoshim_0018	3821	3710
0.9943	Adat-Zadikim	Adat-Zadikim_0002	Khal-Hasidim	Khal-Hasidim_0030	4126	3922
0.9943	Khal-Hasidim	Khal-Hasidim_0078	Shivhei-Habesht	Shivhei-Habesht_0089	1992	2018
0.9942	Khal-Hasidim	Khal-Hasidim_0143	Shivhei-Habesht	Shivhei-Habesht_0043	5591	5702
0.9942	Khal-Hasidim	Khal-Hasidim_0035	Shivhei-Habesht	Shivhei-Habesht_0035	2212	2303
0.9942	Khal-Hasidim	Khal-Hasidim_0166	Sipurei-Zadikim	Sipurei-Zadikim_0003	782	780
0.9941	Khal-Hasidim	Khal-Hasidim_0128	Shivhei-Habesht	Shivhei-Habesht_0207	2885	3060
0.9941	Khal-Hasidim	Khal-Hasidim_0105	Shivhei-Habesht	Shivhei-Habesht_0187	2338	2369
0.9940	Khal-Hasidim	Khal-Hasidim_0004	Shivhei-Habesht	Shivhei-Habesht_0004	4642	4753
0.9940	Adat-Zadikim	Adat-Zadikim_0003	Khal-Hasidim	Khal-Hasidim_0012	4122	3943
0.9939	Khal-Hasidim	Khal-Hasidim_0172	Shivhei-Habesht	Shivhei-Habesht_0084	2881	2961
0.9938	Khal-Hasidim	Khal-Hasidim_0170	maase-zadikim	Maase-Zadikim_0006	3997	4126
0.9937	Khal-Hasidim	Khal-Hasidim_0118	Shivhei-Habesht	Shivhei-Habesht_0203	1203	1241
0.9937	Khal-Hasidim	Khal-Hasidim_0075	Shivhei-Habesht	Shivhei-Habesht_0086	2504	2559
0.9937	Khal-Hasidim	Khal-Hasidim_0110	Shivhei-Habesht	Shivhei-Habesht_0192	2209	2339
0.9936	Khal-Hasidim	Khal-Hasidim_0193	Shivhei-Harav	Shivhei-Harav_0019	7495	10842
0.9936	Khal-Hasidim	Khal-Hasidim_0198	maase-zadikim	Maase-Zadikim_0010	1508	1514
0.9935	Khal-Hasidim	Khal-Hasidim_0103	Shivhei-Habesht	Shivhei-Habesht_0185	1526	1557
0.9935	Khal-Hasidim	Khal-Hasidim_0213	maase-zadikim	Maase-Zadikim_0012	1907	1909
0.9935	Khal-Hasidim	Khal-Hasidim_0007	maase-zadikim	Maase-Zadikim_0004	1076	1078
0.9935	Khal-Hasidim	Khal-Hasidim_0238	Khal-Kdoshim	Khal-Kdoshim_0001	2300	2200
0.9935	Khal-Hasidim	Khal-Hasidim_0197	maase-zadikim	Maase-Zadikim_0009	2420	2424
0.9934	Khal-Hasidim	Khal-Hasidim_0107	Shivhei-Habesht	Shivhei-Habesht_0189	1135	1156
0.9933	Khal-Hasidim	Khal-Hasidim_0086	Shivhei-Habesht	Shivhei-Habesht_0112	1898	1923
0.9933	Khal-Hasidim	Khal-Hasidim_0089	Shivhei-Habesht	Shivhei-Habesht_0138	1357	1504
0.9932	Khal-Hasidim	Khal-Hasidim_0011	Shivhei-Habesht	Shivhei-Habesht_0007	1015	1032
0.9932	Khal-Hasidim	Khal-Hasidim_0109	Shivhei-Habesht	Shivhei-Habesht_0191	1158	1178
0.9932	Khal-Hasidim	Khal-Hasidim_0209	Sipurei-Zadikim	Sipurei-Zadikim_0009	1145	1171
0.9931	Khal-Hasidim	Khal-Hasidim_0003	Shivhei-Habesht	Shivhei-Habesht_0003	2780	2862
0.9929	Khal-Hasidim	Khal-Hasidim_0144	Shivhei-Habesht	Shivhei-Habesht_0044	1726	1761
0.9929	Khal-Hasidim	Khal-Hasidim_0134	Shivhei-Habesht	Shivhei-Habesht_0026	1877	1922
0.9928	Khal-Hasidim	Khal-Hasidim_0212	Khal-Kdoshim	Khal-Kdoshim_0012	3975	4062
0.9928	Khal-Hasidim	Khal-Hasidim_0088	Shivhei-Habesht	Shivhei-Habesht_0135	1675	1724
0.9927	Khal-Hasidim	Khal-Hasidim_0236	PeerMikdoshim	Peer-MiKdoshim_0012	1949	2056
0.9926	Khal-Hasidim	Khal-Hasidim_0099	Shivhei-Habesht	Shivhei-Habesht_0181	1098	1100
0.9926	Khal-Hasidim	Khal-Hasidim_0101	Shivhei-Habesht	Shivhei-Habesht_0183	1465	1499
0.9926	Khal-Hasidim	Khal-Hasidim_0028	Shivhei-Habesht	Shivhei-Habesht_0017	3999	4120
0.9925	Adat-Zadikim	Adat-Zadikim_0004	Khal-Hasidim	Khal-Hasidim_0024	8332	4528
0.9924	Khal-Hasidim	Khal-Hasidim_0125	Shivhei-Habesht	Shivhei-Habesht_0206	1239	1242
0.9923	Khal-Hasidim	Khal-Hasidim_0116	Shivhei-Habesht	Shivhei-Habesht_0197	2432	2499
0.9920	Khal-Hasidim	Khal-Hasidim_0009	Shivhei-Habesht	Shivhei-Habesht_0005B	2842	2941
0.9920	Khal-Hasidim	Khal-Hasidim_0162	Sipurei-Zadikim	Sipurei-Zadikim_0001	4264	6406
0.9917	Khal-Hasidim	Khal-Hasidim_0229	maase-zadikim	Maase-Zadikim_0025	1296	1295
0.9915	Khal-Hasidim	Khal-Hasidim_0056	Shivhei-Habesht	Shivhei-Habesht_0066	824	828
0.9915	Khal-Hasidim	Khal-Hasidim_0054	Shivhei-Habesht	Shivhei-Habesht_0064	1359	1360
0.9914	Khal-Hasidim	Khal-Hasidim_0233	maase-zadikim	Maase-Zadikim_0028	1255	1267
0.9914	Khal-Hasidim	Khal-Hasidim_0090	Shivhei-Habesht	Shivhei-Habesht_0139	195	199
0.9913	Adat-Zadikim	Adat-Zadikim_0021	Khal-Hasidim	Khal-Hasidim_0148	1142	1146
0.9913	Khal-Hasidim	Khal-Hasidim_0008	Shivhei-Habesht	Shivhei-Habesht_0005A	1352	1337
0.9911	Khal-Hasidim	Khal-Hasidim_0220	Sipurei-Zadikim	Sipurei-Zadikim_0012	1856	1886
0.9911	Khal-Hasidim	Khal-Hasidim_0174	Shivhei-Harav	Shivhei-Harav_0011	24494	9419
0.9908	Khal-Hasidim	Khal-Hasidim_0055	Shivhei-Habesht	Shivhei-Habesht_0065	1391	1453
0.9907	Khal-Hasidim	Khal-Hasidim_0155	Shivhei-Habesht	Shivhei-Habesht_0209	1367	1415
0.9905	Khal-Hasidim	Khal-Hasidim_0224	maase-zadikim	Maase-Zadikim_0020	1039	1072
0.9905	Khal-Hasidim	Khal-Hasidim_0094	Shivhei-Habesht	Shivhei-Habesht_0175	1189	1214
0.9903	Khal-Hasidim	Khal-Hasidim_0231	maase-zadikim	Maase-Zadikim_0026	1953	1984
0.9901	Khal-Hasidim	Khal-Hasidim_0043	Shivhei-Habesht	Shivhei-Habesht_0052	1650	1694
0.9901	Khal-Hasidim	Khal-Hasidim_0049	Shivhei-Habesht	Shivhei-Habesht_0059	763	765
0.9901	Khal-Hasidim	Khal-Hasidim_0076	Shivhei-Habesht	Shivhei-Habesht_0087	2461	2409
