story_id	edition	human	claude	gemini	agreement	claude_reasoning	gemini_reasoning
Adat-Zadikim_0011	Adat-Zadikim	no-women	no-women	no-women	all-agree	The story centers entirely on the Besht, his disciples, and a nobleman (Adon), culminating in a revelation that the nobleman was Elijah the Prophet; no women appear or are mentioned in any capacity.	This story focuses on the Ba'al Shem Tov, his students, and the appearance of Elijah the prophet. No women are mentioned or play any role in the narrative.
Adat-Zadikim_0012	Adat-Zadikim	no-women	no-women	minor	human=claude/gemini-differs	The story focuses entirely on male figures — the young Rabbi Menachem Mendel of Vitebsk, the Maggid of Mezeritch, the Baal Shem Tov, and Rabbi Yaakov Yosef of Polonnoye. No women appear in any capacity.	While not the main focus, the story mentions the protagonist's attention to his appearance (hair and clothes) and the reactions of others to his behavior (smoking without a hat). These details, though brief, acknowledge a female presence in the community and social expectations, thus qualifying as a minor role.
Adat-Zadikim_0013	Adat-Zadikim	major+minor	major	major	models-agree/human-differs	The Rebbetzin is the driving force of the narrative: she goes to buy fish, waits persistently, is publicly humiliated and robbed by the wealthy woman, and returns home weeping — her suffering and degradation directly trigger the Rabbi's dramatic intervention. The entire plot hinges on what happens to her.	The story revolves around the הרבנית's efforts to obtain fish for Shabbat and her humiliation by the wealthy woman. Her suffering and the injustice she experiences are central to the plot, driving the הרב's actions and the story's outcome. The wealthy woman is also a key character, as it is her actions that lead to the conflict.
Adat-Zadikim_0014	Adat-Zadikim	minor	major	major	models-agree/human-differs	The duchess (דוכסה) is a central actor who drives the entire plot: her curiosity, her burning desire for the handsome merchant, and her active solicitation—offering to return all the money and give the goods as a gift—directly cause the moral transgression that is the story's crux. Without her initiative and role, the narrative has no conflict.	The duchess is central to the story. Her desire for one of the merchants drives the plot, leading to the immoral act and subsequent regret.
Adat-Zadikim_0015	Adat-Zadikim	major	major	major	all-agree	The man's wife is a driving force throughout the narrative: her repeated weeping, demands, and ultimatums are what propel her husband to seek a rabbinical answer, and her explicit consent to accept poverty is the pivotal decision that advances the plot. Additionally, a second woman—the former betrothed whom the husband wronged—is the spiritual cause of the childlessness and the object of the entire quest, making women central to both the problem and the resolution of the story.	The story revolves around a man's infertility and his wife's distress over it. Her insistence on him seeking a solution from the rabbi is the catalyst for the entire plot, making her indirectly responsible for the events that unfold.
Adat-Zadikim_0016	Adat-Zadikim	minor	minor	minor	all-agree	A woman appears near the end of the story — a Jewish woman found naked and freezing after her horse bolted with her clothes during her immersion night (ליל טבילה) — and she speaks, explaining her plight. However, the story's central spiritual drama is the informer's mid-prayer repentance, and the woman functions as a recipient of his newly demonstrated compassion rather than as a driver of the narrative.	A woman appears as a victim who needs help, but her role is limited to this episode and doesn't drive the overall meaning of the story, which focuses on the man's repentance.
Adat-Zadikim_0017	Adat-Zadikim	no-women	no-women	minor	human=claude/gemini-differs	The story revolves entirely around a male nobleman from Vilna, the Maggid of Mezeritch, the King of Prussia, and various male townspeople and doctors. No women appear or are mentioned in any capacity.	The story revolves around a man from Vilna who falls ill, and doctors are called to heal him. While the sick man's wife is not mentioned, the story focuses on the communal concern and the actions of the doctors, not on any female character specifically.
Adat-Zadikim_0018	Adat-Zadikim	no-women	no-women	minor	human=claude/gemini-differs	The story centers entirely on the encounter between Dov Ber and the Baal Shem Tov, focusing on Dov Ber's spiritual transformation and recognition of the Besht's greatness. No women appear or are mentioned in any capacity.	A story about the Maggid of Mezritch's (Rabbi Dov Ber's) initial skepticism about the Baal Shem Tov. It mentions the Maggid having a servant, but otherwise women play no active role in the narrative.
Adat-Zadikim_0019	Adat-Zadikim	no-women	no-women	no-women	all-agree	The story is a mystical letter from the Baal Shem Tov describing his soul-ascent, visit to the heavenly court, and encounter with the Messiah — no women appear in any capacity. The Shechina is not mentioned as a character in the narrative action.	This is a letter from the Baal Shem Tov describing his soul ascent and teachings. There are no women mentioned.
Adat-Zadikim_0020	Adat-Zadikim	no-women	no-women	no-women	all-agree	The story centers entirely on Rabbi Aaron of Karlin, the Maggid of Mezeritch, and their male disciples. No women appear or are mentioned in any capacity.	This story focuses exclusively on male figures (Rebbe Aharon, the Maggid, and students) and their interactions. No women are mentioned or play any role in the narrative.
Adat-Zadikim_0021	Adat-Zadikim	no-women	minor	minor	models-agree/human-differs	The orphaned daughter of R' Aharon is the subject of the betrothal arrangement that frames the story, but she does not appear, speak, or act in the narrative itself. The story's spiritual drama centers entirely on the male rabbis present at the signing of the tenaim.	A woman is mentioned as a bride in a marriage arrangement, but the focus of the story is on the men involved and their reactions. Therefore, the woman plays a minor role.
Adat-Zadikim_0022	Adat-Zadikim	no-women	no-women	no-women	all-agree	The story focuses entirely on the communal and civic process of appointing Rabbi Moses Isserles (the Rema) as rabbi of Kraków, involving male community leaders and a bishop. No women appear or are mentioned in any capacity.	This story focuses on the selection of a rabbi and interactions with the bishop. There are no women mentioned or involved in the narrative.
Adat-Zadikim_0023	Adat-Zadikim	no-women	minor	minor	models-agree/human-differs	Two women appear: R. Chaim's deceased wife, whose death sets the plot in motion but who is only mentioned in passing, and the baker's daughter who is sought as a bride but never speaks or acts. Neither woman drives or shapes the story's spiritual meaning, which centers on R. Chaim's humility and his friendship with Rabbeinu Moshe.	Although a woman's death (the wife of a rabbi) prompts a significant part of the plot regarding his remarriage prospects, women ultimately serve as objects of marriage arrangements rather than active agents. The story focuses on the relationship between the two rabbis and the secret arrangements made for the second rabbi's remarriage, with the woman remaining a passive figure in the background.
Adat-Zadikim_0024	Adat-Zadikim	minor	minor	minor	all-agree	Two married women appear as the passive objects of the adultery whose sin caused the plague, and their exposure is the story's resolution — but they have no voice, agency, or characterization of their own; the narrative foregrounds the rabbi's spiritual powers and the mystery of the 33 praises throughout.	The story describes the funeral and eulogies for a rabbi. It mentions that men, women and children came to mourn. However, no specific woman plays a role in the story's events or meaning.
Khal-Hasidim_0001	Khal-Hasidim	minor	minor	minor	all-agree	The wife of R' Eliezer (the Besht's father) is briefly mentioned — she escapes captivity and becomes a midwife to survive — but she plays no further role in the narrative, which centers entirely on R' Eliezer's captivity, faithful service, and divinely-guided military counsel.	The story focuses on the father of the Ba'al Shem Tov, but his wife is mentioned in passing as fleeing to another city and working as a midwife. This is a minor mention.
Khal-Hasidim_0002	Khal-Hasidim	minor	minor	major	human=claude/gemini-differs	R' Adam's wife appears briefly in one episode, complaining about their poverty and taking a garment from the magical chamber before returning it at her husband's urging; she is active but peripheral to the story's main narrative, which centers on R' Adam's miraculous deeds and the transmission of the holy writings to the Besht.	A woman, the wife of Reb Adam, is featured in a significant anecdote where her desire for material comfort and Reb Adam's insistence on enduring hardship become central to a moral lesson in the story.
Khal-Hasidim_0003	Khal-Hasidim	minor	minor	minor	all-agree	The Besht's wife (also the rabbi's sister) is briefly mentioned as a travel companion and recipient of her brother's pity, prompting the household arrangement, but she plays no active role in the story's central spiritual narrative about the frog/gilgul and the Besht's powers.	The story mentions the Baal Shem Tov's wife in passing when discussing his travels. She has no active role in the plot; the story focuses on the Baal Shem Tov's spiritual journey and interactions with other men.
Khal-Hasidim_0004	Khal-Hasidim	minor	minor	minor	all-agree	The Besht's wife appears multiple times — managing the household livelihood, hosting guests, baking twelve challahs, and conversing with the stranded traveler — but these appearances serve to illuminate the Besht's hidden saintliness rather than to foreground her own role. She is a recurrent supporting presence, not a driver of the story's spiritual or narrative arc.	The wife is present in the story. She is shown preparing food, and taking care of the house, but she does not drive the narrative forward. The story focuses on the Ba'al Shem Tov and the visiting disciple.
Khal-Hasidim_0005	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story describes the Baal Shem Tov hiding in forests, caves, and mountains for solitary devotion and immersion in a mikveh before his public revelation — no women appear or are referenced in any capacity.	This story discusses the Baal Shem Tov's hiding places and doesn't mention any women.
Khal-Hasidim_0006	Khal-Hasidim	no-women	major	major	models-agree/human-differs	Two women — the wealthy man's daughter and the nobleman's daughter — are both central to the plot: their madness drives all action, and the Besht's miraculous healings of them constitute the story's entire spiritual and narrative content. Without these women and their afflictions, there is no story.	This story prominently features two women: a wealthy man's daughter in Helytsh and the daughter of a nobleman in Pystin. Both women suffer from madness, and the Besht's actions directly address and resolve their conditions. The narrative hinges on their illnesses and the Besht's interventions, making them central to the plot's development and the Besht's miracles.
Khal-Hasidim_0007	Khal-Hasidim	no-women	no-women	error	human=claude/gemini-differs	The story centers entirely on Rabbi Zeev (the av beit din) and the Baal Shem Tov, depicting the rabbi's skepticism, his alarming encounter with the Besht during prolonged prayer, and his subsequent submission. No women appear in any capacity.	429 Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.
Khal-Hasidim_0008	Khal-Hasidim	no-women	no-women	no-women	all-agree	No women appear anywhere in this narrative, which focuses on the Besht, the narrator's father-in-law (Sender the scribe/shochet), and an incident involving a dybbuk.	The story does not feature any women. It is about the Baal Shem Tov and his interactions with scribes and a man who was frightened while trying to exorcise a spirit.
Khal-Hasidim_0009	Khal-Hasidim	minor	minor	major	human=claude/gemini-differs	Two women appear in the story: the Besht's wife (R' Gershon's sister), who briefly resists pressure to divorce and quietly protects the Besht's secret, and the madwoman (אשה משוגעת) who reveals his heavenly oath and drives a vivid episode. Both women are meaningful to specific scenes, but neither is the central subject — the story's primary focus remains the Besht's own spiritual development and revelation (התגלותו).	The story features the Baal Shem Tov and his interactions with a madwoman who reveals insights about him. Furthermore, the Besht's host's wife refuses to divorce him despite pressure from her brother, recognizing his spiritual worth. These women play significant roles in shaping the narrative and demonstrating the Besht's spiritual power.
Khal-Hasidim_0010	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	A woman ('נכריות אשת בעל הרחים') appears only at the very end of the story, arriving in tears to report that her husband went home angry and killed two creatures; the narrative's central action — the Besht's exorcism of the evil spirit from the tax-collector's house — does not depend on her in any way.	A woman, the wife of a mill owner, appears at the end of the story. She speaks briefly, but the story focuses on the Baal Shem Tov and the excise collector.
Khal-Hasidim_0011	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	The tax collector's wife appears briefly at the end of the story — she steps away hoping he might rest, then checks on him and finds him dead — but she is unnamed and her role is incidental to the narrative's main thrust (the Besht's prophetic vision and the tax collector's failure to repent). Two other women are mentioned only in passing: R' Yaakov's deceased wife (implied by 'אלמן מאשתו') and the unnamed woman he is traveling to wed.	The story mentions the wife of the tax collector, but she only appears at the end when he dies. Her presence does not drive the story.
Khal-Hasidim_0012	Khal-Hasidim	minor	minor	major	human=claude/gemini-differs	The Besht's daughter appears several times — pressuring him about Passover provisions, receiving the guest, and being named as one who would be endangered on the sea voyage — but she functions as a supporting presence rather than a driver of the story's main spiritual arc, which centers on the Besht's oath, the loss and restoration of his share in the World to Come, and the failed voyage to the Land of Israel. The guest's wife is also briefly mentioned as the recipient of the Besht's blessing but plays no independent role.	The story features the Baal Shem Tov traveling with his daughter. Her anxiety about Passover and her interaction with the guests are directly referenced, making her a necessary part of the story.
Khal-Hasidim_0013	Khal-Hasidim	major	major	major	all-agree	The Besht's daughter, the named and lauded Marat Adel, is the active agent who drives the story's resolution: her distress at the riverside, her weeping, and her encounter with the wealthy benefactor are what set in motion the Besht's spiritual restoration — without her actions the plot cannot advance. Her emotional state and initiative are explicitly foregrounded and indispensable to the narrative.	Adel, the Ba'al Shem Tov's daughter, plays a crucial role. Her distress and actions lead to the wealthy man's intervention, which in turn restores her father's spiritual state and allows him to properly lead the Passover Seder. The story depends on her actions and emotions, making her a major character.
Khal-Hasidim_0014	Khal-Hasidim	no-women	no-women	minor	human=claude/gemini-differs	No women appear or are mentioned in any capacity in this story; it revolves entirely around the Besht and a series of male rabbis and a doctor. The Shechina is invoked only as an abstract divine presence accompanying the Besht, not as an active character in the narrative.	The story focuses on the Ba'al Shem Tov and various rabbis. Although the Shechina is mentioned, it does not appear as a character. The sick rabbi mentions a feeling of the Shechina's presence with the Ba'al Shem Tov, but this is a fleeting reference rather than a depiction of a female character.
Khal-Hasidim_0015	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	Women are mentioned in passing within the Besht's prophetic letter as part of a crowd ('אנשים ונשים וטף') that will be found in the courtyard, but they play no individual role and are not characters who shape the story's meaning. The narrative centers on the Besht's letter, his prophetic vision, and the chain of transmission.	Women are mentioned as being part of the 'noise' and chaos that will occur, but they have no specific role in the story's action or meaning. The story focuses on the rabbi and the instructions he receives.
Khal-Hasidim_0016	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story features only male characters — the Besht, R' Gershon, and R' Moshe the Av Beit Din — with no women appearing in any capacity. The narrative centers on the Zohar book, a sigh during prayer, and a defective mezuzah.	This story involves the Baal Shem Tov, Rabbi Gershon, and Rabbi Moshe. No women are present or mentioned.
Khal-Hasidim_0017	Khal-Hasidim	major	major	major	all-agree	The wife is a central, named-quality character whose piety, patience, and — crucially — her initiative in urging her reluctant husband to seek the Besht's help directly drives the plot forward; her speech is quoted at length and her faith (אמונת צדיקים) is foregrounded as the spiritual motor of the narrative.	The story revolves around a scholar and his wife, with the wife's initiative and faith in the Baal Shem Tov being crucial to the plot. Her suggestion to seek the Baal Shem Tov's help drives the narrative forward, making her a key figure.
Khal-Hasidim_0018	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	Women appear briefly as the cooks (המבשלות) who prepared the Shabbat chicken and noticed a possible kashrut issue, but they play only a passing functional role. The story's central drama revolves around the souls of two men, the ARI's explanation of reincarnation, and the bridegroom's death — none of which depends on the women characters.	The story mentions a woman who is married to the pious man. She has a minor role in the background as the man's wife.
Khal-Hasidim_0019	Khal-Hasidim	minor	minor	minor	all-agree	The wife appears several times — she is told to unload the flour, reports its spoilage to her husband, receives new holiday clothing, and consults her husband about purchasing furs — but she plays a supporting role throughout; the story's central drama concerns R' Gedaliah's struggles, his miraculous encounter with Elijah, and his conflict with the tax farmer.	The story revolves around a man's Passover preparations and the miracles that occur. His wife is only mentioned in passing regarding the flour and later buying clothes.
Khal-Hasidim_0020	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story revolves entirely around male characters: the Baal Shem Tov, R' Gershon Kitover, and a non-Jewish rider; no women are mentioned or implied.	This story focuses on the Baal Shem Tov and a stolen horse. No women are mentioned.
Khal-Hasidim_0021	Khal-Hasidim	minor	minor	minor	all-agree	The Besht's wife appears repeatedly and actively throughout the story — she answers R' David's questions, offers to cook the chicken, informs her husband, and crucially wakes the Besht when R' David faints — but she is a supporting figure facilitating hospitality and the encounter; the story's spiritual core is the miraculous light and R' David's discipleship to the Besht.	The wife of the Baal Shem Tov provides food and lodging for the traveler, and later helps revive him when he faints, but her role is ultimately secondary to the interaction between the Baal Shem Tov and the visiting rabbi.
Khal-Hasidim_0022	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story involves only male characters — a wealthy man, his learned tutor (melamed), the Besht, his holy company, and a servant. No women appear in any capacity.	There are no women mentioned in this story. The narrative focuses on the relationship between a wealthy man, his tutor, and the Baal Shem Tov.
Khal-Hasidim_0023	Khal-Hasidim	minor	major	major	models-agree/human-differs	The unnamed bride is the central figure of the story's climax: her sudden collapse into a death-like state is the entire purpose of the Besht's mysterious journey, and her miraculous revival and wedding are the story's culminating spiritual event. Without her, there is no story.	The bride's near-death experience and subsequent rescue by the Baal Shem Tov is the central event of the story. Her condition precipitates the crisis and her revival enables the wedding to proceed, making her indispensable to the narrative's plot and resolution.
Khal-Hasidim_0024	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	The wife of the innkeeper is mentioned only as the mother of the newborn (אשתו), providing background context for the brit milah crisis, but she plays no active role and the story centers entirely on the Baal Shem Tov's supernatural intervention to save the infant. No woman drives or shapes the plot.	The story revolves around the Baal Shem Tov and a man whose children keep dying. The man's wife is mentioned as the one who gives birth to the children, but she has no active role in the narrative.
Khal-Hasidim_0025	Khal-Hasidim	major	minor	minor	models-agree/human-differs	The merchant's wife appears with dialogue and actively pressures her husband to visit the Besht, serving as the catalyst that sets the plot in motion. However, the story's central focus is on the Besht's clairvoyance and the skeptic merchant's conversion, not on the wife's character or spiritual significance — once she prompts the husband to act, she recedes into the background.	The merchant's wife prompts him to seek the Baal Shem Tov's help and expresses her concern for their son. Although her role is important in initiating the action, the story focuses on the merchant's disbelief and the Baal Shem Tov's powers.
Khal-Hasidim_0026	Khal-Hasidim	no-women	no-women	minor	human=claude/gemini-differs	The story focuses entirely on male figures — the Besht, R' Avraham, R' Wolf Kutzes, the Maggid of Mezeritch, R' David, and others — recounting episodes of the Besht's intense prayer and the trembling it caused. No women appear in any capacity; the Shechina is invoked as a theological concept, not as an acting character.	This story recounts anecdotes about the Baal Shem Tov's intense prayer experiences, and the reactions of others witnessing them. While women are not central, the story mentions 'all the recipients' of the shochet's shabbat, without specifying their gender, but implying the possibility of women being among them.
Khal-Hasidim_0027	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	The widow (אשת המת) appears briefly at the end as the recipient of a message about her son's match, but the story's main thrust concerns R' Yosef's dream-vision, the deceased Hasid's soul, and the Besht's mystical interpretation. The woman plays a supporting, instrumental role rather than driving the narrative.	A deceased man asks his friend to tell his wife not to go through with a particular match for their son. The wife is mentioned and interacts with the plot, but the story focuses on the dream and the man's actions, not the wife's motivations or feelings.
Khal-Hasidim_0028	Khal-Hasidim	no-women	no-women	minor	human=claude/gemini-differs	The story centers entirely on the Besht's Yom Kippur spiritual battle to annul a heavenly decree, involving only male figures: the Besht, R' Yaakov of Mezbizh, R' Ze'ev Koczes, the Besht's rabbi, and the Messiah. No women appear in any role.	This story revolves around the Baal Shem Tov's Yom Kippur prayers and a heavenly dispute. While the narrative mentions the people of Mezhbuzh asking him what happened with the heavenly decree, women do not appear as characters in the story.
Khal-Hasidim_0029	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story features only male figures — R' Falk HaKohen, R' Shmeryl, and the Besht — and concerns a prophetic pronouncement about the town of Balte. No women appear in any capacity.	This story involves Rabbi Falk's father-in-law and the Baal Shem Tov. No women are mentioned in the narrative.
Khal-Hasidim_0030	Khal-Hasidim	no-women	no-women	minor	human=claude/gemini-differs	The story centers entirely on the Baal Shem Tov, the innkeeper, and the newly elected community leaders of Brod; no women appear or are mentioned in any capacity throughout the narrative.	While the story revolves around a letter from the Baal Shem Tov and its delayed delivery, there are no women who are characters in the story. The story centers on the Baal Shem Tov and the innkeeper.
Khal-Hasidim_0031	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story centers entirely on the Baal Shem Tov and his brother-in-law Rabbi Gershon of Kitov, dealing with prayer, mystical intentions, and the elevation of souls. No women appear or are mentioned in any capacity.	This story recounts the interactions between Rabbi Gershon of Kitov and the Baal Shem Tov, focusing on their Kabbalistic practices and spiritual experiences. No women appear in the narrative.
Khal-Hasidim_0032	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story revolves entirely around male figures — the Besht, a preacher (מוכיח), and a rabbi from Sharigad — recounting religious encounters, communal conflict, and repentance. No women appear or are mentioned in any capacity.	This story recounts the experiences of Rabbi Polnai with the Baal Shem Tov, focusing on their interactions and the rabbi's spiritual journey. There are no women mentioned in the story.
Khal-Hasidim_0033	Khal-Hasidim	no-women	no-women	minor	human=claude/gemini-differs	The story features only male characters: the Baal Shem Tov, his disciples, the elderly innkeeper, and the landlord's officer. No women appear or are mentioned in any capacity.	The story involves a man learning about faith, and while the man is married, his wife isn't mentioned or relevant to the plot. Therefore, women play no significant role.
Khal-Hasidim_0034	Khal-Hasidim	minor	minor	minor	all-agree	The duchess (דוכסה) appears as an authority figure who receives the libel accusation and prudently orders a medical examination before judging — a meaningful but supporting plot role. The story's central focus is the Baal Shem Tov's spiritual awareness and intercession on behalf of the threatened community, not the duchess herself.	The Duchess plays a role in potentially enacting a blood libel, but her role is more as an authority figure being petitioned than as a character whose motivations or actions are explored in depth. The story focuses on the Ba'al Shem Tov's actions and the community's reaction, not the Duchess herself.
Khal-Hasidim_0035	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	A woman appears briefly — the rabbi's wife (הרבנית) is mentioned in passing as someone the Besht would 'take' after the rabbi's death, and it is later reported she was taken to Jerusalem by R. Avraham Shverdlik. She is referenced rather than active, and the story's main thrust concerns the Besht's prophetic visions, the shaming incident, and the Sabbatai Zevi figure.	A rabbi's wife is mentioned as being taken to Jerusalem after his death, but she is not a central figure in the story. Thus, this story is categorized as minor.
Khal-Hasidim_0036	Khal-Hasidim	minor	no-women	minor	human=gemini/claude-differs	The story centers entirely on R' Yaakov (the Besht's servant-disciple) and the Italian patron, with no women mentioned or appearing in any capacity. All characters — the Besht, his disciples, the wealthy man, his servants, and the townspeople — are male.	While the story focuses on a disciple of the Ba'al Shem Tov, women are only present in the background as members of the wealthy man's household and as townspeople who are interested in hearing stories about the Ba'al Shem Tov. They do not play any active role in the story's plot or meaning.
Khal-Hasidim_0037	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story involves only male characters: the Baal Shem Tov, his brother-in-law R' Gershon, the scholar sent to test him, and R' Yechiel the rabbi. No women appear in any capacity.	This story involves a rabbi, a learned man, and the Baal Shem Tov, with no mention of any women characters.
Khal-Hasidim_0038	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story features only male characters: the Lithuanian emissary, R. Yechiel, the Besht, his servant, a Jewish traveler, and robbers. No women appear in any capacity.	This story focuses entirely on the interactions between men (the Ba'al Shem Tov, his servant, a visitor, and a potential mugger). No women are mentioned or play any part in the narrative.
Khal-Hasidim_0039	Khal-Hasidim	no-women	no-women	no-women	all-agree	No women appear as characters in this story. The phrase 'ובית אמי' occurs only as part of a rhetorical formula within the Besht's sermon, not as a reference to any actual woman acting in the narrative.	The story focuses on the Baal Shem Tov and his teachings/experiences. No women are mentioned or appear in any capacity.
Khal-Hasidim_0040	Khal-Hasidim	minor	minor	major	human=claude/gemini-differs	Women appear twice: first as a group frightened out of the women's synagogue by the demons, and then mentioned as having had improper thoughts (הרהורים) about the cantor's singer — both roles are background/contextual. The plot centers on the Besht's confrontation with and exorcism of the two demons, with the women serving only as initial victims and as part of the backstory explaining the demons' origin.	The story revolves around women praying in a synagogue, the negative thoughts directed at the cantor, and the birth of demons from the congregants' sinful intentions. These women's presence and imputed thoughts are key to the narrative's origin and the demons' actions.
Khal-Hasidim_0041	Khal-Hasidim	minor	major	major	models-agree/human-differs	The Rabbanit (rebbetzin) is the central figure whose life-threatening difficult labor drives the entire plot: she initiates the chain of events by sending for R' Yosef, grants him access to her money, and the mikveh ritual performed by R' Yosef and the Maggid is wholly devoted to saving her life and enabling her to give birth. The story culminates in her survival and delivery.	The rabbi's wife is central to the story. Her difficult labor and the actions taken to help her deliver are the driving force of the narrative, and her survival is the outcome the characters seek.
Khal-Hasidim_0042	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story features only male characters — R' Meir, R' Yosef the teacher, the Besht, and the city official — with no women mentioned in any capacity.	The story involves Rabbi Meir, Rabbi Yosef, the Baal Shem Tov, and a city official. No women are mentioned.
Khal-Hasidim_0043	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story focuses entirely on the Baal Shem Tov and a pious craftsman (sock-maker) in Uman; no women appear or are mentioned in any capacity.	This story recounts a conversation between the Baal Shem Tov and an artisan. No women are present or mentioned other than in the context of marriage (future).
Khal-Hasidim_0044	Khal-Hasidim	no-women	no-women	no-women	all-agree	The narrative centers entirely on the Baal Shem Tov's spiritual trial of pride upon arriving in Brody, involving only male figures throughout.	This story focuses entirely on the Baal Shem Tov and his interactions with other men. No women are mentioned or play any role in the narrative.
